batters faced, earned runs, era, fly balls, ground balls, hit batters, hits allowed, home runs allowed, innings pitched, name, order, pitches, result, runs allowed, strike outs thrown, strikes, walks allowed
7,1,5.400,1,2,[],2,0,1.667,Dennys Reyes,2,28,,1,2,20,0
5,1,9.000,0,2,[],2,0,1.000,Rudy Seanez,3,20,BS,1,1,14,0
4,0,0.000,1,1,[],0,0,1.000,Scott Linebrink,4,21,H,0,1,13,1
5,0,0.000,1,2,[],1,0,1.000,Akinori Otsuka,5,23,H,0,0,12,1
6,4,54.000,1,1,[],4,1,0.667,Trevor Hoffman,6,17,L,4,0,12,0
29,1,1.290,8,6,[],6,0,7.000,Jeremy Bonderman,1,102,W,1,7,72,2
4,1,9.000,1,1,[],1,1,1.000,Ugueth Urbina,2,13,,1,1,9,0
3,0,0.000,1,1,[],0,0,1.000,Troy Percival,3,9,,0,1,9,0
15,5,15.000,4,3,[],6,3,3.000,Jose Lima,1,62,L,5,2,42,0
8,2,10.800,3,1,['Dmitri Young'],0,0,1.667,Andrew Sisco,2,25,,2,1,11,2
8,1,6.750,1,1,[],4,0,1.333,Nate Field,3,29,,1,1,19,1
6,0,0.000,0,2,[],2,0,1.000,Shawn Camp,4,19,,1,1,13,0
5,2,18.000,2,1,[],1,1,1.000,Mike MacDougal,5,19,,2,0,10,1
25,0,0.000,7,12,[],2,0,8.000,Mark Buehrle,1,103,W,0,5,65,1
3,0,0.000,1,1,[],0,0,1.000,Shingo Takatsu,2,12,S,0,1,9,0
29,1,1.120,4,17,[],4,0,8.000,Jake Westbrook,1,101,L,1,3,72,1
28,1,1.350,5,9,[],6,0,6.667,Bartolo Colon,1,108,W,1,5,66,4
7,1,6.750,0,2,[],1,1,1.333,Scot Shields,2,28,H,1,2,14,2
3,0,0.000,1,1,[],0,0,1.000,Francisco Rodriguez,3,10,S,0,1,7,0
27,3,3.860,6,15,[],6,1,7.000,Ryan Drese,1,87,L,3,0,53,1
3,0,0.000,1,2,[],0,0,1.000,Ron Mahay,2,13,,0,0,9,0
26,6,9.000,8,9,[],7,2,6.000,Roy Oswalt,1,106,L,6,2,67,1
4,1,9.000,0,3,[],1,1,1.000,Russ Springer,2,14,,1,0,8,0
5,0,0.000,2,1,[],1,0,1.000,Chad Harville,3,13,,0,0,7,1
5,0,0.000,0,2,[],2,0,1.000,Dan Wheeler,4,15,,0,1,12,0
24,1,1.290,5,14,[],4,0,7.000,Chris Carpenter,1,97,W,1,2,63,0
5,2,27.000,1,1,[],2,0,0.667,Al Reyes,2,21,,2,0,11,1
2,0,0.000,0,0,[],0,0,0.333,Julian Tavarez,3,11,,0,1,4,1
4,0,0.000,1,1,[],1,0,0.667,Ray King,4,12,,0,0,5,1
2,0,0.000,0,1,[],0,0,0.333,Jason Isringhausen,5,6,S,0,0,2,1
19,1,1.800,7,5,[],3,0,5.000,Scott Kazmir,1,88,,1,2,58,2
7,5,135.000,1,0,[],4,0,0.333,Seth McClung,2,31,L,5,0,16,2
10,0,0.000,1,3,[],3,0,2.333,Casey Fossum,3,30,,0,3,19,0
4,0,0.000,1,2,[],0,0,1.333,Travis Harper,4,13,,0,1,10,0
19,1,1.800,7,5,[],3,1,5.000,Gustavo Chacin,1,73,W,1,3,44,1
8,2,10.800,2,1,[],2,1,1.667,Brandon League,2,30,,2,2,15,1
