completions, interceptions thrown, name, passes, passing touchdowns, passing yards
24,0,K Wenning,40,3,340
20,1,J Barnett,29,2,282
11,1,M Johnson,23,0,151
1,0,M Schilz,4,0,12
17,0,C Green,34,0,172
3,0,D Evans,7,1,50
18,0,B Bortles,24,3,314
1,0,T Gabbert,3,0,5
16,1,K Pohl,21,0,98
2,0,N Hirschman,4,1,18
16,1,C Whitmer,28,2,206
13,1,P Athens,20,1,192
52,1,D Carr,73,5,456
26,1,G Nova,41,5,348
16,4,T Graham,41,1,208
10,1,C Kessler,19,1,95
5,0,M Wittek,10,0,77
12,1,N Sudfeld,17,4,219
3,0,T Roberson,6,2,71
2,1,C Coffman,7,0,29
11,1,M Perish,29,2,118
1,0,R Tonyan Jr,3,1,57
21,0,C Reardon,28,2,194
14,0,J Woodrum,22,1,189
10,1,P Nelson,22,1,99
35,2,N Sherry,50,2,226
1,0,C Herring,1,0,0
12,0,L Kilgore,18,1,144
7,0,A Grammer,9,0,61
7,1,T Mitchell,15,2,161
12,1,E Sullivan,21,0,96
12,0,R Metheny,17,2,112
6,1,B Bridge,11,0,36
13,0,A Cantu,24,1,183
11,0,C Shaw,20,1,149
1,0,D Thompson,1,1,29
26,0,B Renner,43,1,194
16,0,D Fales,32,2,225
23,2,G Safron,40,0,192
6,0,N Montana,14,2,144
1,0,D Powell,2,0,6
9,2,L Ivy,17,0,133
6,2,E Ingram,12,0,111
17,0,T Wilson,28,2,302
31,0,C Keeton,40,2,314
21,2,A Carta Samuels,36,2,300
31,0,B Wallace,47,0,283
14,0,T Price,25,1,219
0,0,T Cameron,1,0,0
9,3,T Garrick,15,1,36
2,0,K Griffin,4,0,13
4,0,A Santiago,8,1,101
4,0,R Council,7,1,89
2,0,S Higgins,3,0,27
9,0,B Denker,13,1,87
21,3,K Poe,36,0,176
15,0,D Piland,23,1,148
11,0,J OKorn,15,3,107
27,1,D Joseph,36,2,268
21,2,J Waters,29,2,280
21,1,B Jensen,30,2,165
11,0,A Maxwell,21,0,74
6,0,C Cook,16,0,42
12,1,Z Terrell,28,2,120
6,2,T VanTubbergen,20,0,73
15,1,S Morris,27,1,160
3,0,R Williams,4,0,40
11,0,J Johnson,20,0,83
5,0,G Hankerson,11,0,34
41,0,G Gilbert,62,0,388
43,0,B Mayfield,60,4,413
28,2,R Bell,51,3,391
19,1,A Summerlin,31,1,193
5,0,K Pearson,8,0,46
2,0,J Awini,3,0,26
14,0,G McCarney,27,1,143
9,0,A Kennedy,12,1,149
1,0,P Butterfield,1,0,14
13,0,B Anderson,26,0,161
0,0,T Strickland,1,0,0
15,0,B Allen,22,3,230
15,1,T Broadway,28,1,171
2,0,B Haack,3,0,18
10,0,N Marshall,19,0,99
0,0,J Wallace,1,0,0
35,3,C Halliday,65,1,344
19,0,B Petty,24,2,312
4,0,S Russell,4,1,99
3,0,E Jacks,6,0,30
4,0,J Lawson,5,0,24
1,1,M Weimer,6,0,6
23,0,C Rettig,30,2,285
16,2,J Robertson,25,1,158
0,1,G Underwood,1,0,0
39,3,J Goff,64,2,450
1,0,V DAmato,1,1,10
18,2,T Siemian,29,1,276
1,0,K Colter,1,0,23
13,2,M Legaux,20,1,145
4,0,B Kay,5,0,59
18,2,R Henry,35,0,161
18,0,T Boyd,30,3,270
20,1,A Murray,29,0,323
16,0,A Boone,20,0,176
5,1,B Connette,8,2,55
11,0,J Reid,22,0,87
3,1,M Bell,10,0,16
46,0,S Carden,54,5,447
38,0,T Heinicke,51,3,338
1,0,A Vaughan,1,0,32
19,1,T Benz,26,2,210
19,2,G McGhee,32,1,182
17,0,J Driskel,22,1,153
17,1,T Owens,38,0,155
7,0,V Lee,11,2,189
17,3,M Quinn,30,0,136
3,0,J Loughery,5,0,28
28,1,N Scheelhaase,36,2,416
25,0,K Faulkner,40,3,312
1,0,J Lantz,1,0,29
21,2,J Rudock,37,1,256
25,0,J Lynch,41,3,275
22,0,S Richardson,32,2,242
21,0,S Kollmorgen,28,2,218
1,0,B Carnes,1,0,11
20,0,C Brown,23,3,281
5,0,C Rowe,6,0,44
5,1,E Hilliard,7,0,54
5,0,J Medlock,15,0,26
10,2,D Gardner,15,1,162
4,1,S Morris,6,0,59
11,1,A Niznak,22,0,131
2,0,C Kater,6,0,13
26,0,J Franklin,38,3,318
2,0,M Mauk,3,0,18
0,0,C Berkstresser,1,0,0
16,3,M Miller,32,1,145
6,0,P Frazier,6,0,24
1,0,J Harness,1,1,5
22,0,R Cato,34,5,253
2,1,B Frohnapfel,3,0,34
10,1,A Boucher,22,1,165
0,0,A Gearing,1,0,0
15,1,P Thomas,27,0,212
3,0,B Mitchell,3,0,93
0,0,J Taylor,1,0,0
15,0,S Young,27,0,178
17,1,T Martinez,22,3,155
29,1,B Smith,43,4,383
0,1,T Norman,1,0,0
4,0,C Gautsche,12,1,65
2,0,C Mitchem,5,0,19
21,0,E Soza,34,2,237
16,0,T Rees,23,3,346
1,0,A Hendrix,4,0,9
23,0,C Reilly,46,0,228
23,0,D Thompson,27,2,349
5,0,D Williams,6,0,55
0,1,A McNulty,1,0,0
19,0,C Chalich,27,1,230
0,0,J McCain,1,0,0
15,1,B Miller,22,2,178
1,0,K Guiton,1,1,21
19,1,J Licata,32,2,185
11,1,T Knight,28,3,86
3,0,B Bell,5,0,38
20,1,K Browning,39,0,128
18,0,J Walsh,27,0,135
3,0,C Chelf,6,0,11
10,1,T Russell,16,0,133
7,1,D Prescott,17,0,89
12,0,M Mariota,21,1,234
2,0,J Rodrigues,2,1,30
1,0,J Lockie,3,0,8
21,0,K Henderson,40,0,214
4,0,B Hebert,10,0,42
37,0,S Mannion,43,3,422
23,0,V Adams,30,4,411
3,0,A Vitto,4,0,37
27,4,A Dingwell,63,0,318
0,0,E Ruffin,1,0,0
31,0,J Garoppolo,46,3,361
10,0,B Eveld,20,2,137
9,2,M Floyd,20,0,72
12,1,C Stroud,21,2,207
4,0,T Bolfing,4,0,37
28,2,A Bridgford,53,1,377
13,0,T Arndt,18,0,111
1,0,J Moore,3,1,23
16,2,D Allen,37,0,189
22,2,C Hackenberg,31,2,278
1,0,T Ferguson,1,0,18
9,1,C Pachall,16,0,75
6,0,T Boykin,12,0,70
16,0,Z Mettenberger,32,1,251
11,0,J Worley,13,3,104
4,0,N Peterman,8,0,28
11,1,A Spivey,22,0,94
2,1,J Sexton,4,0,38
20,2,D Ash,28,4,343
2,0,C McCoy,2,0,13
32,1,A McDonald,46,1,242
30,0,C Robinson,32,1,319
0,0,D Anthony,1,0,0
19,0,A Brown,29,3,301
2,0,J Perry,6,0,38
14,0,M Joeckel,19,1,190
6,0,J Manziel,8,3,94
18,2,T McHargue,29,2,180
3,0,D Jackson,7,0,23
22,0,B Hundley,33,2,274
2,0,J Neuheisel,2,0,28
19,0,C Fajardo,32,0,164
2,0,D Combs,3,0,18
18,1,D Watford,32,1,114
13,1,T Hill,40,1,175
5,1,L Thomas,26,0,59
10,1,A McCarron,23,1,110
0,0,B Sims,1,0,0
23,1,K Price,31,2,324
25,1,J Southwick,40,0,152
4,0,G Hedrick,6,0,23
9,1,J Stave,17,2,197
1,0,B Houston,1,0,8
9,1,M Wegzyn,23,0,73
5,0,A Doyle,7,0,39
27,0,B Doughty,34,1,271
8,0,M Smith,13,1,125
10,0,J Whitlow,15,0,78
19,0,P Millard,25,1,237
0,0,C Trickett,2,0,0
18,1,M Graham,27,1,207
22,0,G Grayson,39,0,201
33,0,C Wood,46,3,400
23,1,T Bridgewater,28,5,355
2,0,W Gardner,3,1,61
11,0,T Tettleton,23,0,140
4,1,D Vick,8,0,52
15,2,T Savage,28,1,201
25,0,J Winston,27,4,356
2,0,J Coker,2,0,21
23,0,T Kelly,31,5,300
3,0,M Eubank,4,0,70
11,2,G Safron,21,0,111
1,0,J Vercher,2,0,5
17,0,S Carden,25,2,191
3,0,C Keith,5,0,11
14,1,G Hankerson,26,1,116
9,1,J Johnson,14,0,62
7,1,C Rettig,14,2,123
18,1,T Price,30,1,191
16,0,J Medlock,25,0,128
3,0,E Hilliard,3,0,14
12,0,B Bortles,19,1,214
2,0,J Holman,2,0,11
4,0,J Awini,12,0,61
2,0,K Roberts,4,1,47
0,0,N Romine,2,0,0
32,1,C Keeton,40,5,360
6,0,N Hirschman,10,2,144
14,1,K Pohl,22,2,143
29,1,M Birdsong,42,3,310
9,0,B Allen,17,2,125
19,0,A Summerlin,28,1,117
10,0,N Marshall,17,2,147
1,0,J Wallace,1,0,20
30,0,A Kennedy,42,0,284
23,0,K Wenning,32,2,325
0,0,O Mann,5,0,0
3,1,A Santiago,11,0,49
4,0,A Schurr,8,0,27
13,0,B Petty,16,2,338
6,0,S Russell,9,1,114
