kickoff yards, kickoffs, longest kickoffs, longest punt, name, punt yards, punts
0,0,0,59,S Waters,408,8
0,0,0,93,S Whyte,573,11
0,0,0,53,R Schmitt,255,6
0,0,0,46,G Shaw,357,9
0,0,0,54,B Maher,43,9
0,0,0,46,S Whyte,260,6
0,0,0,54,R Schmitt,433,9
0,0,0,51,G Shaw,346,8
0,0,0,52,J Medlock,390,9
0,0,0,52,S Whyte,320,7
0,0,0,64,G Shaw,542,12
0,0,0,64,B Maher,473,10
0,0,0,57,S Waters,193,4
0,0,0,65,R Schmitt,402,9
0,0,0,59,L Hajrullahu,452,10
0,0,0,63,G Shaw,342,8
0,0,0,57,B Maher,252,5
0,0,0,65,S Waters,295,6
0,0,0,77,J Medlock,328,8
0,0,0,42,R Schmitt,241,7
0,0,0,50,S Whyte,423,10
0,0,0,60,G Shaw,399,9
0,0,0,49,J Medlock,227,5
0,0,0,50,B Maher,226,5
0,0,0,52,J Medlock,465,11
0,0,0,54,L Hajrullahu,376,9
0,0,0,58,S Whyte,564,12
0,0,0,64,S Waters,480,10
0,0,0,52,R Schmitt,482,10
0,0,0,54,B Maher,379,8
0,0,0,57,L Hajrullahu,306,7
0,0,0,67,S Whyte,365,8
0,0,0,45,G Shaw,228,6
0,0,0,52,R Schmitt,231,5
0,0,0,50,J Medlock,359,9
0,0,0,62,B Maher,292,6
0,0,0,60,S Waters,320,7
0,0,0,54,L Hajrullahu,387,9
0,0,0,60,B Maher,368,8
0,0,0,52,G Shaw,228,5
0,0,0,50,J Medlock,217,5
0,0,0,74,S Whyte,351,7
0,0,0,53,R Schmitt,452,10
0,0,0,55,L Hajrullahu,324,7
0,0,0,53,S Whyte,292,7
0,0,0,57,G Shaw,432,9
0,0,0,80,S Waters,478,9
0,0,0,57,B Maher,479,11
0,0,0,55,R Schmitt,414,10
0,0,0,55,S Whyte,383,9
0,0,0,60,B Maher,423,9
0,0,0,57,L Hajrullahu,85,2
0,0,0,64,J Medlock,340,8
0,0,0,80,S Waters,696,13
0,0,0,54,G Shaw,381,8
0,0,0,58,B Maher,428,9
0,0,0,69,R Schmitt,515,11
0,0,0,53,H ONeill,425,10
0,0,0,52,S Whyte,400,9
0,0,0,54,J Medlock,338,7
0,0,0,83,L Hajrullahu,399,8
0,0,0,56,C Milo,279,6
0,0,0,50,H ONeill,207,5
0,0,0,55,S Whyte,375,8
0,0,0,67,S Waters,353,7
0,0,0,50,R Schmitt,303,7
0,0,0,52,L Hajrullahu,333,8
0,0,0,57,J Medlock,285,7
0,0,0,57,C Milo,499,12
0,0,0,53,R Schmitt,310,6
0,0,0,65,S Waters,332,7
0,0,0,60,J Medlock,443,10
0,0,0,70,H ONeill,430,9
0,0,0,54,S Whyte,342,8
0,0,0,65,C Milo,414,9
0,0,0,61,B Maher,492,10
0,0,0,55,B Maher,317,8
0,0,0,65,S Whyte,315,7
0,0,0,55,H ONeill,373,9
0,0,0,54,C Milo,416,10
0,0,0,52,L Hajrullahu,447,11
0,0,0,53,J Medlock,358,9
0,0,0,62,R Schmitt,361,11
0,0,0,54,B Maher,156,3
0,0,0,53,L Hajrullahu,198,5
0,0,0,52,C Milo,261,6
0,0,0,53,S Waters,239,6
0,0,0,51,J Medlock,180,4
0,0,0,50,R Schmitt,202,5
0,0,0,54,B Maher,312,9
0,0,0,55,S Whyte,261,7
0,0,0,50,H ONeill,257,6
0,0,0,54,L Hajrullahu,268,7
0,0,0,75,J Medlock,328,7
0,0,0,54,B Maher,394,10
0,0,0,55,S Waters,348,8
0,0,0,50,S Whyte,397,9
0,0,0,55,L Hajrullahu,253,6
0,0,0,53,H ONeill,197,4
0,0,0,48,B Maher,173,4
0,0,0,41,S Whyte,221,6
0,0,0,57,S Waters,207,4
0,0,0,50,J Medlock,300,7
0,0,0,56,L Hajrullahu,360,8
0,0,0,54,R Schmitt,453,10
0,0,0,55,B Maher,180,4
0,0,0,48,J Medlock,270,7
0,0,0,52,L Hajrullahu,312,7
0,0,0,51,H ONeill,221,5
0,0,0,54,R Schmitt,544,12
0,0,0,47,S Whyte,281,7
0,0,0,64,S Waters,511,12
0,0,0,62,S Waters,428,9
0,0,0,58,B Maher,395,9
0,0,0,48,R Schmitt,76,2
0,0,0,63,J Medlock,318,8
0,0,0,52,S Whyte,352,8
0,0,0,49,H ONeill,225,6
0,0,0,56,S Whyte,212,5
0,0,0,62,P McCallum,285,8
0,0,0,47,H ONeill,404,10
0,0,0,50,J Medlock,199,5
0,0,0,54,S Whyte,312,7
0,0,0,50,H ONeill,377,9
0,0,0,51,R Paredes,127,3
0,0,0,49,J Medlock,244,6
