field goals, field goals attempted, kicking extra points, kicking extra points attempted, longest field goal, name
3,3,1,1,50,John Hall
2,2,1,1,41,Doug Brien
1,1,4,4,44,Rian Lindell
1,1,1,1,49,John Kasay
1,2,2,2,40,Seth Marler
1,1,1,1,26,Shayne Graham
3,3,3,3,51,Jason Elam
2,2,0,0,20,Phil Dawson
3,3,0,0,46,Mike Vanderjagt
0,1,1,2,0,Billy Cundiff
2,2,3,3,37,Jay Feely
0,0,6,6,0,Jason Hanson
1,1,3,3,38,Bill Gramatica
1,1,2,2,27,Ryan Longwell
3,3,3,3,46,Aaron Elling
2,2,3,3,46,Morten Andersen
0,0,2,2,0,Steve Christie
0,0,2,2,0,Olindo Mare
5,7,0,0,50,Kris Brown
3,3,2,2,47,Matt Bryant
2,2,1,1,39,Jeff Wilkins
2,2,4,4,31,Jeff Reed
0,0,1,1,0,Matt Stover
2,2,3,3,37,Josh Brown
1,1,1,1,33,John Carney
5,5,4,5,29,Jeff Chandler
0,0,1,1,0,Paul Edinger
3,3,1,1,49,Craig Hentrich
1,1,0,1,50,Joe Nedney
2,2,2,2,47,Sebastian Janikowski
1,1,2,2,23,Martin Gramatica
0,1,0,0,0,Bill Gramatica
1,1,5,5,37,Josh Brown
1,2,4,4,37,Jay Feely
1,2,4,4,54,John Hall
3,4,3,3,40,Matt Stover
1,1,0,0,56,Wade Richey
2,2,1,1,44,Phil Dawson
1,1,4,4,46,Ryan Longwell
2,2,0,0,52,Jason Hanson
4,4,3,3,48,Mike Vanderjagt
0,0,1,1,0,Gary Anderson
1,2,2,2,44,Seth Marler
1,1,5,5,27,Rian Lindell
0,0,5,6,0,Morten Andersen
2,2,2,2,51,Jeff Reed
1,2,3,3,23,Aaron Elling
2,2,1,1,43,Paul Edinger
1,1,4,4,39,John Carney
1,1,1,1,30,Kris Brown
1,1,1,1,30,Doug Brien
0,0,3,3,0,Olindo Mare
1,1,1,1,57,David Akers
1,1,4,4,27,Adam Vinatieri
3,3,2,2,40,Sebastian Janikowski
2,2,2,2,31,Shayne Graham
2,2,1,1,25,Steve Christie
3,3,4,4,45,Jason Elam
2,2,3,3,29,Jeff Wilkins
1,2,3,3,35,Jeff Chandler
1,3,0,1,41,Martin Gramatica
4,4,0,0,47,John Kasay
1,1,3,3,30,Matt Bryant
7,8,2,2,52,Billy Cundiff
2,2,2,2,37,Bill Gramatica
2,2,1,1,40,Ryan Longwell
1,2,1,1,29,Jay Feely
1,1,4,4,24,Martin Gramatica
1,1,1,1,44,Shayne Graham
1,2,2,2,33,Jeff Reed
2,2,1,1,37,Jason Hanson
1,2,2,2,21,Aaron Elling
3,3,2,2,46,Mike Vanderjagt
2,4,1,1,49,Seth Marler
1,3,2,2,26,Olindo Mare
0,0,1,1,0,Rian Lindell
3,3,2,2,47,Adam Vinatieri
3,4,1,1,41,Doug Brien
1,2,1,1,24,Steve Christie
1,1,3,3,49,Matt Stover
1,2,3,3,36,Josh Brown
3,3,2,2,33,Jeff Wilkins
4,4,0,0,46,Owen Pochman
0,1,1,1,0,Phil Dawson
2,2,3,3,43,Gary Anderson
1,1,1,1,31,John Carney
0,0,2,2,0,Kris Brown
0,0,6,6,0,Morten Andersen
2,4,1,1,42,John Hall
1,2,3,3,29,Matt Bryant
1,1,4,4,20,Jason Elam
1,1,1,1,41,Sebastian Janikowski
1,1,1,1,29,Matt Stover
1,1,2,2,46,Morten Andersen
0,1,1,1,0,Rian Lindell
3,3,2,2,34,David Akers
3,3,2,2,53,John Kasay
1,2,0,0,28,Jay Feely
0,1,2,2,0,Phil Dawson
0,0,3,3,0,Shayne Graham
2,2,2,2,41,Jason Elam
1,1,1,2,53,Jason Hanson
0,0,5,5,0,Aaron Elling
0,0,1,1,0,Owen Pochman
2,2,1,1,43,John Carney
2,2,7,7,42,Mike Vanderjagt
2,2,0,0,38,Doug Brien
1,1,2,2,26,Billy Cundiff
2,3,1,1,26,Jeff Reed
0,0,4,4,0,Gary Anderson
2,2,4,4,46,Sebastian Janikowski
1,1,4,4,32,Steve Christie
3,4,4,4,53,Jeff Wilkins
0,0,1,1,0,Bill Gramatica
1,2,3,3,48,Kris Brown
2,2,2,2,29,Seth Marler
2,3,2,2,38,John Hall
1,2,2,2,23,Adam Vinatieri
3,3,2,2,41,Paul Edinger
1,1,5,5,34,Ryan Longwell
2,2,2,2,34,Jay Feely
2,2,3,3,32,Aaron Elling
3,3,1,1,38,Rian Lindell
3,4,1,1,39,Shayne Graham
2,2,1,1,49,John Kasay
2,3,1,1,38,John Carney
3,3,1,1,50,Paul Edinger
5,6,0,1,49,Sebastian Janikowski
2,2,2,2,36,Billy Cundiff
0,0,1,1,0,Tim Duncan
0,0,5,5,0,Ryan Longwell
2,2,1,1,58,Josh Brown
2,2,3,3,53,Seth Marler
0,0,3,3,0,Steve Christie
1,1,3,3,23,Morten Andersen
3,4,2,2,48,Jason Elam
1,3,5,5,48,Adam Vinatieri
4,5,1,1,43,Gary Anderson
1,1,0,0,48,Craig Hentrich
1,1,1,1,43,Matt Bryant
0,1,0,0,0,Jeff Feagles
3,3,2,2,48,Olindo Mare
2,2,3,3,52,David Akers
4,4,1,1,53,John Hall
2,2,1,1,37,Jeff Reed
2,2,3,4,22,Phil Dawson
1,2,3,3,48,Owen Pochman
1,1,2,2,28,Jason Hanson
0,2,5,5,0,Martin Gramatica
1,1,5,5,29,Mike Vanderjagt
1,1,1,1,46,Tim Duncan
4,4,2,2,37,Matt Stover
2,2,1,1,52,Phil Dawson
0,0,1,1,0,Sebastian Janikowski
3,3,2,2,51,Billy Cundiff
0,0,3,3,0,David Akers
1,1,2,2,47,Jason Elam
2,2,0,0,26,Jeff Reed
2,2,4,4,50,Ryan Longwell
2,3,4,4,34,Morten Andersen
2,2,2,2,39,Mike Vanderjagt
3,3,2,2,47,John Kasay
1,2,1,1,20,Seth Marler
1,1,3,3,51,Olindo Mare
1,2,2,2,28,Adam Vinatieri
2,4,0,0,34,Brett Conway
2,3,2,2,50,John Carney
2,2,1,1,31,Paul Edinger
3,4,3,3,43,Doug Brien
1,1,0,0,44,Rian Lindell
2,2,2,2,37,Josh Brown
2,3,1,2,42,Owen Pochman
1,1,5,5,33,Gary Anderson
1,1,2,2,29,Kris Brown
2,2,1,1,51,John Hall
0,0,5,5,0,Martin Gramatica
2,2,4,4,38,Jeff Wilkins
0,1,0,0,0,Jay Feely
1,1,2,2,28,Jay Feely
1,1,6,6,42,John Carney
1,1,3,3,20,Rian Lindell
0,0,1,1,0,John Hall
1,1,2,2,53,John Kasay
3,3,4,4,40,Gary Anderson
2,2,4,4,44,Shayne Graham
1,1,1,1,25,Matt Stover
2,3,2,2,46,Phil Dawson
4,5,2,2,50,Steve Christie
0,0,1,1,0,Jason Hanson
1,1,5,5,23,Billy Cundiff
2,4,1,1,34,Olindo Mare
2,2,1,1,30,Adam Vinatieri
0,0,4,4,0,Aaron Elling
2,2,2,2,46,Jason Elam
1,1,1,1,39,Brett Conway
0,0,2,2,0,David Akers
1,2,3,3,45,Josh Brown
3,3,0,0,50,Paul Edinger
1,4,3,3,27,Owen Pochman
0,0,1,1,0,Martin Gramatica
2,2,4,4,43,Jeff Wilkins
1,1,3,3,33,Ryan Longwell
0,0,2,2,0,Kris Brown
2,2,1,1,39,Doug Brien
1,1,1,1,27,Sebastian Janikowski
1,2,2,2,37,Morten Andersen
3,6,1,1,53,Tim Duncan
0,2,1,1,0,Owen Pochman
4,5,2,2,39,Matt Stover
2,2,0,0,28,Jason Elam
1,2,3,3,37,Paul Edinger
2,2,3,3,30,Shayne Graham
1,2,3,3,27,Josh Brown
3,3,3,3,31,Mike Vanderjagt
0,0,3,3,0,Kris Brown
1,1,2,2,49,Seth Marler
3,3,3,3,43,Gary Anderson
1,1,5,5,49,Morten Andersen
1,2,0,0,20,Rian Lindell
1,2,2,2,51,Aaron Elling
3,3,2,2,44,Brett Conway
3,4,0,0,38,Adam Vinatieri
1,1,0,0,29,Phil Dawson
2,2,2,2,46,John Carney
3,3,2,2,31,John Kasay
1,2,3,3,30,David Akers
1,2,2,2,30,Doug Brien
0,0,3,3,0,Jeff Reed
2,3,3,3,22,Jeff Wilkins
3,4,1,1,50,Martin Gramatica
0,1,0,0,0,Billy Cundiff
1,1,1,1,51,Steve Christie
1,2,3,3,44,Olindo Mare
1,2,2,2,31,Tim Duncan
0,0,2,2,0,Shayne Graham
3,3,1,1,46,Jay Feely
3,4,2,2,40,David Akers
3,3,1,1,32,Matt Stover
1,1,2,2,24,Seth Marler
2,2,2,2,38,Paul Edinger
0,1,1,1,0,Steve Christie
0,0,3,3,0,Billy Cundiff
0,0,0,1,0,John Hall
3,3,2,2,54,Jason Hanson
2,3,1,1,55,Sebastian Janikowski
1,1,2,2,23,Olindo Mare
3,3,2,2,50,Mike Vanderjagt
2,2,3,3,47,Aaron Elling
3,3,3,3,43,Ryan Longwell
0,1,4,4,0,Doug Brien
3,4,2,2,39,Brett Conway
3,3,2,2,46,Josh Brown
3,3,1,1,49,Jeff Reed
1,2,3,4,44,Todd Peterson
1,1,1,1,39,Jeff Wilkins
0,1,2,2,0,Martin Gramatica
1,2,2,2,47,John Carney
0,0,2,2,0,Kris Brown
1,1,1,1,23,John Kasay
1,2,1,1,43,Jason Elam
0,0,2,2,0,Micah Knorr
3,3,3,3,46,Adam Vinatieri
2,2,3,3,48,John Kasay
1,1,3,3,39,Martin Gramatica
2,2,4,4,40,Shayne Graham
2,2,3,3,45,Kris Brown
1,1,1,1,51,Billy Cundiff
2,2,0,0,41,Rian Lindell
4,4,0,0,48,Jason Hanson
1,3,1,1,43,Paul Edinger
0,0,4,4,0,Seth Marler
3,3,2,2,27,Mike Vanderjagt
2,2,5,5,29,Morten Andersen
2,2,2,2,50,Phil Dawson
0,0,1,1,0,Brett Conway
0,0,3,4,0,Jay Feely
0,1,4,4,0,Jeff Reed
1,1,0,1,20,Tim Duncan
1,1,3,3,22,Sebastian Janikowski
2,2,1,1,48,Doug Brien
0,0,6,6,0,Steve Christie
0,0,4,4,0,Aaron Elling
4,4,3,3,49,Jeff Wilkins
3,3,1,1,41,Matt Stover
1,1,4,4,35,Gary Anderson
0,0,1,1,0,Olindo Mare
2,2,3,3,34,John Hall
2,3,2,2,48,Josh Brown
0,1,2,2,0,Ryan Longwell
1,2,2,2,21,David Akers
2,4,0,0,23,Rian Lindell
2,2,0,0,41,Kris Brown
2,4,2,2,26,John Kasay
1,2,2,2,23,John Hall
0,1,3,3,0,Paul Edinger
3,3,2,2,44,Jeff Wilkins
1,2,3,3,27,Shayne Graham
2,3,1,1,39,Morten Andersen
3,3,5,5,34,Phil Dawson
2,2,0,0,42,Neil Rackers
2,3,4,4,42,Jason Elam
1,1,0,0,27,Micah Knorr
1,1,5,5,31,Mike Vanderjagt
1,1,4,4,43,Doug Brien
3,4,0,0,52,Olindo Mare
2,2,0,0,45,Matt Stover
2,2,0,1,26,Adam Vinatieri
3,3,2,2,36,John Carney
2,3,2,2,38,Jay Feely
0,0,4,4,0,David Akers
1,1,1,1,30,Matt Bryant
0,1,4,4,0,Sebastian Janikowski
1,3,1,1,35,Aaron Elling
0,0,5,5,0,Josh Brown
0,0,2,2,0,Jason Hanson
2,2,1,1,47,Martin Gramatica
2,2,2,2,33,Ryan Longwell
1,2,1,1,33,Gary Anderson
1,2,0,0,39,Seth Marler
3,3,3,3,44,Todd Peterson
0,1,2,2,0,Jeff Reed
2,2,3,3,27,Neil Rackers
3,3,3,3,49,Jeff Wilkins
1,1,4,4,40,Jay Feely
1,2,5,5,22,Gary Anderson
3,3,5,5,42,Matt Stover
2,2,5,5,46,Josh Brown
0,1,2,2,0,Rian Lindell
1,1,0,0,24,Mike Vanderjagt
2,2,0,0,31,Phil Dawson
2,3,1,1,46,Jeff Reed
1,3,3,3,24,Billy Cundiff
2,3,2,2,44,John Kasay
1,2,1,1,25,Jason Elam
4,4,1,1,54,Paul Edinger
2,3,2,2,38,Ryan Longwell
1,2,1,1,24,Todd Peterson
2,2,3,3,43,Morten Andersen
1,1,3,3,41,Sebastian Janikowski
1,1,3,3,51,Olindo Mare
3,3,2,2,31,John Hall
1,1,3,3,24,Aaron Elling
0,1,2,2,0,Jason Hanson
2,2,1,1,36,Doug Brien
1,2,1,1,23,Seth Marler
4,4,3,3,42,David Akers
0,1,2,2,0,John Carney
2,2,3,3,48,Steve Christie
2,2,4,4,47,Shayne Graham
2,2,2,2,31,Kris Brown
