completions, interceptions thrown, longest pass, name, passes, passing touchdowns, passing yards
29,0,87,D Durant,44,5,481
0,0,0,W Dressler,1,0,0
28,1,48,A Calvillo,42,4,368
27,1,28,H Burris,40,0,324
16,1,47,C Lemon,28,1,192
17,0,90,B Pierce,25,2,291
15,1,35,K Glenn,30,1,197
0,0,0,Q Porter,2,0,0
27,0,21,R Ray,40,0,229
20,0,41,C Printers,34,0,218
25,1,60,B Pierce,35,3,366
0,0,0,T Edwards,1,0,0
15,0,27,C Lemon,23,0,162
1,0,28,D Bell,3,0,28
26,0,44,K Glenn,34,1,356
24,1,17,H Burris,37,2,257
9,0,98,T Lulay,15,1,197
10,0,32,C Printers,14,1,120
18,0,41,D Durant,29,1,252
23,2,43,R Ray,39,1,340
19,1,29,A Calvillo,30,2,237
18,1,32,C Lemon,36,0,187
20,4,39,H Burris,40,3,207
29,0,40,K Glenn,36,3,336
10,1,28,B Pierce,19,0,117
9,0,19,S Jyles,13,0,86
20,2,24,C Printers,40,1,253
30,0,48,A Calvillo,47,0,297
15,1,37,D Durant,28,1,238
22,0,42,R Ray,31,0,319
1,0,14,J Zabransky,1,0,14
0,0,0,F Stamps,1,0,0
28,0,41,A Calvillo,38,2,310
16,0,33,K Glenn,32,0,201
5,1,23,Q Porter,7,1,70
19,2,22,C Lemon,28,2,222
0,0,0,D Bell,1,0,0
26,2,58,T Lulay,40,0,330
14,2,46,S Jyles,22,1,267
18,2,33,R Ray,25,2,202
1,0,29,J Maas,9,0,29
0,0,0,J Zabransky,1,0,0
21,2,67,H Burris,32,3,277
22,3,37,D Durant,37,1,354
30,0,51,A Calvillo,36,2,394
1,0,1,R Santos,1,1,1
8,0,55,C Lemon,17,0,143
2,0,16,D Bell,2,0,8
25,1,51,R Ray,34,2,360
16,2,30,T Lulay,26,0,134
21,1,35,D Durant,35,0,270
31,2,36,K Glenn,45,3,425
28,0,64,H Burris,38,2,340
17,0,61,S Jyles,30,1,227
17,0,67,A Calvillo,25,2,252
1,0,4,C Leak,2,0,4
35,2,32,D Durant,62,2,445
24,0,45,R Ray,35,1,272
1,0,5,N Prefontaine,1,0,5
23,1,36,C Lemon,34,1,292
24,1,50,K Glenn,41,3,371
24,0,54,S Jyles,35,2,349
1,0,0,A Brink,1,0,0
15,1,31,T Lulay,28,0,159
4,0,19,J Jackson,9,0,44
22,1,48,H Burris,32,2,238
1,0,1,D Tate,1,1,1
18,2,35,D Durant,27,1,223
1,0,2,R Dinwiddie,3,0,2
18,2,28,J Jackson,31,0,194
14,0,51,S Jyles,22,2,227
7,1,32,B Pierce,12,1,63
18,2,55,K Glenn,26,3,274
1,0,32,A Bruce,1,0,32
13,0,63,C Lemon,19,3,269
1,0,13,C Boyd,1,0,13
37,1,50,A Calvillo,49,3,450
21,0,74,H Burris,29,3,305
4,0,15,D Tate,4,1,40
8,1,28,J Zabransky,16,1,107
5,1,29,J Maas,8,0,62
2,0,10,R Ray,5,0,19
13,0,36,A Calvillo,21,2,164
10,1,37,C Leak,15,0,99
11,0,29,S Jyles,22,1,123
1,0,14,A Brink,5,0,14
18,0,21,C Lemon,31,0,208
1,0,37,C Owens,1,0,37
25,1,30,K Glenn,36,0,247
10,0,58,C Printers,26,1,191
