completions, interceptions thrown, longest pass, name, passes, passing touchdowns, passing yards
15,0,31,C Printers,21,0,203
1,0,20,R Williams,2,0,20
25,0,35,A Calvillo,37,2,293
1,0,8,D Sanchez,1,0,8
22,1,0,H Burris,32,2,274
9,0,0,B Pierce,14,1,160
8,1,0,J Jackson,18,1,95
48,3,0,K Glenn,32,0,321
1,0,0,C Roberts,0,0,0
14,0,0,M Bishop,6,1,111
17,0,0,K Joseph,9,0,73
19,2,0,M Crandell,29,2,278
25,1,0,R Ray,37,0,249
1,1,0,S LeFors,4,0,9
31,0,0,K Joseph,20,0,196
23,0,0,C Printers,16,0,171
41,0,0,R Ray,27,3,448
35,2,0,H Burris,23,3,330
44,1,0,A Calvillo,34,4,372
40,0,0,K Glenn,26,1,313
30,1,0,J Jackson,16,0,164
11,0,0,D Durant,5,0,56
7,2,0,S Jyles,4,1,42
6,0,0,M Crandell,4,0,31
37,0,0,A Calvillo,21,1,341
37,0,0,H Burris,28,1,302
23,1,0,R Ray,16,1,213
40,3,0,K Joseph,23,2,227
7,0,0,M Bishop,4,1,89
20,2,0,R Dinwiddie,33,1,227
9,2,0,K Glenn,17,0,86
19,1,0,J Jackson,24,5,340
31,1,0,C Printers,17,0,261
32,0,0,D Durant,23,2,347
26,1,0,H Burris,33,2,345
1,0,0,D Dickenson,1,0,4
17,2,0,C Printers,26,0,209
3,1,0,R Williams,6,0,22
23,2,0,J Jackson,38,1,396
1,0,24,P McCallum,1,0,24
18,3,0,K Glenn,28,1,256
25,2,40,D Durant,34,3,353
29,1,0,A Calvillo,41,4,352
38,0,0,K Joseph,22,1,343
33,0,0,R Ray,20,1,295
39,0,0,R Dinwiddie,24,1,450
44,1,0,H Burris,31,3,386
7,1,47,R Williams,11,0,138
11,0,27,C Printers,20,0,127
28,1,0,R Ray,47,1,356
22,2,0,J Jackson,41,1,319
20,2,0,A Calvillo,36,3,276
14,1,0,S Jyles,18,1,201
3,0,0,D Durant,5,0,29
21,0,0,K Joseph,42,1,259
36,1,0,A Calvillo,26,2,326
24,2,0,R Williams,18,0,260
30,0,0,R Ray,23,2,392
36,2,0,J Jackson,19,1,217
1,0,0,P McCallum,1,0,29
21,1,0,K Joseph,35,0,219
16,2,0,R Dinwiddie,28,1,224
22,1,0,H Burris,40,1,304
15,0,0,R Williams,24,3,293
1,0,0,Q Porter,1,0,6
21,2,0,K Joseph,40,0,303
20,1,52,M Crandell,33,2,259
22,2,19,H Burris,33,1,214
26,1,0,R Dinwiddie,16,0,193
12,0,0,K Glenn,8,1,80
35,0,0,A Calvillo,25,1,290
11,1,0,J Jackson,24,3,150
6,1,0,B Pierce,11,0,65
30,3,0,R Ray,45,4,436
24,2,0,K Glenn,37,1,285
14,1,0,R Williams,27,0,204
21,1,0,M Bishop,9,1,126
16,0,0,K Joseph,9,0,115
41,0,0,A Calvillo,27,3,349
17,1,0,R Ray,26,1,195
7,0,0,M Crandell,24,1,134
5,0,0,S Jyles,8,0,42
8,1,0,B Pierce,13,1,103
8,0,0,J Jackson,18,0,75
18,1,0,H Burris,30,2,282
35,0,0,A Calvillo,20,1,231
48,2,0,B Pierce,38,2,406
10,1,0,M Bishop,24,0,107
28,2,0,K Glenn,42,0,269
14,0,22,H Burris,8,0,81
8,0,39,D Dickenson,4,0,75
7,0,16,B Nealy,2,0,20
38,1,36,R Ray,26,3,376
22,0,24,C Printers,12,1,161
33,0,81,K Joseph,18,1,399
29,1,0,R Ray,42,0,357
19,0,0,H Burris,36,3,323
7,1,0,C Printers,15,0,91
4,0,0,Q Porter,9,0,55
2,0,0,R Williams,6,0,47
29,1,42,B Pierce,37,1,364
0,0,0,J Jackson,1,0,0
36,0,34,A Calvillo,49,3,369
21,2,29,K Joseph,40,1,259
29,0,0,K Glenn,21,2,256
30,0,0,M Bishop,24,3,370
19,3,0,K Joseph,37,0,239
9,0,0,C Pickett,13,0,100
15,2,0,K Glenn,26,4,319
2,0,0,R Dinwiddie,4,0,22
23,0,0,H Burris,38,5,389
22,3,0,A Calvillo,40,2,309
23,4,0,R Ray,35,1,355
14,4,0,C Printers,30,2,213
18,0,0,B Pierce,33,2,336
16,1,0,M Bishop,29,1,298
11,0,0,Q Porter,17,1,183
8,0,0,C Printers,19,1,110
1,0,12,N Setta,1,0,12
28,0,0,K Glenn,37,2,368
0,0,0,F Reid,1,0,0
21,1,35,H Burris,34,2,241
21,1,20,C Pickett,36,0,193
31,0,0,A Calvillo,38,2,414
14,0,0,R Ray,17,0,156
8,0,0,J Maas,12,0,110
18,1,73,K Glenn,20,2,268
36,1,44,R Ray,43,2,434
41,0,0,C Pickett,25,0,222
32,0,0,H Burris,18,1,256
29,0,79,B Pierce,19,3,290
7,0,14,J Jackson,5,1,51
1,5,1,Z Champion,1,1,0
25,2,28,Q Porter,14,1,144
1,0,21,N Setta,1,0,21
27,1,0,A Calvillo,39,3,287
23,2,0,M Bishop,42,0,364
13,2,0,K Joseph,27,0,228
15,0,0,B Pierce,22,2,169
3,0,0,J Jackson,8,0,45
20,0,0,M Bishop,27,1,242
2,0,0,D Durant,4,0,43
29,1,0,H Burris,45,2,311
27,0,0,Q Porter,32,5,429
44,1,0,A Calvillo,53,4,468
38,0,0,R Ray,28,2,320
37,2,0,K Glenn,23,1,390
14,2,0,K Glenn,31,2,153
26,0,0,K Joseph,37,0,319
11,0,0,J Jackson,22,1,126
10,1,0,B Pierce,18,0,90
23,1,0,R Ray,35,0,311
33,1,25,A Calvillo,41,3,371
1,0,1,A McPherson,1,1,1
17,2,23,Q Porter,25,0,167
14,0,85,H Burris,28,3,304
1,0,0,J Copeland,1,0,16
17,3,57,M Bishop,33,0,298
4,0,34,D Durant,6,0,68
33,0,0,R Ray,24,3,367
40,0,0,B Pierce,25,3,378
22,0,0,K Joseph,35,3,400
0,0,0,R McNeal,1,0,0
32,1,0,A Calvillo,45,4,336
28,0,0,H Burris,36,5,337
2,0,0,B Nealy,3,0,3
5,1,0,R Dinwiddie,12,1,61
6,0,0,K Glenn,13,0,33
2,1,0,B Randall,5,0,29
12,1,0,S Jyles,14,1,149
7,3,0,D Durant,16,1,92
26,0,0,Q Porter,40,2,300
18,0,0,Q Porter,26,1,212
5,0,0,A Tafralis,10,1,71
17,2,0,H Burris,26,2,226
10,0,2,M Bishop,9,2,148
13,2,0,S Jyles,7,1,99
18,2,0,R Ray,10,0,99
16,0,0,J Maas,6,0,57
16,0,0,J Jackson,11,3,156
15,0,0,B Pierce,8,0,101
1,0,0,Z Champion,0,0,0
29,1,0,K Joseph,17,3,276
15,1,0,C Pickett,9,1,96
19,1,0,A Calvillo,36,1,191
1,0,0,K Carter,1,0,0
10,0,0,R Dinwiddie,18,1,122
13,1,0,K Glenn,18,1,121
1,0,0,B Randall,5,0,9
25,0,0,K Joseph,38,5,307
0,0,0,R McNeal,1,0,0
18,4,0,M Bishop,32,0,292
0,0,0,S Jyles,1,0,0
23,0,0,R Ray,25,2,302
12,1,0,J Maas,16,0,173
19,0,0,M Brady,24,2,199
11,0,0,K Glenn,14,2,166
