longest punt return, name, punt return yards, punt returns
14,Terry Richardson,38,3
15,Trumaine Riley,34,4
20,Quinton Jones,63,4
7,Drisan James,7,1
0,Jeremy Childs,0,1
17,Naaman Roosevelt,27,2
0,Chris Page,0,1
0,Tim Brown,-4,1
8,Damien Linson,15,2
2,DeJuan Tribble,1,2
35,Larry Taylor,49,2
39,Ryan Baum,39,1
11,Dominic Jones,11,1
15,Darrell McNeal,16,3
19,Kevin Payne,9,1
8,Erryn Cobb,23,1
3,Marquice Cole,5,2
4,Omarr Conner,5,2
8,Kenny McKinley,16,3
5,Bradley Robinson,6,3
0,Chandler Williams,2,2
0,John Houston Widdon,-7,1
14,Chris Williams,14,1
51,Sammie Stroughter,83,2
6,Taylor Kavanaugh,6,1
2,Justin Amaral,2,1
24,Idris Moss,58,5
8,Joe Fernandez,11,2
1,Joe Garcia,1,1
18,Kevin Jones,25,3
0,Daylan Walker,-5,1
10,Jeremy Trimble,39,6
2,CJ Hawthorne,2,1
19,Nathan Meikle,58,4
8,Robert Dunn,16,4
8,Michael Bumpus,8,1
0,Zach Charles,0,1
33,Ben Strickland,33,1
10,Zach Hampton,17,2
0,Jonathan Casillas,12,1
9,Joe Burnett,12,2
12,Haruki Nakamura,6,2
2,Derrick Stewart,2,1
92,Jacoby Ford,94,2
16,CJ Spiller,23,2
0,Stephone Robinson,-4,1
12,Johnny Walker,42,5
4,Chris Davis,8,3
21,Reggie Nelson,39,4
67,Mikey Henderson,133,2
15,Asher Allen,28,2
17,Ramarcus Brown,17,1
14,Pat Clark,24,3
17,Tom Zbikowski,30,4
20,EB Halsey,30,2
86,Tracey Porter,86,1
3,Lance Bennett,2,2
15,Andy Brodell,33,4
25,Dominique Douglas,25,1
70,Brian Murph,70,1
0,Dexton Fields,3,1
0,Justin Thornton,0,1
81,Yamon Figurs,89,2
14,Chevis Jackson,15,2
8,Daniel Francis,8,1
6,Trindon Holliday,6,1
10,Danny Oquendo,17,3
0,Josh Wilson,12,1
8,Isaiah Gardner,8,1
10,Terry Love,10,1
1,Reggie Jones,1,2
9,Steve Breaston,7,3
5,Earl Bennett,5,1
9,Sean Weatherspoon,9,1
3,Marcus Woods,3,1
15,Jason Tomlinson,15,1
6,Aundrae Allison,6,1
2,Darrell Blackman,2,1
0,JC Neal,2,1
12,Terrence Nunn,10,3
0,Stewart Bradley,-1,1
13,Frederick Franklin,16,2
13,Paul Baker,22,6
1,Ian Clark,1,0
22,Ted Ginn Jr,44,2
11,Anthony Gonzalez,11,1
32,Chris Garrett,32,1
18,Taylor Price,26,5
0,Josh Abrams,12,1
27,Reggie Smith,67,6
0,Kevin Sanders,0,1
41,Tommy Devereaux,75,2
41,Perrish Cox,72,3
11,Chris Collins,11,1
7,September,2006,2
20,Jeremiah Johnson,36,3
6,Darrelle Revis,11,2
10,Emmanuel Byers,13,2
28,Derrick Williams,44,3
1,Andre Jones,1,1
2,Royce Adams,2,1
12,Brandon King,41,4
18,Vincent Marshall,25,3
32,Ean Randolph,34,3
13,Trae Williams,13,1
7,Austin Rogers,13,2
10,DeSean Jackson,16,3
31,Aaron Ross,53,4
9,Quan Cosby,9,1
9,Brandon Jackson,9,1
37,Leodis McKelvin,86,6
8,Justin Bray,8,1
0,Kerry Franks,20,1
12,Chad Schroeder,13,4
19,Danny Amendola,33,6
54,Blake Warren,58,3
6,Chris Marky,9,2
0,Eric Weddle,-2,1
12,Ryan Worthen,12,0
6,John Guice,10,2
8,Ronnie Smith,8,1
20,Eddie Royal,24,3
12,Cary Wade,12,1
35,Willie Idlette,53,3
13,Marlon Wood,26,4
0,Dwight Lowery,0,1
5,Vaughn Rivers,5,1
0,Chubb Small,0,1
0,Emmanuel Spann,0,1
14,Hoost Marsh,36,5
15,Troy Lewis,15,1
0,Weston Johnson,0,1
0,Kevin Robinson,-2,1
5,Carl Sims,5,1
3,Brandon Whitaker,3,1
36,Marcus Brock,33,2
2,Brian Bonner,2,1
18,Patrick Carter,35,4
37,Marshay Green,37,1
9,Brandon McDonald,9,1
15,Bruce Johnson,15,1
19,Chris Davis,43,5
12,Quinton Jones,17,2
64,Sammie Stroughter,74,3
15,Derrick Stewart,53,4
20,Lowell Robinson,20,1
6,Darrelle Revis,16,5
20,Kevin Jones,20,1
49,Perrish Cox,66,3
0,Simeon Castille,-2,1
4,Earl Bennett,-3,2
27,Peyton Hillis,58,4
0,Kevin Robinson,-1,1
11,Eugene Jarvis,11,3
