assists, faceoffs lost, faceoffs won, goals, minutes, minutes even, minutes power play, minutes short handed, name, number, penalty minutes, plus minus, points, position, power play goals, shifts, short handed goals, shots on goal
0,,,1,14,13,0,1,Adam Larsson,6,0,-2,1,D,0,19,0,2
0,6,5,0,13,11,0,1,Kyle Turris,8,0,-1,0,C,0,19,0,1
0,,,0,13,11,1,0,Jesse Puljujarvi,13,2,-1,0,RW,0,17,0,1
0,,,0,11,10,0,0,Josh Archibald,15,0,-1,0,RW,0,17,0,0
0,3,3,0,7,6,0,1,Jujhar Khaira,16,0,-1,0,LW,0,10,0,1
0,,,0,15,14,0,1,Slater Koekkoek,20,0,-1,0,D,0,18,0,1
1,2,,0,14,14,0,0,Dominik Kahun,21,0,1,1,C,0,20,0,4
0,,,0,21,13,6,1,Tyson Barrie,22,0,-1,0,D,0,21,0,1
0,,,1,25,20,1,2,Darnell Nurse,25,0,1,1,D,0,27,0,4
1,6,9,0,20,12,7,0,Leon Draisaitl,29,0,1,1,C,0,21,0,1
0,,,0,13,6,6,0,Alex Chiasson,39,0,-1,0,RW,0,14,0,1
1,,,0,16,15,0,0,Zack Kassian,44,0,-1,1,RW,0,20,0,1
0,,,1,15,14,0,1,Kailer Yamamoto,56,2,1,1,RW,0,20,0,4
0,,,0,8,7,0,0,Tyler Ennis,63,0,-1,0,RW,0,12,0,0
1,,,0,23,20,0,1,Ethan Bear,74,0,1,1,D,0,26,0,1
1,,,0,13,13,0,0,Caleb Jones,82,0,-2,1,D,0,19,0,1
0,,,0,23,15,6,1,Ryan Nugent Hopkins,93,0,-1,0,C,0,23,0,2
0,10,12,0,26,17,7,1,Connor McDavid,97,0,-1,0,C,0,25,0,5
0,,,0,58,47,7,3,Mikko Koskinen,19,0,,0,G,0,,0,0
0,,1,2,17,14,2,0,Brock Boeser,6,0,2,2,RW,0,25,0,4
0,,,0,15,15,0,0,Jake Virtanen,18,2,1,0,RW,0,24,0,1
0,,1,0,16,10,1,4,Brandon Sutter,20,0,-1,0,C,0,25,0,3
0,,,0,25,19,1,4,Alexander Edler,23,2,0,0,D,0,34,0,2
1,1,,0,10,7,0,3,Antoine Roussel,26,0,0,1,LW,0,17,0,1
1,,,0,19,17,0,2,Travis Hamonic,27,4,2,1,D,0,25,0,3
0,,,1,16,14,1,0,Nils Hoglander,36,0,2,1,LW,0,23,0,3
1,5,4,0,17,15,2,0,Elias Pettersson,40,0,2,1,C,0,24,0,2
2,,,0,20,18,2,0,Quinn Hughes,43,0,2,2,D,0,25,0,3
0,,,0,10,9,0,0,Olli Juolevi,48,0,0,0,D,0,20,0,0
1,9,9,1,15,13,2,0,Bo Horvat,53,0,1,2,C,0,22,0,4
0,,,0,17,12,1,3,Tyler Myers,57,0,-1,0,D,0,24,0,0
0,,,0,16,11,1,3,Tyler Motte,64,0,0,0,C,0,28,0,2
2,,,0,16,14,1,0,Tanner Pearson,70,0,1,2,LW,0,24,0,3
0,,,0,7,7,0,0,Zack MacEwen,71,0,0,0,C,0,14,0,1
0,9,9,0,15,11,0,4,Jay Beagle,83,0,-1,0,C,0,27,0,1
0,,,0,24,18,1,4,Nate Schmidt,88,0,0,0,D,0,29,0,1
0,5,3,1,8,7,0,0,Adam Gaudette,96,0,0,1,C,0,15,0,1
0,,,0,59,47,3,8,Braden Holtby,49,0,,0,G,0,,0,0
0,,,0,22,19,2,0,Devon Toews,7,0,0,0,D,0,25,0,0
0,,,0,24,21,2,0,Cale Makar,8,0,0,0,D,0,27,0,2
0,,,0,14,12,0,2,Matt Calvert,11,0,-1,0,LW,0,18,0,0
0,,,0,8,7,0,0,Valeri Nichushkin,13,0,0,0,RW,0,15,0,0
0,1,1,0,14,12,0,0,Tyson Jost,17,0,0,0,C,0,19,0,0
0,,,0,13,12,1,0,Brandon Saad,20,0,-4,0,LW,0,21,0,0
0,,,0,15,14,0,0,Conor Timmins,22,0,-3,0,D,0,21,0,1
0,,,0,18,16,0,2,Ryan Graves,27,0,-2,0,D,0,25,0,2
0,,,0,14,12,0,2,Ian Cole,28,0,-1,0,D,0,21,0,0
0,5,6,0,19,16,3,0,Nathan MacKinnon,29,0,0,0,C,0,23,0,4
1,6,2,0,14,11,1,0,JT Compher,37,0,0,1,LW,0,20,0,2
0,3,7,0,12,12,0,0,Pierre Bellemare,41,0,0,0,LW,0,17,0,0
1,,,0,21,19,2,0,Samuel Girard,49,0,-2,1,D,0,25,0,3
0,,,0,12,11,0,1,Joonas Donskoi,72,0,0,0,RW,0,17,0,1
0,6,9,0,16,13,3,0,Nazem Kadri,91,2,-3,0,C,0,22,0,1
