longest punt, name, punt yards, punts
50,J Linehan,213,5
70,H Cowden,335,7
56,R Stonehouse,102,2
48,N Porebski,108,3
41,L Laurent,167,5
37,S Gaudion,104,3
62,J Fox,337,7
59,J Bailey,59,1
68,M Carrizosa,489,11
55,J Hernandez,452,11
42,B Johnson,76,2
54,C Faddoul,312,8
51,M Sleep Dalton,226,6
16,M Wilkins,16,1
47,P Theisler,221,6
46,M Loudermilk,120,3
67,S Wilson,296,7
64,J Smith,253,6
50,D Stuart,288,7
65,J Sheldon,377,9
56,S Denton,268,7
44,B Graham,243,6
75,W McGrail,277,6
48,O Holdensen,83,2
26,B Wright,26,1
54,A Rowley,189,5
51,C Coffey,288,6
47,B Cuzzupoli,423,11
49,H Whitehead,369,9
62,D Chrisman,272,6
53,N Jacobs,92,2
49,S Smith,80,2
32,R Ferguson,32,1
46,H Heim,223,6
55,R Santoso,268,6
48,K Deween,349,8
43,Z Sinor,80,2
60,T Bennett,312,7
39,B Flint,55,2
51,H Stephenson,356,9
52,M Wishnowsky,52,1
49,A Dussold,246,6
35,D Maggio,35,1
53,B Norton,285,7
37,A Mevis,148,5
48,A Kinney,205,5
59,R Stonehouse,214,5
42,I Oraha,175,5
32,B Roback,32,1
74,A Hart,349,8
53,R Rickel,216,5
41,O White,102,3
51,M Ference,327,8
53,M Knoll,348,9
60,R Anderson,222,5
45,J Whitford,177,5
44,S Hofrichter,119,3
41,B Desautels,425,12
54,A Lotti,129,3
55,A Dalton,218,5
36,K Myers,36,1
53,C Scott,83,2
55,B Hogan,459,10
48,J Glatting,205,5
50,L Aguilar,151,4
42,I Shannon,42,1
61,M Flynn,428,11
45,D Galitz,163,4
46,T Turner,75,2
46,T Kennedy,46,1
59,Q Skillin,119,3
24,J Velazquez,24,1
60,T Sumpter,347,7
46,J Linehan,294,7
42,J Growden,42,1
49,C King,49,1
49,W Spiers,49,1
66,D Adams,511,11
47,E Rabon,276,7
58,L Laurent,275,6
51,A Parker,125,3
50,N Tilque,350,9
58,A Barnes,197,4
46,J McBride,172,4
40,L Tyler,189,6
53,J Scott,211,6
66,B Cusick,158,3
75,J Zema,404,8
53,C Nizialek,219,5
43,X Subotsch,301,8
39,R Critcher,39,1
45,S Gaudion,160,4
54,I Berryman,188,4
54,B Hayes,184,4
37,C McLaughlin,37,1
49,N Snyder,161,4
42,C Rastetter,153,4
42,T Zaleski,203,7
55,C Downing,227,5
56,S Kuhter,225,5
53,C Moos,250,6
48,E Scales,315,8
49,M Cummins,103,3
47,S Geraci,271,7
52,I Wall,250,6
47,B Farlow,180,4
48,E Piccione,329,8
57,J Hartbarger,294,6
64,J Davidson,369,8
51,Z Feagles,98,2
61,J Francis,199,5
35,W Hart,70,2
59,J Townsend,328,6
47,W Gleeson,47,1
54,C Waitman,232,5
55,C Fatony,100,2
70,B Withow,310,7
57,K Vedvik,196,4
42,K Kramer,157,4
59,L Cooke,177,4
28,K Schexnayder,28,1
54,K Reighard,537,12
52,M Bonadies,243,6
42,B Stockstill,42,1
52,S Loy,293,7
44,T Sheldon,166,4
57,D Klumph,185,4
36,S Coutts,36,1
69,A Cole III,196,4
64,J Charlton,280,6
54,C Lightbourn,212,5
55,C Grace,198,5
37,C Bojorquez,37,1
69,S Laryea,274,6
54,H Niswander,143,3
42,Q Conaway,114,3
44,T Gangi,61,2
54,T Newsome,104,2
46,A Starzyk,226,6
39,A Kenworthy,109,3
45,T Slaydon,263,7
35,E Martinez,67,2
52,M Farkas,120,3
61,A Brown,400,12
32,A Seibert,32,1
52,A Luna,352,8
65,B Cate,254,5
52,N Sussman,328,8
43,A Stack,80,2
46,B Maimone,46,1
58,R Miller,281,7
53,N Porebski,200,5
48,H Cowden,94,2
47,R Winslow,81,2
57,M Schuler,117,3
56,B Gillikin,100,2
47,N Gasser,435,11
56,J Schopper,243,5
47,M King,159,4
38,B Heicklen,111,3
57,M Blair,210,5
63,J Hernandez,280,6
55,M Nolan,375,9
48,M Carrizosa,208,5
63,C Sublette,346,8
