average punt return, average punt return yards, longest punt return, name, punt return touchdowns, punt returns
,0.000,0,Mecole Hardman,0,0
,19.000,19,DeAndre Carter,0,1
,14.500,22,Alex Erickson,0,2
,3.500,7,Desmond King,0,2
,13.600,23,Andre Roberts,0,5
,0.000,0,Braxton Berrios,0,0
,8.000,8,Brandon Powell,0,1
,15.000,15,Davids Moore,0,1
,10.500,12,Trent Taylor,0,2
,8.000,8,Dante Pettis,0,1
,4.000,8,Christian Kirk,0,2
,0.000,0,Isaiah Rodgers,0,0
,16.000,16,Jamal Agnew,0,1
,0.000,0,Tarik Cohen,0,1
,14.500,19,Pharoh Cooper,0,2
,18.500,27,Hunter Renfrow,0,2
,0.000,0,Damiere Byrd,0,1
,-3.000,-3,Jakeem Grant,0,1
,0.000,0,Cooper Kupp,0,0
,20.000,20,Cee Dee Lamb,0,1
,0.000,0,Ced Wilson,0,0
,13.000,17,James Proche,0,2
,1.000,1,Jo Jo Natson,0,1
,3.400,11,Steven Sims,0,5
,3.000,6,Jalen Reagor,0,2
,8.000,8,Greg Ward,0,1
,14.800,18,Deonte Harris,0,4
,0.000,0,Jaydon Mickens,0,1
,0.000,0,Tyler Ervin,0,1
,8.000,9,Diontae Spencer,0,2
,6.300,11,Kalif Raymond,0,3
,13.000,20,Jabrill Peppers,0,3
,4.300,12,Diontae Johnson,0,3
,13.000,13,Jo Jo Natson,0,1
,0.000,0,Alex Erickson,0,0
,11.000,11,Jabrill Peppers,0,1
,0.000,0,Jaydon Mickens,0,1
,-0.500,0,Pharoh Cooper,0,2
,4.000,4,Christian Kirk,0,1
,1.000,1,Andy Isabella,0,1
,8.000,12,Steven Sims,0,2
,1.000,1,Greg Stroman,0,1
,3.000,3,Desmond King,0,1
,16.000,16,Mecole Hardman,0,1
,10.000,16,Nyheim Hines,0,4
,3.000,3,Cee Dee Lamb,0,1
,0.000,0,Ced Wilson,0,0
,0.000,0,Brandon Powell,0,0
,5.500,10,Jakeem Grant,0,2
,9.000,11,Andre Roberts,0,2
,8.000,8,Cooper Kupp,0,1
,0.000,0,Chris Hogan,0,0
,0.000,0,Braxton Berrios,0,0
,0.000,0,Trent Taylor,0,0
,0.000,0,Dante Pettis,0,0
,0.000,0,Tyler Ervin,0,1
,6.000,6,Jonah Jackson,0,1
,20.000,20,Davids Moore,0,1
,0.000,0,Damiere Byrd,0,1
,12.500,18,Diontae Johnson,0,2
,7.500,9,Diontae Spencer,0,2
,10.000,10,DeAndre Carter,0,1
,8.000,8,James Proche,0,1
,0.000,0,Kalif Raymond,0,1
,0.000,0,Chris Claybrooks,0,1
,5.000,5,Hunter Renfrow,0,1
,0.000,0,Deonte Harris,0,0
,8.000,8,Dede Westbrook,0,1
,0.000,0,Keelan Cole,0,0
,14.000,15,Jakeem Grant,0,2
,0.000,0,Cooper Kupp,0,0
,0.000,0,Diontae Spencer,0,0
,7.000,13,Jaydon Mickens,0,3
,11.000,11,Jo Jo Natson,0,1
,7.700,19,Steven Sims,0,3
,0.000,0,Danny Johnson,0,1
,0.000,0,Andy Isabella,0,0
,19.000,19,Jamal Agnew,0,1
,5.000,10,KJ Hill,0,2
,8.000,8,Pharoh Cooper,0,1
,12.000,12,Nyheim Hines,0,1
,12.000,12,Isaiah Rodgers,0,1
,0.000,0,Chris Hogan,0,0
,1.000,1,Greg Ward,0,2
,0.000,0,DeSean Jackson,0,0
,9.300,19,Alex Erickson,0,4
,10.700,14,Brandon Powell,0,3
,6.000,6,Anthony Miller,0,1
,0.000,0,Tarik Cohen,0,0
,11.000,11,JJ Taylor,0,1
,0.000,0,Damiere Byrd,0,0
,0.000,0,Hunter Renfrow,0,0
,14.000,14,Deonte Harris,0,1
,0.000,0,Tyler Ervin,0,0
,0.000,0,Davids Moore,0,1
,10.700,19,Cee Dee Lamb,0,3
