average punt yards, longest punt, name, punts, punts inside the twenty
52.200,65,Cameron Johnston,6,1
47.700,57,Matt Bosher,6,1
44.500,53,Marquette King,6,3
59,69,Michael Dickson,6,4
43.500,57,Britton Colquitt,12,6
39.300,53,Jordan Berry,7,3
52.600,60,Andy Lee,5,3
46.500,59,Tress Way,4,2
24,24,Caleb Sturgis,1,1
60,63,Drew Kaser,2,0
51.200,67,Dustin Colquitt,5,3
47.500,49,Rigoberto Sanchez,2,0
48,50,Kevin Huber,2,0
53.800,65,Matt Haack,4,0
44.800,55,Brett Kern,4,4
49.400,59,Riley Dixon,5,0
37.700,47,Logan Cooke,7,4
48,58,JK Scott,4,1
50.300,63,Pat O Donnell,4,1
47.800,52,Michael Palardy,6,3
48.800,56,Chris Jones,6,2
46.800,55,Ryan Allen,6,2
38.300,48,Trevor Daniel,6,3
51.400,63,Sam Koch,5,3
49.600,58,Corey Bojorquez,8,3
52,58,Thomas Morstead,3,0
42,42,Bryan Anger,1,0
38.300,56,Matt Wile,6,4
43.500,48,Bradley Pinion,4,1
50.700,55,Sam Martin,3,0
37.300,40,Lachlan Edwards,3,2
44.500,55,Johnny Townsend,4,1
58.500,62,Johnny Hekker,2,2
40.200,55,Kevin Huber,6,4
56.300,60,Sam Koch,3,0
44.600,54,Corey Bojorquez,5,2
46.600,66,Drew Kaser,5,2
51,66,Marquette King,4,0
47.300,56,Johnny Townsend,4,1
43.300,53,Bryan Anger,6,2
56,65,Cameron Johnston,5,3
43.300,48,Chris Jones,4,0
43.300,55,Riley Dixon,6,3
44.800,54,Matt Bosher,4,2
47.800,53,Michael Palardy,4,2
45.400,59,Bradley Pinion,5,3
42.200,44,Sam Martin,5,3
35.300,39,Logan Cooke,3,2
55.500,59,Ryan Allen,4,1
52.600,60,Lachlan Edwards,5,2
49.200,63,Matt Haack,6,5
51.800,63,JK Scott,5,2
51,58,Matt Wile,4,2
51,60,Johnny Hekker,2,1
50.400,58,Andy Lee,8,1
36.400,53,Tress Way,5,3
47,59,Rigoberto Sanchez,5,1
44.800,56,Thomas Morstead,4,2
39.300,46,Britton Colquitt,3,1
45.200,59,Jordan Berry,5,1
50,55,Dustin Colquitt,2,1
52.200,62,Brett Kern,5,1
41,53,Trevor Daniel,4,2
41.200,52,Pat O Donnell,5,3
45.100,55,Michael Dickson,7,1
34.100,55,Britton Colquitt,8,5
49.100,62,Lachlan Edwards,7,3
50.800,61,Andy Lee,4,1
52.700,61,Pat O Donnell,3,1
43.500,48,Dustin Colquitt,2,1
37,43,Bradley Pinion,4,1
47,63,Matt Haack,6,3
37.300,54,Johnny Townsend,3,1
42.700,52,Cameron Johnston,3,0
44.400,53,Rigoberto Sanchez,5,2
43.200,48,Matt Bosher,5,1
50.500,57,Thomas Morstead,4,2
45.500,52,Logan Cooke,6,2
46.700,54,Brett Kern,6,3
45,50,Sam Martin,2,1
43.400,51,Ryan Allen,5,1
41.300,59,Michael Palardy,4,3
44,48,Kevin Huber,3,2
49,49,Johnny Hekker,1,0
51,52,Drew Kaser,2,0
49.300,57,Sam Koch,4,2
41,55,Marquette King,7,3
47,57,Tress Way,5,1
46.400,58,JK Scott,5,2
43.800,61,Michael Dickson,8,2
48,50,Chris Jones,5,1
51.700,57,Trevor Daniel,3,1
49.500,53,Riley Dixon,4,0
51.800,70,Matt Wile,5,1
43.200,59,Corey Bojorquez,6,5
42,64,Bryan Anger,3,1
45.600,56,Jordan Berry,5,2
35.500,39,Johnny Hekker,2,0
39.800,48,Matt Wile,4,1
48,51,Pat O Donnell,2,0
42.800,51,Bryan Anger,5,1
50.600,56,Andy Lee,5,1
47.500,56,Michael Dickson,4,2
43.500,55,Drew Kaser,4,3
47,55,Bradley Pinion,5,0
44,57,Rigoberto Sanchez,5,2
41.400,51,Trevor Daniel,5,4
39,42,Chris Jones,2,1
42.800,52,Sam Martin,4,2
41,41,Matt Bosher,1,0
31,31,Kevin Huber,1,1
51,60,Riley Dixon,4,0
47.500,51,Thomas Morstead,2,0
46.300,54,Logan Cooke,4,3
49.300,61,Lachlan Edwards,7,1
42.800,51,JK Scott,4,2
43.500,50,Corey Bojorquez,8,4
40,44,Ryan Allen,2,0
41.900,52,Matt Haack,7,0
44.500,50,Johnny Townsend,6,1
50,59,Britton Colquitt,7,2
41.200,47,Jordan Berry,5,1
43.800,51,Sam Koch,4,2
50.800,58,Brett Kern,5,2
51.300,68,Cameron Johnston,6,2
41,51,Marquette King,3,1
42,44,Dustin Colquitt,4,0
48.300,59,Ryan Allen,4,1
47.300,51,Rigoberto Sanchez,3,1
43.300,50,Kevin Huber,4,1
41.800,58,Matt Haack,5,4
43.800,48,Corey Bojorquez,4,1
53,61,Brett Kern,2,1
50.200,64,Britton Colquitt,9,3
45.800,56,Sam Koch,8,6
43,59,Donnie Jones,3,3
49.300,51,Johnny Townsend,4,0
58,63,Dustin Colquitt,2,1
36,43,Logan Cooke,3,2
46.800,57,Cameron Johnston,4,2
39,43,Matt Wile,2,0
44.300,50,Bradley Pinion,4,1
39.600,52,Andy Lee,8,5
44.700,46,Lachlan Edwards,3,2
41.100,57,Colby Wadman,8,3
45.600,53,Sam Martin,5,4
51,55,Michael Palardy,3,2
49.500,51,Riley Dixon,2,1
34.500,55,Michael Dickson,4,1
38,38,Johnny Hekker,1,1
47.700,55,Jordan Berry,3,2
39,42,Matt Bosher,3,2
53.300,61,Trevor Daniel,3,1
44,55,Chris Jones,5,2
36.700,37,Tress Way,3,1
50.600,52,Riley Dixon,5,2
48,53,Cameron Johnston,5,2
45,63,Kevin Huber,6,4
43,69,Jordan Berry,4,3
42.300,48,Colby Wadman,4,2
40,52,Johnny Hekker,3,3
40.300,54,Britton Colquitt,6,5
41.600,47,Donnie Jones,5,0
41,49,Chris Jones,3,1
41.300,61,Logan Cooke,6,2
40.500,47,Matt Haack,4,2
39.500,42,Pat O Donnell,2,1
45,54,Matt Bosher,4,1
40.500,44,Bryan Anger,2,1
43,43,Lachlan Edwards,1,0
46.500,48,Rigoberto Sanchez,2,0
51,51,Dustin Colquitt,1,0
30.700,37,Johnny Townsend,3,0
43,50,Michael Dickson,2,2
41,51,Tress Way,4,2
44.300,53,Michael Palardy,3,0
40.600,53,Trevor Daniel,5,2
48.600,60,Corey Bojorquez,5,2
41.700,52,Brett Kern,9,3
43.800,48,Sam Koch,4,2
45,51,Matt Wile,5,2
48,61,Andy Lee,6,1
38.800,41,JK Scott,4,1
42,47,Bradley Pinion,3,0
50.700,56,Andy Lee,6,1
43.500,48,Colby Wadman,6,2
43.300,53,Pat O Donnell,4,1
42.800,53,Ryan Allen,4,0
46.800,55,Bryan Anger,4,1
51.700,79,Britton Colquitt,9,3
38.300,43,Donnie Jones,3,3
51.500,54,Brett Kern,2,0
51.600,60,Kevin Huber,5,2
47,61,Rigoberto Sanchez,4,2
46.300,51,Corey Bojorquez,4,3
45.500,51,Matt Haack,4,2
61,61,Sam Martin,1,0
45,53,Cameron Johnston,3,1
41.800,54,Michael Palardy,5,3
40,54,Bradley Pinion,4,2
30.500,50,Johnny Hekker,4,1
45.700,55,Logan Cooke,6,2
46.200,61,Trevor Daniel,6,4
47.100,60,Lachlan Edwards,8,1
47.800,66,Matt Wile,8,4
45.700,53,Sam Koch,3,2
44,52,Thomas Morstead,2,0
37.800,41,Tress Way,6,5
41.600,53,Chris Jones,5,0
44.300,49,Matt Bosher,3,2
40.800,52,Riley Dixon,4,2
42.200,53,Trevor Daniel,5,1
47,60,Matt Haack,4,3
45,55,Pat O Donnell,5,2
42.100,55,Lachlan Edwards,8,1
43.800,54,Kevin Huber,6,3
49.700,61,Bryan Anger,3,0
45.800,55,Andy Lee,5,1
40.700,48,Bradley Pinion,7,4
39.200,55,Dustin Colquitt,5,3
43.800,59,Colby Wadman,4,1
44,53,Riley Dixon,5,3
49.200,58,Tress Way,5,3
48,53,Logan Cooke,2,1
51.700,60,Cameron Johnston,3,0
45.300,54,Sam Martin,4,1
49.500,60,Michael Dickson,4,2
45.700,51,Michael Palardy,3,2
51,57,Sam Koch,3,1
40,55,Johnny Townsend,2,0
46,46,Rigoberto Sanchez,1,0
45.100,52,Johnny Hekker,7,3
42.800,55,JK Scott,5,0
44,48,Jordan Berry,4,2
47,54,Britton Colquitt,5,0
40.500,41,Matt Wile,2,1
43,56,Thomas Morstead,2,1
39.600,53,Corey Bojorquez,5,2
37,55,Ryan Allen,4,0
54.700,64,Bradley Pinion,3,1
37.500,48,Johnny Townsend,6,2
37.600,47,Colton Schmidt,5,1
40,61,Pat O Donnell,5,4
47.200,59,Colby Wadman,5,1
51.200,61,Trevor Daniel,6,4
39,39,Britton Colquitt,1,1
31.500,42,Dustin Colquitt,2,2
44.700,58,Matt Haack,9,7
46.200,60,Lachlan Edwards,6,1
50,59,Michael Palardy,4,1
46.200,52,Bryan Anger,5,2
49.700,53,Ryan Allen,3,2
42,53,JK Scott,5,1
47.300,52,Sam Koch,4,1
27,27,Ben Roethlisberger,1,0
41,45,Jordan Berry,3,1
49,62,Tress Way,5,4
51.500,55,Matt Bosher,2,1
33.500,39,Thomas Morstead,2,2
47,47,Johnny Hekker,1,0
52.800,61,Michael Dickson,6,4
43,53,Donnie Jones,6,2
40.800,45,Matt Wile,4,3
44.400,52,Sam Martin,5,1
44.700,47,Chris Jones,3,0
45,45,Brett Kern,1,1
40,52,Jordan Berry,2,1
41,46,Michael Palardy,5,2
48,59,Pat O Donnell,3,1
39,54,Sam Martin,4,1
39.300,42,Kevin Huber,4,1
46.800,57,Britton Colquitt,4,3
39.300,44,Matt Bosher,3,2
44,44,Bryan Anger,1,0
49.400,58,Tress Way,5,4
46.600,52,Dustin Colquitt,5,3
49.400,55,Andy Lee,5,1
46,52,Rigoberto Sanchez,3,1
46,51,Logan Cooke,3,2
44,49,Cameron Johnston,2,2
40.800,46,Chris Jones,4,0
44.600,60,Lachlan Edwards,7,1
43.500,53,Colton Schmidt,4,1
37,37,JK Scott,1,1
38.500,39,Matt Haack,2,0
54,57,Johnny Townsend,3,1
42.800,47,Donnie Jones,4,1
44.500,55,Johnny Hekker,2,1
55,68,Michael Dickson,3,1
48.200,55,Brett Kern,5,2
49.700,66,Ryan Allen,6,2
44.300,47,Bradley Pinion,3,1
47.600,59,Riley Dixon,5,3
52,59,Michael Dickson,4,0
47.300,67,JK Scott,6,2
35.500,38,Pat O Donnell,2,1
44.500,53,Matt Wile,4,2
52.300,60,Andy Lee,8,2
45.100,60,Johnny Townsend,8,1
39,40,Donnie Jones,2,1
44.800,52,Colby Wadman,5,2
