deflections, interceptions, name, sacks, tackles
0,0,R Williams,1.000,9
1,0,J Johnson,0.000,5
0,0,M Young,0.000,6
0,0,D Webb,0.000,3
0,0,K Eiben,0.000,3
0,0,B Smith,0.000,2
0,0,M Bucknor,0.000,3
0,0,J McElveen,0.000,2
0,0,S Crable,0.000,1
0,0,C Walker,0.000,1
0,0,R Brown,0.000,1
0,0,R Rose,0.000,1
0,0,B Boudreaux,0.000,1
0,0,O Willis,1.000,1
1,0,E Russ,0.000,1
0,0,T George,0.000,1
0,0,N Graham,0.000,4
0,1,T Brackenridge,0.000,4
0,0,B Hawkins,0.000,3
0,0,C McKenzie,0.000,3
0,0,M McCullough,1.000,3
0,0,S Williams,0.000,3
0,0,J Patrick,0.000,2
0,0,K Shologan,0.000,1
0,0,A Kromah,1.000,7
0,0,T Jackson,0.000,6
1,0,K Banks,0.000,1
0,0,K Smith,0.000,1
1,0,A Bighill,0.000,2
1,0,E Taylor,2.000,3
0,1,J Yurichuk,0.000,0
0,0,K Johnson,0.000,1
0,0,M Iannuzzi,0.000,1
0,0,R Henley,0.000,1
0,0,A McKenzie,0.000,4
1,0,B Parker,0.000,4
1,0,K Williams,2.000,3
0,0,L Shell,0.000,3
0,0,D Marsh,0.000,3
0,0,A Reddick,0.000,4
0,0,K Mainor,0.000,1
0,0,B Collier,0.000,1
0,0,B Stewart,0.000,2
0,0,J Johnson,0.000,1
0,0,R Fritz,0.000,1
0,0,H Muamba,0.000,1
0,0,C Denmark,0.000,1
0,0,A Hall,0.000,1
0,0,A Suber,0.000,5
0,0,B Turner,3.000,4
0,0,I Logan,0.000,6
1,1,J Hefney,0.000,5
1,0,J Sears,0.000,2
0,0,D Doe,0.000,2
0,0,P Labbe,0.000,3
0,0,F Kashama,0.000,2
0,0,J Thomas,0.000,1
0,0,N Coehoorn,0.000,1
0,0,J Capicciotti,0.000,1
0,0,A Sewell,2.000,3
0,0,D Alexander,0.000,2
0,0,T Laurent,0.000,2
0,0,L Robinson,0.000,1
1,0,W Brown,0.000,1
0,0,J Burnett,0.000,3
0,0,M Howard,0.000,2
1,0,C Thompson,0.000,2
0,0,D Oramasionwu,1.000,2
0,0,J Sherritt,0.000,11
0,0,T Hill,0.000,7
0,0,D Munoz,0.000,4
1,0,R Williams,0.000,3
0,0,R Foley,0.000,1
0,0,J Barnes,0.000,1
0,0,M Black,0.000,1
0,0,A Armstead,0.000,1
0,0,R Flemons,0.000,1
0,1,J Younger,0.000,1
0,0,B Payton,0.000,1
0,0,J Cohen,0.000,1
0,0,E Kuale,0.000,2
0,0,D Summers,0.000,3
0,0,T Williams,0.000,2
0,0,B Isaac,0.000,2
0,0,R McCune,0.000,7
0,0,P Horne,0.000,3
0,0,M Ball,0.000,6
0,0,P Watkins,0.000,5
0,0,L Talley,0.000,1
0,0,C Randle,0.000,1
1,0,T Davis,0.000,1
0,0,C Hughes,1.000,1
0,0,B Bulcke,0.000,1
0,0,C McCoy,0.000,1
0,1,B Smith,0.000,1
0,0,N Lewis,0.000,2
0,0,C Mace,0.000,2
2,1,Q Butler,0.000,2
0,0,D Morley,0.000,3
1,0,K Raymond,0.000,3
0,0,M Jackson,0.000,3
0,0,J Simpson,0.000,3
0,0,F Bennett,0.000,4
1,0,C Cox,0.000,13
0,0,W Osaisai,0.000,1
0,0,S Flory,0.000,1
0,0,B Whitaker,0.000,1
0,0,J Bekasiak,0.000,1
0,0,B Ridgeway,0.000,2
0,0,J Perrett,0.000,1
0,0,J Brown,0.000,2
0,0,K Ingram,1.000,3
0,0,L Mullinder,0.000,2
0,1,D Anderson,0.000,3
0,0,S Emry,0.000,3
0,1,B Parker,0.000,3
1,0,R Davis,0.000,3
1,0,K Hebert,0.000,5
1,0,S Williams,0.000,5
0,0,V Jenkins,0.000,1
0,0,M Brouillette,0.000,2
0,0,J Brown,0.000,2
0,0,S Williams,0.000,6
0,0,W Osaisai,0.000,5
0,0,S Emry,1.000,3
0,1,R Davis,0.000,3
0,0,K Hebert,0.000,4
0,0,C Cox,0.000,5
0,0,V Jenkins,1.000,1
0,0,S Green,0.000,1
1,0,M Brouillette,0.000,3
0,0,L Mullinder,0.000,2
0,0,M Lockley,1.000,0
0,0,D Washington,0.000,3
0,0,I Logan,0.000,3
0,0,A Suber,0.000,3
0,0,J Johnson,0.000,3
0,0,J Hefney,0.000,2
0,0,J Vega,0.000,2
0,0,D Doe,0.000,3
0,0,B Stewart,0.000,2
0,0,J Elliott,0.000,1
0,0,R Fritz,0.000,1
0,0,F Kashama,0.000,1
0,0,T Parker,0.000,1
0,0,G January,0.000,1
0,0,B Pierce,0.000,1
0,0,A Hall,0.000,1
0,0,P Labbe,0.000,6
0,0,H Muamba,0.000,4
0,0,J Sears,0.000,7
1,0,B Parker,0.000,3
0,0,L Shell,0.000,3
0,0,C Muamba,0.000,2
0,0,K Banks,0.000,3
0,0,R Phillips,0.000,2
0,0,J Yurichuk,0.000,2
0,0,K Smith,2.000,1
0,0,D Marsh,0.000,2
0,1,A Reddick,0.000,1
0,0,A Bighill,1.000,9
