extra points, extra points attemped, field goals, field goals attemped, longest field goal, name
2,2,3,3,48,L Hajrullahu
1,2,1,2,19,B Lauther
4,4,0,1,0,S Whyte
3,3,1,2,52,B Bede
2,2,2,2,59,R Paredes
1,1,3,3,44,L Ward
0,1,3,3,45,S Castillo
4,4,1,1,30,J Medlock
0,0,6,6,45,L Ward
4,3,2,2,57,B Lauther
4,4,3,3,46,S Whyte
1,1,5,5,50,S Castillo
0,0,3,2,43,D Brown
2,2,0,0,0,G Amavizca Ortiz
1,1,3,3,56,L Hajrullahu
0,0,7,7,45,S Whyte
2,2,1,2,34,L Hajrullahu
1,1,1,1,46,B Bede
1,1,1,1,43,R Paredes
2,3,1,1,21,S Castillo
2,2,4,4,45,B Lauther
1,1,0,0,0,D Brown
0,0,3,3,43,B Bede
0,0,5,5,37,L Hajrullahu
1,1,2,2,53,L Ward
4,4,0,2,0,J Medlock
0,0,1,2,31,D Brown
2,2,1,2,14,S Castillo
1,1,1,2,36,G Ferraro
2,2,3,3,50,R Paredes
0,0,2,2,52,S Castillo
2,2,4,4,47,S Whyte
5,5,4,5,52,J Medlock
1,1,2,2,50,L Ward
3,3,3,4,34,B Bede
2,2,0,1,0,L Hajrullahu
2,2,0,2,0,R Paredes
2,2,1,1,50,R Paredes
1,1,1,1,50,T Crapigna
4,4,1,1,33,J Medlock
2,2,2,2,21,B Bede
0,0,3,5,48,S Whyte
4,4,0,0,0,G Ferraro
1,1,4,4,50,S Castillo
1,1,3,3,53,L Ward
0,0,5,6,47,R Paredes
2,2,4,4,47,S Whyte
0,0,3,3,42,L Hajrullahu
1,1,2,2,33,J Medlock
1,1,1,1,0,S Castillo
4,4,3,2,48,G Ferraro
3,3,2,3,42,T Crapigna
3,3,2,2,51,J Medlock
1,1,3,3,40,G Ferraro
1,1,4,4,48,L Hajrullahu
2,2,4,5,45,B Bede
1,1,3,3,46,L Ward
0,0,4,5,47,R Paredes
2,1,1,2,31,S Whyte
2,2,4,4,55,J Medlock
3,3,1,1,47,R Paredes
1,2,1,2,43,B Bede
1,2,1,1,28,G Ferraro
1,1,1,2,44,S Whyte
0,0,2,2,16,L Ward
3,3,3,4,53,J Medlock
1,1,3,3,50,S Castillo
2,2,4,4,42,T Crapigna
5,5,2,2,15,S Whyte
0,0,2,3,40,L Ward
2,2,2,3,21,L Hajrullahu
3,3,2,2,27,R Paredes
0,0,4,4,29,B Bede
1,1,7,7,48,S Whyte
3,3,4,4,51,J Medlock
4,4,3,4,49,B Lauther
0,1,4,4,44,L Ward
1,1,1,2,45,S Castillo
1,1,2,3,52,L Hajrullahu
1,2,3,3,46,T Crapigna
3,4,0,0,0,B Bede
1,1,3,3,40,B Lauther
2,2,1,1,30,J Medlock
3,3,3,3,50,L Hajrullahu
2,2,4,4,40,T Crapigna
0,0,3,3,39,R Paredes
0,0,3,3,44,S Whyte
3,3,1,0,0,B Bede
1,1,3,3,47,S Castillo
1,2,3,4,45,L Ward
5,6,1,2,47,T Crapigna
4,4,0,0,0,J Medlock
0,0,1,1,15,B Lauther
0,0,1,1,10,S Whyte
3,3,4,4,46,R Paredes
4,4,0,0,0,S Castillo
0,0,1,1,32,L Ward
1,1,4,5,49,R Paredes
0,0,3,5,45,L Hajrullahu
1,2,2,3,39,B Lauther
1,1,3,3,32,B Bede
1,1,3,3,36,T Crapigna
2,2,3,3,42,R Paredes
3,3,2,2,48,S Whyte
1,1,3,4,48,L Hajrullahu
5,5,1,1,25,B Bede
4,5,1,2,30,J Medlock
0,0,1,2,28,L Ward
4,4,4,4,42,S Castillo
1,1,2,3,46,J Medlock
4,3,2,2,49,L Hajrullahu
0,0,4,4,33,L Hajrullahu
0,0,2,2,31,S Whyte
2,2,2,2,25,B Bede
2,2,1,2,12,R Paredes
1,1,4,4,49,B Lauther
0,0,2,2,37,J Medlock
7,7,2,2,21,S Castillo
0,0,0,1,0,T Crapigna
3,3,2,2,33,T Crapigna
2,2,3,2,50,L Ward
3,3,3,3,47,R Paredes
3,3,2,3,42,B Lauther
3,3,4,4,46,J Medlock
3,3,1,1,30,B Bede
1,1,0,4,0,S Whyte
0,0,2,3,46,S Castillo
3,3,2,2,40,B Bede
3,3,1,3,41,T Crapigna
1,1,4,4,50,S Castillo
1,2,4,4,52,B Lauther
2,2,4,5,38,L Hajrullahu
0,0,4,4,56,L Ward
1,1,2,3,41,R Paredes
3,3,4,4,41,J Medlock
0,0,2,2,34,J Medlock
0,0,0,1,0,R Paredes
3,3,1,1,29,B Bede
3,3,1,1,34,L Hajrullahu
5,5,1,2,30,Z Medeiros
0,0,0,1,0,L Ward
3,3,2,1,23,S Whyte
3,3,2,2,43,B Lauther
1,2,3,4,47,L Ward
3,3,1,1,37,B Bede
2,2,2,6,49,B Lauther
1,2,0,1,0,S Whyte
2,2,2,2,40,L Hajrullahu
0,0,0,1,0,R Pfeffer
0,1,1,2,41,Z Medeiros
1,1,1,1,34,S Castillo
1,1,4,4,44,R Paredes
2,3,1,1,30,B Bede
3,3,5,5,43,S Whyte
2,2,0,0,0,R Paredes
3,3,4,4,52,J Medlock
3,3,4,4,48,L Hajrullahu
1,1,3,3,49,S Whyte
0,0,4,4,42,B Lauther
1,1,4,4,43,J Medlock
2,2,6,7,45,J Medlock
0,0,2,2,47,L Hajrullahu
