average punt return, average punt return yards, longest punt return, name, punt return touchdowns, punt returns
6.000,,14,RW McQuarters,0,3
3.000,,3,Corey Webster,0,1
-2.000,,-2,Antwaan Randle El,0,1
14.000,,35,Yamon Figurs,0,4
2.000,,11,Antonio Chatman,0,4
4.000,,9,Ted Ginn,0,3
25.000,,25,Davone Bess,0,1
12.000,,20,Leon Washington,0,5
1.000,,2,DO Neal,0,2
7.000,,7,BJ Sams,0,1
-3.000,,-3,Mewelde Moore,0,1
2.000,,5,Jacoby Jones,0,2
7.000,,8,Chris Carr,0,2
22.000,,29,Brian Witherspoon,0,2
3.000,,10,Adam Jennings,0,5
0.000,,0,Mike Furrey,0,0
20.000,,63,Roscoe Parrish,1,6
18.000,,21,Nate Burleson,0,3
0.000,,0,Seneca Wallace,0,1
0.000,,0,Reggie Bush,0,1
10.000,,10,Lance Moore,0,1
5.000,,14,Dexter Jackson,0,5
11.000,,11,Ike Hilliard,0,1
12.000,,60,DeSean Jackson,0,8
0.000,,0,Joselio Hanson,0,1
-2.000,,-2,Dante Hall,0,1
11.000,,14,Syndric Steptoe,0,2
4.000,,8,Adam Jones,0,2
12.000,,12,Darren Sproles,0,1
8.000,,10,Mark Jones,0,2
0.000,,0,Nate Salley,0,1
0.000,,0,Allen Rossum,0,0
17.000,,17,Steve Breaston,0,1
8.000,,8,Keiwan Ratliff,0,1
25.000,,25,Devin Hester,0,1
26.000,,76,Will Blackmon,1,3
4.000,,9,Aundrae Allison,0,3
0.000,,0,Charles Gordon,0,1
1.000,,2,Johnnie Lee Higgins,0,2
9.000,,11,Eddie Royal,0,2
21.000,,34,Antonio Chatman,0,2
3.000,,9,Chris Davis,0,2
0.000,,0,Chris Carr,0,0
15.000,,15,Matt Jones,0,1
8.000,,8,Brian Witherspoon,0,1
0.000,,0,Dennis Northcutt,0,0
12.000,,27,Roscoe Parrish,0,3
12.000,,16,BJ Sams,0,3
7.000,,19,Johnnie Lee Higgins,0,6
7.000,,9,Charles Gordon,0,2
27.000,,27,Aundrae Allison,0,1
15.000,,25,Justin Forsett,0,2
11.000,,31,Mark Jones,0,3
7.000,,18,Nathan Vasher,0,3
4.000,,6,Devin Hester,0,2
9.000,,20,Mike Furrey,0,3
2.000,,3,Will Blackmon,0,2
7.000,,7,Dante Hall,0,1
19.000,,50,Domenik Hixon,0,4
5.000,,10,Antwaan Randle El,0,4
55.000,,55,Reggie Bush,1,1
0.000,,0,Dexter Jackson,0,2
0.000,,0,Ike Hilliard,0,0
14.000,,37,Adam Jennings,0,3
15.000,,30,Michael Bumpus,0,3
17.000,,24,Kevin Faulk,0,3
6.000,,6,Eddie Royal,0,1
7.000,,10,Craig Davis,0,2
9.000,,16,Steve Breaston,0,2
0.000,,0,Davone Bess,0,0
8.000,,12,Josh Cribbs,0,5
1.000,,1,Mewelde Moore,0,1
3.000,,6,Adam Jones,0,3
6.000,,11,DeSean Jackson,0,2
6.000,,18,Adam Jennings,0,6
4.000,,10,BJ Sams,0,3
4.000,,9,Roscoe Parrish,0,2
12.000,,20,Johnnie Lee Higgins,0,3
9.000,,26,Domenik Hixon,0,5
15.000,,21,Antonio Chatman,0,2
17.000,,19,Kevin Faulk,0,2
10.000,,10,Davone Bess,0,1
7.000,,10,Chris Carr,0,2
11.000,,33,Jacoby Jones,0,4
8.000,,15,Nathan Vasher,0,3
0.000,,4,Dexter Jackson,0,3
0.000,,0,Ike Hilliard,0,0
6.000,,6,Antwaan Randle El,0,1
1.000,,3,Steve Breaston,0,2
0.000,,0,Aundrae Allison,0,2
10.000,,19,Mark Jones,0,5
22.000,,22,Eddie Royal,0,1
15.000,,17,Reggie Bush,0,2
12.000,,14,Allen Rossum,0,3
8.000,,8,Mike Furrey,0,1
5.000,,10,Michael Bumpus,0,4
14.000,,26,Dante Hall,0,2
0.000,,0,Justin Forsett,0,1
2.000,,2,Dennis Northcutt,0,1
-1.000,,-1,Brian Witherspoon,0,1
5.000,,9,DeSean Jackson,0,2
5.000,,5,Santonio Holmes,0,1
0.000,,0,Mewelde Moore,0,0
21.000,,21,Jim Leonhard,0,1
12.000,,12,Josh Cribbs,0,2
6.000,,6,Will Blackmon,0,2
4.000,,7,Adam Jones,0,3
0.000,,0,Darren Sproles,0,0
9.000,,9,Antonio Chatman,0,1
5.000,,7,Josh Cribbs,0,2
21.000,,28,Brian Witherspoon,0,2
11.000,,17,Jacoby Jones,0,2
1.000,,1,Dantrell Savage,0,1
36.000,,36,Eddie Royal,0,1
2.000,,5,Mark Jones,0,2
12.000,,16,Adam Jennings,0,2
9.000,,9,Leon Washington,0,1
5.000,,10,Steve Breaston,0,2
0.000,,0,Reggie Bush,0,0
0.000,,0,Lance Moore,0,0
0.000,,0,Allen Rossum,0,0
19.000,,19,Dexter Jackson,0,1
0.000,,0,Ike Hilliard,0,0
10.000,,17,Will Blackmon,0,2
