average punt return, average punt return yards, longest punt return, name, punt return touchdowns, punt returns
9.000,,11,Clifton Smith,0,3
6.000,,6,Danny Amendola,0,1
12.000,,12,Jaymar Johnson,0,1
2.000,,2,Arnaz Battle,0,1
4.000,,10,Eric Weems,0,4
1.000,,2,Steve Breaston,0,2
20.000,,62,Jacoby Jones,0,5
11.000,,11,Eddie Royal,0,1
-1.000,,-1,Alphonso Smith,0,1
11.000,,16,Julian Edelman,0,2
2.000,,6,Nate Burleson,0,3
0.000,,0,Justin Forsett,0,3
0.000,,0,Mike Thomas,0,2
7.000,,15,Mark Jones,0,2
0.000,,0,Tim Jennings,0,1
0.000,,0,TJ Rushing,0,1
9.000,,9,Davone Bess,0,1
9.000,,10,Jim Leonhard,0,3
0.000,,0,Quan Cosby,0,0
9.000,,30,Jacoby Jones,0,5
1.000,,1,Jordy Nelson,0,1
45.000,,45,Tramon Williams,0,1
0.000,,0,Charles Woodson,0,1
0.000,,0,Dennis Northcutt,0,1
4.000,,6,Mike Thomas,0,2
11.000,,11,Danny Amendola,0,1
7.000,,13,Jaymar Johnson,0,5
0.000,,3,Chris Carr,0,2
4.000,,9,Ed Reed,0,2
0.000,,2,Reggie Bush,0,2
25.000,,27,Domenik Hixon,0,2
1.000,,1,Mewelde Moore,0,1
26.000,,26,Josh Cribbs,0,1
6.000,,6,Clifton Smith,0,1
34.000,,34,Captain Munnerlyn,0,1
2.000,,8,Antwaan Randle El,0,3
11.000,,11,Santana Moss,0,1
8.000,,17,Bobby Wade,0,4
0.000,,2,Johnnie Lee Higgins,0,4
10.000,,14,DeSean Jackson,0,4
7.000,,13,Justin Forsett,0,4
21.000,,36,Steve Breaston,0,3
13.000,,35,Julian Edelman,0,3
0.000,,0,Wes Welker,0,1
0.000,,1,Jim Leonhard,0,5
27.000,,27,Fred Jackson,0,1
0.000,,0,Josh Reed,0,1
20.000,,20,Eric Weems,0,1
18.000,,33,Devin Hester,0,3
77.000,,77,Darren Sproles,1,1
25.000,,71,Eddie Royal,1,3
0.000,,0,Quan Cosby,0,0
9.000,,9,Josh Cribbs,0,1
2.000,,6,Tramon Williams,0,3
8.000,,11,Stefan Logan,0,2
2.000,,5,Jaymar Johnson,0,3
5.000,,12,Jacoby Jones,0,5
0.000,,0,Arnaz Battle,0,1
17.000,,17,Bobby Wade,0,1
18.000,,18,Darren Sproles,0,1
8.000,,10,Danny Amendola,0,2
11.000,,11,TJ Rushing,0,1
0.000,,0,Jamie Silva,0,1
9.000,,15,Sammie Stroughter,0,3
13.000,,24,Wes Welker,0,4
2.000,,7,Captain Munnerlyn,0,5
0.000,,0,Kenny Moore,0,1
5.000,,10,Fred Jackson,0,3
-1.000,,-1,Johnnie Lee Higgins,0,1
2.000,,4,Jim Leonhard,0,2
14.000,,14,Davone Bess,0,2
-2.000,,-2,Ted Ginn,0,1
4.000,,9,Reggie Bush,0,5
0.000,,0,Lance Moore,0,0
29.000,,73,Patrick Crayton,1,3
-11.000,,-11,Terence Newman,0,1
4.000,,10,Eric Weems,0,2
13.000,,16,Domenik Hixon,0,2
0.000,,0,Kevin Dockery,0,1
1.000,,1,Steve Breaston,0,1
5.000,,11,Antwaan Randle El,0,2
-1.000,,-1,Santana Moss,0,1
10.000,,29,DeSean Jackson,0,3
1.000,,1,Jeremy Maclin,0,1
7.000,,14,Chris Carr,0,2
3.000,,3,Ed Reed,0,1
2.000,,7,Eddie Royal,0,2
0.000,,0,Fred Jackson,0,0
18.000,,52,Jacoby Jones,0,4
11.000,,32,Devin Hester,0,4
0.000,,0,Josh Cribbs,0,0
29.000,,82,Patrick Crayton,1,4
4.000,,5,Nate Burleson,0,2
1.000,,1,Justin Forsett,0,1
7.000,,15,Dennis Northcutt,0,2
9.000,,12,Danny Amendola,0,3
-2.000,,-2,Quincy Butler,0,1
8.000,,8,Tramon Williams,0,1
7.000,,20,Jaymar Johnson,0,5
5.000,,7,Jamie Silva,0,6
7.000,,12,Nate Clements,0,4
3.000,,3,Brandon Jones,0,2
9.000,,13,Jim Leonhard,0,5
4.000,,10,Davone Bess,0,4
3.000,,6,Kevin Kaesviharn,0,5
5.000,,9,Darren Sproles,0,3
9.000,,9,Johnnie Lee Higgins,0,1
6.000,,17,Steve Breaston,0,4
15.000,,19,Captain Munnerlyn,0,3
30.000,,30,DeSean Jackson,0,1
2.000,,2,Domenik Hixon,0,1
8.000,,8,Corey Webster,0,1
1.000,,1,Reggie Bush,0,1
0.000,,0,Lance Moore,0,0
9.000,,9,Eric Weems,0,1
6.000,,10,Eric Weems,0,2
-2.000,,-2,DeAngelo Hall,0,1
1.000,,2,Devin Hester,0,2
4.000,,15,Steve Breaston,0,4
8.000,,9,Quan Cosby,0,3
4.000,,10,Chris Carr,0,2
3.000,,3,Ed Reed,0,1
4.000,,6,TJ Rushing,0,2
0.000,,0,Jacoby Jones,0,0
44.000,,44,Mike Thomas,0,1
2.000,,2,Dantrell Savage,0,1
5.000,,5,Wes Welker,0,1
0.000,,0,Davone Bess,0,0
13.000,,19,Clifton Smith,0,4
4.000,,12,Tramon Williams,0,4
4.000,,4,Reggie Bush,0,1
0.000,,0,Captain Munnerlyn,0,0
7.000,,18,Nate Burleson,0,2
0.000,,0,Dennis Northcutt,0,0
13.000,,13,Domenik Hixon,0,1
0.000,,0,Darren Sproles,0,0
-1.000,,0,Brandon Jones,0,3
10.000,,10,Alvin Pearman,0,1
9.000,,9,DeSean Jackson,0,1
7.000,,7,Patrick Crayton,0,1
10.000,,15,Eddie Royal,0,2
14.000,,14,Stefan Logan,0,1
2.000,,2,Mewelde Moore,0,1
4.000,,4,Brandon Jones,0,1
2.000,,2,Devin Hester,0,2
18.000,,24,Eric Weems,0,2
-2.000,,0,Davone Bess,0,2
7.000,,7,Ted Ginn,0,1
7.000,,12,Clifton Smith,0,4
2.000,,12,Darius Reynaud,0,4
9.000,,10,Dennis Northcutt,0,2
2.000,,3,Darrelle Revis,0,2
0.000,,0,Brian Witherspoon,0,1
15.000,,25,Stefan Logan,0,2
0.000,,0,Mewelde Moore,0,0
6.000,,8,Quan Cosby,0,3
10.000,,10,Danny Amendola,0,1
2.000,,4,Reggie Bush,0,2
15.000,,18,Alvin Pearman,0,2
12.000,,16,Fred Jackson,0,2
4.000,,8,Santana Moss,0,2
0.000,,0,Eddie Royal,0,0
0.000,,3,Johnnie Lee Higgins,0,3
6.000,,19,Dantrell Savage,0,5
3.000,,10,Maurice Leggett,0,4
4.000,,16,Steve Breaston,0,4
15.000,,27,Nate Burleson,0,4
12.000,,18,Tramon Williams,0,2
8.000,,18,Patrick Crayton,0,5
4.000,,8,Darren Sproles,0,3
4.000,,7,DeSean Jackson,0,3
0.000,,0,Jeremy Maclin,0,0
0.000,,0,TJ Rushing,0,0
23.000,,69,Wes Welker,0,5
3.000,,9,Josh Cribbs,0,5
1.000,,4,Chris Carr,0,3
6.000,,8,Captain Munnerlyn,0,3
15.000,,22,Davone Bess,0,2
6.000,,8,Ed Reed,0,2
0.000,,0,Chris Carr,0,0
2.000,,2,TJ Rushing,0,1
13.000,,13,Patrick Crayton,0,1
10.000,,10,Santana Moss,0,1
0.000,,0,Antwaan Randle El,0,1
0.000,,0,DeAngelo Hall,0,0
8.000,,17,Dennis Northcutt,0,3
3.000,,3,Josh Cribbs,0,1
16.000,,27,Tramon Williams,0,2
2.000,,9,Reggie Smith,0,3
5.000,,14,Brian Witherspoon,0,3
0.000,,2,Roscoe Parrish,0,2
0.000,,0,Bobby Wade,0,1
9.000,,17,Stefan Logan,0,3
0.000,,0,Mewelde Moore,0,0
10.000,,14,Darius Reynaud,0,3
6.000,,14,Nate Burleson,0,2
0.000,,0,Domenik Hixon,0,0
12.000,,17,Eric Weems,0,2
11.000,,11,Clifton Smith,0,1
5.000,,5,Devery Henderson,0,2
6.000,,6,Darren Sharper,0,1
9.000,,12,Danny Amendola,0,2
9.000,,10,Steve Breaston,0,2
10.000,,10,Eddie Royal,0,1
2.000,,6,Darren Sproles,0,3
0.000,,0,Wes Welker,0,2
12.000,,15,Jerricho Cotchery,0,2
5.000,,12,Johnnie Lee Higgins,0,3
9.000,,18,Quan Cosby,0,2
5.000,,9,Devin Hester,0,3
28.000,,53,DeSean Jackson,0,2
3.000,,11,Glenn Martinez,0,3
0.000,,0,Kevin Kaesviharn,0,0
14.000,,14,Dennis Northcutt,0,1
2.000,,7,Jordy Nelson,0,3
9.000,,21,Patrick Crayton,0,4
0.000,,0,Kevin Ogletree,0,1
3.000,,5,Johnnie Lee Higgins,0,3
9.000,,15,Eddie Royal,0,3
-1.000,,-1,Alphonso Smith,0,1
10.000,,14,Domenik Hixon,0,2
18.000,,18,Eric Weems,0,1
21.000,,21,Clifton Smith,0,1
5.000,,12,Roscoe Parrish,0,2
12.000,,12,Ted Ginn,0,1
9.000,,12,Quan Cosby,0,5
0.000,,0,Josh Cribbs,0,0
4.000,,4,Jacoby Jones,0,2
7.000,,7,TJ Rushing,0,1
0.000,,0,Darius Reynaud,0,0
2.000,,4,Devin Hester,0,2
10.000,,18,Jerricho Cotchery,0,3
25.000,,37,Captain Munnerlyn,0,2
29.000,,29,DeSean Jackson,0,1
-2.000,,-2,Jeremy Maclin,0,1
1.000,,1,Antwaan Randle El,0,1
0.000,,0,Santana Moss,0,0
4.000,,8,Danny Amendola,0,2
13.000,,29,Nate Burleson,0,4
5.000,,10,Kevin Kaesviharn,0,2
-1.000,,-1,Steve Breaston,0,1
0.000,,0,Darren Sproles,0,1
2.000,,2,Bobby Wade,0,1
6.000,,13,Brandon Jones,0,3
21.000,,42,Brian Witherspoon,0,3
14.000,,34,Chris Carr,0,5
9.000,,14,Stefan Logan,0,3
1.000,,1,James Harrison,0,1
3.000,,11,Devery Henderson,0,2
41.000,,41,Wes Welker,0,1
5.000,,11,Roscoe Parrish,0,2
7.000,,12,Jerricho Cotchery,0,5
10.000,,14,Eric Weems,0,2
11.000,,27,Jeremy Maclin,0,3
0.000,,0,Chris Gamble,0,1
3.000,,16,Sammie Stroughter,0,5
0.000,,0,Earl Bennett,0,1
-3.000,,-3,Devin Hester,0,1
0.000,,0,Johnny Knox,0,1
12.000,,30,Danny Amendola,0,5
0.000,,0,Quincy Butler,0,0
18.000,,25,Quan Cosby,0,3
10.000,,18,Dennis Northcutt,0,2
0.000,,0,TJ Rushing,0,0
4.000,,9,Kevin Kaesviharn,0,2
6.000,,12,Mike Thomas,0,2
4.000,,9,Glenn Martinez,0,3
9.000,,13,Bobby Wade,0,2
13.000,,39,Eddie Royal,0,6
-1.000,,-1,Stefan Logan,0,1
0.000,,0,Mewelde Moore,0,0
0.000,,0,Johnnie Lee Higgins,0,0
0.000,,0,Kevin Barnes,0,1
0.000,,0,Antwaan Randle El,0,0
-2.000,,-2,Reggie Bush,0,1
0.000,,0,Josh Cribbs,0,1
-1.000,,-1,Darren Sproles,0,1
35.000,,64,Steve Breaston,0,2
2.000,,2,Darius Reynaud,0,1
31.000,,79,Domenik Hixon,1,3
0.000,,0,Patrick Crayton,0,0
8.000,,21,Nate Burleson,0,7
0.000,,8,Arnaz Battle,0,5
9.000,,12,Davone Bess,0,3
9.000,,12,Wes Welker,0,3
2.000,,8,Jordy Nelson,0,3
6.000,,6,Chris Carr,0,1
30.000,,55,Josh Cribbs,0,2
3.000,,3,Santonio Holmes,0,2
0.000,,0,Stefan Logan,0,0
0.000,,0,Mewelde Moore,0,0
0.000,,0,Eric Weems,0,0
23.000,,23,Reggie Bush,0,1
15.000,,19,Chris Carr,0,2
0.000,,0,Dennis Northcutt,0,0
-1.000,,1,Earl Bennett,0,2
6.000,,11,Jordy Nelson,0,3
11.000,,22,Jacoby Jones,0,5
-5.000,,-5,Nate Burleson,0,1
5.000,,5,Justin Forsett,0,1
9.000,,12,TJ Rushing,0,2
1.000,,5,Eddie Royal,0,2
0.000,,0,Renaldo Hill,0,1
9.000,,12,Maurice Jones Drew,0,2
6.000,,11,Davone Bess,0,4
0.000,,0,Bobby Wade,0,0
0.000,,0,Roscoe Parrish,0,0
12.000,,19,Darius Reynaud,0,5
3.000,,6,Quan Cosby,0,2
9.000,,17,Wes Welker,0,5
0.000,,0,Captain Munnerlyn,0,0
