assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, rebounds, steals, three pointers attempted, three pointers made, turnovers
0,0,0,5,1,2,2,2,13.150,Monique Currie,1,-7,4,1,0,1,0,2
2,0,2,10,4,1,0,0,29.433,Emma Meesseman,1,-16,8,3,0,0,0,1
1,2,3,11,2,3,2,1,21.367,Kia Vaughn,3,-16,5,6,2,0,0,0
5,0,2,11,8,4,2,2,29.117,Ivory Latta,0,-18,25,2,1,9,7,2
1,0,5,11,7,5,3,1,28.717,Tierra Ruffin Pratt,3,-4,17,8,1,3,2,0
1,0,4,6,3,3,0,0,18.100,Stefanie Dolson,0,4,6,4,0,1,0,3
4,0,1,5,1,1,4,2,17.617,Bria Hartley,0,1,4,1,0,2,0,3
2,0,0,2,1,1,0,0,7.283,Jelena Milovanovic,0,8,2,0,0,1,0,0
1,0,2,3,2,2,0,0,8.817,Tianna Hawkins,0,6,4,2,0,0,0,0
4,0,3,6,1,2,0,0,26.400,Kara Lawson,1,-18,2,4,0,4,0,0
3,1,5,21,11,3,11,9,36.250,Maya Moore,4,18,34,9,1,7,3,1
5,1,9,3,3,1,2,0,31.267,Damiris Dantas,3,15,6,12,1,0,0,1
5,1,9,11,4,3,2,1,33.100,Janel McCarville,0,11,9,9,1,1,0,3
3,0,2,20,11,0,2,2,34.583,Seimone Augustus,1,20,24,3,0,2,0,1
8,0,6,9,4,3,4,2,32.433,Lindsay Whalen,2,10,10,8,2,0,0,1
0,0,1,1,0,0,2,2,7.567,Lindsey Moore,0,2,2,1,0,0,0,0
0,0,1,1,0,0,0,0,11.317,Tan White,0,-6,0,1,0,0,0,1
0,0,0,3,1,1,2,2,11.967,Asia Taylor,1,-5,4,1,0,0,0,1
0,0,0,0,0,0,2,0,1.517,Tricia Liston,0,-5,0,0,0,0,0,0
1,1,2,7,1,1,4,3,31.683,Katie Douglas,2,-7,5,4,1,3,0,1
1,0,3,6,1,2,0,0,12.183,Kelsey Griffin,2,-6,2,5,0,2,0,2
0,1,2,12,5,3,4,3,32.033,Chiney Ogwumike,3,-16,13,5,1,0,0,0
1,0,1,5,2,2,2,2,27.817,Allison Hightower,0,-12,6,1,3,1,0,2
0,0,2,11,4,3,1,1,14.767,Alex Bentley,1,-7,10,3,0,4,1,1
1,0,4,6,3,2,0,0,13.833,Kelsey Bone,1,-9,6,5,0,0,0,3
5,0,1,6,2,2,0,0,17.117,Renee Montgomery,0,-9,5,1,1,5,1,0
1,1,4,3,0,2,0,0,10.950,Kayla Pedersen,1,-4,0,5,0,0,0,2
2,0,4,5,3,1,2,1,23.833,Alyssa Thomas,0,-18,7,4,1,0,0,4
