average kickoff return, average kickoff return yards, kickoff return touchdowns, kickoff returns, longest kickoff return, name
29.000,,0,4,39,Stefan Logan
19.000,,0,3,21,Javon Ringer
6.000,,0,1,6,Brian Finneran
14.000,,0,1,14,Eric Weems
18.000,,0,3,21,Ted Ginn
18.000,,0,2,21,Patrick Cobbs
21.000,,0,3,25,Chris Carr
14.000,,0,1,14,Dwan Edwards
23.000,,0,4,25,Jamaal Charles
17.000,,0,1,17,Quinten Lawrence
8.000,,0,1,8,Andy Studebaker
24.000,,0,5,33,Mike Goodson
22.000,,0,2,28,Ellis Hobbs
24.000,,0,2,29,Andre Caldwell
0.000,,0,1,0,Tyler Polumbus
17.000,,0,1,17,Eddie Royal
23.000,,0,6,27,Josh Cribbs
0.000,,0,1,0,Abram Elam
33.000,,0,3,41,Percy Harvin
0.000,,0,1,0,Sidney Rice
23.000,,0,5,32,Jacoby Jones
20.000,,0,1,20,Leon Washington
27.000,,0,3,39,Chad Simpson
27.000,,0,2,28,Brian Witherspoon
24.000,,0,6,42,Robert Meachem
36.000,,0,5,87,Aaron Brown
25.000,,0,4,36,Clifton Smith
25.000,,0,2,36,Felix Jones
20.000,,0,1,20,Miles Austin
20.000,,0,3,24,LaRod Stephens Howling
20.000,,0,2,21,Allen Rossum
8.000,,0,1,8,Madison Hedgecock
16.000,,0,1,16,Hakeem Nicks
17.000,,0,1,17,DJ Ware
24.000,,0,3,26,Rock Cartwright
29.000,,0,1,29,Ladell Betts
13.000,,0,1,13,Mike Sellers
20.000,,0,1,20,Josh Wilson
19.000,,0,1,19,Donnie Avery
23.000,,0,1,23,Samkon Gado
31.000,,0,4,46,Jordy Nelson
26.000,,0,3,27,Danieal Manning
18.000,,0,1,18,Earl Bennett
26.000,,0,1,26,Devin Hester
23.000,,0,4,32,Kevin Faulk
52.000,,0,1,52,Laurence Maroney
24.000,,0,4,33,Leodis McKelvin
16.000,,0,4,23,Louis Rankin
34.000,,0,5,66,Darren Sproles
31.000,,0,2,41,Eric Weems
39.000,,0,1,39,Jerious Norwood
16.000,,0,6,23,Aaron Brown
26.000,,0,3,30,Percy Harvin
22.000,,0,5,28,Will Blackmon
22.000,,0,3,29,Andre Caldwell
18.000,,0,3,24,Rashad Jennings
29.000,,0,1,29,Montell Owens
25.000,,0,2,30,LaRod Stephens Howling
20.000,,0,2,22,Louis Rankin
31.000,,0,4,43,Leon Washington
20.000,,0,3,20,Laurence Maroney
19.000,,0,2,22,Julian Edelman
25.000,,0,7,63,Ellis Hobbs
7.000,,0,1,7,Jeremy Maclin
24.000,,0,3,27,Courtney Roby
20.000,,0,6,25,Javon Ringer
14.000,,0,1,14,Craig Stevens
25.000,,0,2,26,Jacoby Jones
0.000,,0,1,0,DeRobinson
23.000,,0,1,23,Rock Cartwright
21.000,,0,1,21,Devin Thomas
14.000,,0,3,23,Kenneth Darby
12.000,,0,1,12,Billy Bajema
20.000,,0,1,20,Allen Rossum
19.000,,0,4,26,Josh Wilson
16.000,,0,1,16,Deon Butler
17.000,,0,1,17,Justin Forsett
12.000,,0,1,12,Spencer Johnson
9.000,,0,1,9,Fred Jackson
24.000,,0,1,24,Leodis McKelvin
26.000,,0,1,26,Xavier Omon
27.000,,0,4,30,Clifton Smith
21.000,,0,1,21,Earnest Graham
0.000,,0,0,0,Matt McCoy
20.000,,0,2,26,Johnny Knox
12.000,,0,1,12,Rashied Davis
23.000,,0,2,25,Stefan Logan
13.000,,0,1,13,Mewelde Moore
24.000,,0,1,24,Peyton Hillis
22.000,,0,1,22,Eddie Royal
20.000,,0,3,21,Josh Cribbs
32.000,,0,4,53,Darren Sproles
22.000,,0,1,22,Antonio Cromartie
27.000,,0,5,41,Chris Carr
15.000,,0,1,15,Lardarius Webb
22.000,,0,6,38,Felix Jones
29.000,,0,1,29,Miles Austin
22.000,,0,4,29,Sinorice Moss
3.000,,0,1,3,Chase Blackburn
22.000,,0,4,25,Patrick Cobbs
18.000,,0,5,22,Chad Simpson
28.000,,0,1,28,Chris Carr
26.000,,0,6,32,Josh Cribbs
0.000,,0,1,0,Lawrence Vickers
20.000,,0,5,39,Andre Caldwell
34.000,,0,3,56,Stefan Logan
8.000,,0,1,8,Rashard Mendenhall
19.000,,0,2,21,Aaron Brown
23.000,,0,4,25,Rock Cartwright
25.000,,0,6,36,Jacoby Jones
18.000,,0,2,23,Mike Thomas
19.000,,0,2,24,Tiquan Underwood
16.000,,0,1,16,Atiyyah Ellison
45.000,,1,4,101,Percy Harvin
23.000,,0,4,40,Allen Rossum
0.000,,0,0,0,Michael Robinson
24.000,,0,2,28,Kevin Faulk
21.000,,0,1,21,Laurence Maroney
27.000,,0,5,34,Eric Weems
28.000,,0,2,32,Ellis Hobbs
22.000,,0,5,29,Dantrell Savage
23.000,,0,8,42,Danny Amendola
24.000,,0,2,25,Will Blackmon
28.000,,0,2,30,Clifton Smith
11.000,,0,1,11,Tim Crowder
22.000,,0,5,30,Roscoe Parrish
0.000,,0,1,0,Jeff Charleston
16.000,,0,1,16,Courtney Roby
23.000,,0,3,27,Justin Forsett
45.000,,0,1,45,Ben Obomanu
33.000,,0,4,53,Johnny Knox
21.000,,0,3,28,Leon Washington
17.000,,0,1,17,Jerricho Cotchery
24.000,,0,3,27,Jason McCourty
14.000,,0,1,14,Ryan Mouton
22.000,,0,3,31,Jonathan Holland
25.000,,0,1,25,Eddie Royal
20.000,,0,3,29,Darren Sproles
21.000,,0,5,23,Patrick Cobbs
19.000,,0,4,24,LaRod Stephens Howling
21.000,,0,1,21,Darrick Brown
23.000,,0,1,23,Miles Austin
15.000,,0,2,16,Mike Goodson
49.000,,1,3,102,Johnny Knox
43.000,,0,1,43,Danieal Manning
18.000,,0,8,31,Aaron Brown
34.000,,0,3,58,Josh Cribbs
16.000,,0,1,16,Jerome Harrison
17.000,,0,4,21,Andre Caldwell
26.000,,0,2,28,Bernard Scott
0.000,,0,1,0,John Busing
0.000,,0,1,0,James Casey
34.000,,0,1,34,Andre Davis
95.000,,1,1,95,Jacoby Jones
17.000,,0,6,27,Justin Miller
19.000,,0,1,19,TJ Rushing
26.000,,0,3,37,Justin Forsett
23.000,,0,1,23,Ben Obomanu
3.000,,0,1,3,Nick Reed
37.000,,0,2,42,Mike Thomas
21.000,,0,3,26,Mark Jones
27.000,,0,5,53,Jamaal Charles
18.000,,0,4,20,Laurence Maroney
21.000,,0,3,27,Chris Carr
38.000,,0,1,38,Lardarius Webb
25.000,,0,2,27,Rock Cartwright
31.000,,0,2,36,Clifton Smith
36.000,,0,2,39,Patrick Cobbs
24.000,,0,6,31,Roscoe Parrish
15.000,,0,1,15,Fred Jackson
26.000,,0,1,26,Courtney Roby
17.000,,0,1,17,Leon Washington
24.000,,0,2,30,Kenny McKinley
26.000,,0,2,28,Miles Austin
25.000,,0,1,25,Michael Robinson
20.000,,0,4,27,Danny Amendola
11.000,,0,1,11,Kenneth Darby
20.000,,0,4,24,Stefan Logan
0.000,,0,1,0,Ryan Mundy
25.000,,0,6,42,Darren Sproles
9.000,,0,1,9,Antonio Cromartie
17.000,,0,3,19,Percy Harvin
23.000,,0,3,27,Will Blackmon
26.000,,0,2,26,Jordy Nelson
21.000,,0,2,21,Chris Carr
43.000,,0,1,43,Lardarius Webb
18.000,,0,3,33,Andre Caldwell
0.000,,0,0,3,Bernard Scott
0.000,,0,0,0,Jon Corto
30.000,,0,2,33,Josh Cribbs
29.000,,0,3,55,Kenny Moore
8.000,,0,2,17,Jonathan Stewart
23.000,,0,1,23,Rock Cartwright
21.000,,0,5,34,Derrick Williams
25.000,,0,5,47,Stefan Logan
20.000,,0,5,29,Jamaal Charles
23.000,,0,4,32,Kevin Ogletree
24.000,,0,1,24,Miles Austin
9.000,,0,2,19,Sinorice Moss
17.000,,0,6,25,Jonathan Holland
14.000,,0,2,15,Gary Russell
21.000,,0,1,21,Ellis Hobbs
0.000,,0,1,0,DeSean Jackson
18.000,,0,1,18,Leonard Weaver
30.000,,0,4,38,Clifton Smith
22.000,,0,6,30,Danny Amendola
27.000,,0,1,27,Percy Harvin
20.000,,0,4,25,Delanie Walker
13.000,,0,1,13,Michael Robinson
19.000,,0,2,20,Eric Weems
20.000,,0,3,24,LaRod Stephens Howling
18.000,,0,1,18,Jason Wright
29.000,,0,4,63,Andre Davis
6.000,,0,1,6,Russ Hochstein
25.000,,0,1,25,Kenny McKinley
23.000,,0,4,32,Julian Edelman
25.000,,0,1,25,Ben Obomanu
28.000,,0,4,42,Brian Witherspoon
18.000,,0,3,22,Mike Thomas
18.000,,0,4,22,Mark Jones
18.000,,0,4,22,TJ Rushing
18.000,,0,3,23,Patrick Cobbs
13.000,,0,1,13,Joe Berger
32.000,,0,1,32,Ted Ginn
25.000,,0,4,28,Leon Washington
7.000,,0,1,7,Jim Leonhard
17.000,,0,5,32,Andre Caldwell
19.000,,0,3,22,Andre Davis
29.000,,0,1,29,Jordy Nelson
16.000,,0,6,23,Derrick Williams
10.000,,0,1,10,Casey Fitzsimmons
30.000,,0,3,32,Brian Witherspoon
21.000,,0,1,21,Mike Thomas
0.000,,0,1,0,Ernest Wilford
31.000,,0,4,58,Danny Amendola
20.000,,0,4,32,Percy Harvin
0.000,,0,1,0,Naufahu Tahi
23.000,,0,7,40,Lardarius Webb
17.000,,0,1,17,LeRon McClain
22.000,,0,4,29,Courtney Roby
32.000,,0,7,68,Domenik Hixon
0.000,,0,1,0,Will Beatty
27.000,,0,2,29,Stefan Logan
0.000,,0,0,0,Matt Spaeth
44.000,,1,3,98,Josh Cribbs
9.000,,0,1,9,Greg Estandia
12.000,,0,1,12,Mike Furrey
47.000,,1,3,97,Sammie Stroughter
25.000,,0,1,25,Clifton Smith
19.000,,0,3,24,Kenny Moore
19.000,,0,5,26,Rock Cartwright
26.000,,0,3,31,Jamaal Charles
17.000,,0,2,19,Jonathan Holland
4.000,,0,1,4,Sam Williams
18.000,,0,3,25,Quintin Demps
24.000,,0,1,24,Justin Forsett
23.000,,0,1,23,Ben Obomanu
13.000,,0,1,13,Josh Wilson
17.000,,0,1,17,LaRod Stephens Howling
25.000,,0,1,25,Julian Edelman
21.000,,0,6,27,Mark Jones
15.000,,0,1,15,Alge Crumpler
12.000,,0,1,12,Ahmard Hall
19.000,,0,3,27,Leon Washington
22.000,,0,3,26,Fred Jackson
39.000,,0,3,62,Eric Weems
24.000,,0,2,33,Johnny Knox
