longest punt return, name, punt return yards, punt returns
8,M Stovall,9,2
1,J Thomas,-1,1
8,F Swain,19,3
1,B Aiyuk,1,2
20,K Price,25,4
11,J Rogers,13,3
0,T Anderson,7,2
40,B Covey,46,3
49,O Anderson,79,6
0,M Williams,0,1
25,R Montgomery,25,1
8,W Swinney,8,1
0,J Thomas,0,1
14,K Pimpleton,14,2
0,D McDonald,-3,1
19,Q Skanes,31,3
15,J Lorick,22,3
8,D Douglas,8,1
25,B Ezell,25,1
0,J Ison,0,1
12,R Paul,13,2
5,H White,5,1
15,M Mitchell,24,2
8,J Hill,18,1
10,K Crabb,10,1
7,T Hudson,7,1
19,B Turner,19,1
16,S Rogers,16,1
0,N Lyon,-2,2
0,A Miranda,0,1
17,A Trammell,23,2
6,K Nixon,6,1
13,D Wright,19,2
10,J Nailor,17,2
7,C White,13,2
9,D Long,9,1
11,K Stokes,22,4
6,R Doubs,6,1
28,R Moore,28,3
0,A Horvath,-2,1
5,D Stoner,4,3
17,K Sails,17,1
41,J Dunn,62,4
1,K Hinton,1,1
0,B Peterson,0,1
4,A Daramy Swaray,4,1
9,B Edmonds,13,1
1,J Proche,1,1
33,M Williams,33,1
14,T Hennigan,15,2
0,J Saylors,0,1
11,T Burks,16,2
0,B Kelly,0,1
0,J Hall,0,1
11,W Philyor,11,1
13,G Arnold,17,2
1,R Sneed,1,1
17,R Bentley,17,1
12,T Levy,23,4
7,H Grimsley,9,2
22,D Matthews,22,1
28,N Remigio,42,3
22,J White,22,1
9,I Thomas,9,1
30,K Tyler,42,2
3,J Blackwell,3,1
13,D Navarro,13,1
6,K Cumby,6,1
5,J Holmes,5,1
15,J Knight,23,2
11,N Ragaini,16,2
11,K Lassiter II,11,1
7,D Hendrix,11,2
4,D Caton,4,1
9,P Brooks,9,1
6,J Ali,6,1
0,L Bowden Jr,-1,1
5,D McKinley Lewis,6,3
1,D Stubbs,2,3
31,S Riley,41,3
40,M Dear,40,2
0,T Dixon,0,1
32,D Stingley Jr,52,4
40,D Turner,52,2
0,S Savoy,0,1
0,R Lewis,-1,2
21,P Williams,27,3
1,E Moore,2,2
27,R Bell,41,3
0,L Hill,-1,3
7,T Lee,7,1
67,T Keaton,109,5
0,J Springer,-7,1
0,J Roberts,-1,1
15,D Newsome,15,1
38,B Edwards,66,3
16,T Thomas,26,3
12,T Snead,12,1
76,J Spielman,80,4
0,T Minter,0,1
8,C Tucker,12,2
14,T Grimes,13,2
23,D Rogers,47,5
6,K Murray,6,1
3,R Humphries,3,1
26,J Darden,25,3
35,D McCall,40,2
16,K Hill,13,2
5,D Cousart,5,2
0,M Dotson,0,1
9,J Buckner,15,3
1,J Herslow,-2,2
81,J Holland,131,3
41,C Tutt,64,5
0,M Ffrench,0,1
12,C Davis,12,1
7,H Dubois,7,0
2,N Taylor,2,1
25,K Hamler,28,4
7,M Hippenhammer,13,2
8,J Byrd,25,4
3,T Thompson,3,1
10,R Shaheed,13,3
80,J Adams,93,2
0,M Wilson,-1,2
20,R Lees,20,1
26,J Reagor,62,6
18,I Wright,40,5
1,J Jennings,1,1
4,J Cooper,8,3
30,M Callaway,35,1
0,M Sam,0,1
6,K Geiger,7,2
2,R Todd,2,2
0,K Prewitt,-2,1
10,A Frye,21,3
8,J Gasser,9,4
15,J Cockett,40,4
3,T Vaughns,3,1
3,J Garrett,3,1
0,W Dawn Jr,0,1
3,K Willie,3,1
10,K Johnson Jr,11,3
27,T Simmons,55,3
6,K Jackson,6,1
6,C McClatcher,6,1
0,T Weed,-1,1
21,K Mixon Jr,21,1
4,A Sinkfield,4,1
2,D Amos,4,3
17,A Conway,37,3
43,R Floyd,50,2
27,C Lamb,26,3
0,C Finke,-2,1
38,B Aiyuk,38,1
0,J Jones,-2,1
0,P Williams,0,1
0,A Williams,0,2
34,A Trammell,34,1
13,S Surratt,13,1
22,B Kemp,51,4
0,C Davis,-12,1
1,N Stewart,1,1
1,J Knight,-3,2
4,J Haden,4,1
0,M Mitchell,-3,1
23,J Waddle,28,3
1,O Clark,1,1
0,D Jackson,16,0
14,T Hennigan,14,1
10,S Jolly,10,1
42,B Casteel,42,1
22,C Tutt,50,3
36,A Jones,48,2
22,J Hall,20,3
24,N Mayfield,24,1
73,G Arnold,83,3
0,K Johnson Jr,2,1
4,C Fessler,4,1
9,D Kendrick,8,2
4,K Nixon,4,1
5,D Navarro,7,2
20,D Wright,35,4
0,M Cameron,-3,1
7,J Hall,7,1
26,J Blackwell,26,2
0,R Shelton II,10,1
3,S Bracey,3,1
3,K Banks,3,1
5,T Snead,-3,3
3,O Anderson,3,1
18,M Alexander,29,3
0,C Bush,-6,3
1,F Swain,3,3
0,T Williams,0,1
26,D Matthews,32,2
5,B Batiste,5,1
0,D Douglas,0,1
0,C McCoy,0,1
42,T Simmons,65,3
11,D Blaylock,11,1
9,R Castille,9,1
22,J Liptrot,25,2
23,A Brown,23,5
8,B Sanders,8,3
14,M Stovall,10,3
12,J Irish,12,1
13,B Smith,13,1
8,K Corbin,8,1
25,D Tucker,25,1
0,T Mullins,0,1
9,D Ellis,9,1
5,W Philyor,4,2
16,N Ragaini,11,2
12,A Young,10,2
7,K Lassiter II,7,2
12,J Heiligh,12,1
8,S Porter,8,1
52,P Brooks,0,2
29,L Bowden Jr,29,1
5,E Garror,-29,3
33,C Atwell,36,2
1,R Burns,1,1
0,J Smith Jr,0,1
27,M Sam,27,1
15,S Riley,15,1
9,I Rodgers,9,1
7,D Davis,7,2
10,C White,10,1
27,K Brown Jr,27,1
10,A Hall,10,1
3,P Williams,5,2
17,M Thomas,33,2
4,T Carter,4,1
12,A Miranda,12,1
15,T Burks,28,2
8,M Dear,8,1
2,J Adams,2,1
0,D Newsome,0,1
16,T Thomas,15,2
9,T Hines,9,1
0,N Mullen,-2,1
9,K Hill,25,3
3,D McCall,3,1
26,C Lamb,23,2
0,C Sutton,0,1
8,J Holland,8,1
0,H Woods Jr,0,1
0,K Moore,0,1
18,M Ffrench,25,7
14,J Buckner,14,1
1,I Cox,1,1
22,K Hamler,22,1
11,R Cook Jr,11,1
8,R Moore,8,2
1,T Minter,1,1
22,J Vann,24,2
0,A Hifo,0,1
2,J Smith,2,1
11,D Stingley Jr,11,1
11,H White,11,1
7,A Conway,7,1
0,A Frye,0,1
5,J Garrett,5,1
30,K Phillips,43,2
17,J Byrd,17,1
10,J Gasser,10,1
21,B Edmonds,47,3
14,T Vaughns,14,1
15,M Wilson,15,1
1,B Covey,1,1
45,D Thompkins,45,1
21,J Nathan,27,2
19,J Constant,19,1
1,D Crawford,1,1
19,A Fuller,21,3
16,T Harris,16,1
16,J Dunn,51,5
13,A Cruickshank,14,2
10,S Surratt,3,3
9,D Newsome,9,1
7,T Burks,8,3
40,R Miller,40,1
0,D Cousart,-1,1
28,A Williams,33,3
11,J Rogers,11,1
7,C Powell,9,2
4,T Vaughns,4,1
32,N Remigio,32,1
19,N Harvey,19,1
2,J Darden,4,2
2,O Anderson,4,2
21,M Wilson,21,1
17,N Lyon,17,1
42,I Rodgers,62,3
16,R Montgomery,57,5
11,J Walker,11,2
3,M Thomas,3,1
1,K Pimpleton,1,2
6,A Davis Jr,6,1
6,B Peterson,4,2
