extra points, extra points attemped, field goals, field goals attemped, longest field goal, name
2,2,1,2,18,B Bede
1,1,3,4,41,T Crapigna
2,2,3,3,40,B Maher
2,2,3,4,70,R Paredes
0,2,4,5,43,T Long
3,3,3,3,20,S Whyte
2,2,5,8,50,L Hajrullahu
0,0,2,2,36,S Castillo
1,4,1,1,15,R Paredes
1,3,4,4,33,B Maher
0,0,3,3,30,L Hajrullahu
0,0,3,3,47,T Long
0,0,3,3,55,S Whyte
1,1,4,4,46,B Bede
3,3,4,5,48,T Crapigna
4,4,5,5,35,J Medlock
1,1,3,3,51,B Bede
2,2,1,1,13,T Long
1,1,1,1,24,J Medlock
2,2,3,4,30,R Paredes
1,1,1,3,36,B Maher
1,1,2,3,26,L Hajrullahu
4,4,2,2,45,T Crapigna
2,2,2,2,39,S Castillo
3,3,4,4,55,J Medlock
1,1,6,6,47,L Hajrullahu
3,4,1,1,12,B Bede
1,1,5,5,40,R Paredes
2,2,3,4,36,S Whyte
0,1,1,1,43,B Maher
1,2,1,1,48,S Castillo
3,3,2,2,50,T Long
2,2,3,3,38,B Maher
0,1,2,2,0,B Bede
2,2,4,4,46,S Castillo
2,3,1,1,40,S Whyte
2,2,3,4,40,T Long
6,6,0,1,0,J Medlock
3,3,2,2,47,R Paredes
1,1,1,1,27,T Crapigna
2,2,3,4,47,L Hajrullahu
1,1,0,1,0,B Maher
4,4,2,4,35,J Medlock
4,4,4,4,35,B Bede
2,2,3,3,44,S Whyte
2,3,2,2,49,T Long
3,3,3,3,0,T Crapigna
2,2,2,2,27,L Hajrullahu
6,6,1,1,43,R Paredes
2,2,2,2,40,B Maher
1,1,4,5,42,H ONeill
2,2,2,3,21,B Bede
0,0,3,3,47,L Hajrullahu
3,3,6,8,57,J Medlock
5,5,1,2,24,T Crapigna
3,3,4,5,32,J Medlock
2,3,2,3,31,H ONeill
1,1,1,1,43,S Castillo
1,3,6,6,52,B Maher
0,1,1,1,28,T Long
0,0,5,5,46,R Paredes
5,5,1,2,22,L Hajrullahu
2,2,3,3,48,B Bede
2,2,4,4,47,J Medlock
7,7,1,2,21,T Crapigna
1,2,4,4,48,B Maher
3,3,1,2,10,T Long
2,2,3,3,40,R Paredes
1,1,0,0,0,L Hajrullahu
0,0,1,2,53,B Bede
1,1,2,4,30,B Maher
4,4,3,3,50,T Crapigna
2,2,3,3,52,J Medlock
3,3,3,4,40,R Paredes
0,0,2,2,46,C Milo
3,3,1,2,57,S Castillo
2,2,2,4,35,L Hajrullahu
3,4,0,1,0,T Long
0,0,1,2,48,B Bede
3,3,1,2,36,J Medlock
2,2,0,0,0,T Crapigna
0,0,2,4,43,B Maher
2,2,4,4,38,S Castillo
1,2,3,4,59,C Milo
1,3,2,2,39,R Paredes
1,1,4,4,50,S Castillo
3,3,2,2,42,T Crapigna
4,4,2,2,27,L Hajrullahu
2,2,1,3,21,H ONeill
2,2,4,4,42,R Paredes
0,0,4,4,49,T Long
0,0,1,2,43,B Bede
0,0,3,3,31,B Maher
2,0,3,3,2,J Medlock
0,0,0,1,0,B Maher
0,0,5,5,45,T Long
2,2,3,5,53,S Castillo
3,3,4,4,0,L Hajrullahu
1,1,1,1,0,B Bede
1,1,0,0,0,T Crapigna
0,0,5,5,40,R Paredes
0,0,1,2,22,B Maher
2,2,1,1,16,T Crapigna
5,5,5,5,45,R Paredes
1,1,1,1,28,B Bede
3,3,2,2,35,S Castillo
3,3,2,2,47,L Hajrullahu
1,2,2,3,42,S Waters
3,4,0,3,0,J Medlock
1,1,2,3,48,J Medlock
1,1,3,4,50,S Castillo
2,2,3,3,42,L Hajrullahu
1,1,4,4,34,T Crapigna
1,1,2,2,50,T Long
2,2,3,3,45,B Maher
0,0,4,4,45,B Bede
3,5,3,4,26,S Waters
0,0,2,2,27,K Allen
1,1,4,5,38,R Paredes
2,2,6,6,35,T Crapigna
3,3,2,2,48,B Maher
2,2,3,3,45,J Medlock
2,2,2,2,50,T Long
3,3,3,4,31,S Waters
1,1,1,3,31,L Hajrullahu
0,0,2,2,48,R Paredes
2,2,2,2,26,T Crapigna
2,2,1,2,15,L Hajrullahu
3,3,2,4,53,J Medlock
3,3,2,2,48,T Long
1,1,1,2,25,S Waters
1,1,0,0,0,B Bede
4,4,5,5,48,K Allen
1,1,2,2,53,B Maher
4,4,2,3,43,K Allen
4,4,3,5,24,T Crapigna
0,1,2,2,19,T Russolino
0,0,7,7,48,J Medlock
3,4,3,3,35,T Long
3,3,2,2,38,S Waters
2,2,2,2,44,R Paredes
3,4,2,2,39,K Allen
0,0,0,1,0,T Russolino
0,0,1,1,28,R Paredes
2,2,3,3,52,J Medlock
1,1,0,0,0,T Crapigna
3,3,2,2,30,S Whyte
1,1,0,0,0,T Long
4,4,4,4,39,L Hajrullahu
0,1,2,2,29,B Maher
4,4,1,1,31,T Crapigna
1,1,3,3,47,J Medlock
5,5,1,1,28,S Whyte
3,3,1,2,35,L Hajrullahu
1,1,2,2,28,T Crapigna
3,3,0,1,0,R Paredes
3,3,2,4,34,S Whyte
0,1,1,1,32,L Hajrullahu
1,1,1,1,39,R Paredes
