longest punt, name, punt yards, punts
61,Chris Miller,283,6
62,Jacob Richardson,225,5
38,Brad Elkin,89,3
60,Kevin Huber,113,2
48,Mike Brandtner,195,5
40,Jake Kilroy,188,5
54,Scott Love,252,6
12,Cole Wilson,12,1
50,Michael Such,124,3
43,Paul Smith,85,2
44,Blake McAdams,178,5
56,Patrick Fisher,314,7
47,Jarrod Kaufman,250,6
42,Alexis Serna,232,7
62,Louie Sakoda,458,11
50,Ben Woods,308,7
60,Leon Jackson III,332,7
77,Brian Pacheco,301,6
52,Robert Long,178,4
65,John Barker,112,2
52,Jared Ballman,185,4
56,Jeff Wathne,120,3
37,Greg Veteto,37,1
55,Ryan Harrison,96,2
41,John Stec,179,5
60,Owen Tolson,272,6
40,PJ Fitzgerald,40,1
49,Jeremy Davis,170,4
45,Adrian Vera,279,8
53,Ryan Shoemaker,256,6
56,Tim Reyer,402,9
41,Jonathan Johnson,77,2
62,Waylon Prather,364,8
62,Johnny Ayers,258,6
42,Sam Swank,188,6
49,CJ Santiago,193,5
63,Keenyn Crier,369,8
56,Andrew Larson,218,5
55,Britton Colquitt,245,6
53,Jimmie Kaylor,166,4
37,Matt DiLallo,73,2
35,Kevin Jones,93,3
31,Nick Maggio,79,3
29,Zack Asack,29,1
47,Desi Cullen,197,5
63,Keegan Peterson,187,5
40,Mickey Groody,40,1
48,David DeFatta,288,8
49,Chas Henry,115,3
56,Jeremy Moore,353,8
45,Robert Malone,72,2
51,Brian Mimbs,212,5
50,Matt Fodge,307,7
30,Tim Grasso,30,1
48,Anthony Santella,226,6
39,Kyle Yelton,39,1
49,Adam Crossett,194,6
46,Michael Hines,127,3
57,Ryan Donahue,321,8
55,Chris Nendick,304,7
40,Andy Dittbenner,75,2
44,Kyle Tucker,153,4
51,Tony Mikulec,341,8
33,Dan LeFevour,33,1
44,Tim Masthay,44,1
59,Chris Keagle,299,6
45,Travis Baltz,86,2
35,Aaron Bates,97,3
50,Swayze Waters,291,8
51,Brent Sutherland,51,1
24,Matt Malouf,24,1
52,Justin Sparks,143,3
35,Matt Bosher,107,4
47,Anthony Binswanger,207,5
56,Zoltan Mesko,146,3
57,Justin Kucek,234,6
55,Nick Iovinelli,287,7
64,Terrence Brown,201,4
34,Nathan Franklin,126,4
52,Blake Clingan,305,7
45,Dan Titchener,89,2
58,Zacary Whited,401,10
44,Stefan Demos,117,3
55,Geoffrey Price,268,7
53,Durant Brooks,144,3
48,AJ Trapasso,92,2
58,Matt Schulte,255,6
47,Michael Cohen,87,2
34,Mike Knall,34,1
53,Truman Spencer,412,10
52,Josh Syria,221,5
40,Chase Turner,77,2
56,Dave Brytus,227,5
57,Zach Johnson,323,7
54,Jeremy Boone,237,5
56,Chris Cook,437,11
60,Luke Juist,194,5
57,Ryan Succop,135,3
48,Spencer Ortego,221,6
41,Justin Teachey,246,7
55,Britt Barefoot,186,4
58,Jay Ottovegio,429,10
52,Aaron Perez,275,6
57,Derek Wash,310,7
46,Derek Epperson,253,7
42,Caleb Allen,79,2
43,Trevor Gerland,85,2
32,Colt McCoy,60,2
41,Brett Shrable,106,3
53,Brett Kern,394,8
56,Jared Armstrong,146,4
57,Justin Brantly,226,5
51,Greg Woidneck,86,2
56,TJ Conley,344,8
51,Kyle Peterson,288,7
47,Jordan Scott,219,6
47,Brett Upson,123,3
52,Brent Bowden,254,6
60,Matt Dodge,396,9
40,Kenneth DeBauche,79,3
44,Darryl Blunt,195,5
6,Pat McAfee,6,1
59,Jim Laney,355,7
59,Billy Vinnedge,149,3
61,Ryan Weigand,464,9
50,Chris Gould,50,1
52,Jimmy Maners,291,8
48,Graham Gano,334,9
56,Thomas Morstead,235,5
46,Chris Licatovich,159,4
57,Kevin Huber,309,7
48,Alexis Serna,143,4
53,Corey Goettsche,53,1
39,David DeFatta,78,2
37,Jeremy Ito,37,1
30,Greg Veteto,57,2
59,Owen Tolson,282,6
50,Keenyn Crier,144,4
41,Jason Bondzio,41,1
40,Patrick Tatum,115,3
53,Ryan Shoemaker,105,2
54,Delbert Alvarado,257,6
47,Jonathan Johnson,303,8
48,Matt DiLallo,274,7
48,Thomas Suazo,48,1
35,Derek Epperson,52,2
37,Caleb Allen,37,1
54,Luke Juist,282,6
62,Johnny Ayers,295,7
38,Nathan Franklin,97,3
39,Bradley Pierson,77,2
71,Jimmy Maners,179,4
52,Scott Love,256,6
49,Tony Mikulec,107,3
58,Brett Kern,207,4
41,Desi Cullen,185,5
50,Jimmie Kaylor,185,5
51,Andrew Larson,255,6
61,Matt Dodge,235,6
49,Terrence Brown,230,6
56,Zach Johnson,281,7
61,Chris Miller,242,5
66,Chris Cook,297,7
52,Travis Baltz,341,9
38,Chas Henry,109,3
43,Adrian Vera,119,3
54,Graham Gano,94,2
45,Brent Moody,45,1
53,Swayze Waters,302,7
50,Brian Mimbs,215,5
52,Ryan Succop,285,7
53,Durant Brooks,93,2
49,TJ Conley,252,6
40,Anthony Santella,304,9
49,Ryan Donahue,127,4
56,Robert Long,341,8
50,Mike Brandtner,89,2
41,Kyle Tucker,76,2
52,Tim Reyer,132,3
49,Waylon Prather,216,6
42,Tim Masthay,145,4
44,Jake Kilroy,162,4
39,Spencer Ortego,179,5
47,Matt Schulte,187,5
61,Patrick Fisher,134,3
44,Brent Bowden,321,8
54,Chris Keagle,269,6
51,Tim Grasso,102,2
49,Aaron Bates,250,6
49,Nick Iovinelli,280,7
52,Zoltan Mesko,275,6
48,Josh Syria,88,2
55,Justin Kucek,213,5
53,Jacob Richardson,281,6
50,Justin Sparks,197,5
40,Adam Crossett,180,5
54,Anthony Binswanger,325,8
54,Pat McAfee,277,7
52,Andy Dittbenner,97,2
46,Jordan Scott,119,3
48,Jarrod Kaufman,85,2
47,Stefan Demos,237,7
44,Zacary Whited,213,6
57,AJ Trapasso,185,4
52,John Stec,575,14
45,Michael Cohen,86,2
51,Matt Bosher,408,10
52,Matt Fodge,183,5
54,Keegan Peterson,384,8
38,Mickey Groody,38,1
42,Dave Brytus,144,4
50,Jeremy Boone,259,6
57,Geoffrey Price,403,9
45,Eric Maust,45,1
54,Jared Armstrong,199,5
72,Thomas Morstead,278,5
73,Truman Spencer,176,4
61,Jeff Wathne,300,7
58,Ben Woods,129,3
46,Chad Cunningham,122,3
50,Britt Barefoot,97,2
48,Trevor Gerland,168,4
63,Derek Wash,267,6
48,Ross Thevenot,286,7
42,Blake McAdams,112,3
46,Justin Brantly,158,4
42,Kyle Zimmerman,120,3
50,Jonathan LaCour,50,1
59,Kyle Peterson,217,5
54,Aaron Perez,352,8
56,CJ Santiago,342,8
46,Brian Pacheco,161,4
46,Kenneth DeBauche,189,5
59,Louie Sakoda,348,7
49,Ryan Harrison,237,6
42,Brett Upson,257,8
58,PJ Fitzgerald,208,5
46,Ryan Weigand,88,2
31,Chris Gould,31,1
53,Kevin Jones,214,5
54,Sam Swank,273,7
51,Dan Titchener,225,5
63,Jared Ballman,240,6
42,Brad Elkin,134,4
32,Kyle Brotzman,32,1
46,Darryl Blunt,46,2
47,Micheal Hughes,168,4
71,Jim Laney,229,5
41,Michael Hines,169,5
51,Billy Vinnedge,188,4
62,Leon Jackson III,186,4
61,Ryan Harrison,326,7
63,Derek Wash,200,4
34,Andy Dalton,34,1
43,Travis Baltz,215,6
37,Pat McAfee,107,3
61,Greg Whibbs,95,2
39,Adrian Vera,70,2
65,Matt Fodge,335,7
47,Brett Shrable,183,5
52,Thomas Morstead,244,6
46,PJ Fitzgerald,181,5
54,Jeremy Davis,313,7
67,Keenyn Crier,141,3
52,Jordan Scott,263,6
49,Patrick Tatum,165,4
73,Blake McAdams,260,6
53,Jonathan Johnson,122,3
55,Micheal Hughes,268,7
52,Derek Epperson,186,4
44,Caleb Allen,111,3
45,Kyle Brotzman,165,4
48,Brad Elkin,83,2
56,Billy Vinnedge,304,7
39,Andrew Larson,147,4
56,Chris Keagle,286,7
53,Blake Clingan,325,7
39,Trevor Gerland,152,4
56,Jimmy Maners,147,3
