name, receiving touchdowns, receiving yards, receptions
W Snead,2,164,9
J Williams,1,64,6
J Smith,0,63,4
Z Fakes,0,24,1
K Mabon,0,12,2
J Edwards,0,7,1
C Ryan,0,6,1
A Warrum,1,65,2
J OShaughnessy,0,57,5
P Dudley,0,44,4
C Shandrick,0,36,4
C Chatham,0,29,1
B Athey,0,24,2
J Neukirch,0,22,1
M Meyers,1,5,1
S Joplin,0,40,2
C Gallon,0,31,3
T Beck,0,25,2
R Burbrink,0,24,2
R Moore,0,18,1
C Pohlman,0,13,1
A Bayer,0,12,1
J James,0,58,3
K Garrett,0,54,5
D Patterson,1,45,3
T Watts,0,33,5
T Wilson,0,15,1
K Lucas,0,15,1
J Douglas,0,2,2
B Perriman,1,113,3
J Worton,1,60,3
R Hall,1,54,3
J Reese,0,38,2
J Tukes,0,25,2
J Godfrey,0,13,2
K Miller,0,9,1
D Owi,0,5,1
S Johnson,0,2,2
F Bickley,0,26,3
M Traylor Bennett,0,25,3
L Smith,0,25,2
I Davis,1,13,2
D Frieson,0,10,3
T Goodman,0,10,1
K Sconiers,0,4,1
J Chisholm,0,3,1
C Hundley,0,0,2
G Davis,0,100,5
S Phillips,2,77,5
L McCombs,0,18,5
M DeLorenzo,0,11,1
L Kinnard,0,61,4
S Wilkins,0,55,5
B Dowling,0,45,1
S Phifer,1,23,1
D Joseph,0,6,1
T West,0,2,1
D Adams,2,148,14
I Burse,0,118,13
J Harper,2,94,14
G Watson,1,33,2
M Jensen,0,25,2
J Quezada,0,21,4
M Micenheimer,0,14,2
M Waller,0,3,1
L Carroo,3,135,5
B Coleman,2,94,9
Q Pratt,0,47,3
R Peele,0,31,4
M Burton,0,14,2
P Carrezola,0,11,1
P James,0,9,1
T Kroft,0,7,1
K Kirkwood,1,84,2
D King Jr,0,30,3
M Langkilde,0,18,2
C Gant,0,17,2
V Haynes,0,15,2
H Moleni,0,11,1
S Harding,0,10,1
A Wily,0,9,1
M Kemp,0,8,1
S Lakalaka,0,6,1
M Lee,0,104,8
N Agholor,1,35,2
X Grimble,0,18,3
T Madden,0,10,1
J Pinner,0,5,1
T Bolser,2,78,6
K Hughes,1,69,3
S Wynn,2,46,2
N Stoner,1,44,1
C Latimer,0,44,2
I Roundtree,0,18,1
D Wilson,0,11,1
