kickoff return yards, kickoff returns, longest kickoff return, name
21,1,21,N Phillips
18,1,18,J Baker
96,5,22,B Winnegan
120,4,48,D Green
25,1,25,K Noel
72,3,35,D Wilson
28,1,28,C Jones
63,3,25,R Leonard
62,3,21,E Thomas
42,2,21,J Carr
12,1,12,B Lemelle
33,2,17,J Jordan
16,1,16,J Golden
5,1,5,B Mitchell
72,4,25,P Harris
64,2,41,P Lindsay
91,5,30,J Jordan
66,3,38,E Penny
17,1,17,D Patterson
20,1,20,J Myrick
57,3,24,K Listenbee
17,1,17,E Mitchell
4,1,4,F Faaituala
24,1,24,D Samuel
19,2,14,T Ervin
40,2,22,S Badie
0,1,0,D Breaux
95,1,95,D Edwards
36,1,36,J Peppers
61,3,22,D Sims
45,2,27,K Towner
8,1,8,J Armstrong
84,5,23,M Hyatt
21,1,21,J McNichols
22,2,18,D Washington
70,3,27,C Sullivan
27,1,27,G Smith
12,1,12,A Sweeting
11,1,11,A Duke
69,2,49,B West
53,3,22,K Johnson
22,1,22,Jr
24,1,24,J Jefferson
46,2,28,B Estime
185,4,100,D Phillips
24,1,24,D Braverman
35,1,35,R Shelton
28,2,16,K Drake
7,1,7,C Black
84,4,33,N Jamerson
55,2,30,E Hawkins
130,6,29,A Golden
28,1,28,J Ford
22,1,22,R Louis
14,1,14,B Countess
31,2,16,S Alston
25,1,25,J Johnson
18,1,18,J Martinez
18,1,18,T Watson
11,1,11,B Singleton
93,3,36,C Moore
39,1,39,A Scott
100,1,99,J Vaden
59,3,23,Q Johnson
23,1,23,I Jones
121,5,31,D Russell
23,1,23,E Daugherty
54,2,30,Z Pascal
19,1,19,J Cox
46,2,23,B Powell
22,1,22,O Clark
90,2,59,K Whitfield
37,1,37,J Ramsey
37,2,20,B Smith
14,1,14,J Gaines
53,2,33,R Davis
8,1,8,B Douglas
34,2,18,T Caldwell
15,1,15,A Johnson
13,1,13,B Luckett
78,3,45,B Wilson
21,1,21,R Jackson
3,1,3,L Bonner
78,4,27,D Williams
35,2,18,R Brookins
19,1,19,D King
104,3,91,R Schadler
16,1,16,D Neal
11,1,11,S Sims Jr
100,1,100,M Burns
67,3,31,S King
60,1,60,J Harmon
77,4,23,G Fuselier
71,2,47,J Dancy
22,1,22,C Henderson
63,2,42,W Likely
6,1,6,P Gallo
30,1,30,J Oglesby
27,1,27,R Scott
12,1,12,K Young
25,1,25,E Brazley
15,1,15,J Walton
19,1,19,A Sherrils
87,3,32,J Bryson
30,2,17,D Brown
23,1,23,D Romine
52,2,30,N Hines
33,2,18,T Ruben
19,1,19,T Newby
19,1,19,E Takenaka
64,3,31,A Turner
37,1,37,P Logan
17,1,17,T Lewis
39,3,21,A Criswell
38,2,22,L Thomas
16,1,16,B Richmond
32,1,32,C Wiggins
19,1,19,S Vault
90,4,28,C McCaffrey
10,1,10,A Carlisle
60,3,24,D Johnson
41,2,23,R Newsome
24,1,24,D Thomas
39,1,39,D Neal
4,1,4,A Ross
28,2,15,V Edwards Jr
99,3,36,B Marshall
14,1,14,B Addison
140,3,89,A Maddox
63,3,25,Q Henderson
17,1,17,D Ford
85,3,32,A Walter
26,1,26,S Stewart
117,3,80,J Grant
72,2,46,C Garrett
97,1,97,R Penny
33,1,33,R Adams
90,4,27,C Mikell
39,2,20,M Thomas
37,1,37,I Smith
100,1,100,B Holloway
6,1,6,G Myles
-15,1,0,G Green
36,2,21,J Thomas
128,5,35,K Farmer
67,1,67,E Berry
19,1,19,R Abernathy IV
42,2,23,C Stephens
6,1,6,C Gallon
4,1,4,R Rhodes
26,2,16,B Louie
89,3,39,H Bussey
24,1,24,C LeBlanc
15,1,15,K Solomon
36,2,24,C Kirk
73,4,23,D Hayes
9,1,9,A Latu
136,3,94,J Grant
3,1,3,D Allen
16,1,16,M Johnson
15,1,15,A Reid
10,1,10,T Mizzell
23,1,23,A Jackson
2,1,2,D Davis
90,4,26,J McKissic
32,2,19,M Gordon
85,3,34,T Martin Jr
7,1,7,B Salmonson
52,2,27,D Keaton
44,3,19,M Crockett
68,2,47,D May
0,1,0,T Gentry
54,2,29,D Reaves
15,1,15,R Watson
41,2,25,D Anthrop
57,3,24,T McMillian
18,1,18,D Greene
132,2,98,K Towner
10,1,10,S Johnson
10,1,10,A Davis
129,5,37,C Henderson
27,2,16,J Dancy
11,1,11,R Jones
48,3,17,H Bussey
18,1,18,M Clark
-54,2,24,C LeBlanc
22,1,22,M Walton
17,1,17,B Hobbs
13,1,13,L Hunt
69,3,27,V Edwards Jr
-1,1,0,L Pitts
105,3,40,J McKissic
55,3,21,A Sherrils
71,3,40,K Drake
16,1,16,R Mullaney
82,4,30,J Bryson
104,5,25,E Hawkins
45,2,25,D Johnson
10,1,10,R Olekanma
46,1,46,J Ford
77,2,57,D Hayes
39,1,39,D Lucien
4,1,4,N Ralston
33,2,21,I Zamora
22,1,22,C Platt
41,1,41,M Walker
15,1,15,D Blackmon
60,3,29,J McNichols
