completions, interceptions thrown, name, passes, passing conversions, passing touchdowns, passing yards
28,3,Kerry Collins,45,0,0,342
16,1,Jeff Garcia,26,0,1,166
26,2,Drew Bledsoe,39,0,1,271
24,0,Vinny Testaverde,30,1,2,210
12,0,Rodney Peete,19,0,1,136
20,1,Chris Redman,34,0,1,218
20,1,Jim Miller,33,0,2,297
16,2,Daunte Culpepper,28,0,1,234
18,1,Gus Frerotte,31,0,0,198
15,0,Drew Brees,19,0,2,160
27,0,Kelly Holcomb,39,0,3,326
1,0,Kevin Johnson,1,0,1,33
20,1,Trent Green,29,0,1,276
18,2,Brian Griese,27,0,2,202
32,1,Kurt Warner,41,0,0,315
25,0,Brett Favre,36,0,2,284
15,0,Michael Vick,23,0,1,209
22,1,Mark Brunell,36,1,2,228
19,0,Peyton Manning,31,0,3,211
18,0,Jay Fiedler,27,0,3,207
13,1,Mike McMahon,25,0,1,179
4,0,Joey Harrington,11,0,0,41
19,1,Rich Gannon,28,0,2,214
23,0,Matt Hasselbeck,32,0,2,155
28,0,Brad Johnson,52,0,2,278
0,1,Tom Tupa,1,0,0,0
24,1,Aaron Brooks,42,0,2,260
24,1,Steve McNair,34,0,2,269
18,2,Donovan McNabb,36,0,3,212
10,1,David Carr,22,0,2,145
13,1,Quincy Carter,30,0,0,131
28,1,Shane Matthews,40,0,3,327
14,1,Jake Plummer,36,0,1,187
29,0,Tom Brady,43,0,3,294
24,3,Kordell Stewart,37,0,1,242
1,0,Antwaan Randle El,1,0,0,5
17,0,Michael Vick,28,0,1,166
12,1,Jim Miller,24,0,1,143
16,1,Chris Redman,38,0,0,141
24,0,Brad Johnson,31,0,0,211
21,0,Rodney Peete,32,0,1,310
0,0,Chris Weinke,1,0,0,0
9,1,Mike McMahon,23,0,0,95
3,1,Joey Harrington,7,0,0,11
17,0,Kelly Holcomb,30,0,2,198
26,3,Gus Frerotte,47,0,1,239
14,0,Quincy Carter,24,0,2,240
20,1,Steve McNair,38,0,1,226
1,0,Craig Hentrich,1,0,0,17
2,0,NO Donnell,4,0,0,16
26,3,Peyton Manning,45,0,1,289
13,1,Jay Fiedler,18,0,2,187
16,2,Trent Green,31,0,1,199
0,0,Priest Holmes,1,0,0,0
25,0,Mark Brunell,36,0,2,320
25,0,Daunte Culpepper,45,0,3,281
0,0,Randy Moss,1,0,0,0
35,0,Drew Bledsoe,49,0,3,463
16,2,Aaron Brooks,28,0,2,217
29,1,Brett Favre,44,0,2,270
15,1,Vinny Testaverde,23,0,1,150
3,0,Chad Pennington,10,0,0,39
25,1,Tom Brady,35,0,2,269
18,1,Kordell Stewart,34,0,2,201
43,2,Rich Gannon,64,0,1,403
0,0,Terry Kirby,1,0,0,0
15,1,Drew Brees,28,0,1,163
6,2,David Carr,25,0,0,87
29,0,Trent Dilfer,47,0,1,352
10,1,Jake Plummer,22,0,1,107
27,1,Jeff Garcia,36,0,1,205
14,0,Brian Griese,19,0,2,119
26,2,Kurt Warner,39,0,1,266
22,1,Kerry Collins,26,0,1,307
10,1,Shane Matthews,22,0,0,62
6,1,Danny Wuerffel,9,0,0,57
