longest rush, name, rushes, rushing touchdowns, rushing yards
25,A Harris,14,0,77
12,C Streveler,7,0,30
16,N Demski,2,0,20
8,W Dressler,2,0,10
14,M Reilly,11,2,43
16,C Gable,9,0,40
11,J Messam,21,0,72
15,T Mason,5,0,37
2,Z Collaros,1,0,2
16,M Jackson,3,0,24
5,J Wilder Jr,5,0,16
8,R Ray,1,0,8
2,J Franklin,4,1,6
44,D Jackson,12,1,87
12,T Williams,7,0,33
12,B Mitchell,1,0,12
7,M Timmis,6,0,20
13,N Whitlock,2,0,16
13,J Masoli,2,1,12
7,S Thomas Erlington,2,0,8
21,J Jennings,9,0,57
18,J Johnson,10,0,52
16,C Rainey,1,0,16
9,T Sutton,15,0,65
8,D Willy,3,0,10
3,E Lewis,1,0,3
17,W Powell,19,1,94
9,T Harris,4,0,16
3,D Davis,2,0,4
16,T Mason,7,0,33
12,J Messam,7,0,28
16,B Bridge,4,0,27
6,S Moore,1,0,6
44,T Sutton,4,0,53
12,S Logan,1,0,12
1,R Stone,1,0,1
28,C Streveler,10,1,98
15,A Harris,15,0,58
27,K Lafrance,10,1,50
31,B Bennett,1,0,31
5,N Demski,1,0,5
3,W Dressler,1,0,3
11,C Gable,9,0,36
15,M Reilly,5,1,26
44,M Timmis,17,2,133
20,J Masoli,7,0,59
4,N Whitlock,1,0,4
15,J Wilder Jr,10,0,60
10,J Franklin,3,1,14
6,M Jackson,2,0,2
70,D Jackson,9,0,123
16,T Williams,12,0,70
4,N Arbuckle,3,1,8
4,B Mitchell,1,0,4
15,D Jackson,15,1,84
8,T Williams,4,0,15
3,A Milanovic Litre,1,0,3
2,N Arbuckle,1,0,2
1,B Mitchell,1,0,1
27,W Powell,13,0,123
0,D Davis,1,0,0
23,S Thomas Erlington,11,0,92
5,M Timmis,7,2,13
5,J Masoli,2,0,6
15,A Harris,14,1,66
16,C Streveler,5,1,55
10,J Briggs,1,0,10
3,N Demski,1,0,3
34,C Gable,23,1,165
9,M Reilly,8,1,15
10,J Robinson,2,0,11
17,J Johnson,11,1,64
21,J Jennings,5,0,34
15,B Burnham,1,0,15
6,C Rainey,1,0,6
1,C Fajardo,1,1,1
14,D Watford,5,0,21
7,T Mason,7,0,19
6,M Thigpen,5,0,16
2,B Bridge,3,0,5
7,T Sutton,11,0,20
7,D Willy,3,0,12
2,J Matthews,1,0,2
29,D Watford,7,0,50
34,M Thigpen,5,1,48
14,B Bridge,4,0,30
5,T Mason,3,0,12
8,J Messam,4,0,10
20,J Masoli,5,0,60
12,N Whitlock,3,0,18
11,J White IV,2,0,9
8,M Timmis,7,0,9
9,T Sutton,11,1,41
1,J Matthews,1,0,1
1,V Adams Jr,1,0,1
26,W Powell,23,0,138
2,D Davis,4,0,6
18,J Wilder Jr,21,1,120
18,J Franklin,6,1,31
2,B Burks,1,0,2
10,C Gable,14,0,39
4,M Reilly,5,0,11
6,K Jones,1,0,6
43,A Harris,12,1,109
26,C Streveler,5,2,33
9,N Demski,3,0,9
1,K Lafrance,1,0,1
25,J Johnson,13,1,80
7,C Fajardo,4,1,11
8,C Rainey,4,0,10
5,J Jennings,3,0,6
5,W Powell,8,0,17
10,D Collins,2,0,12
4,D Davis,1,0,4
2,B Gillanders,1,0,2
0,T Harris,1,0,0
48,D Jackson,15,0,102
3,R Morris,9,1,17
7,N Arbuckle,5,0,13
1,B Mitchell,1,0,1
15,M Reilly,6,0,55
13,C Gable,10,0,51
5,J Robinson,2,0,6
5,J Wilder Jr,12,1,26
11,S Gingras Gagnon,1,0,11
5,J Franklin,2,0,7
2,M Jackson,4,0,6
16,C Rainey,10,0,43
17,J Johnson,3,0,26
2,C Fajardo,5,1,4
37,A Harris,13,2,139
30,N Demski,4,0,35
7,C Streveler,5,0,12
1,R Simonise,1,0,1
21,J White IV,12,1,55
15,J Masoli,3,0,24
80,M Thigpen,1,1,80
15,J Messam,15,0,70
30,T Mason,7,0,51
5,B Bridge,5,0,17
0,D Watford,1,0,0
8,W Powell,14,1,50
8,T Harris,5,0,13
2,D Davis,2,0,4
17,B Rutley,17,1,91
12,C Fajardo,4,0,19
4,C Rainey,3,0,9
0,T Long,1,0,0
12,B Burks,3,0,19
2,J Franklin,3,0,5
18,A Harris,27,1,161
10,W Dressler,1,0,10
7,N Demski,2,0,10
2,C Streveler,1,0,2
1,M Nichols,1,1,1
9,D Jackson,17,0,46
9,T Williams,4,0,15
4,N Arbuckle,2,0,6
2,D Daniels,1,0,2
12,T Sutton,10,0,44
8,M Shiltz,4,0,18
28,V Adams Jr,8,1,72
11,T Sutton,7,0,39
15,B Cunningham,1,0,15
5,R Stone,1,1,5
1,W Stanback,1,0,1
10,C Gable,15,0,69
10,M Reilly,7,1,26
3,J Robinson,1,0,3
28,N Demski,3,1,34
9,A Harris,10,0,28
16,W Dressler,2,0,15
8,K Lafrance,3,0,12
2,C Streveler,1,0,2
1,M Nichols,1,0,1
15,J Wilder Jr,15,1,81
21,M Jackson,2,0,36
9,J Franklin,7,1,21
19,A Edwards,1,0,19
6,J White IV,8,0,25
8,J Masoli,2,0,10
12,W Powell,15,0,47
14,T Harris,3,0,15
2,D Davis,2,0,3
18,T Mason,6,0,37
10,J Messam,5,0,25
6,M Thigpen,10,0,23
12,D Watford,1,0,12
2,B Bridge,4,0,3
20,R Morris,12,0,41
8,T Williams,2,0,12
2,N Arbuckle,1,0,2
10,J Wilder Jr,17,0,73
23,M Bethel Thompson,6,0,54
2,J Franklin,3,2,4
13,W Powell,14,0,35
3,D Davis,4,1,8
3,B Gillanders,1,0,3
14,C Gable,14,1,81
10,M Reilly,5,1,22
3,J Robinson,2,0,3
42,T Mason,7,0,62
11,M Thigpen,5,1,17
11,Z Collaros,1,0,11
0,D Watford,3,0,0
17,T Sutton,9,0,61
35,W Stanback,4,0,55
13,V Adams Jr,4,1,26
17,T Graham,1,0,17
6,R Stone,2,0,7
6,B Cunningham,1,0,6
3,J Manziel,2,0,4
21,A Green,15,2,74
24,S Thomas Erlington,4,0,40
13,J Masoli,5,1,36
13,M Timmis,1,0,13
3,D Evans,1,0,3
3,B Banks,0,0,3
11,R Morris,15,0,48
19,A Milanovic Litre,2,0,23
4,N Arbuckle,7,2,12
8,J Johnson,11,1,50
2,C Fajardo,3,0,4
11,T Van,8,1,38
8,T Lulay,1,0,8
3,C Fajardo,2,0,4
19,C Gable,11,0,54
1,M Reilly,1,1,1
30,A Harris,16,1,82
4,N Demski,1,0,4
2,C Streveler,3,0,4
36,J Masoli,7,0,80
22,A Green,16,2,63
17,W Powell,17,1,104
4,T Harris,3,0,6
2,D Davis,2,0,4
17,T Sutton,10,0,63
17,J Manziel,3,0,36
2,A Pipkin,2,0,3
1,K Matte,0,1,1
16,A Harris,12,1,72
12,M Nichols,1,0,12
6,N Demski,1,0,6
3,C Streveler,1,0,3
28,W Powell,18,1,106
16,T Harris,2,0,26
2,D Davis,3,2,4
3,B Gillanders,1,0,3
14,J Wilder Jr,18,0,91
3,J Franklin,4,1,8
5,A Coombs,1,0,5
2,M Jackson,1,0,2
15,J Johnson,11,1,60
16,C Rainey,4,0,36
9,T Lulay,2,0,17
2,C Fajardo,2,0,3
24,S Cooper,17,0,102
10,M Reilly,8,1,30
4,C McCarty,1,0,4
9,T Sutton,9,0,31
22,A Pipkin,2,1,23
4,E Lewis,1,1,4
19,T Mason,12,0,55
10,M Thigpen,6,0,43
11,S Evans,1,0,11
3,N Marshall,1,1,3
13,R Morris,13,0,70
8,B Mitchell,2,0,14
8,A Milanovic Litre,1,0,8
3,T Williams,1,0,3
12,A Green,19,1,104
8,J Masoli,5,0,27
7,S Thomas Erlington,1,0,7
61,C Gable,8,0,81
11,M Reilly,4,0,31
16,W Stanback,11,0,53
13,A Pipkin,6,2,29
4,R Stone,3,0,6
6,J Wilder Jr,9,0,29
8,J Franklin,4,0,18
10,M Alford,1,0,10
3,M Bethel Thompson,1,0,3
1,M Jackson,1,0,1
15,D Jackson,9,0,46
10,B Mitchell,1,0,10
1,N Arbuckle,3,0,2
0,M Michel,1,0,0
16,C Streveler,5,0,29
5,A Harris,7,0,13
6,N Demski,1,0,6
3,K Lafrance,1,0,3
2,R Lankford,1,0,2
8,J Johnson,9,0,33
18,C Rainey,3,0,27
10,R Collins Jr,1,0,10
3,T Lulay,1,0,3
1,C Fajardo,1,0,1
9,T Mason,11,0,57
17,K Moore,1,0,17
5,C Marshall,4,0,10
1,Z Collaros,1,0,1
1,N Marshall,1,1,1
13,W Powell,9,0,50
8,T Harris,2,0,8
21,R Stone,14,0,81
28,A Pipkin,9,1,75
19,M Thigpen,5,0,55
11,T Mason,8,0,35
5,Z Collaros,4,0,10
1,N Marshall,4,2,3
38,A Harris,15,0,158
8,M Nichols,3,0,16
15,N Demski,1,0,15
2,C Streveler,2,0,3
1,K Lafrance,1,0,1
43,D Jackson,17,0,115
6,T Williams,3,0,10
13,C Gable,14,1,68
17,M Reilly,6,0,40
19,A Green,18,2,115
9,J Masoli,5,0,22
12,M Timmis,1,0,12
6,B Banks,1,0,6
3,S Thomas Erlington,1,0,3
10,J Wilder Jr,11,0,47
4,J Franklin,4,2,8
33,J Johnson,11,1,69
4,C Fajardo,3,0,6
5,T Van,2,0,5
2,J Jennings,1,0,2
2,T Lulay,1,0,2
12,W Powell,17,0,82
3,T Harris,1,0,3
1,D Davis,1,0,1
24,J Wilder Jr,11,0,76
0,J Franklin,5,1,8
4,M Bethel Thompson,1,0,4
10,A Green,13,0,60
22,J Masoli,8,0,51
10,M Jones,1,0,10
2,S Thomas Erlington,2,0,1
18,N Demski,4,0,32
7,A Harris,10,0,21
4,T Flanders,2,0,6
1,C Streveler,1,1,1
13,T Mason,20,0,117
7,Z Collaros,3,0,9
2,B Bridge,1,0,2
2,M Thigpen,1,0,2
17,M Reilly,8,3,43
19,S Cooper,8,0,42
75,R Morris,7,2,95
5,B Mitchell,1,0,5
1,T Williams,1,0,1
21,A Pipkin,9,0,69
16,W Stanback,8,0,52
5,R Stone,1,0,5
12,J Johnson,12,0,50
12,J Jennings,8,0,46
7,C Rainey,3,0,6
11,A Green,9,0,51
12,S Thomas Erlington,3,0,16
3,J Masoli,3,0,4
31,R Morris,16,1,98
21,B Mitchell,1,0,21
6,N Arbuckle,3,0,9
2,T Williams,1,0,2
16,T Mason,14,0,68
4,M Thigpen,1,0,4
3,K Moore,1,0,3
2,N Marshall,1,0,2
1,Z Collaros,1,0,1
69,W Powell,18,2,147
5,T Harris,1,0,5
2,D Davis,3,0,4
2,B Gillanders,2,0,3
17,A Harris,7,0,44
7,K Lafrance,8,1,23
10,N Demski,2,0,10
4,M Nichols,3,0,7
5,W Dressler,1,0,5
3,C Streveler,2,1,4
21,W Stanback,12,0,71
11,J Manziel,6,0,36
11,R Stone,3,0,11
2,A Pipkin,2,1,3
33,W Powell,23,0,147
8,T Harris,1,0,8
1,G Ellingson,1,0,1
1,D Davis,1,0,1
18,C Gable,6,0,52
3,M Reilly,4,1,6
1,M Jackson,1,0,1
18,J Wilder Jr,9,0,48
11,M Bethel Thompson,4,0,25
12,B Burks,5,0,24
3,J Franklin,3,1,5
4,A Edwards,1,0,4
2,L Noel,1,0,2
82,M Thigpen,4,1,95
15,Z Collaros,4,0,28
12,T Mason,8,0,19
2,N Marshall,1,0,2
8,J Jennings,4,0,26
7,J Johnson,7,0,25
10,C Rainey,4,0,24
11,C Fajardo,1,0,11
3,R Lumbala,2,0,3
11,J White IV,19,1,62
18,J Masoli,5,0,37
12,D Jackson,11,0,54
36,M Michel,1,1,36
13,B Mitchell,1,0,13
4,R Morris,1,0,4
2,N Arbuckle,1,1,2
15,D McCluster,4,0,27
12,J Wilder Jr,6,0,26
4,M Bethel Thompson,3,1,8
3,J Franklin,3,1,7
2,A Edwards,1,0,2
1,D Cross,1,0,1
32,J White IV,15,0,108
2,J Masoli,1,0,2
11,C Fajardo,6,0,27
5,C Rainey,4,0,13
3,J Johnson,3,0,6
3,J Jennings,2,0,5
18,C Gable,11,0,64
13,M Reilly,7,0,41
1,D OBrien,1,0,1
13,A Harris,20,1,73
2,C Streveler,3,1,4
3,M Nichols,1,0,3
25,J Manziel,5,0,45
11,W Stanback,8,0,31
2,A Pipkin,3,1,4
0,E Lewis,1,0,0
27,T Mason,13,1,86
9,M Thigpen,4,0,19
9,Z Collaros,3,0,10
1,N Marshall,3,2,3
48,W Powell,14,0,95
5,T Harris,1,0,5
4,R Leone,1,0,4
2,D Davis,2,0,2
23,A Harris,20,0,132
18,N Demski,5,0,34
11,C Streveler,4,0,18
6,M Nichols,2,0,7
18,J Johnson,19,0,118
33,J Jennings,3,0,47
11,C Rainey,3,0,19
2,C Fajardo,2,0,3
68,B Burks,8,0,92
44,J Franklin,4,0,61
17,D McCluster,10,0,53
2,M Bethel Thompson,1,0,2
13,W Stanback,12,0,67
8,J Manziel,5,0,18
2,A Pipkin,1,0,2
0,E Jackson,1,0,0
16,D Jackson,13,0,51
14,T Williams,4,1,37
14,B Mitchell,1,0,14
3,N Arbuckle,3,0,5
5,T Mason,10,0,20
9,Z Collaros,1,0,9
3,N Marshall,1,0,3
13,M Reilly,8,0,57
13,C Gable,12,0,56
