field goals, field goals attempted, kicking extra points, kicking extra points attempted, longest field goal, name
1,1,,,38,Eddy Pineiro
1,1,1,1,39,Mason Crosby
,,1,2,,Austin Seibert
2,2,5,5,53,Cairo Santos
1,1,2,2,31,Matt Gay
3,4,2,2,47,Robbie Gould
4,4,1,1,42,Zane Gonzalez
2,2,3,3,55,Matt Prater
1,1,3,3,40,Ty Long
1,3,1,2,44,Adam Vinatieri
,,5,5,,Brett Maher
1,1,2,2,28,Aldrick Rosas
1,1,1,1,54,Jason Sanders
1,1,8,8,34,Justin Tucker
1,1,3,3,22,Jake Elliott
2,2,3,3,48,Dustin Hopkins
2,2,2,2,37,Josh Lambo
4,4,4,4,46,Harrison Butker
0,1,0,1,0,Kaare Vedvik
1,1,2,2,43,Stephen Hauschka
2,3,3,3,52,Joey Slye
3,4,3,3,56,Greg Zuerlein
4,4,3,3,41,Stephen Gostkowski
1,1,,,19,Chris Boswell
,,3,3,,Jason Myers
2,3,2,2,39,Randy Bullock
,,4,4,,Dan Bailey
1,1,3,3,29,Daniel Carlson
3,4,1,1,39,Brandon McManus
3,4,3,3,58,Wil Lutz
,,4,4,,Kaimi Fairbairn
4,4,,,54,Joey Slye
2,3,2,2,40,Matt Gay
1,2,2,2,37,Randy Bullock
2,3,5,5,38,Robbie Gould
2,2,,,43,Brandon McManus
3,3,1,1,53,Eddy Pineiro
1,2,4,6,28,Stephen Gostkowski
1,2,3,3,50,Matt Bryant
2,2,,,41,Jake Elliott
0,1,2,2,0,Aldrick Rosas
,,4,4,,Stephen Hauschka
0,1,1,2,0,Matt Prater
1,3,1,1,39,Ty Long
,,3,3,,Mason Crosby
1,2,1,1,31,Dan Bailey
1,1,1,1,28,Daniel Carlson
,,4,4,,Harrison Butker
2,2,3,3,24,Greg Zuerlein
3,3,,,52,Wil Lutz
3,3,2,2,51,Justin Tucker
3,3,,,22,Zane Gonzalez
,,3,3,,Dustin Hopkins
1,1,4,4,25,Brett Maher
2,2,2,2,41,Chris Boswell
0,1,4,4,0,Jason Myers
2,2,1,1,39,Kaimi Fairbairn
2,2,,,40,Josh Lambo
1,2,2,2,49,Cairo Santos
,,1,3,,Adam Vinatieri
1,1,,,46,Sam Ficken
3,3,2,2,48,Austin Seibert
2,2,2,2,48,Josh Lambo
,,1,1,,Cairo Santos
2,3,1,1,45,Stephen Hauschka
1,1,2,2,43,Randy Bullock
2,2,1,1,35,Austin Seibert
2,3,2,2,53,Greg Zuerlein
4,5,1,2,52,Matt Gay
1,1,3,3,36,Aldrick Rosas
2,2,2,2,47,Zane Gonzalez
1,1,5,5,36,Joey Slye
2,2,2,2,43,Ty Long
0,1,3,4,0,Kaimi Fairbairn
2,2,3,4,42,Harrison Butker
1,1,1,1,39,Justin Tucker
2,2,3,3,49,Adam Vinatieri
1,1,3,3,34,Matt Bryant
1,2,4,4,28,Brett Maher
2,3,,,33,Jason Sanders
1,1,3,3,25,Jake Elliott
2,3,3,3,33,Matt Prater
1,1,3,3,24,Robbie Gould
