extra points, extra points attemped, field goals, field goals attemped, longest field goal, name
5,5,1,2,17,L Congi
5,5,2,3,42,D Duval
2,2,5,6,32,R Maver
1,1,1,1,28,G Shaw
5,5,3,6,36,A Serna
1,1,2,2,42,S Deangelis
1,1,1,1,30,N Prefontaine
1,1,6,6,50,P McCallum
4,4,2,3,43,A Serna
3,3,4,4,52,G Shaw
2,2,2,4,42,S Deangelis
2,2,3,3,24,R Maver
1,1,5,6,37,D Schiavone
3,3,1,2,45,D Duval
0,0,4,6,48,G Shaw
3,3,1,1,21,R Maver
4,4,0,2,0,S Deangelis
1,1,1,1,14,P McCallum
0,0,4,6,41,D Duval
2,2,3,3,54,L Congi
1,1,3,3,31,N Prefontaine
1,1,7,8,47,D Duval
0,0,2,3,27,S Deangelis
3,3,1,2,50,G Shaw
2,2,1,1,45,P McCallum
6,6,1,1,45,A Serna
3,3,0,1,0,N Prefontaine
5,5,1,1,21,R Maver
2,2,1,3,17,L Congi
5,5,2,2,35,D Duval
1,1,1,2,31,G Shaw
2,2,4,5,46,N Prefontaine
2,2,1,2,45,P McCallum
2,2,7,7,42,L Congi
3,3,1,1,18,S Deangelis
2,2,3,3,45,R Maver
2,2,1,1,33,A Serna
3,3,2,2,47,D Duval
2,2,4,5,46,L Congi
3,3,2,3,48,N Prefontaine
3,3,2,4,45,G Shaw
2,2,3,3,45,S Deangelis
2,2,1,3,19,A Serna
1,1,3,3,38,P McCallum
3,3,2,2,19,R Maver
5,5,0,0,0,L Congi
1,1,2,2,32,P McCallum
5,5,1,1,35,S Deangelis
4,5,1,2,20,G Shaw
3,3,0,1,0,D Duval
7,7,1,2,33,R Maver
5,5,0,1,0,D Duval
2,2,1,1,45,J Palardy
0,0,3,4,47,G Shaw
1,1,3,4,30,S Deangelis
3,3,2,2,40,P McCallum
6,6,1,2,11,R Maver
0,0,1,1,37,B Dales
1,1,3,3,52,N Prefontaine
2,2,1,1,31,D Duval
4,4,3,3,30,P McCallum
3,3,1,1,18,L Congi
1,1,3,4,27,J Palardy
3,3,2,3,44,S Deangelis
1,1,2,2,39,G Shaw
6,6,1,3,29,R Maver
0,0,1,1,31,N Prefontaine
2,2,2,2,57,N Prefontaine
4,4,1,3,23,R Maver
0,0,2,3,33,S Deangelis
2,2,4,5,38,D Duval
4,4,3,4,43,P McCallum
2,2,0,2,0,G Shaw
4,4,1,1,38,J Palardy
0,0,0,1,0,L Congi
3,3,2,2,44,L Congi
4,4,3,3,30,R Maver
3,3,3,3,40,P McCallum
2,2,5,5,39,S Deangelis
2,2,1,2,50,J Medlock
1,1,2,2,41,J Palardy
2,2,4,4,38,D Duval
5,5,1,1,40,J Palardy
5,5,3,4,27,D Duval
3,3,1,2,32,S Deangelis
4,4,1,2,35,L Congi
1,1,1,2,20,R Maver
1,1,6,8,42,P McCallum
0,0,0,1,0,J Medlock
3,3,1,1,44,N Prefontaine
5,5,3,3,31,R Maver
1,1,3,3,52,J Medlock
3,3,2,2,26,L Congi
1,1,3,3,40,P McCallum
1,1,2,3,26,J Palardy
4,4,3,4,27,N Prefontaine
3,3,1,1,35,S Deangelis
3,3,1,1,20,S Deangelis
1,1,1,1,38,N Prefontaine
2,2,1,2,42,L Congi
2,2,3,4,48,J Medlock
4,4,6,6,47,C David
2,2,1,1,24,R Maver
0,0,1,2,31,N Prefontaine
3,3,3,4,33,S Deangelis
3,3,2,2,48,S Whyte
2,2,3,3,45,D Schiavone
2,2,2,5,22,C David
1,1,1,1,40,J Palardy
1,1,1,1,36,E Johnson
2,2,0,1,0,L Congi
4,4,2,2,39,R Maver
4,5,2,2,24,S Deangelis
0,0,1,1,31,C David
4,4,1,1,20,R Maver
3,3,5,5,39,P McCallum
0,0,1,2,38,J Palardy
3,3,2,2,38,N Prefontaine
5,5,1,2,45,D Schiavone
3,3,1,1,37,E Johnson
3,3,3,3,48,N Prefontaine
4,4,3,5,19,D Duval
7,7,2,3,33,R Maver
3,3,1,1,40,S Deangelis
0,0,3,3,37,D Schiavone
0,0,4,4,46,J Palardy
2,2,3,4,39,P McCallum
2,2,1,2,15,W Kean
2,2,6,6,51,J Palardy
3,3,4,4,41,R Maver
2,2,3,4,30,P McCallum
0,0,0,1,0,E Johnson
3,3,2,3,25,W Kean
2,2,3,4,41,D Schiavone
0,0,1,3,14,D Duval
3,3,3,4,51,G Shaw
1,1,2,3,23,S Deangelis
1,1,3,3,32,N Prefontaine
2,2,4,5,29,W Kean
2,2,5,5,45,P McCallum
6,6,2,2,34,D Duval
0,0,3,3,32,N Prefontaine
1,1,2,2,25,R Maver
2,2,2,4,42,D Duval
2,2,1,1,27,W Kean
