name, receiving touchdowns, receiving yards, receptions
M Bushman,0,56,3
T Shumway,0,47,2
N Pauu,1,28,1
A Hifo,0,16,4
J Trinnaman,0,12,1
T Balderree,0,12,1
K Hall,0,9,1
T Dye,0,6,1
S Canada,0,4,1
M Simon,0,4,1
C Taumoepeau,0,73,6
J Kraght,0,24,2
D Adams,1,11,2
T Riley,0,8,1
A Williams,0,7,2
Z Summers,0,6,1
A Petties Wilson,0,3,1
J Eason,0,2,1
M Gallup,0,134,11
O Johnson,0,66,5
D Clark,1,29,2
D Fackrell,0,28,2
C Butler,1,27,2
T Smith,0,25,2
D Dawkins,1,18,1
I Matthews,0,7,1
J Villamin,0,77,7
N Togiai,1,67,7
T Hernandez,1,49,2
T Bradford,0,34,3
R Nall,0,30,3
T Johnson,0,16,1
X Hawkins,0,11,2
I Hodgins,0,11,1
T Wily Matagi,0,9,1
A Breneman,0,179,9
S Palmer,0,53,3
A Isabella,1,40,5
M Young,0,16,3
B Dingle,0,7,1
M Lee,1,3,1
J Ursua,1,272,12
A Barker,0,42,4
M Unga,1,30,3
M Armstrong Brown,1,23,3
D Collie,0,13,2
K Ewaliko,0,11,1
S Stewart,0,41,3
E Esukpa,0,19,1
R Wells III,0,19,4
A Walter,0,13,1
J Myers,0,3,1
C Wedington,0,82,6
C Scarlett,0,56,1
K Smith,1,55,4
D Stewart,0,46,2
T Irwin,0,43,2
D Schultz,0,41,2
C Parkinson,2,40,3
S Harrington,0,6,1
B Gaither,2,100,6
J Holmes,1,77,6
J Oliver,0,51,5
T Hartley,0,28,3
B Monroe,0,7,2
M Roberson,0,6,1
Z Zigler,0,6,1
D Packer,0,3,1
M Valdes Scantling,0,91,6
T Alaka,1,49,1
D Salomon,1,43,2
T McCants,0,24,1
J Phillips,0,13,1
D Dukes,0,8,1
D Tice,0,5,1
D Williams,0,48,2
J Barnes,0,30,2
J Nance,0,25,3
D Stewart,1,22,2
C OGrady,1,17,2
A Cantrell,0,16,2
J Jones,0,8,1
L Pettway,0,7,1
J Cornelius,0,6,1
B Norwood,1,54,6
K Smith,0,20,3
C Murphy,0,10,2
D Noird,0,5,1
H Supre,0,3,1
C Hunter,0,3,1
J Humphrey,1,123,7
N Harry,0,69,6
J Harvey,1,68,2
K Williams,0,18,3
N Ralston,0,17,3
J Wilson,0,16,1
K Ballage,0,10,2
J Scott,2,149,8
J Aganon,0,45,4
J Huntley,1,44,5
A Muse,0,41,8
L Rose III,0,40,3
O Clark,0,36,5
D Dan,0,18,2
S Slater,0,12,2
G Hogan,0,9,2
B Roberts,0,4,1
D Snelson,0,98,4
T Smith,2,72,3
C Stewart,0,60,1
G Davis,1,53,4
J Akins,1,45,2
O Anderson,0,31,3
M Williams,0,27,1
E Logan Greene,0,22,3
M Colubiale,0,9,1
A Killins Jr,0,8,1
G McCrae,0,8,1
A Harris,0,4,1
C Larsen,0,2,1
T Owens,1,99,4
J Williams,0,49,6
A Maloney,0,15,2
T Gaiter IV,0,14,2
P McKever,0,13,2
S Phillips,0,6,1
A Gardner,0,5,1
T Geddis,1,48,4
K Lewis,1,41,4
J Rollins,0,22,2
D Gray,0,18,2
T Cogswell,1,13,3
M Boone,0,9,2
K Williams,1,34,2
J Coleman,0,20,2
J Alexander,0,18,2
G Soumare,0,13,1
D Montgomery,0,11,1
A Taner,0,-7,1
M Chapman,0,88,5
L Hessbrook,0,52,5
C Willis,0,43,8
B Childress,1,20,4
O Lavallii,0,18,1
J Ward,0,17,2
D Spalding,0,15,3
M Beauvais,1,106,5
A Parker,1,69,7
I Coulter,1,56,1
K Denny,0,20,2
J Kenny,0,18,1
H Buckner,0,9,2
H Cooper,0,6,3
H Mayala,1,106,9
A Newsome,0,44,2
K Dixon,0,38,5
A McLean,0,36,3
T Beals,0,21,5
A Bloom,0,18,1
Q Skanes,0,13,2
J Joseph,0,2,1
B Bell,1,129,10
R DeNicola,0,87,10
J Montgomery,0,59,7
M Dorsey,0,44,3
D Mountain,0,35,2
M Alexander,0,4,1
T Bateman,1,74,6
A Werts,0,62,2
T Boyd,0,36,2
P Hart,0,36,5
K Neal,0,8,1
E Scaife,0,5,1
G Smith,0,3,1
P Smith,0,70,6
S Newbold,0,37,2
M Cavitt,0,12,1
