extra points, extra points attemped, field goals, field goals attemped, longest field goal, name
3,3,1,1,34,J Medlock
2,2,3,4,52,S Whyte
3,3,4,5,46,B Lauther
2,2,1,1,35,R Pfeffer
1,1,4,4,24,R Paredes
1,1,0,0,0,T Williams
1,1,0,0,0,D Jackson
1,1,2,2,43,L Hajrullahu
2,2,2,2,30,T Long
1,1,1,1,30,B Bede
1,1,4,3,44,L Ward
2,2,1,1,35,B Lauther
0,0,1,1,21,B Bede
2,2,0,0,0,S Whyte
5,5,1,1,44,L Hajrullahu
0,0,0,1,0,R Pfeffer
0,0,2,2,42,R Paredes
3,3,1,1,22,R Paredes
1,1,2,2,39,L Ward
1,2,4,4,50,L Hajrullahu
2,2,1,2,38,J Medlock
3,2,1,1,24,S Whyte
1,1,4,2,39,T Long
0,0,3,3,39,B Lauther
1,1,5,5,45,B Bede
0,0,2,2,52,B Lauther
0,0,4,5,39,L Hajrullahu
2,2,1,1,44,B Bede
0,0,2,2,31,L Ward
1,1,3,4,41,S Whyte
5,5,2,2,31,J Medlock
1,1,2,2,42,T Long
1,1,1,1,11,L Ward
2,3,2,3,25,R Paredes
2,2,0,0,0,S Whyte
0,0,2,3,42,R Pfeffer
2,2,2,2,46,T Long
2,2,1,2,50,J Medlock
2,2,2,2,42,L Hajrullahu
3,3,3,4,36,B Lauther
0,0,5,5,47,L Ward
2,2,1,2,19,T Long
2,2,1,3,31,R Pfeffer
4,4,3,3,44,J Medlock
1,1,0,0,0,R Paredes
1,1,0,0,0,B Bede
1,1,2,5,52,B Bede
5,5,3,3,45,S Whyte
3,3,4,4,47,J Medlock
1,1,0,0,0,R Pfeffer
1,1,2,4,49,L Hajrullahu
0,0,7,7,47,L Ward
1,1,5,5,56,B Lauther
4,4,2,2,52,R Paredes
4,3,1,1,32,Z Medeiros
3,3,2,2,17,L Ward
2,2,2,2,49,S Whyte
2,2,1,1,33,B Lauther
0,0,1,1,30,B Bede
6,7,3,3,48,L Hajrullahu
3,3,1,1,44,R Paredes
2,2,1,1,40,T Long
2,2,3,3,51,T Long
3,2,1,1,40,S Whyte
3,3,2,3,33,J Medlock
2,2,1,1,39,L Hajrullahu
1,1,3,3,45,L Ward
2,2,0,1,0,B Bede
3,3,0,0,0,J Medlock
0,1,2,2,41,L Ward
2,2,3,3,44,Z Medeiros
2,2,3,3,46,T Long
4,4,4,4,49,S Whyte
2,2,1,1,32,B Bede
2,2,6,6,43,B Lauther
1,2,0,0,0,R Paredes
1,1,5,4,31,L Hajrullahu
3,3,1,1,52,S Whyte
0,1,4,4,43,B Bede
1,2,3,4,25,Z Medeiros
3,3,4,5,45,R Paredes
1,1,3,3,39,J Medlock
0,0,5,5,48,T Long
2,2,3,4,44,B Lauther
0,0,3,3,40,L Ward
1,1,4,4,44,B Bede
4,4,1,1,42,B Lauther
2,2,4,3,50,J Medlock
1,1,5,6,50,R Paredes
2,2,2,3,43,S Whyte
2,2,2,2,52,L Hajrullahu
0,0,0,1,0,Z Medeiros
2,2,2,2,37,T Long
1,1,2,2,44,L Ward
1,2,2,2,36,Z Medeiros
3,3,2,2,52,L Hajrullahu
3,3,2,2,29,J Medlock
2,2,6,6,45,B Lauther
6,6,2,2,52,S Whyte
4,4,0,0,0,R Paredes
1,1,2,2,46,B Bede
3,3,3,4,45,T Long
1,2,3,4,37,L Hajrullahu
2,3,3,3,24,R Paredes
2,1,1,1,21,B Lauther
1,1,1,1,41,L Ward
3,3,3,3,50,J Medlock
1,1,2,2,47,B Bede
1,1,7,7,40,L Ward
1,1,0,1,0,S Whyte
1,1,4,6,48,Z Medeiros
3,3,3,3,56,B Lauther
1,1,4,4,51,T Long
2,2,3,5,50,L Hajrullahu
3,4,3,3,14,R Paredes
1,1,1,2,29,Z Medeiros
4,5,2,2,51,L Hajrullahu
0,0,1,1,29,T Long
0,0,1,1,26,S Whyte
3,3,3,4,37,J Medlock
3,2,1,1,18,B Bede
3,2,2,2,35,B Lauther
1,1,3,3,42,L Ward
3,3,6,6,44,J Medlock
0,1,6,7,51,T Long
2,2,1,1,27,Z Medeiros
0,0,2,2,44,B Bede
1,1,1,2,49,R Paredes
1,1,6,4,43,B Lauther
0,0,4,4,45,S Whyte
2,2,2,2,44,D Brown
3,4,2,2,45,L Hajrullahu
4,4,1,1,29,J Medlock
4,4,2,2,40,S Whyte
1,1,3,3,32,L Ward
0,0,2,2,38,R Paredes
2,2,4,4,52,T Long
1,1,2,2,52,L Ward
3,3,3,3,53,L Hajrullahu
4,4,2,2,40,T Long
3,3,3,3,47,S Whyte
0,0,4,4,38,D Brown
2,2,2,4,37,B Bede
1,1,1,1,25,R Paredes
0,0,5,5,50,B Lauther
2,2,3,3,35,J Medlock
0,0,3,3,51,R Paredes
0,0,4,4,43,L Hajrullahu
1,2,1,1,33,L Ward
2,2,4,5,45,B Lauther
1,1,0,1,0,T Long
3,3,4,4,33,B Bede
1,1,1,2,26,D Brown
1,1,2,2,32,L Ward
0,0,3,3,45,D Brown
3,3,4,4,47,S Whyte
3,3,1,1,28,R Lankford
3,3,2,3,22,L Hajrullahu
3,3,1,1,43,B Bede
1,1,0,0,0,T Long
1,1,4,4,52,R Paredes
6,6,1,2,41,L Hajrullahu
0,0,0,1,0,T Long
0,0,4,4,33,B Lauther
2,2,4,3,38,J Medlock
2,2,2,3,28,L Ward
1,1,4,4,44,L Hajrullahu
3,3,0,1,0,R Paredes
0,0,4,4,57,J Medlock
3,3,2,2,34,R Paredes
0,0,2,3,41,L Ward
