kickoff yards, kickoffs, longest kickoffs, longest punt, name, punt yards, punts
354,6,61,46,S Whyte,223,5
354,6,64,56,P McCallum,221,5
298,5,70,51,J Medlock,327,8
0,0,0,59,M Renaud,464,11
58,1,58,60,B Dales,309,6
0,0,0,61,N Prefontaine,352,8
215,4,74,63,E Johnson,267,6
509,8,74,77,D Duval,326,7
0,0,0,57,M Renaud,322,8
0,0,0,47,N Prefontaine,253,6
374,7,65,50,P McCallum,340,8
0,0,0,48,B Dales,288,7
286,5,75,58,E Johnson,268,6
397,6,94,49,S Whyte,232,6
267,4,71,57,D Duval,214,5
179,3,63,47,J Medlock,286,7
0,0,0,66,M Renaud,371,8
0,0,0,79,B Dales,389,8
480,9,64,48,S Whyte,244,6
0,0,0,53,N Prefontaine,321,7
222,4,72,0,G Shaw,0,0
447,7,70,42,J Medlock,140,4
56,1,56,48,E Johnson,286,7
329,5,85,48,D Duval,283,7
136,3,65,58,P McCallum,328,8
288,5,66,50,P McCallum,372,9
334,6,64,52,J Medlock,333,8
0,0,0,55,N Prefontaine,198,4
0,0,0,43,M Renaud,115,3
0,0,0,53,B Dales,319,8
246,4,72,61,D Duval,429,9
272,5,70,47,S Whyte,233,6
375,6,69,43,E Johnson,187,5
0,0,0,54,M Renaud,490,11
319,5,66,53,P McCallum,413,9
456,7,95,64,J Medlock,256,5
240,5,62,43,S Whyte,158,4
250,4,70,67,D Duval,412,9
254,4,72,52,G Shaw,249,7
328,5,95,64,E Johnson,446,10
0,0,0,55,B Dales,414,9
270,5,68,53,G Shaw,201,5
357,7,60,42,S Whyte,192,5
0,0,0,72,M Renaud,429,8
420,6,75,0,J Palardy,0,0
185,3,70,59,D Duval,473,9
213,4,55,59,P McCallum,244,6
120,2,63,44,E Johnson,252,7
0,0,0,74,B Dales,272,5
262,4,78,53,J Medlock,342,8
258,4,68,54,S Whyte,323,7
111,2,56,65,D Duval,446,9
297,6,64,49,C Milo,202,5
0,0,0,56,B Dales,271,6
513,8,68,0,R Paredes,0,0
437,7,67,48,J Medlock,252,6
0,0,0,38,N Prefontaine,180,5
185,4,63,53,P McCallum,413,10
0,0,0,45,M Renaud,409,11
298,5,0,0,J Palardy,0,0
0,0,0,55,N Prefontaine,340,7
229,4,66,46,C Milo,120,3
129,2,66,59,D Duval,459,10
305,5,69,52,P McCallum,433,10
0,0,0,47,M Renaud,342,9
300,5,73,52,J Medlock,263,7
0,0,0,82,B Dales,342,7
465,7,76,0,R Paredes,0,0
299,5,65,53,S Whyte,321,7
0,0,0,47,N Prefontaine,294,7
455,8,66,47,P McCallum,270,7
314,5,70,53,C Milo,304,7
0,0,0,60,M Renaud,340,7
403,7,68,52,J Medlock,177,4
234,4,65,48,S Whyte,269,7
0,0,0,58,B Dales,506,10
342,5,79,67,D Duval,407,8
136,2,69,60,D Duval,349,7
0,0,0,56,B Dales,280,6
395,7,66,52,P McCallum,181,4
0,0,0,54,N Prefontaine,183,4
366,6,66,66,S Whyte,215,5
187,3,64,73,J Medlock,310,8
0,0,0,45,M Renaud,202,5
472,8,67,56,C Milo,353,8
255,5,64,42,J Medlock,224,6
271,6,66,51,D Duval,252,6
375,7,68,52,C Milo,321,8
0,0,0,60,N Prefontaine,290,7
218,4,56,0,G Shaw,0,0
0,0,0,55,B Dales,267,6
135,3,61,0,R Paredes,0,0
299,5,70,56,P McCallum,351,8
293,5,64,54,S Whyte,321,7
0,0,0,54,M Renaud,342,9
227,4,72,58,D Duval,279,6
306,5,69,68,S Whyte,229,5
57,1,57,74,C Milo,327,7
638,10,74,63,P McCallum,222,4
0,0,0,55,N Prefontaine,474,11
0,0,0,54,M Renaud,358,9
527,8,72,54,J Medlock,281,6
0,0,0,71,B Dales,295,6
0,0,0,45,M Renaud,278,7
341,7,59,0,J Palardy,0,0
294,5,64,51,S Whyte,344,10
418,7,66,51,P McCallum,177,4
371,6,67,44,D Duval,128,3
0,0,0,61,B Dales,196,4
117,2,61,50,C Milo,256,6
0,0,0,50,N Prefontaine,299,7
348,6,69,46,J Medlock,180,6
182,3,64,52,J Medlock,436,10
0,0,0,57,M Renaud,329,7
287,5,60,56,P McCallum,228,5
0,0,0,67,B Dales,213,5
304,6,64,55,S Whyte,373,8
0,0,0,44,N Prefontaine,262,7
259,4,70,59,D Duval,552,12
67,2,50,55,C Milo,394,9
0,0,0,75,N Prefontaine,297,6
0,0,0,51,B Dales,183,4
256,4,69,56,D Duval,340,7
0,0,0,53,M Renaud,345,9
202,4,59,57,S Whyte,57,1
126,3,61,45,J Medlock,85,2
151,3,53,52,C Milo,135,4
339,6,62,40,P McCallum,142,4
34,2,24,47,N Prefontaine,244,6
0,0,0,21,T Black,21,1
305,6,62,63,D Duval,411,8
0,0,0,58,B Dales,156,3
184,3,63,47,C Milo,182,4
268,5,71,76,J Boreham,384,9
159,3,70,44,S Whyte,271,8
490,8,69,50,J Medlock,347,8
