ats margin, ats streak, cdivision, coach, completions, conference, date, day, division, dpa, dps, first downs, fourth downs attempted, fourth downs made, full name, fumbles, fumbles lost, game number, game type, heritage total open, interceptions, line, losses, margin, margin after the first, margin after the third, margin at the half, matchup losses, matchup wins, month, mybookie total open, opponents, ou margin, ou streak, overtime, passes, passing yards, penalties, penalties yards, penalty yards, playoffs, points, quarter scores, rank, rest, rot, round, rushes, rushing yards, school, season, seed, site, site streak, start time, streak, team, temperature, third downs attempted, third downs made, time of possession, total, turnover margin, turnovers, week, wind, wins
4.500,0,,Lou Holtz,,IND,19890831,Thursday,1A,,,,,,Notre Dame Fighting Irish,,,1,RS,,,-18.500,0,23,,,,0,0,8,,[],,0,0,,,,,,0,36,,,,,,,,,1989,,home,0,,0,NOTD,,,,,,,,1,,0
-4.500,0,,George Welsh,,ACC,19890831,Thursday,1A,,,,,,Virginia Cavaliers,,,1,RS,,,18.500,0,-23,,,,0,0,8,,[],,0,0,,,,,,0,13,,,,,,,,,1989,,away,0,,0,VIR,,,,,,,,1,,0
4.500,0,,Fisher DeBerry,,WAC,19890902,Saturday,1A,,,,,,Air Force Falcons,,,1,RS,,,-11.500,0,16,,,,0,0,9,,[],,0,0,,,,,,0,52,,,,,,,,,1989,,home,0,,0,AIR,,,,,,,,1,,0
-4.500,0,,Al Luginbill,,WAC,19890902,Saturday,1A,,,,,,San Diego State Aztecs,,,1,RS,,,11.500,0,-16,,,,0,0,9,,[],,0,0,,,,,,0,36,,,,,,,,,1989,,away,0,,0,SDST,,,,,,,,1,,0
10.000,0,,Dick Tomey,,P10,19890902,Saturday,1A,,,,,,Arizona Wildcats,,,1,RS,,,-6.000,0,16,,,,0,0,9,,[],,0,0,,,,,,0,19,,,,,,,,,1989,,home,0,,0,ARZ,,,,,,,,1,,0
-10.000,0,,Dennis Green,,P10,19890902,Saturday,1A,,,,,,Stanford Cardinal,,,1,RS,,,6.000,0,-16,,,,0,0,9,,[],,0,0,,,,,,0,3,,,,,,,,,1989,,away,0,,0,STAN,,,,,,,,1,,0
18.000,0,,Tim Murphy,,IND,19890902,Saturday,1A,,,,,,Cincinnati Bearcats,,,1,RS,,,18.000,0,0,,,,0,0,9,,[],,0,0,,,,,,0,17,,,,,,,,,1989,,home,0,,0,CIN,,,,,,,,1,,0
-18.000,0,,Dick Anderson,,IND,19890902,Saturday,1A,,,,,,Rutgers Scarlet Knights,,,1,RS,,,-18.000,0,0,,,,0,0,9,,[],,0,0,,,,,,0,17,,,,,,,,,1989,,away,0,,0,RUT,,,,,,,,1,,0
,0,,Danny Ford,,ACC,19890902,Saturday,1A,,,,,,Clemson Tigers,,,1,NL,,,,0,30,,,,0,0,9,,[],,0,0,,,,,,0,30,,,,,,,,,1989,,home,0,,0,CLEM,,,,,,,,1,,0
,0,,,,Southern,19890902,Saturday,1AA,,,,,,Furman Paladins,,,1,NL,,,,0,-30,,,,0,0,9,,[],,0,0,,,,,,0,0,,,,,,,,,1989,,away,0,,0,FUR,,,,,,,,1,,0
-26.000,0,,Bobby Bowden,,IND,19890902,Saturday,1A,,,,,,Florida State Seminoles,,,1,RS,,,-22.000,0,-4,,,,0,0,9,,[],,0,0,,,,,,0,26,,,,,,,,,1989,,home,0,,0,FLST,,,,,,,,1,,0
