batters faced, earned runs, era, fly balls, ground balls, hit batters, hits allowed, home runs allowed, innings pitched, name, order, pitches, result, runs allowed, strike outs thrown, strikes, walks allowed
29,5,7.500,4,11,['Carlos Beltran'],9,0,6.000,Chris Carpenter,1,101,L,5,3,65,1
3,0,0.000,2,0,[],0,0,1.000,Tyler Johnson,2,8,,0,1,6,0
3,0,0.000,3,0,[],0,0,1.000,Randy Flores,3,8,,0,0,6,0
5,1,9.000,0,2,[],3,0,1.000,Brad Thompson,4,13,,1,0,9,0
23,1,1.500,6,9,['Scott Rolen'],6,0,6.000,Tom Glavine,1,89,W,1,2,50,1
4,0,0.000,1,2,[],1,0,1.000,Pedro Feliciano,2,17,,0,0,8,1
3,0,0.000,0,0,[],1,0,0.333,Joe Smith,3,12,,0,1,8,1
1,0,0.000,0,2,[],0,0,0.667,Aaron Heilman,4,2,H,0,0,1,0
5,0,0.000,3,0,[],2,0,1.000,Billy Wagner,5,17,,0,0,9,0
23,0,0.000,6,4,[],4,1,5.000,John Lackey,1,96,W,1,5,56,4
2,0,0.000,0,0,[],1,0,0.000,Darren Oliver,2,8,,0,0,3,1
5,0,0.000,5,1,[],0,0,2.000,Justin Speier,3,16,H,0,0,10,0
3,0,0.000,0,1,[],0,0,1.000,Scot Shields,4,16,H,0,2,10,0
3,0,0.000,1,1,[],0,0,1.000,Francisco Rodriguez,5,14,S,0,1,9,0
21,3,5.400,3,6,[],5,1,5.000,Kevin Millwood,1,82,L,3,5,49,2
3,0,0.000,1,0,[],1,0,0.667,Ron Mahay,2,13,,0,1,7,0
10,1,3.860,2,2,[],3,0,2.333,Mike Wood,3,30,,1,2,22,1
29,1,1.170,7,13,[],5,1,7.667,Roy Oswalt,1,95,,1,3,72,1
1,0,0.000,0,1,[],0,0,0.333,Dan Wheeler,2,3,H,0,0,2,0
6,1,9.000,1,1,[],2,1,1.000,Brad Lidge,3,26,BS,1,1,16,1
5,2,18.000,0,1,[],2,1,1.000,Chad Qualls,4,17,L,2,2,15,0
26,2,2.570,10,9,['Brad Ausmus'],8,1,7.000,Zach Duke,1,80,,2,0,49,1
3,0,0.000,2,0,[],1,0,0.667,Jonah Bayliss,2,10,,0,0,7,0
1,0,0.000,0,1,[],0,0,0.333,Damaso Marte,3,1,,0,0,1,0
3,0,0.000,3,0,[],0,0,1.000,Matt Capps,4,7,W,0,0,6,0
3,0,0.000,1,1,[],0,0,1.000,Salomon Torres,5,13,S,0,1,8,0
29,1,1.000,16,8,[],2,1,9.000,Ben Sheets,1,104,W,1,3,65,0
25,6,13.500,5,3,[],8,0,4.000,Derek Lowe,1,84,L,6,4,50,5
10,1,3.000,1,5,[],1,1,3.000,Mark Hendrickson,2,40,,1,3,26,0
4,0,0.000,2,0,[],1,0,1.000,Rudy Seanez,3,17,,0,1,11,0
29,0,0.000,0,12,[],3,0,8.000,Felix Hernandez,1,110,W,0,12,76,2
4,0,0.000,1,2,[],1,0,1.000,JJ Putz,2,10,,0,0,6,0
25,0,0.000,10,6,[],4,1,6.000,Dan Haren,1,92,L,4,2,61,1
5,0,0.000,1,3,[],0,0,1.667,Jay Witasick,2,18,,0,1,11,1
1,0,0.000,0,1,[],0,0,0.333,Jay Marshall,3,9,,0,0,6,0
21,6,14.730,5,4,[],7,1,3.667,John Patterson,1,80,L,6,2,47,3
13,1,3.860,3,3,[],3,0,2.333,Levale Speigner,2,41,,1,1,19,3
6,2,18.000,1,2,[],3,1,1.000,Micah Bowie,3,18,,2,0,13,0
8,0,0.000,3,2,[],0,0,2.000,Jesus Colome,4,30,,0,1,16,2
26,1,1.500,7,9,[],7,0,6.000,Dontrelle Willis,1,100,W,2,3,68,1
3,0,0.000,2,0,[],0,0,1.000,Randy Messenger,2,16,,0,1,10,0
3,0,0.000,0,3,[],0,0,1.000,Henry Owens,3,7,,0,0,6,0
3,0,0.000,1,2,[],0,0,1.000,Jorge Julio,4,13,,0,0,5,1
29,3,3.520,9,5,[],4,2,7.667,Brett Myers,1,106,,3,9,70,2
