completions, interceptions thrown, name, passes, passing conversions, passing touchdowns, passing yards
15,0,Charlie Batch,25,0,3,209
18,2,Daunte Culpepper,37,0,0,262
23,0,Kurt Warner,37,0,3,301
23,0,Alex Smith,40,0,1,288
21,1,Jake Delhomme,39,0,0,186
10,0,Michael Vick,22,0,2,140
16,2,Charlie Frye,27,0,1,132
16,1,Drew Brees,30,0,1,170
21,0,Jon Kitna,37,0,0,229
25,0,Matt Hasselbeck,30,0,0,210
15,2,Brett Favre,29,0,0,170
1,0,Jon Ryan,1,0,0,16
18,1,Rex Grossman,26,0,1,262
1,0,Thomas Jones,1,0,0,-4
23,1,Byron Leftwich,34,0,1,237
16,3,Drew Bledsoe,33,0,1,246
12,0,Damon Huard,20,0,1,140
11,1,Trent Green,15,0,0,90
13,0,Carson Palmer,19,0,0,127
11,1,Tom Brady,23,0,2,163
15,0,JP Losman,23,0,0,164
20,1,Eli Manning,34,0,2,247
25,1,Peyton Manning,41,0,1,276
18,0,Marc Bulger,34,0,0,217
13,3,Jake Plummer,26,0,0,138
17,3,Chris Simms,29,0,0,133
1,0,Bruce Gradkowski,5,0,0,4
17,0,Steve McNair,27,0,1,181
17,2,Kerry Collins,38,1,0,223
3,1,Vince Young,4,0,0,27
24,0,Chad Pennington,33,0,2,319
18,0,David Carr,27,0,1,208
24,1,Donovan McNabb,35,0,3,314
6,0,Aaron Brooks,14,0,0,68
2,0,Andrew Walter,5,0,0,28
8,0,Philip Rivers,11,0,1,108
17,0,Mark Brunell,28,0,0,163
16,0,Brad Johnson,30,0,1,223
10,1,Michael Vick,15,0,1,92
0,0,Jerious Norwood,1,0,0,0
28,3,Chris Simms,53,0,0,313
16,1,Steve McNair,33,0,1,143
10,3,Andrew Walter,27,0,0,162
20,0,Rex Grossman,27,0,4,289
1,0,Brian Griese,1,0,0,5
23,0,Jon Kitna,30,0,0,230
24,2,Carson Palmer,40,0,2,352
20,2,Charlie Frye,33,0,0,244
19,0,Drew Bledsoe,38,0,2,237
18,1,Mark Brunell,32,0,0,197
16,1,Jake Plummer,30,0,0,173
17,0,Damon Huard,23,0,0,133
31,1,Brett Favre,55,0,3,340
26,1,Drew Brees,41,0,2,353
26,0,Peyton Manning,38,0,3,400
22,0,David Carr,26,0,3,219
23,1,Daunte Culpepper,32,0,1,250
11,0,JP Losman,18,0,1,83
19,1,Brad Johnson,31,0,0,243
1,0,Ryan Longwell,1,0,1,16
17,0,Jake Delhomme,33,0,0,181
22,1,Chad Pennington,37,0,2,306
15,1,Tom Brady,29,0,1,220
27,0,Donovan McNabb,45,0,2,350
31,1,Eli Manning,43,0,3,371
25,0,Philip Rivers,35,0,1,235
0,0,LaDainian Tomlinson,1,0,0,0
7,0,Vince Young,20,0,1,106
6,2,Kerry Collins,19,0,0,57
12,2,Matt Hasselbeck,27,0,1,221
24,1,Kurt Warner,38,0,1,231
11,0,Alex Smith,22,0,1,233
19,0,Marc Bulger,34,0,1,185
26,1,Byron Leftwich,39,0,0,260
17,2,Ben Roethlisberger,32,0,0,141
19,3,Kurt Warner,28,0,1,256
21,0,Marc Bulger,31,0,1,309
22,1,JP Losman,38,0,1,328
0,0,Brian Moorman,1,0,0,0
