longest rush, name, rushes, rushing touchdowns, rushing yards
89,C Walker,7,1,132
12,H Burris,3,0,16
15,K Sheets,12,1,80
9,D Durant,5,0,33
6,W Dressler,2,0,6
2,D Willy,1,0,2
16,A Harris,8,0,47
11,T Lulay,8,2,44
12,T Brown,4,0,26
6,K Johnson,1,0,6
2,M Reilly,1,0,2
26,B Stewart,1,0,26
12,B Pierce,3,0,23
10,A Brink,3,0,19
4,B Dorzon,5,0,4
6,H Charles,12,1,43
4,C McCarty,4,0,13
8,S Jyles,2,0,12
27,C Boyd,8,0,48
12,R Ray,3,0,24
8,C Owens,1,0,8
20,J Cornish,18,2,86
12,M Walter,5,0,19
11,D Tate,2,0,18
4,B Mitchell,2,0,6
14,B Whitaker,11,0,43
25,B Whitaker,16,1,98
4,A Calvillo,1,0,4
2,N Devine,2,0,2
2,A McPherson,4,0,2
28,B Dorzon,7,0,52
7,B Pierce,5,0,18
6,C Denmark,1,0,6
2,A Woodson,2,0,3
1,A Brink,1,1,1
61,A Harris,13,1,147
11,T Lulay,7,0,37
10,K Johnson,2,0,14
6,A Bruce,1,0,6
4,T Brown,1,0,4
7,C Walker,11,0,37
15,H Burris,3,0,25
4,C Williams,1,0,4
24,C Boyd,20,1,101
8,R Ray,2,0,8
5,S Watt,1,0,5
2,J Jackson,3,0,4
0,C Owens,1,0,0
17,J Cornish,7,0,39
5,L Coker,3,0,8
8,K Glenn,1,0,8
2,B Mitchell,1,0,2
34,K Sheets,14,1,89
12,D Durant,2,0,19
8,W Dressler,2,0,15
1,D Willy,1,0,1
12,H Charles,9,0,45
8,S Jyles,2,0,12
2,M Bertrand,1,0,2
2,K Joseph,1,0,2
2,C McCarty,1,0,2
9,A Calvillo,1,0,9
1,A McPherson,2,1,1
17,J Cornish,10,1,36
11,L Coker,6,0,19
10,B Mitchell,3,2,12
10,M McDaniel,1,0,10
6,K Glenn,2,0,9
3,L Taylor,1,0,3
17,H Charles,14,0,51
10,S Jyles,4,0,19
5,P Fils,2,0,6
2,K Joseph,3,0,4
3,C McCarty,1,0,3
14,B Dorzon,12,0,52
6,A Brink,2,0,8
13,K Sheets,15,1,76
13,D Durant,2,0,18
0,N Hughes,1,0,0
0,D Willy,1,0,0
43,T Lulay,3,0,58
11,A Harris,8,0,37
6,T Brown,4,0,16
3,M Reilly,2,0,4
9,C Walker,17,0,66
23,H Burris,5,0,48
30,C Boyd,19,1,168
2,J Jackson,3,1,5
3,R Ray,1,0,3
9,C Boyd,13,0,56
9,R Ray,2,0,13
2,J Jackson,4,0,5
16,C Simpson,15,0,91
9,A Brink,4,1,18
4,N Riva,2,0,5
11,J Cornish,11,0,39
5,L Coker,3,0,14
8,K Glenn,3,0,14
5,B Mitchell,1,0,5
48,K Sheets,15,2,72
28,J Sanders,1,0,28
20,D Durant,2,0,27
4,W Dressler,1,0,4
0,D Willy,1,0,0
26,A Harris,9,1,65
11,T Lulay,3,0,13
6,M Iannuzzi,2,0,10
2,M Reilly,2,0,3
21,H Charles,20,1,118
