longest reception, name, receiving touchdowns, receiving yards, receptions
65,B Cunningham,1,90,4
21,N Lewis,0,60,5
16,T Underwood,0,28,3
14,A Pierzchalski,0,21,3
12,E Jackson,1,16,2
11,J Beaulieu,0,11,1
5,T Sutton,0,7,2
33,N Demski,0,87,7
19,B Grant,1,68,6
12,N Roosevelt,0,59,7
23,C Holley,0,55,5
8,C Marshall,0,17,4
9,D Carter,0,12,2
0,B Sinopoli,0,88,8
0,G Ellingson,0,66,8
32,J Stangby,1,61,5
11,J Criner,1,35,4
0,P Lavoie,0,31,3
0,D Spencer,0,8,3
6,W Powell,1,6,1
0,B Gillanders,0,5,1
0,M McDaniel,0,114,10
0,D Daniels,0,90,4
9,K Jorden,1,72,5
24,L Durant,1,38,3
0,A Parker,0,22,2
0,J Brescacin,0,21,2
0,J Messam,0,19,5
0,R Cote,0,0,0
62,N Moore,0,98,5
19,M Iannuzzi,0,45,3
23,B Burnham,0,43,4
12,J Johnson,0,34,4
11,C Rainey,0,24,3
8,E Arceneaux,0,20,3
0,S Johnson,0,0,0
76,B Zylstra,0,152,7
44,D Williams,1,110,4
13,V Hazelton,1,15,3
7,A Bowman,0,13,2
11,C McCarty,0,11,1
10,C Watson,0,10,1
8,J White IV,0,4,2
79,D Posey,1,147,7
32,S Green,0,124,7
45,J Fuller,0,104,3
28,A Edwards,0,78,6
9,A Coombs,0,21,4
11,D Cross,0,15,2
8,B Whitaker,0,15,2
2,J Wilder Jr,0,2,1
33,L Tasker,0,77,7
49,M Jones,0,70,4
10,B Banks,0,29,3
8,B Tyms,0,19,5
12,K Elliott,0,18,2
12,C Gable,0,17,3
7,R Leonard,0,7,1
5,T Toliver,0,5,1
48,L Durant,0,126,6
48,K Jorden,2,71,3
26,M Michel,1,37,2
16,J Messam,0,25,2
7,M McDaniel,0,21,4
10,T Williams,0,10,1
5,R Cote,0,5,1
59,G Ellingson,0,133,7
34,B Sinopoli,1,111,7
65,D Spencer,1,107,3
12,P Lavoie,0,22,4
8,D Rhymes,0,20,3
14,J Stangby,0,14,1
9,M Madu,0,9,1
9,J Criner,0,9,1
44,A Edwards,1,131,10
41,D Posey,0,71,5
11,J Fuller,0,36,5
26,S Green,0,33,2
17,J Wilder Jr,0,33,4
10,A Coombs,0,23,4
33,B Burnham,0,118,9
26,E Arceneaux,0,87,5
41,S Johnson,0,41,1
13,J Johnson,0,16,2
10,N Moore,0,13,2
8,C Rainey,0,10,2
10,R Lumbala,0,10,1
6,M Iannuzzi,0,6,1
23,A Bowman,1,117,9
17,V Hazelton,0,79,7
13,B Zylstra,0,36,4
8,T Van,0,21,4
14,C McCarty,0,21,2
12,D Williams,0,12,1
14,N Lewis,0,42,5
30,B Cunningham,0,40,2
22,T Underwood,1,38,2
15,A Pierzchalski,0,25,2
13,T Sutton,0,18,2
3,E Jackson,0,3,1
35,N Demski,1,82,7
31,C Holley,1,74,5
36,D Carter,0,69,5
19,N Roosevelt,1,59,6
15,B Grant,1,45,6
12,C Marshall,0,26,4
10,S Moore,0,16,2
6,R Bagg,0,6,1
87,W Dressler,2,124,6
31,D Adams,1,77,5
11,A Harris,0,38,6
35,L Washington,1,38,2
33,C Denmark,0,33,1
13,J Feoli Gudino,0,19,3
5,C Normand,0,5,1
34,B Cunningham,0,62,5
27,T Underwood,0,55,3
15,N Lewis,0,50,5
31,E Jackson,0,48,4
10,T Sutton,0,18,4
6,J Beaulieu,0,6,1
5,G Johnson,0,6,2
27,J Johnson,1,68,5
23,B Burnham,0,53,4
36,S Johnson,0,51,3
11,E Arceneaux,0,48,6
13,M Iannuzzi,0,32,4
9,C Rainey,0,27,5
9,N Moore,0,9,1
19,W Dressler,0,76,6
16,A Harris,0,69,8
12,D Adams,0,47,5
21,J Feoli Gudino,1,36,3
14,C Denmark,0,14,1
12,R Lankford,0,12,1
6,C Normand,0,9,2
4,L Washington,0,4,1
45,K Jorden,1,97,6
37,T Williams,0,64,3
17,M McDaniel,0,46,3
18,D Daniels,0,39,3
14,L Durant,0,33,3
25,J Messam,0,27,2
18,A Parker,0,26,2
38,G Ellingson,1,170,10
23,B Sinopoli,0,67,6
23,D Spencer,0,47,4
11,M Madu,1,36,5
13,J Stangby,0,29,3
14,P Lavoie,0,21,2
55,S Green,1,210,10
14,D Posey,1,62,7
15,A Coombs,0,42,4
17,B Whitaker,0,28,4
15,A Edwards,0,24,2
34,N Roosevelt,0,167,10
19,B Grant,1,72,6
15,D Carter,1,63,7
12,C Marshall,0,30,4
15,R Bagg,0,24,2
15,N Demski,0,15,1
6,A Grant,0,9,2
20,J Saunders,0,78,6
14,B Tyms,0,41,6
15,R Scheuerman,0,29,4
13,J Collins,1,23,2
18,M Jones,0,18,1
39,W Dressler,0,109,7
20,J Feoli Gudino,0,37,3
10,D Adams,0,35,4
13,C Denmark,0,30,3
17,L Washington,0,17,1
7,A Harris,0,13,2
4,R Lankford,0,4,1
38,A Coombs,0,94,8
25,S Green,0,85,5
15,K Paden,0,59,6
20,B Whitaker,0,43,3
19,A Edwards,0,40,3
9,J Ralph,0,9,1
0,J Wilder Jr,0,0,1
80,E Jackson,0,118,4
39,B Cunningham,1,73,4
19,N Lewis,0,42,3
15,T Underwood,0,41,3
10,T Sutton,0,22,3
55,K Jorden,0,140,9
30,D Daniels,1,79,5
25,M McDaniel,0,68,7
11,R Finch,0,33,6
9,J Messam,0,18,2
15,A Parker,0,16,2
8,L Durant,0,15,2
10,J Brescacin,0,10,1
21,B Zylstra,0,108,10
42,V Hazelton,0,65,4
12,C Watson,0,27,3
13,A Bowman,1,23,3
8,T Van,0,21,4
10,D Williams,0,18,2
3,C McCarty,0,3,1
34,G Ellingson,0,66,5
23,D Rhymes,0,59,4
