interception touchdowns, interception yards, interceptions, name
0,49,1,I Okeke
0,0,1,K Kaneshiro
0,17,2,J Whittaker
0,14,1,L Burns
0,14,1,T Fields II
0,22,1,A Carter
0,19,1,R Finley
0,7,1,M Lewis Jr
1,58,1,F Bernard
1,39,1,J Blackmon
0,15,1,J Hicks
0,0,1,P Young
0,66,1,J Shaw
0,13,1,T Muse
0,6,1,D Johnson
0,41,1,T Swilling
0,-2,1,K Oliver
1,71,1,M Morris
1,43,1,C Williamson
0,0,1,J Manchigiah
0,14,1,B Brown II
0,1,1,N Shelton
0,0,1,T Keyes
0,33,2,M Jones
0,24,1,R Elam
0,0,1,L ONeal Jr
0,13,1,B London II
0,0,1,W Boler
0,7,1,D Upshaw
0,0,1,R Rochell
0,32,2,D Mines
0,13,1,Q Jones
0,0,2,M Onu
0,13,1,A Simmons
0,0,2,D Brown
0,0,1,T Avery
0,0,1,A Young
0,0,1,J Norwood
0,0,2,I Rodgers
0,10,1,E Burrell
0,0,1,C Wilder
0,1,1,A Henderson
0,0,1,J Strnad
0,0,1,T Rucker
0,7,1,M Bugg III
0,51,1,D Jackson
0,2,1,T Newman
0,29,1,K Curl
0,20,1,J Foucha
0,0,1,J McClellion
0,17,1,R Holt
0,0,1,A Phillips
0,0,1,A Uzodinma II
0,29,1,J Williams
0,1,1,B Lynch
0,0,1,B Sebastian
0,0,1,J Sparacio
0,0,1,T Karafa
0,0,1,J Waller
0,4,1,I Bolden
0,0,1,D King
0,9,1,C Holford
0,7,1,B Hoying
0,-1,1,B Bogan
0,-3,1,K McGill
0,0,1,T Diggs
0,0,1,J Battle
0,0,1,J Hansen
0,14,1,M Ojemudia
1,57,1,H Defense
0,13,1,J McCullough
0,20,1,A Parker
0,3,1,D Square
0,0,1,C Espinoza Jr
0,0,1,B Wilson
0,10,1,A Cisco
0,0,1,I Melifonwu
0,0,1,C Dantzler
0,0,1,M Smitherman
0,13,1,C Day
0,3,1,D Fields
0,0,1,Q Johnson
0,4,1,B Jones
0,2,1,A Thomas
0,20,1,J McClain Sapp
0,0,1,W Bunton
0,33,2,M Wolfolk
0,0,1,C Ingram
0,48,1,C Taylor
1,38,2,E Lee Jr
0,18,1,A DeShazor
1,32,1,J McKie
0,3,1,D Draka
0,0,1,A Davis
0,0,1,J Proctor
0,0,1,M Brooks
0,-3,1,M Mbye
0,17,1,K Ford Dement
0,11,1,L Boykin
0,24,1,D Coles
0,8,1,N Quinerly
0,2,1,T Graham Jr
0,2,1,J Holland
0,9,1,J Blount
0,2,1,M Gahm
0,25,1,J Reid
0,0,1,T Thompson
0,0,1,D Thomas
0,0,1,T Wilson
0,0,1,P Adebo
0,0,1,A Pryts
0,58,1,T Moehrig
0,0,1,A Washington
1,36,1,G Pringle
0,0,1,T Stephens McQueen
0,16,1,J Ossai
0,0,1,D Overshown
0,0,1,I Pola Mao
0,0,1,J Bryant
0,0,1,J Rice
1,26,1,C Johnson
0,0,1,S Harris
0,20,1,A Preston
0,6,1,K Covington
0,15,1,H Pladson
0,5,1,M Strong
0,7,1,K Washington
0,0,1,C Maluia
0,0,1,C Phillips
0,0,1,K Nawahine
0,5,1,O Cobb
1,85,1,N Grant
1,47,1,A Jones
0,10,1,M Hayes
0,0,1,C Parker
0,15,1,J Riley
0,0,1,P Surtain II
0,0,1,S Jolly
0,0,1,C Roland Wallace
0,0,1,J Whittaker
0,0,1,J Dinson
0,26,1,A Uzodinma II
0,1,1,T Potts
0,0,1,N Borgersen
0,0,1,T Haynes
0,0,1,T Muse
0,0,1,R Elam
0,0,1,C Miller
0,1,1,L Jackson
1,52,1,T Coyle
0,29,1,M Marchese
0,0,1,D Harding
0,41,1,G Stringer
0,32,1,J McMillian
0,2,1,D Grier
0,0,1,T Gowan
1,80,1,R Dames
0,0,1,D Hall
1,57,1,C Straughter
0,1,1,C Day
0,2,1,A Winfield Jr
0,0,1,K Thomas
0,57,1,R Lazarus
0,0,1,L Brini
1,35,1,N Walton
0,35,1,K Duncan Jr
0,6,1,K Sails
0,14,1,N Wright
0,0,1,S Lewis
0,7,1,L Jackson
0,6,1,D Colbert
0,-3,1,M Ojemudia
0,25,2,C Kryst
0,18,1,K Daniel
0,15,1,J Griffin
0,5,1,M Jacquet III
0,0,1,B Wilson
0,13,1,J Mosley
0,0,1,A Cisco
0,33,1,J Chinn
0,3,1,M Harper
0,0,1,X Henderson
0,0,1,T Thompson
0,54,1,S Weatherford
1,35,1,B Baratti
0,20,1,L Hill
1,38,2,N Bolton
0,0,1,R Perkins
0,45,1,M Emerson
0,9,1,C Morgan
0,0,2,R Blankenship
0,15,1,N Harper Jr
0,42,1,T Borland
1,30,1,B Radley Hiles
0,0,1,J Davis
1,27,1,A Green
0,12,1,P Redwine Bryant
0,38,1,S Stephens
0,0,1,S Niu
1,36,1,J Reid
0,18,1,D Mackey
0,0,1,T Daley
0,0,1,J Thompson
0,0,1,T Rogers
0,0,1,T Alex
0,3,1,R Roderick
0,3,1,J Dixon
0,0,1,I Mukuamu
0,1,1,T Montgomery
0,19,1,P Nelson
0,20,1,K Fonua
0,8,1,J Ossai
0,0,1,A Taylor
1,72,1,T Hall
0,27,1,B Smith
0,0,1,J Garrett
1,35,1,J Smith
0,0,1,G Johnson
0,0,1,J Blackmon
0,0,1,A Grayson
0,0,1,C Bynum
0,9,1,J Bobo
0,39,1,J Sanborn
0,17,1,M El Attrach
0,0,1,G Sprewell
0,0,1,M Dorn
0,3,1,J Pierre
0,7,1,R Lesch
0,0,1,B Perce
1,36,1,A Robertson
0,10,1,I Kaufusi
0,0,1,P Wilgar
0,0,1,D Ghanwoloku
0,5,1,T Beck
0,40,1,A Robinson
1,49,1,H Segura
0,0,1,T Banks
0,49,1,S Adesanya
0,0,1,M Onu
0,0,1,M Bugg III
0,13,1,K Burton
0,7,1,C Kryst
