assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, rebounds, steals, three pointers attempted, three pointers made, turnovers
1,2,8,12,4,4,0,0,27.683,Tina Thompson,0,-6,12,8,1,8,4,4
1,0,5,3,1,1,5,4,37.133,Camille Little,1,0,6,6,2,0,0,1
2,1,5,12,8,3,2,1,30.700,Ann Wauters,2,1,17,7,0,0,0,5
6,0,6,14,6,1,0,0,34.200,Sue Bird,0,4,15,6,1,7,3,3
3,0,5,10,3,2,2,2,27.683,Tanisha Wright,0,-13,9,5,1,3,1,5
4,0,0,2,0,1,0,0,21.183,Katie Smith,0,-7,0,0,0,2,0,2
0,0,3,2,2,1,0,0,14.983,Shekinna Stricklen,0,-3,5,3,0,1,1,0
0,0,0,0,0,0,0,0,2.400,Ewelina Kobryn,0,-3,0,0,1,0,0,1
0,0,0,2,1,2,0,0,4.033,Victoria Dunlap,1,-3,2,1,0,0,0,1
0,1,3,6,3,2,4,3,18.283,Nnemkadi Ogwumike,0,-1,9,3,3,1,0,1
2,0,7,7,1,2,2,2,23.567,DeLisha Milton Jones,0,6,4,7,5,3,0,2
1,1,2,12,5,1,1,1,24.983,Candace Parker,2,-12,11,4,1,1,0,4
1,1,0,7,2,4,7,5,35.133,Alana Beard,1,9,9,1,2,1,0,4
2,0,0,5,1,1,2,2,24.267,Marissa Coleman,1,-11,4,1,1,1,0,1
0,0,4,8,4,1,0,0,21.983,Jantel Lavender,1,21,8,5,0,0,0,0
6,0,2,16,9,1,4,2,33.517,Kristi Toliver,0,17,25,2,3,8,5,2
1,1,3,4,1,1,0,0,18.267,Ebony Hoffman,1,1,2,4,1,1,0,0
2,0,2,8,2,0,1,0,24.600,Nicole Powell,0,-8,4,2,1,3,0,0
0,3,6,10,4,4,6,6,26.050,Plenette Pierson,4,0,15,10,0,1,1,1
1,0,5,12,6,3,4,1,21.350,Kara Braxton,4,-4,13,9,0,0,0,2
3,0,0,2,0,4,0,0,20.400,Leilani Mitchell,0,-7,0,0,1,1,0,2
2,0,5,16,7,2,6,5,31.433,Cappie Pondexter,0,-10,19,5,1,4,0,1
0,0,6,5,3,1,5,3,17.933,Kia Vaughn,2,-4,9,8,0,0,0,0
2,1,2,6,2,0,0,0,14.667,DeMya Walker,1,-2,4,3,1,0,0,1
2,0,3,10,4,0,2,0,23.967,Essence Carson,2,8,9,5,0,3,1,1
2,0,2,3,0,2,0,0,19.600,Kelly Miller,0,2,0,2,0,3,0,2
3,2,5,18,6,3,0,0,30.150,Asjha Jones,3,14,12,8,2,0,0,2
1,0,2,7,3,1,0,0,20.217,Kalana Greene,1,5,6,3,1,0,0,1
0,0,8,19,9,2,2,1,30.167,Tina Charles,5,6,19,13,1,0,0,1
3,0,5,6,2,4,7,6,15.883,Danielle McCray,1,-2,10,6,1,3,0,1
6,0,3,5,1,1,0,0,27.400,Kara Lawson,4,12,3,7,0,3,1,2
3,0,0,8,3,4,5,3,25.417,Renee Montgomery,0,3,11,0,1,3,2,2
0,0,4,5,2,0,0,0,16.567,Mistie Bass,0,-9,4,4,0,0,0,0
1,0,0,7,5,3,1,1,25.767,Allison Hightower,0,6,13,0,1,3,2,2
0,0,1,3,0,0,0,0,8.433,Kelsey Griffin,0,-10,0,1,1,0,0,0
2,0,2,10,5,4,3,3,32.750,Monique Currie,1,-8,14,3,0,2,1,2
2,0,5,11,7,1,2,2,31.333,Crystal Langhorne,3,-8,16,8,0,0,0,4
0,0,1,7,4,5,0,0,25.133,Ashley Robinson,4,-4,8,5,1,0,0,4
5,0,5,9,2,2,0,0,34.500,Noelle Quinn,1,-12,4,6,1,4,0,3
1,0,3,5,2,1,2,1,17.267,Natasha Lacy,1,4,5,4,0,2,0,2
0,0,1,7,1,1,2,0,13.683,Dominique Canty,0,-13,2,1,1,2,0,1
0,2,1,3,0,2,0,0,14.867,Michelle Snow,0,-8,0,1,1,0,0,3
0,0,0,0,0,0,0,0,5.717,Natalie Novosel,0,-7,0,0,0,0,0,0
0,0,0,1,0,0,0,0,8.667,Lindsay Wisdom Hylton,0,-4,0,0,1,0,0,2
