completions, interceptions thrown, name, passes, passing touchdowns, passing yards
10,1,Kelly Page,17,0,85
21,1,Jerry Davis,35,4,302
4,0,Alex Dennison,7,0,30
20,0,Ryan Radcliff,34,1,242
2,0,Derek Rifenbury,2,0,17
18,0,Bryant Moniz,36,1,269
6,0,Shane Austin,9,2,141
3,0,Brent Rausch,4,0,49
18,0,Matt Barkley,23,5,257
2,0,Mitch Mustain,4,0,21
24,1,Nathan Enderle,37,2,311
4,0,Brian Reader,9,1,88
16,0,Ben Chappell,23,2,182
1,0,Dusty Kiel,5,0,21
1,0,Edward Wright Baker,2,0,2
27,2,Austen Arnaud,36,0,265
14,3,DeMarcus Grady,29,0,93
24,1,Spencer Keith,35,3,275
12,0,Jacory Harris,15,3,210
3,0,Spencer Whipple,4,0,22
4,1,Alonzo Highsmith,7,0,18
13,1,Logan Kilgore,18,1,172
10,0,Adam Weber,17,0,150
26,0,Colin Kaepernick,37,2,306
1,0,Tyler Lantrip,1,0,33
17,0,Terrelle Pryor,25,3,247
1,0,Joe Bauserman,2,0,2
17,1,Brian Anderson,28,0,135
1,0,Eddie Sullivan,7,0,20
10,0,Tom Savage,19,1,148
1,0,Chas Dodd,1,0,6
16,0,Stephen Garcia,23,0,193
4,0,Connor Shaw,5,1,32
0,0,Stephon Gilmore,1,0,0
0,1,Andrew Clifford,1,0,0
31,1,Austin Davis,43,0,238
7,0,Martevious Young,14,1,99
17,1,Ryan Griffin,26,0,129
9,1,David Isabelle,19,1,79
14,1,Jeff Van Camp,24,3,254
0,0,Lester Jean,0,0,0
21,1,Jordan Wynn,36,3,283
16,1,Tino Sunseri,28,1,184
7,0,Ted Stachitas,13,0,84
1,0,Tanner Price,7,0,4
1,0,Skylar Jones,1,0,3
1,0,Brendan Cross,3,0,3
16,0,Chester Stewart,27,1,200
14,1,Austin Dantin,23,0,103
32,1,Nick Foles,37,2,360
5,0,Matt Scott,7,1,53
7,0,Jr,12,2,179
12,0,Patrick Nicely,35,0,111
17,1,Ryan Nassib,27,2,229
13,0,Greg McElroy,16,1,218
9,0,AJ McCarron,14,1,116
7,1,Jordan La Secla,14,0,85
1,0,Matt Faulkner,5,0,1
21,1,Ryan Mallett,24,3,301
1,0,Brandon Mitchell,3,0,16
1,1,Tyler Wilson,3,0,6
9,0,Cam Newton,14,3,186
1,0,Neil Caudle,1,0,42
1,0,Barrett Trotter,1,0,13
28,0,Ryan Aplin,42,1,278
5,0,Phillip Butterfield,7,0,45
14,1,Steven Threet,21,2,239
6,0,Brock Osweiler,10,0,72
19,0,Robert Griffin III,36,2,242
2,0,Nick Florence,6,0,21
10,2,David Shinskie,20,2,185
2,0,Mike Marscovetra,3,1,38
13,0,Jake Heaps,23,0,131
11,0,Riley Nelson,17,2,131
20,0,Jake Locker,37,1,266
0,0,Devin Aguilar,1,0,0
14,0,Kevin Riley,20,3,258
6,0,Beau Sweeney,8,0,29
12,0,Rob Calabrese,15,1,176
6,0,Jeff Godfrey,7,1,65
9,1,Kyle Parker,17,2,170
1,0,Tajh Boyd,4,0,7
19,2,Nathan Tune,29,1,240
3,0,Derek Thompson,3,0,29
0,0,Tyler Stradford,1,0,0
24,3,Pete Thomas,33,0,196
17,1,Tyler Hansen,25,2,192
31,0,Sean Renfree,39,2,350
4,1,Alex Gillett,9,1,31
5,0,Trent Steelman,11,0,65
17,0,John Brantley,25,2,113
25,4,Zac Dysert,44,0,191
1,0,Ryan Kennedy,2,0,17
12,1,Christian Ponder,14,4,167
10,1,EJ Manuel,13,0,129
18,1,Ryan Colburn,24,4,247
24,0,Zach Collaros,41,1,219
17,1,Aaron Murray,26,3,160
2,0,Hutson Mason,5,1,33
5,1,Chris Masson,15,1,77
3,2,Blaine Gautier,9,0,37
1,1,Josh Nesbitt,6,0,8
1,0,Tevin Washington,2,0,4
17,2,Case Keenum,22,5,274
8,0,Cotton Turner,11,1,72
18,0,Ricky Stanzi,23,1,229
3,0,James Vandenberg,3,0,27
13,1,Kale Pick,22,0,138
6,0,Jordan Webb,11,0,59
11,0,Carson Coffman,16,1,66
9,2,Kevin Prince,26,1,120
14,1,Adam Froman,29,0,127
17,0,Mike Hartline,26,0,217
1,0,Randall Cobb,1,0,19
15,0,Ross Jenkins,19,0,101
8,0,Colby Cameron,12,0,95
13,0,Kirk Cousins,21,1,186
0,0,Andrew Maxwell,1,0,0
27,1,Alex Carder,49,2,220
3,0,Tyler VanTubbergen,4,0,18
19,0,Denard Robinson,22,1,186
18,0,Zach Frazer,37,0,205
6,0,Nathan Stanley,10,3,133
7,1,Jeremiah Masoli,10,0,109
34,0,Blaine Gabbert,48,2,281
9,3,Nathan Scheelhaase,23,1,81
13,0,Tyler Russell,16,4,256
7,1,Chris Relf,9,1,116
10,0,Cannon Smith,15,1,111
10,2,Ryan Williams,17,0,85
28,0,TJ Yates,46,3,412
15,1,Jordan Jefferson,21,2,151
21,0,Russell Wilson,31,4,306
