average kickoff return, average kickoff return yards, kickoff return touchdowns, kickoff returns, longest kickoff return, name
21.000,,0,2,26,Kevin Faulk
37.000,,0,1,37,Ellis Hobbs
25.000,,0,6,29,Chris Carr
22.000,,0,3,27,BJ Sams
10.000,,0,1,10,Justin Green
14.000,,0,1,14,Ran Carthon
16.000,,0,1,16,Terrence McGee
16.000,,0,1,16,Daimon Shelton
20.000,,0,5,24,Vernand Morency
11.000,,0,1,11,Mark Bruener
29.000,,0,1,29,D Davis
15.000,,0,3,19,Rod Smart
21.000,,0,1,21,Nick Goings
9.000,,0,1,9,Kris Mangum
18.000,,0,4,20,Michael L Lewis
23.000,,0,5,35,Reuben Droughns
14.000,,0,1,14,Josh Cribbs
27.000,,0,4,50,Tab Perry
14.000,,0,2,15,Eddie Drummond
22.000,,0,2,22,Robert Ferguson
22.000,,0,1,22,Antonio Chatman
17.000,,0,1,17,Najeh Davenport
23.000,,0,2,26,Derrick Wimbush
17.000,,0,1,17,Alvin Pearman
27.000,,0,3,31,Josh Scobey
19.000,,0,2,22,Dante Hall
30.000,,0,6,50,Justin Miller
25.000,,0,2,28,Wes Welker
26.000,,0,3,29,DJ Williams
19.000,,0,2,20,Charlie Adams
22.000,,0,3,27,Mewelde Moore
11.000,,0,2,13,Troy Williamson
20.000,,0,4,26,Torrie Cox
47.000,,1,4,95,Willie Ponder
33.000,,0,1,33,Brandon Jacobs
27.000,,0,6,59,Reggie Swinton
16.000,,0,1,16,Obafemi Ayanbadejo
20.000,,0,2,24,Ike Taylor
22.000,,0,6,27,Courtney Roby
36.000,,0,4,49,Darren Sproles
16.000,,0,1,16,Eric Parker
19.000,,0,3,21,Marion Barber
20.000,,0,1,20,Aaron Glenn
26.000,,0,4,40,Maurice Hicks
17.000,,0,1,17,Otis Amey
13.000,,0,4,25,Chris Johnson
25.000,,0,1,25,Ladell Betts
16.000,,0,1,16,Antonio Brown
17.000,,0,4,23,Mark Bradley
26.000,,0,2,33,Allen Rossum
16.000,,0,3,16,Roderick Hood
20.000,,0,4,22,Reggie Swinton
25.000,,0,1,25,Chris Johnson
26.000,,0,4,35,Rod Smart
24.000,,0,5,30,Ellis Hobbs
23.000,,0,1,23,Kevin Faulk
33.000,,0,2,34,Jerry Azumah
26.000,,0,6,41,Eddie Drummond
18.000,,0,1,18,Tab Perry
13.000,,0,5,25,Troy Williamson
