name, rushes, rushing touchdowns, rushing yards
S Canada,15,1,94
K Fonua,7,0,63
K Hall,3,0,11
J Trinnaman,1,0,4
U Tolutau,1,0,3
T Dye,1,0,1
T Mangum,4,0,-3
Z Summers,20,0,55
J Eason,9,0,9
K Dawson,1,0,9
J Talley,5,0,7
A Williams,1,0,6
D Dawkins,15,1,67
R Boddie,8,0,56
M Kinsey,8,1,34
I Matthews,9,1,28
N Stevens,3,0,6
R Nall,15,1,115
A Pierce,8,0,35
T Tyner,4,0,8
C Tyler Jr,1,0,-1
J Luton,1,0,-5
M Young,20,2,83
B Ally,6,0,17
R Comis,2,0,15
A Isabella,1,1,6
C Burch,1,0,4
B Dingle,1,0,2
A Ford,10,0,-12
D Saint Juste,23,0,78
D Brown,8,1,19
R Tuiasoa,4,1,15
S Stewart,15,0,71
A Walter,3,1,45
A Trammell,1,0,10
S Glaesmann,9,0,7
J Tyner,4,0,7
C Montgomery,1,0,4
E Esukpa,5,0,2
B Love,13,1,180
C Scarlett,8,3,59
D Maddox,8,0,29
K Costello,1,1,25
R Burns,3,0,4
K Chryst,2,0,-2
M Roberson,19,0,52
B Monroe,5,0,30
Z Zigler,9,0,20
D Packer,3,0,10
M Aaron,1,0,0
J Love,1,0,-3
D Johnson,22,2,99
D Tice,20,1,94
Q Flowers,18,1,70
D Sutton,10,0,47
M Valdes Scantling,1,0,3
B Kean,1,0,2
T Sands,2,0,0
C Hayden,14,1,120
D Whaley,12,1,60
D Williams,7,2,23
T Hammonds,3,0,22
J Nance,1,0,12
J Jones,1,0,9
D Stewart,1,0,1
A Allen,3,0,-1
C Kelley,1,0,-8
R Henrilus,11,0,30
C Faddoul,1,0,26
A Rey,4,0,12
T Spells,4,0,11
D Bowers,1,0,3
K Smith,1,0,2
V Jefferies,9,0,-4
K Ballage,18,2,79
M Wilkins,13,0,6
T Smith,1,0,4
E Benjamin,4,0,3
M Cosgrove,1,0,0
B Barnett,1,0,-3
D Richard,1,0,-4
J Huntley,5,1,84
L Rose III,13,0,60
T Rodgers,12,1,7
J Hamilton,12,1,56
A Killins Jr,5,0,31
G McCrae,5,1,24
C Richardson,7,1,24
N Vedral,4,0,12
T McGowan,8,1,6
M Milton,3,0,4
A Roberson,1,0,0
N Maxwell,4,1,61
S Phillips,8,0,43
A Gardner,9,0,20
M Alexander,4,0,9
A McGough,1,0,1
M Boone,19,1,100
H Moore,2,0,9
M Warren II,3,0,7
J Craig,15,0,92
K Williams,18,0,40
A Taner,7,0,31
J Oatsvall,3,0,24
J Alexander,5,1,18
