longest punt, name, punt yards, punts
55,Scott Kovanda,151,3
62,Jacob Schum,294,7
41,Brett Hartmann,153,4
52,Alex Dunnachie,130,3
52,Jacob Harfman,88,2
44,Bobby Cowan,197,5
53,Chris Hagerup,214,5
18,Daniel Kuehl,18,1
44,Josh Wilber,135,4
59,Matt Rinehart,231,5
53,Nate Toulson,133,3
41,Josh Davis,77,2
51,Dan Orseske,116,3
67,Brad Langley,201,4
52,Ben Buchanan,163,4
43,Kase Whitehead,295,8
50,Teddy Dellaganna,147,4
54,Spencer Lanning,105,2
61,Peter Boehme,178,4
47,Jonathan Ginsburgh,241,6
65,Trey Ragland,382,8
56,Mickey Groody,348,8
51,Sean Sellwood,125,3
55,Dan Hutchins,178,4
46,Shane Popham,202,5
40,Jeff Wathne,104,3
58,John Penza,242,5
39,Bill Claus,107,3
49,Keenyn Crier,129,3
45,Keil Bartholomew,90,2
53,Zack Campbell,383,10
70,Rob Long,224,5
52,Cody Mandell,122,3
50,Harrison Waid,374,9
45,Ryan Shoemaker,157,4
49,Neely Sullivent,224,6
52,Dean Gericke,85,2
55,Trevor Hankins,55,1
47,Derek Epperson,148,4
71,Ryan Quigley,114,2
47,Riley Stephenson,223,6
64,Will Mahan,271,6
52,Bryan Anger,147,3
26,Blake Clingan,26,1
79,Dawson Zimmerman,308,6
59,Will Atterberry,294,7
56,Pete Kontodiakos,244,6
44,Zach Grossnickle,290,7
35,Kevin Jones,64,2
40,Jay Karutz,40,1
38,Jonathan Bulls,64,2
27,Chas Henry,27,1
41,Zac Murphy,78,2
11,Ryan Kennedy,11,1
49,Andrew Shapiro,320,8
51,Patrick ODonnell,304,8
59,Drew Butler,280,6
53,Spencer Ortego,415,10
43,Chandler Anderson,80,2
41,Richie Leone,81,2
43,Ryan Donahue,43,1
60,Alonso Rojas,173,4
52,Ryan Doerr,248,6
60,Jeff Locke,274,6
49,Josh Bleser,146,4
62,Ryan Tydlacka,199,4
40,Ryan Allen,133,4
57,Aaron Bates,312,7
62,Ben Armer,327,8
51,Will Hagerup,51,1
66,Cole Wagner,98,3
31,Tyler Campbell,31,1
47,Matt Grabner,200,5
52,Anthony Santella,187,4
49,Heath Hutchins,158,4
57,Tom Hornsey,438,9
54,Grant Schallock,313,7
45,Josh Jasper,125,3
37,Derek Helton,104,3
43,Jeff Ruiz,84,2
52,Alex Henery,128,3
50,Hendrix Brakefield,297,8
35,Ben Turk,95,3
51,Carson Wiggs,252,6
40,Paul Hershey,83,3
85,Tress Way,373,8
58,Peter Caldwell,329,7
61,Quinn Sharp,320,7
55,Reid Forrest,394,9
52,Ben Skaer,246,6
45,Anthony Fera,45,1
71,Kyle Martens,315,7
45,John Gold,84,2
56,Brian Stahovich,56,1
37,Justin Brockhaus Kann,37,1
47,Daniel Zychlinski,93,2
56,Anson Kelton,169,4
53,Johnny Hekker,217,5
45,Chad Cunningham,163,4
49,Will Goggans,168,4
51,Bryan Wright,179,5
47,Jared Jaroszewski,112,3
39,Brendon Lamers,275,8
53,Brad Nortman,156,4
41,Ian Campbell,75,2
45,Richard Kent,198,6
59,Brandon Williams,212,5
50,Jimmy Howell,201,5
71,Gregg Pugnetti,295,6
56,Austin McCoy,221,5
47,Ben Ryan,215,5
43,Michael Such,75,2
60,Jonathan LaCour,193,4
61,Matt Szymanski,197,4
61,Travis Baltz,159,3
30,Kyle Delahooke,59,2
48,Brian Saunders,135,3
52,Kyle Brotzman,90,2
53,Heath Hutchins,291,7
42,Ryan Shoemaker,157,4
44,Jeff Wathne,159,4
44,Brett Hartmann,114,3
54,Ian Campbell,142,3
51,Kase Whitehead,282,7
45,Gregg Pugnetti,155,4
45,Keil Bartholomew,166,4
51,Riley Stephenson,176,6
44,Zack Campbell,103,3
44,Cody Mandell,111,3
46,Anthony Fera,145,4
49,Jonathan Bulls,153,4
58,Alex Dunnachie,170,4
39,Keenyn Crier,103,3
59,Trevor Hankins,211,4
47,Scott Kovanda,138,3
60,Derek Epperson,340,7
49,Jacob Schum,333,9
51,Ryan Quigley,259,6
55,Matt Rinehart,249,6
