average kickoff return, average kickoff return yards, kickoff return touchdowns, kickoff returns, longest kickoff return, name
24.000,,0,2,28,Santonio Holmes
26.000,,0,1,26,Ricardo Colclough
24.000,,0,3,30,Wes Welker
0.000,,0,1,0,Travis Minor
24.000,,0,5,30,JJ Arrington
25.000,,0,6,32,Maurice Hicks
18.000,,0,1,18,Michael Robinson
21.000,,0,3,24,DeAngelo Williams
29.000,,0,3,38,Allen Rossum
22.000,,0,5,40,Josh Cribbs
27.000,,0,1,27,Jamal Jones
19.000,,0,2,21,Eddie Drummond
29.000,,0,3,41,Willie Ponder
19.000,,0,3,23,Samkon Gado
18.000,,0,2,20,Robert Ferguson
18.000,,0,2,21,Noah Herron
18.000,,0,1,18,Rashied Davis
9.000,,0,1,9,Kyle Brady
4.000,,0,1,4,Montell Owens
23.000,,0,2,26,Tyson Thompson
19.000,,0,1,19,Abram Elam
0.000,,0,1,0,Jay Ratliff
21.000,,0,4,32,Dante Hall
24.000,,0,2,34,Tab Perry
19.000,,0,3,24,Laurence Maroney
23.000,,0,1,23,Kevin Faulk
27.000,,0,4,44,Terrence McGee
18.000,,0,6,29,Chad Morton
27.000,,0,4,33,Terrence Wilkins
25.000,,0,2,29,JR Reed
20.000,,0,2,21,Mike Bell
19.000,,0,2,20,David Kircus
24.000,,0,5,27,Michael Pittman
26.000,,0,1,26,Torrie Cox
18.000,,0,1,18,BJ Sams
25.000,,0,3,30,Bobby Wade
28.000,,0,1,28,Adam Jones
15.000,,0,1,15,Bo Scaife
29.000,,0,3,41,Justin Miller
20.000,,0,2,21,Phillip Buchanon
18.000,,0,1,18,Roc Alexander
27.000,,0,1,27,Derrick Lewis
19.000,,0,1,19,Wali Lundy
19.000,,0,3,24,Bruce Perry
25.000,,0,5,39,Chris Carr
17.000,,0,1,17,ReShard Lee
20.000,,0,1,20,Michael Turner
19.000,,0,3,21,Rock Cartwright
27.000,,0,1,27,Ladell Betts
24.000,,0,4,44,Troy Williamson
23.000,,0,1,23,Allen Rossum
17.000,,0,2,18,Michael Pittman
40.000,,0,4,72,BJ Sams
29.000,,0,7,45,Chris Carr
19.000,,0,1,19,Rashied Davis
20.000,,0,1,20,Danieal Manning
16.000,,0,4,24,Eddie Drummond
10.000,,0,2,19,Tab Perry
19.000,,0,1,19,Kenny Watson
21.000,,0,5,26,Josh Cribbs
11.000,,0,1,11,Steve Heiden
26.000,,0,2,31,Tyson Thompson
26.000,,0,1,26,Abram Elam
40.000,,1,4,100,Rock Cartwright
0.000,,0,1,0,Cedric Cobbs
2.000,,0,1,2,Chad Mustard
29.000,,0,2,32,Dante Hall
18.000,,0,4,21,Koren Robinson
28.000,,0,1,28,Vernand Morency
19.000,,0,3,22,Aaron Stecker
21.000,,0,4,25,Terrence Wilkins
21.000,,0,1,21,Ran Carthon
25.000,,0,6,42,Edell Shepherd
8.000,,0,1,8,Mark Bruener
25.000,,0,4,39,Wes Welker
0.000,,0,0,0,Darian Barnes
22.000,,0,1,22,Terrence McGee
25.000,,0,3,29,Troy Williamson
25.000,,0,1,25,Mewelde Moore
21.000,,0,4,39,DeAngelo Williams
22.000,,0,3,24,Justin Miller
23.000,,0,1,23,Leon Washington
32.000,,0,2,39,Laurence Maroney
26.000,,0,1,26,Kevin Faulk
18.000,,0,4,21,Dexter Wynn
21.000,,0,4,31,Chad Morton
17.000,,0,1,17,RW McQuarters
