extra points, extra points attemped, field goals, field goals attemped, longest field goal, name
1,2,1,1,37,B Bede
1,1,1,2,40,D Alvarado
1,1,2,2,50,R Paredes
2,2,2,2,30,J Medlock
0,0,0,1,0,D Stala
1,1,0,1,0,S Waters
0,1,1,1,39,G Shaw
2,2,1,2,19,C Milo
0,0,0,0,0,L Hajrullahu
0,2,1,1,31,L Hajrullahu
5,5,3,3,38,J Medlock
1,2,3,3,49,B Bede
0,0,1,2,28,R Paredes
3,3,2,2,46,D Alvarado
1,1,2,2,12,R Leone
1,1,4,4,49,P McCallum
3,3,2,4,50,R Pfeffer
4,6,2,2,44,G Shaw
0,0,3,4,42,D Alvarado
1,2,4,4,52,L Hajrullahu
2,2,3,3,38,B Bede
0,1,5,5,56,R Leone
3,3,1,1,33,P McCallum
1,2,1,1,30,R Paredes
2,2,2,2,48,R Pfeffer
1,1,3,3,42,B Bede
1,1,2,2,53,J Medlock
0,0,2,2,30,D Alvarado
0,0,5,5,39,G Shaw
2,2,3,4,50,P McCallum
3,3,1,1,15,R Leone
1,2,1,2,40,R Paredes
2,3,1,3,49,L Hajrullahu
0,1,3,4,43,D Alvarado
0,0,3,3,49,R Paredes
3,3,2,2,42,R Leone
1,2,3,3,44,R Pfeffer
4,4,1,1,35,G Shaw
0,0,1,2,11,L Hajrullahu
1,1,2,2,41,P McCallum
1,1,5,7,49,J Medlock
2,2,3,3,26,L Hajrullahu
1,1,2,2,24,R Leone
3,3,3,3,44,G Shaw
0,0,1,1,34,P McCallum
3,3,1,2,27,R Paredes
2,2,2,2,38,B Bede
4,4,2,2,40,J Medlock
1,1,1,1,21,R Pfeffer
2,2,1,2,22,R Leone
2,2,3,3,42,G Shaw
3,3,1,1,40,C Milo
2,2,2,3,42,B Bede
2,2,2,3,52,R Pfeffer
2,2,4,5,48,P McCallum
5,5,1,1,35,J Medlock
0,1,2,2,38,B Bede
1,1,1,4,28,G Shaw
0,1,4,4,53,L Hajrullahu
2,3,2,3,44,R Pfeffer
6,7,1,2,42,J Medlock
1,2,2,2,51,R Leone
3,4,3,3,36,R Paredes
0,0,1,2,31,C Milo
1,1,0,1,0,R Leone
0,1,3,3,50,B Bede
1,2,2,2,43,G Shaw
7,7,0,0,0,J Medlock
1,2,1,1,30,P McCallum
1,1,4,4,46,R Paredes
3,3,3,3,36,S Waters
3,3,1,1,36,C Milo
2,2,3,3,49,J Medlock
2,2,3,4,31,B Bede
4,4,3,3,32,G Shaw
2,2,0,1,0,S Waters
0,0,2,2,36,L Hajrullahu
2,2,2,2,27,R Paredes
5,5,0,0,0,C Milo
0,0,1,2,28,P McCallum
1,1,3,3,52,B Bede
3,3,1,4,46,R Leone
1,1,3,4,43,P McCallum
1,1,1,2,30,L Hajrullahu
3,4,3,3,49,J Medlock
0,0,1,2,43,S Waters
1,1,3,3,45,R Paredes
0,0,2,2,23,S Whyte
3,3,4,4,41,J Medlock
2,2,2,3,31,L Hajrullahu
0,0,0,0,0,R Early
1,1,2,2,30,S Whyte
1,1,3,3,50,R Paredes
1,1,1,1,40,R Leone
2,2,5,5,48,C Milo
2,3,3,3,42,R Paredes
1,1,2,3,25,R Leone
1,1,3,3,42,J Medlock
2,2,1,1,29,S Whyte
2,2,4,5,49,P McCallum
2,3,3,4,46,C Milo
3,3,4,4,44,B Bede
0,0,2,2,24,L Hajrullahu
2,2,0,1,0,L Hajrullahu
2,2,3,3,32,R Paredes
1,1,2,3,48,S Whyte
2,3,0,1,0,R Leone
2,3,2,2,39,C Milo
4,4,2,2,50,J Palardy
2,3,4,4,31,P McCallum
0,0,1,2,38,B Bede
4,4,3,3,34,C Milo
0,0,1,1,38,B Bede
2,2,1,2,57,J Medlock
0,0,5,7,51,R Paredes
1,2,1,5,45,L Hajrullahu
1,1,3,3,53,S Whyte
3,5,4,5,42,R Leone
0,0,1,2,28,P McCallum
5,5,1,1,27,J Palardy
3,3,4,5,46,C Milo
3,3,3,3,44,J Medlock
1,1,0,1,0,P McCallum
0,0,0,0,0,R Paredes
1,1,2,2,43,S Whyte
0,2,1,1,15,R Leone
2,2,4,4,36,S Castillo
0,0,1,1,41,C Marshall
1,2,1,1,24,B Bede
3,3,1,3,36,J Palardy
2,2,4,4,37,C Milo
2,2,0,0,0,S Castillo
1,1,2,2,32,J Palardy
2,2,2,2,38,R Paredes
1,1,6,7,40,S Whyte
1,2,3,4,37,R Leone
0,0,1,1,26,B Bede
1,1,5,6,33,J Medlock
4,5,1,1,31,R Leone
0,0,0,1,0,J Rogers
3,4,2,2,43,B Bede
1,2,2,3,46,S Castillo
1,2,2,2,46,C Milo
3,3,1,1,22,T Crapigna
3,3,2,2,37,S Whyte
2,2,3,5,34,J Rogers
0,0,0,1,0,B Whitaker
0,2,2,3,28,R Leone
2,2,4,4,39,R Paredes
1,1,2,2,43,T Crapigna
0,0,2,2,45,J Medlock
0,0,4,4,35,C Milo
4,4,4,4,37,S Whyte
3,3,0,1,0,B Bede
1,2,2,3,47,J Palardy
0,0,3,5,48,S Castillo
5,6,1,1,28,C Milo
2,2,2,2,40,J Medlock
0,0,2,4,49,A Fera
4,4,0,1,0,R Paredes
3,3,1,1,15,B Bede
1,2,1,1,39,T Crapigna
2,2,3,3,55,J Medlock
2,2,2,4,43,S Waters
2,2,1,1,30,R Paredes
0,0,3,3,40,R Leone
3,3,4,4,45,C Milo
3,3,2,3,42,J Medlock
4,4,3,3,32,S Whyte
0,0,5,5,49,R Paredes
1,1,1,3,25,S Whyte
1,2,2,2,33,C Milo
