longest rush, name, rushes, rushing touchdowns, rushing yards
14,J White,14,0,44
6,D Allen,1,0,6
5,J Johnson,1,0,5
4,P Johnson,1,0,4
19,J Smith,18,2,79
8,D Dickenson,1,0,8
4,G Simon,1,0,4
2,J Jackson,1,0,2
56,T Ebell,16,0,132
10,R Ray,4,0,34
56,C Roberts,17,4,93
34,C Brazzell,1,0,34
18,M Imoh,10,0,50
11,D Diedrick,1,0,11
9,K Watkins,1,0,9
4,M Vilimek,2,0,6
1,M Brady,4,0,4
2,A Calvillo,2,0,3
19,K Joseph,6,0,51
8,H Childs,13,0,34
24,H Burris,11,0,99
15,J Reynolds,13,1,93
16,G Commissiong,3,0,24
3,R Cote,1,0,3
14,J Lumsden,9,0,46
10,C Holmes,4,0,27
2,J Maas,1,0,2
17,C Roberts,21,1,91
6,R Edwards,9,1,28
7,A Calvillo,2,0,13
4,M Brady,4,0,10
0,J Smith,14,1,84
13,I Smart,4,0,24
13,D Dickenson,4,0,22
2,J Jackson,3,0,4
1,B Pierce,1,0,1
0,T Ebell,8,0,21
0,S Jyles,4,0,9
0,R Ray,1,0,0
0,T Chang,2,0,16
0,J Lumsden,7,0,15
0,C Holmes,2,0,4
0,B Ralph,1,0,4
0,R Williams,1,0,3
0,J Avery,13,0,45
0,M Bishop,5,0,27
0,J Johnson,5,0,17
0,M McMahon,1,0,6
16,W Cates,11,2,58
16,K Joseph,3,0,34
13,H Childs,5,0,25
15,J Reynolds,7,0,37
14,H Burris,2,0,15
0,N Lewis,1,0,0
33,A Durie,2,1,35
9,M Bishop,2,0,18
4,J Johnson,8,1,14
15,J White,3,0,14
3,F Murphy,1,0,3
1,M McMahon,1,0,1
12,J Reynolds,10,0,39
8,H Burris,2,0,10
5,G Commissiong,2,0,9
8,A Smith,1,0,8
20,C Roberts,13,0,63
9,K Glenn,5,0,22
17,T Edwards,1,0,17
47,R McClendon,7,0,57
9,R Ray,3,0,23
2,S Jyles,2,0,3
14,K Joseph,2,0,22
12,M Crandell,3,0,12
4,W Cates,2,0,5
2,H Childs,2,0,3
16,J Smith,13,1,52
19,B Pierce,3,1,29
4,I Smart,2,0,6
2,D Dickenson,1,0,2
1,J Jackson,2,1,1
22,J Lumsden,10,0,79
15,J Maas,4,0,33
11,C Holmes,2,0,19
5,T Chang,1,0,5
7,R Edwards,11,0,38
9,M Imoh,6,0,19
5,M Vilimek,2,0,7
3,M Brady,2,0,4
16,M Imoh,4,0,32
4,M Vilimek,4,0,10
9,A Calvillo,1,0,9
4,R Edwards,7,0,6
3,M Brady,4,0,5
16,C Roberts,16,1,95
4,K Glenn,3,0,0
18,J Smith,16,0,106
10,B Pierce,5,0,38
1,J Jackson,3,1,3
66,J Lumsden,11,0,158
11,J Maas,4,0,19
13,B Ralph,2,0,11
3,C Holmes,1,0,3
7,R McClendon,8,0,20
4,R Ray,2,0,7
1,S Jyles,1,0,1
23,W Cates,11,0,82
24,K Joseph,6,0,64
30,J Reynolds,12,0,102
14,H Burris,5,0,34
2,G Commissiong,2,0,3
9,J White,10,0,34
11,M McMahon,3,0,30
5,F Murphy,2,0,7
20,J Avery,20,0,105
7,F Murphy,2,0,9
2,D Allen,1,0,2
18,J Payton,12,0,63
9,A Cobourne,7,0,33
19,J Piercy,1,0,19
6,A Calvillo,3,0,15
2,M Vilimek,1,0,2
11,C Roberts,16,2,72
6,C Brazzell,1,0,6
0,K Glenn,1,0,0
11,J Lumsden,10,0,45
12,N Setta,1,0,12
3,J Maas,3,0,6
2,C Holmes,1,0,2
27,K Joseph,8,2,63
12,W Cates,11,0,45
13,C Szarka,6,0,29
12,H Childs,3,0,18
9,R McClendon,8,0,12
5,S LeFors,2,0,9
4,S Jyles,2,0,8
17,H Burris,9,1,52
9,J Reynolds,10,0,35
17,M Howell,1,0,17
38,J Smith,16,1,112
20,B Pierce,6,0,41
9,J Jackson,4,0,18
