longest punt return, name, punt return yards, punt returns
0,T Jacobson,-5,2
2,K Dawson,2,2
0,O Johnson,-3,1
0,J Britt,4,1
0,J Ursua,0,1
7,N Ellerbe,7,1
17,J Tyler,32,3
17,T Cottrell,17,3
0,B Gaither,0,1
0,T McCants,0,1
6,J Brimhall,6,2
0,O Clark,0,1
43,M Hughes,50,3
18,D Gray,42,4
1,D Rollins Davis,1,1
18,J Swann,18,2
5,R DeNicola,5,2
5,T Bateman,10,2
14,D Ungerer,23,3
8,I Hennie,12,3
6,K Hill,7,2
23,J Williams,22,2
12,A Shenault,12,2
14,J Martinez,14,1
11,J McCleskey,3,2
12,D McKinley Lewis,22,3
6,D Phillips,7,2
16,B Hobbs,18,2
29,G Dortch,76,4
9,B Banham,12,2
0,N Mullen,-1,1
4,C Scott,6,2
10,C Beebe,17,3
11,M Walker,11,1
2,J Grant,2,1
61,D Pettis,80,2
11,S Riley,5,4
2,S Ishmael,2,1
14,N Nelson,17,2
0,Z Van Leeuwen,0,1
7,R Cleveland,9,2
0,I Parker,-2,1
66,S Brown,71,2
2,E Marks,1,2
6,S Roberts,6,1
81,A Williams,124,5
9,M Jones,9,1
32,D Chark,26,3
9,R McCloud,14,2
7,A Rodgers,7,1
5,A Trapp,5,1
18,C Jones,46,4
2,I Rodgers,4,3
9,M Hudzick,9,1
3,T Rahming,3,2
8,A Carter,8,1
1,T Irvin,1,1
0,J Miller,-1,1
44,D ONeal,40,3
13,R Rivers,19,2
11,Z Andre,11,2
6,T Godwin,6,1
0,A Crumpton,0,1
3,D Collie,3,1
8,S Hill,8,1
52,M Dudek,55,3
8,C Lacanaria,9,2
23,M VandeBerg,37,3
10,T Ryen,11,3
6,J Rima,7,2
16,S Sims Jr,24,3
4,T Patrick,4,1
30,S Davis,79,3
62,D Reed,62,1
31,R Malone,52,2
60,M Lyons,94,3
66,T Veal,86,4
11,H Bourgeois,11,1
10,D Stewart Jr,15,3
10,M Milton,10,1
12,B Berrios,12,1
18,D Peoples Jones,40,5
5,A Brown,7,2
0,S Harris,0,1
10,J Johnson,10,1
4,D Holliman,4,1
0,T Rodriguez,0,1
9,J Murphy,9,1
19,G Myles,22,3
20,R James,20,3
17,A Proehl,17,1
29,N Hines,40,3
26,C Lammons,26,3
1,S Morgan Jr,1,1
63,B Taylor,63,2
0,C Davis Jr,-11,1
13,K Fossum,18,2
0,C Finke,0,1
2,S Chandler,2,1
0,M Jones,0,1
8,E Jenkins,4,4
21,K Nelson,21,1
20,P White,19,3
0,D Knock,0,1
0,R Bell,-1,1
14,C Lamb,14,1
7,R Anderson,7,1
6,J Badet,5,2
31,D Brown,35,5
2,T Voorhis,2,1
16,C Nelson,24,2
14,L Measom,14,1
15,K Dawson,15,1
66,J Stocker,66,1
61,D Thompkins,127,4
3,T Apke,3,1
6,J Anthrop,9,2
33,R Bonnafon,33,2
6,J Alexander,6,1
7,Q Truxton,9,2
0,T Thomas,0,1
46,T Fullwood,85,3
9,D Washington,18,4
7,A Trent,7,1
4,M Roberson,4,1
0,B Gaither,-1,2
7,A Staggers,7,1
8,T Quinn,9,3
6,J Proche,6,1
0,T Hart,-2,1
17,K Turpin,17,1
0,D White,0,1
91,R Hemphill Mapps,91,1
16,D Moore,16,1
0,D Hilliard,0,1
0,D Lewis,-1,1
12,H White,12,2
0,J Brown,-4,1
4,C Batson,4,2
13,A Wilson,13,7
18,D King,16,3
16,J Flowers,18,2
15,A Harris,15,1
0,D Phillips,0,1
6,D Hamm,7,2
0,D Dedmon,-7,1
14,J Morrow,22,3
0,K Kassis,0,1
2,N Fant,2,1
0,A Pickett,-1,1
0,C Kirk,0,1
5,G Stroman,5,1
0,T Bush,-3,1
4,B Stewart,7,2
20,J Nathan,40,3
18,L Compton,18,1
2,Z Van Leeuwen,2,1
1,T Gaiter IV,1,1
0,B Muhammad,-1,1
5,J Anthrop,5,2
18,P White,18,1
13,J McCleskey,13,2
4,S Featherstone,4,1
2,K Crayton,2,1
8,T Diggs,12,2
7,T Hennigan,18,4
16,M Williams,16,1
6,J Baldwin,6,1
14,K Turpin,14,1
2,S Brown,2,1
6,B McDowell,6,1
3,C Lucas,3,1
27,Q Truxton,32,2
42,C Lacanaria,55,2
0,D Moore,13,1
1,T Nicholson,1,1
0,M Guidry,-1,1
19,M Walker,42,4
9,G Dortch,6,2
11,M Milton,17,3
7,K Case,6,2
0,T Jacobson,-1,1
11,B Hobbs,14,3
0,X Harry,0,1
9,R McCloud,17,4
25,S Roberts,25,1
55,L Shenault Jr,55,0
7,I Oliver,16,4
4,R Blackmon,4,1
9,H White,9,1
17,O Johnson,17,1
20,B Gates,20,1
7,T Rahming,7,1
8,M Campbell,8,1
10,E Horn,10,2
6,B Stewart,5,3
11,J Flowers,19,2
0,M Dudek,0,1
6,N Fant,5,4
0,T Ryen,0,1
4,J Jackson,4,1
13,A Coleman,13,2
12,D Reed,12,1
11,D Heath,11,1
8,I Harris,8,1
6,K Price,11,2
6,Z Tyson,10,2
0,G Lemonier Jr,-6,1
0,C Walker,-1,1
0,D McCleskey Jr,-1,1
65,D Chark,73,2
24,J Simmons,24,1
5,G Myles,-4,2
33,D Moore,45,4
0,J Funk,0,1
0,I Rodgers,-2,2
18,D Brown,44,3
15,L Nelson,18,2
5,D Stewart Jr,5,2
5,J Murphy,5,1
0,D Rollins Davis,0,1
11,D Peoples Jones,19,3
5,D Gray,6,3
1,A Brown,1,2
3,L Lee,3,1
4,J Johnson,4,1
9,J Robertson,9,1
8,R Bonnafon,8,1
0,V Crumbie,0,1
0,R Gilliam,18,1
1,C Beebe,1,3
15,C Davis Jr,15,1
1,C Finke,-3,3
28,M Hardman,25,2
0,T Godwin,-4,1
0,K Hill,0,1
1,C Nelson,1,2
1,A Shenault,1,1
16,D Thompkins,31,3
13,Q Henderson,0,3
27,J Grant,44,3
4,S Hampton,4,1
13,B Banham,24,3
25,A Staggers,29,2
12,J Darden,12,1
3,T Smiley,3,1
0,S Riley,0,1
6,R James,6,2
7,S Chandler,7,1
3,M Jones,3,1
15,T Johnson,15,1
36,M Callaway,53,4
8,D Taylor,8,1
2,A Foreman,-1,3
26,R Malone,26,1
47,M Jones,48,2
9,J Dullary,20,3
9,J Tyler,9,1
4,J Jones,4,1
3,T Juniel,3,1
18,N Ellerbe,18,1
13,A Trammell,13,1
29,A Rector,29,1
11,K Lipscomb,26,4
5,M Clash,5,1
18,D Hamm,20,2
44,J Harris II,109,5
61,G Stroman,58,2
1,C Carroll,1,1
5,J Jarmon,5,1
0,D Pettis,67,1
8,J Morrow,8,2
6,A Williams,4,2
0,R Harrison Ducros,0,1
8,N Nelson,8,3
7,S Lewis,7,2
4,H Bussey III,4,1
23,M Simms,23,1
45,A Conway,53,3
29,A Williams,28,2
3,C Davis Jr,4,2
6,T Fullwood,8,2
12,M Jones,12,1
1,B Goodson,1,1
63,S Brown,62,2
5,T Ellison,5,1
17,T Ryen,17,2
0,A Lazard,0,1
26,B Taylor,36,2
4,K Crayton,7,2
9,T Diggs,9,1
9,S Roberts,31,4
16,R Davis,16,1
10,C Lacanaria,10,1
13,M Walker,19,2
4,C Finke,5,4
5,J Martinez,5,2
17,A Daramy Swaray,17,1
1,T Jacobson,1,1
2,N Nelson,3,2
18,N Mullen,19,3
40,R Blackmon,40,1
0,E Onic,0,1
2,S Wilson,-12,3
0,Q Johnson,-1,1
5,G Stroman,7,2
3,C Carroll,3,1
0,H Bussey III,-1,1
7,B Powell,14,2
29,M Callaway,29,1
8,M Hardman,8,1
0,K McKnight,-1,1
3,B McDowell,6,2
0,C Wilder,0,1
17,J Jackson,17,1
30,M Green,34,4
22,A Staggers,10,3
3,J Smith,3,1
15,R McCloud,9,3
9,J Williams,9,2
0,D Andrews,0,1
6,J Murphy,6,1
79,D Peoples Jones,104,2
0,A Shenault,-2,1
3,T Lee,3,1
0,R Floyd,-12,1
0,J Anthrop,-1,1
20,T Rodriguez,0,5
16,R James,26,4
35,D Gray,49,3
10,D Pierson El,13,5
12,J Embry,-10,2
10,V Crumbie,10,1
3,M Dean,4,2
3,L Rose III,3,3
10,M Jones,13,2
6,F Nagel,2,3
13,M Milton,13,1
2,K Hill,2,1
5,P White,5,1
0,S Sims Jr,-3,1
17,D Brown,38,4
15,A Proehl,15,2
27,D Thompkins,44,3
10,M Allen,10,1
1,T Bateman,1,1
24,J Grant,33,2
14,H Hayek,14,2
13,S Harris,13,2
6,D King,6,1
1,O Miles,1,1
12,C Lammons,14,2
2,Q Truxton,2,1
18,J Tyler,25,3
9,S Riley,20,3
3,S Avant,3,1
24,R Paul,24,1
0,C Kirk,0,1
2,H White,7,2
5,T Hennigan,8,2
11,J High,11,1
8,C Batson,8,1
11,R Newsome,11,1
4,A Wilson,4,1
24,K Tyler,38,2
9,C Jones,9,1
3,A Harris,0,2
27,R Hemphill Mapps,29,2
43,B Hobbs,95,3
7,B Jones,7,2
4,M Guidry,0,2
8,D Reed,13,2
5,B Pringle,4,2
8,J Swann,8,1
75,J Bates III,75,1
0,G Dortch,-11,2
20,J Nathan,20,1
77,D Pettis,86,3
6,R Rivers,6,1
0,J Morrow,-2,1
0,T Bradford,0,1
0,T Veal,0,2
49,D Phillips,98,3
0,R Mwehla,-1,1
8,T Bush,5,2
0,M Simms,-1,2
14,A Conway,16,2
3,C Nelson,1,2
0,D Mitchell,-1,1
8,T Fullwood,13,2
19,M Jones,17,2
48,B Hobbs,48,1
14,R Mahone,14,1
0,A Williams,0,2
17,D Hamm,17,1
10,G Kauppila,10,1
3,R Cleveland,5,2
6,Q Truxton,8,2
35,T Hennigan,37,3
13,G Dortch,13,1
0,R Newsome,-2,2
15,D Mitchell,29,3
42,T Nicholson,47,2
2,C Lamb,2,1
28,W Wright,28,1
6,H Bussey III,6,1
3,V Wharton III,3,1
13,A Harris,13,1
13,T Bateman,13,1
0,P Hart,-8,1
56,R McCloud,54,2
27,M Walker,53,3
12,J Murphy,16,2
6,R Blackmon,6,1
17,V Vea,17,1
8,E Daugherty,9,3
1,B Banham,1,1
15,T McFadden,25,3
13,B Burns,13,1
0,M Hardman,-3,1
12,B Stewart,23,2
80,Q Henderson,80,3
2,B McDowell,3,2
1,C Batson,1,2
70,J Harris II,74,2
22,M Campbell,39,3
4,J Jackson,4,1
4,D Thompkins,4,1
52,C Walker,87,3
5,B Powell,5,1
25,R Malone,29,2
0,M Green,0,1
13,R Yeast,12,2
0,R Bonnafon,-4,1
29,D Moore,40,2
0,C Finke,0,1
4,J Williams,10,5
9,C James,9,1
1,S Roberts,1,1
0,T Lee,-1,2
7,R Groves,7,1
0,A Proehl,0,1
0,M Stewart,0,1
11,S Wilson,19,2
63,D Pierson El,56,3
5,L Rose III,5,1
7,T Juniel,10,3
12,J Darden,12,2
0,T Robinson,5,1
7,D McCall,7,1
0,T Johnson,0,1
0,K Turpin,-3,1
7,J Anthrop,8,2
0,D Peoples Jones,-1,1
5,A Trammell,5,1
0,N Ellerbe,0,1
12,T Gaiter IV,24,3
3,S Harris,3,1
13,D Ungerer,23,2
11,C Lammons,10,1
0,B Gaither,1,2
14,L Compton,14,1
17,B Taylor,16,2
4,J Tyler,4,2
12,D Andrews,10,2
12,M Callaway,27,3
8,I Rodgers,17,3
8,M Reynolds,8,3
16,C Davis Jr,16,1
8,M Jones,8,1
1,B Jones,1,1
0,K Johnson Jr,0,1
11,T Diggs,17,2
16,H Ruggs III,16,1
16,G Stroman,34,4
0,J Morrow,0,1
1,V Crumbie,1,1
22,N Fant,31,3
5,D Phillips,5,1
1,K Watson,1,1
37,A Conway,58,3
10,Q Skanes,10,1
2,T Ryen,2,1
24,B Berrios,34,2
4,D Pierson El,4,1
1,J Nathan,1,2
7,M Shelton,7,1
2,T Jacobson,2,1
0,J Morrow,0,1
0,R Taylor,-2,1
0,A Harris,0,1
21,T Diggs,37,2
16,H Ruggs III,21,2
2,H Toliver,2,1
6,M Reynolds,9,2
11,S Roberts,16,2
5,D Gray,5,1
61,M Walker,128,4
2,A Coleman,2,1
1,M Chapman,1,1
24,M Milton,27,2
12,M Hughes,12,2
15,D Gray,17,2
5,H Foster,1,4
12,D Johnson,19,3
21,J Young,21,1
2,T Lee,2,1
0,B Powell,-3,2
4,K Lipscomb,3,2
5,R Rivers,5,1
13,M Stewart,23,2
11,J Ursua,11,1
14,O Johnson,33,4
34,B Pringle,34,1
11,D Reed,11,1
3,T Nicholson,3,1
18,K Green,18,1
7,J Martinez,7,1
18,J Paschal,18,1
15,I Holder,17,2
1,E Daugherty,-2,3
13,M Green,12,2
0,K Tyler,-6,2
21,R Yeast,24,5
0,L Gainey,0,1
0,M Jones,0,1
5,T Veal,5,1
10,I Rodgers,10,1
2,D Knock,2,1
11,L Nelson,19,2
0,D Stewart Jr,0,1
15,D Moore,35,3
34,S Riley,32,2
9,C Davis Jr,9,1
27,D Mitchell,27,1
1,J Redd,1,1
8,V Wharton III,7,2
28,Q Henderson,38,2
5,A Trammell,7,2
5,L Timian,5,1
0,J Harris II,-1,1
7,K Hill,4,2
