average kickoff return, average kickoff return yards, kickoff return touchdowns, kickoff returns, longest kickoff return, name
23.000,,0,3,24,Jermaine Lewis
18.000,,0,2,23,Jerry Azumah
29.000,,0,1,29,Glyn Milburn
17.000,,0,3,20,Tony Driver
13.000,,0,2,18,Nate Clements
27.000,,0,2,38,Michael L Lewis
13.000,,0,1,13,Deuce McAllister
36.000,,0,3,64,Curtis Keaton
28.000,,0,2,30,JR Redmond
21.000,,0,1,21,Andre King
-4.000,,0,1,-4,OJ Santiago
11.000,,0,1,11,Jamel White
31.000,,0,3,49,Charlie Rogers
43.000,,0,3,77,Reggie Swinton
13.000,,0,1,13,Karl Williams
20.000,,0,3,26,Allen Rossum
25.000,,0,5,33,Desmond Howard
17.000,,0,1,17,Damon Gibson
18.000,,0,2,20,Will Blackwell
23.000,,0,2,31,Troy Edwards
17.000,,0,2,18,Jason Dunn
21.000,,0,1,21,Dante Hall
32.000,,0,4,40,David Dunn
18.000,,0,5,21,Nate Jacquet
44.000,,1,3,93,Steve Smith
17.000,,0,4,32,Chad Morton
19.000,,0,3,25,Laveranues Coles
7.000,,0,1,7,James Dearth
24.000,,0,2,27,Dominic Rhodes
29.000,,0,2,34,Terrence Wilkins
29.000,,0,3,43,Brian Mitchell
27.000,,0,1,27,James Thrash
18.000,,0,4,26,Aveion Cason
14.000,,0,1,14,Ronney Jenkins
25.000,,0,6,33,Michael Bates
16.000,,0,2,19,Jonas Lewis
22.000,,0,2,24,Vinny Sutherland
17.000,,0,3,27,Darrick Vaughn
7.000,,0,1,7,Brian Kozlowski
20.000,,0,2,24,Derrick Mason
18.000,,0,1,18,Justin McCareins
32.000,,0,4,55,Brock Marion
18.000,,0,1,18,Olandis Gary
29.000,,0,1,29,Kevin Kasper
22.000,,0,4,27,Ron Dixon
24.000,,0,7,39,MarTay Jenkins
26.000,,0,2,29,Kevin Kasper
25.000,,0,4,28,Darrick Vaughn
23.000,,0,2,24,Isaac Byrd
20.000,,0,2,22,Steve Smith
22.000,,0,2,26,Glyn Milburn
17.000,,0,1,17,Jerry Azumah
26.000,,0,3,37,Troy Walters
16.000,,0,1,16,Don Morgan
30.000,,0,3,45,Curtis Keaton
19.000,,0,2,23,Pat Johnson
23.000,,0,1,23,Jason Brookins
22.000,,0,1,22,Corey Harris
19.000,,0,2,26,Benjamin Gay
22.000,,0,1,22,Jamel White
25.000,,0,5,37,Desmond Howard
25.000,,0,5,32,Reggie Swinton
28.000,,0,3,34,Ronney Jenkins
24.000,,0,4,29,Terrence Wilkins
19.000,,0,4,23,Tony Driver
21.000,,0,3,26,Nate Clements
23.000,,0,2,27,Damon Gibson
15.000,,0,2,21,Justin McCareins
32.000,,0,1,32,Eddie Berlin
14.000,,0,1,14,Derrick Mason
0.000,,0,0,11,Chris Coleman
21.000,,0,2,21,Dante Hall
23.000,,0,1,23,Ron Dixon
14.000,,0,4,28,Brock Marion
21.000,,0,3,28,David Dunn
25.000,,0,2,30,Kevin Faulk
31.000,,0,2,32,Chad Morton
18.000,,0,5,26,Charlie Rogers
19.000,,0,1,19,Brian Mitchell
24.000,,0,5,33,Vinny Sutherland
34.000,,0,1,34,Cedrick Wilson
27.000,,0,2,32,Trung Canidate
23.000,,0,1,23,Yo Murphy
12.000,,0,1,12,Rondell Mealey
27.000,,0,6,41,Michael Bates
8.000,,0,2,17,Derrius Thompson
19.000,,0,4,24,MarTay Jenkins
20.000,,0,1,20,Darrick Vaughn
21.000,,0,2,23,Nate Clements
20.000,,0,1,20,Avion Black
12.000,,0,1,12,Troy Edwards
17.000,,0,4,25,Steve Smith
19.000,,0,1,19,Isaac Byrd
20.000,,0,1,20,Richard Huntley
24.000,,0,1,24,Rondell Mealey
33.000,,0,5,37,Kevin Kasper
18.000,,0,3,20,Jermaine Lewis
18.000,,0,5,32,Damon Gibson
8.000,,0,1,8,Paul Spicer
13.000,,0,2,24,Benjamin Gay
19.000,,0,1,19,Jamel White
21.000,,0,2,24,Troy Walters
0.000,,0,0,0,Matt Snider
25.000,,0,5,27,Dwight Smith
13.000,,0,1,13,Troy Brown
23.000,,0,1,23,Marc Edwards
25.000,,0,1,25,Kevin Faulk
20.000,,0,5,26,Terrence Wilkins
6.000,,0,1,6,Chukie Nwokorie
13.000,,0,1,13,Jerome Pathon
24.000,,0,2,43,Ron Dixon
0.000,,0,1,0,Dan Campbell
41.000,,0,2,68,Michael L Lewis
11.000,,0,1,11,Tom Ackerman
22.000,,0,1,22,Fred McAfee
23.000,,0,3,28,Brian Mitchell
21.000,,0,5,26,Reggie Swinton
17.000,,0,1,17,Michael Wiley
14.000,,0,3,21,David Dunn
15.000,,0,5,23,Charlie Rogers
29.000,,0,2,31,Ronney Jenkins
22.000,,0,3,28,Curtis Keaton
24.000,,0,3,36,Trung Canidate
23.000,,0,4,35,Brock Marion
34.000,,0,2,47,Chris Chambers
28.000,,0,5,41,Michael Bates
10.000,,0,2,21,KiJana Carter
22.000,,0,3,26,Dante Hall
29.000,,0,3,34,Laveranues Coles
15.000,,0,2,22,Chad Morton
38.000,,0,3,65,Vinny Sutherland
25.000,,0,3,32,Darrick Vaughn
23.000,,0,1,23,Quentin McCord
37.000,,0,1,37,Glyn Milburn
8.000,,0,1,8,David Terrell
14.000,,0,1,14,Jermaine Lewis
22.000,,0,6,34,Chris Coleman
16.000,,0,3,19,Avion Black
21.000,,0,3,33,Nate Clements
22.000,,0,3,30,Laveranues Coles
33.000,,0,2,36,Benjamin Gay
21.000,,0,1,21,Mike Sellers
13.000,,0,1,13,Greg Spires
17.000,,0,5,23,Ronney Jenkins
22.000,,0,2,30,Chris Cole
18.000,,0,1,18,Kevin Kasper
20.000,,0,3,28,Dante Hall
22.000,,0,3,29,Chris Chambers
21.000,,0,2,26,Kevin Faulk
29.000,,0,3,34,Michael L Lewis
22.000,,0,8,28,Troy Walters
16.000,,0,2,26,Ron Dixon
11.000,,0,1,11,Marcellus Rivers
30.000,,0,3,38,Michael Bates
22.000,,0,3,27,KiJana Carter
20.000,,0,1,20,Brian Mitchell
34.000,,0,1,34,James Thrash
0.000,,0,0,-10,Chad Lewis
0.000,,0,0,-11,Ike Reese
17.000,,0,5,23,MarTay Jenkins
21.000,,0,1,21,Troy Edwards
30.000,,0,1,30,Hank Poteat
15.000,,0,5,26,Curtis Keaton
20.000,,0,3,26,David Dunn
30.000,,0,3,51,Reggie Swinton
17.000,,0,1,17,Michael Wiley
20.000,,0,5,37,Charlie Rogers
19.000,,0,4,27,Damon Gibson
25.000,,0,3,29,Vinny Sutherland
21.000,,0,4,26,Steve Smith
26.000,,0,3,43,Dwight Smith
21.000,,0,6,29,Desmond Howard
21.000,,0,1,21,Trung Canidate
23.000,,0,5,29,Darrick Vaughn
14.000,,0,1,14,Brian Kozlowski
21.000,,0,6,28,Vinny Sutherland
6.000,,0,1,6,Paul Smith
26.000,,0,4,44,Steve Smith
21.000,,0,6,24,Michael L Lewis
20.000,,0,2,23,Glyn Milburn
12.000,,0,1,12,Jerry Azumah
27.000,,0,2,28,MarTay Jenkins
7.000,,0,1,7,Joel Makovicka
18.000,,0,2,19,Curtis Keaton
19.000,,0,2,20,Mike Sellers
26.000,,0,2,27,Jamel White
13.000,,0,2,14,Rondell Mealey
4.000,,0,1,4,Antonio Freeman
19.000,,0,4,31,Jermaine Lewis
