longest punt return, name, punt return yards, punt returns
72,BJ Hill,90,3
14,Briggs Orsbon,14,1
0,Dwain Crawford,0,1
0,Joe Bennett,-1,1
9,Alphonso Smith,15,2
13,Jeff Moturi,13,1
25,DJ Woods,33,2
10,DeAngelo Smith,13,2
29,Antonio Brown,64,3
29,Jasper Howard,42,2
13,DeAnthony White,23,3
16,Michael OConnell,16,1
13,Devin McDowell,13,2
66,Graig Cooper,66,1
15,Travis Benjamin,24,3
8,Thearon Collier,8,1
7,Eugene Harris II,9,2
91,DJ Moore,98,3
13,John Cole,22,2
18,Jerrel Jernigan,34,3
1,Jorrick Calvin,1,1
17,Captain Munnerlyn,34,3
0,Geron James,0,1
2,Doug Baldwin,2,1
15,Sammie Stroughter,9,3
21,Carlo Sandiego,17,2
50,Delano Green,58,2
12,Brandon King,14,2
22,Javier Arenas,23,2
9,CJ Spiller,9,1
8,Jarius Wright,14,2
87,Marquis Hundley,87,1
27,Mike Thomas,53,4
4,Keola Antolin,8,2
66,Robert Dunn,68,3
9,JJ McCoy,9,1
31,Kyle Williams,41,4
16,Titus Young,27,4
19,Ian Johnson,19,1
7,ONeill Chambers,7,1
5,Reed White,7,2
0,Brett Johnson,5,1
0,Sean Young,-3,2
0,Jesse Johnson,29,1
31,Joe Burnett,88,4
0,Leon Wright,0,1
37,TJ Lee,37,1
7,Darryl Freeney,7,1
74,Brandon James,95,4
0,M Washington,-2,1
37,Asher Allen,54,3
32,Reshad Jones,32,1
24,Kenneth Fontenette,38,3
23,Kierrie Johnson,23,1
0,Chaz Rodriguez,5,1
0,Tyron Carrier,0,1
17,Ray Fisher,17,1
0,Nick Polk,-3,1
19,Andy Brodell,62,4
14,Colin Sandeman,14,1
75,Daymond Patterson,135,4
74,Ty Hilton,89,2
30,Deon Murphy,68,6
5,Brandon Banks,5,1
3,Josh Pleasant,8,3
0,Rich Gunnell,-5,1
21,Chad Jones,40,3
28,Phillip Livas,28,1
13,Phillip Beck,13,1
0,Stevon Howze,0,1
10,Delmon Robinson,10,1
5,Jamayel Smith,-3,3
0,Donovan Warren,0,2
0,Jereme Brooks,-1,1
0,John Peel,-1,1
0,Chad Spann,9,1
4,Earnest Williams,4,1
46,Jeremy Maclin,56,4
15,Tommy Saunders,15,1
2,Dere Hicks,3,2
26,Emmanuel Spann,68,4
82,Brandon Tate,137,3
28,Niles Paul,38,2
3,Nathan Swift,3,1
0,Dwayne Sanders,0,1
1,Frankie Solomon,1,2
53,Jeremy Kerley,57,3
6,Brendan Smith,6,2
4,Ryan Howard,4,1
45,Ray Small,80,4
4,DeVier Posey,4,1
8,Dominique Franks,8,3
1,Juaquin Iglesias,-1,2
51,Jairus Byrd,78,5
0,DAndre Goodwin,-1,1
12,Aaron Berry,20,3
8,Corey Partridge,2,2
14,Derrick Williams,20,2
4,Davion Mauldin,4,2
39,Marcus Edwards,124,7
67,T Wilson,67,1
29,Patrick Richardson,29,1
6,Bryant,6,1
4,Kevin Jurovich,7,2
0,Orkeys Auriene,0,1
4,Earl Thomas,4,1
2,Quan Cosby,2,1
3,Taviuos Polo,6,3
9,Jordan Pugh,9,2
13,Kevin Jones,13,1
14,Eric Morris,21,5
7,Kevin Sanders,7,1
35,Trae Johnson,42,2
