completions, interceptions thrown, longest pass, name, passes, passing touchdowns, passing yards
17,0,41,J Masoli,28,1,169
8,2,37,I Harker,14,0,128
9,0,26,C Fajardo,17,0,66
32,0,45,T Harris,41,3,447
7,1,31,V Adams Jr,10,1,134
7,0,20,A Pipkin,17,1,57
23,1,50,B Mitchell,39,1,275
29,4,26,D Davis,44,0,276
22,2,56,M Reilly,39,1,324
21,0,43,M Nichols,33,3,184
30,0,43,D Davis,39,3,354
27,0,44,C Fajardo,34,2,360
25,0,54,T Harris,33,3,294
14,1,38,M Reilly,27,1,149
16,1,42,J Franklin,26,0,211
9,1,40,M Bethel Thompson,16,1,99
23,1,31,J Masoli,31,3,338
5,0,44,D Evans,6,1,105
13,1,75,M Nichols,21,3,200
35,0,27,T Harris,54,0,345
25,3,75,J Masoli,31,1,417
0,0,0,B Addison,1,0,0
14,1,27,V Adams Jr,24,1,173
6,0,21,M Shiltz,8,0,64
23,1,42,B Mitchell,34,2,252
9,0,27,N Arbuckle,9,1,93
36,0,24,M Reilly,42,2,354
24,0,98,C Fajardo,31,2,430
20,2,56,J Franklin,28,1,224
3,0,12,M Bethel Thompson,6,0,26
14,0,46,V Adams Jr,25,0,202
29,1,59,J Masoli,44,2,401
21,2,30,D Davis,36,0,234
16,0,82,M Nichols,20,1,262
6,1,16,C Streveler,8,1,42
25,1,45,M Bethel Thompson,33,1,303
0,0,0,D Brown,1,0,0
23,1,29,M Reilly,34,1,272
9,2,26,C Fajardo,15,0,89
9,1,12,I Harker,13,0,72
19,0,76,N Arbuckle,22,2,262
1,0,11,M Cozart,1,0,11
17,1,39,M Reilly,26,0,157
22,0,77,T Harris,28,2,276
18,0,67,M Nichols,24,3,209
2,1,20,C Streveler,3,0,30
22,2,55,M Bethel Thompson,39,3,388
23,1,42,D Davis,37,0,268
23,0,75,V Adams Jr,30,2,327
25,1,22,J Masoli,34,2,192
24,0,57,N Arbuckle,40,0,368
1,0,19,R Maver,1,0,19
20,2,20,N Arbuckle,30,2,191
32,4,24,M Bethel Thompson,42,2,343
25,0,54,M Nichols,29,2,295
1,0,7,D Adams,1,0,7
0,0,0,A Harris,1,0,0
0,0,0,C Streveler,1,0,0
4,1,21,W Arndt,13,0,57
6,1,13,J Jennings,15,0,45
15,0,43,V Adams Jr,22,1,191
1,0,21,E Lewis,1,1,21
29,2,49,T Harris,43,0,271
17,2,50,C Fajardo,23,2,278
31,1,53,M Reilly,40,1,346
15,2,23,J Jennings,18,1,125
30,0,30,N Arbuckle,37,0,370
27,0,32,T Harris,39,0,298
6,1,28,M Bethel Thompson,18,0,90
8,2,18,D Prukop,13,0,68
13,1,22,D Evans,25,0,94
6,1,27,J Masoli,7,0,59
29,3,25,M Nichols,48,1,261
1,0,10,C Streveler,1,0,10
8,0,18,M Reilly,19,0,66
0,0,0,D OBrien,2,0,0
21,0,22,C Fajardo,26,1,169
37,0,20,M Bethel Thompson,49,3,343
21,0,24,M Nichols,31,1,169
25,0,0,C Fajardo,31,0,313
19,1,36,D Evans,29,1,196
1,0,13,L Tasker,1,0,13
13,1,20,V Adams Jr,25,0,120
8,0,14,A Pipkin,17,0,57
20,2,23,D Davis,34,1,164
19,1,25,N Arbuckle,28,1,189
29,0,83,T Harris,42,2,373
18,0,29,M Nichols,22,0,177
22,2,42,N Arbuckle,35,1,260
4,0,22,A Pipkin,7,0,47
5,0,19,M Shiltz,8,0,43
15,0,34,C Fajardo,21,0,166
33,0,35,T Harris,40,0,327
23,2,67,D Davis,35,1,289
10,1,53,M Nichols,12,1,179
0,1,0,C Streveler,3,0,0
16,1,25,M Reilly,28,0,177
1,0,56,D Carter,1,0,56
19,0,33,M Bethel Thompson,26,2,200
28,0,59,T Harris,41,3,420
40,0,47,D Davis,20,0,238
6,0,0,J Jennings,2,0,31
39,2,38,D Evans,24,1,299
31,0,69,N Arbuckle,36,4,370
32,2,58,V Adams Jr,50,2,389
26,1,75,T Harris,40,1,430
7,0,17,C Streveler,17,0,89
24,0,21,C Fajardo,36,1,241
16,0,75,J Jennings,26,1,208
3,3,10,D Davis,6,0,23
4,0,9,W Arndt,5,0,22
21,2,49,M Reilly,31,1,286
1,0,2,J Bartel,1,0,2
17,2,25,D Evans,31,0,194
36,0,38,M Bethel Thompson,47,2,464
19,1,65,V Adams Jr,25,2,335
25,2,23,C Fajardo,39,1,300
16,2,37,C Streveler,24,1,161
