average kickoff return, average kickoff return yards, kickoff return touchdowns, kickoff returns, longest kickoff return, name
21.000,,0,5,34,Bethel Johnson
22.000,,0,4,27,Dominic Rhodes
25.000,,0,3,32,Lamont Brightful
22.000,,0,1,22,Will Poole
21.000,,0,2,23,Terrence McGee
19.000,,0,3,26,Jermaine Lewis
17.000,,0,4,23,Daryl Jones
25.000,,0,1,25,Jason McKie
37.000,,0,1,37,RW McQuarters
24.000,,0,3,41,Eddie Drummond
30.000,,0,1,30,Dee Brown
19.000,,0,4,28,BJ Sams
27.000,,0,2,32,Roc Alexander
29.000,,0,2,32,Reuben Droughns
17.000,,0,1,17,Dante Hall
18.000,,0,3,24,Onterrio Smith
17.000,,0,1,17,Mewelde Moore
32.000,,0,3,62,ReShard Lee
23.000,,0,2,24,Jacques Reeves
9.000,,0,1,9,Matt Lehr
32.000,,0,4,51,Michael L Lewis
23.000,,0,2,23,Maurice Morris
20.000,,0,5,29,Jonathan Carter
25.000,,0,5,32,TJ Houshmandzadeh
22.000,,0,3,27,JR Reed
23.000,,0,5,33,Willie Ponder
25.000,,0,3,36,Antwaan Randle El
23.000,,0,1,23,Ricardo Colclough
12.000,,0,1,12,Matt Cushing
23.000,,0,4,33,Carlos Francis
2.000,,0,1,2,Doug Gabriel
19.000,,0,3,22,Arnaz Battle
12.000,,0,4,29,Allen Rossum
14.000,,0,1,14,Arlen Harris
20.000,,0,1,20,Steven Jackson
27.000,,0,5,71,Josh Scobey
25.000,,0,6,49,JJ Moses
25.000,,0,4,33,Wes Welker
24.000,,0,2,28,Chad Morton
15.000,,0,1,15,Mike Sellers
31.000,,0,4,54,Frank Murphy
13.000,,0,1,13,Bill Schroeder
24.000,,0,3,25,Rod Smart
8.000,,0,2,14,DeShaun Foster
21.000,,0,2,26,Najeh Davenport
21.000,,0,5,28,Josh Scobey
23.000,,0,1,23,Bethel Johnson
22.000,,0,4,26,Allen Rossum
19.000,,0,3,23,Steven Jackson
-1.000,,0,1,-1,Rich Coady
15.000,,0,3,20,BJ Sams
19.000,,0,5,30,Ricardo Colclough
21.000,,0,2,30,Antwaan Randle El
19.000,,0,1,19,TJ Houshmandzadeh
24.000,,0,2,25,Lamont Brightful
-1.000,,0,2,0,Bryan Gilmore
20.000,,0,2,24,ReShard Lee
22.000,,0,1,22,Jacques Reeves
7.000,,0,2,15,Dee Brown
6.000,,0,1,6,Aaron Shea
39.000,,1,4,99,Eddie Drummond
13.000,,0,4,18,JJ Moses
15.000,,0,2,16,Ahmad Carroll
18.000,,0,1,18,Antonio Chatman
25.000,,0,1,25,Robert Ferguson
21.000,,0,2,21,Daryl Jones
23.000,,0,1,23,Bernard Berrian
24.000,,0,1,24,Jermaine Lewis
24.000,,0,2,29,Reuben Droughns
14.000,,0,4,21,Dante Hall
30.000,,0,2,33,Rod Smart
20.000,,0,4,30,Michael L Lewis
7.000,,0,2,8,Lamont Hall
26.000,,0,7,37,Jamal Robertson
29.000,,0,2,34,Willie Ponder
8.000,,0,1,8,Visanthe Shiancoe
22.000,,0,5,49,Chad Morton
10.000,,0,1,10,Ronald Curry
7.000,,0,1,7,Carlos Francis
6.000,,0,1,6,Jerry Porter
21.000,,0,2,22,London Fletcher
24.000,,0,2,27,Terrence McGee
29.000,,1,7,87,Tim Dwight
17.000,,0,4,27,LaMont Jordan
21.000,,0,3,24,Frank Murphy
24.000,,0,3,30,Maurice Morris
16.000,,0,5,23,Michael Waddell
14.000,,0,1,14,Robert Holcombe
21.000,,0,3,24,Dominic Rhodes
0.000,,0,0,0,Tupe Peko
31.000,,0,4,46,JR Reed
14.000,,0,1,14,Reno Mahe
20.000,,0,6,23,Mewelde Moore
31.000,,0,2,38,Allen Rossum
18.000,,0,3,19,Josh Scobey
19.000,,0,2,22,TJ Houshmandzadeh
6.000,,0,1,6,Kenny Watson
18.000,,0,3,28,BJ Sams
34.000,,0,4,48,Reuben Droughns
26.000,,0,6,38,Tim Dwight
27.000,,0,7,73,Eddie Drummond
21.000,,0,2,24,JR Reed
22.000,,0,1,22,Reno Mahe
27.000,,0,4,32,Brad Pyatt
15.000,,0,2,17,James Mungro
29.000,,0,3,50,Antonio Chatman
8.000,,0,2,10,William Henderson
16.000,,0,2,20,James Whitley
71.000,,0,1,71,Robert Ferguson
33.000,,0,4,45,Dante Hall
22.000,,0,1,22,Derrick Blaylock
0.000,,0,1,0,Gary Stills
25.000,,0,4,28,JJ Moses
22.000,,0,3,26,Wes Welker
37.000,,0,2,41,Antwaan Randle El
22.000,,0,3,30,Kelly Campbell
22.000,,0,2,24,Keenan Howry
24.000,,0,5,41,Bernard Berrian
19.000,,0,1,19,Jason McKie
28.000,,0,2,29,Willie Ponder
18.000,,0,5,30,Richard Alston
14.000,,0,1,14,Andre King
36.000,,0,4,64,Doug Gabriel
25.000,,0,5,28,Torrie Cox
16.000,,0,1,16,Bill Schroeder
17.000,,0,1,17,Maurice Morris
22.000,,0,4,28,Jamal Robertson
20.000,,0,2,27,Arnaz Battle
8.000,,0,1,8,Terry Jackson
20.000,,0,4,23,Mike Furrey
24.000,,0,4,27,Arlen Harris
21.000,,0,3,27,Michael L Lewis
17.000,,0,1,17,Will Smith
-8.000,,0,1,-8,Drew Bennett
12.000,,0,1,12,Troy Fleming
21.000,,0,1,21,Erron Kinney
12.000,,0,2,13,LaBrandon Toefield
26.000,,0,1,26,Jermaine Lewis
23.000,,0,3,28,Chad Morton
12.000,,0,2,19,ReShard Lee
20.000,,0,2,27,Jacques Reeves
26.000,,0,2,29,Josh Scobey
15.000,,0,1,15,Obafemi Ayanbadejo
19.000,,0,5,30,Michael L Lewis
44.000,,1,4,98,Terrence McGee
15.000,,0,1,15,Daimon Shelton
24.000,,0,4,40,Bethel Johnson
11.000,,0,3,19,Rod Smart
23.000,,0,1,23,Eugene Baker
19.000,,0,1,19,Keary Colbert
14.000,,0,3,24,Allen Rossum
26.000,,0,4,33,Bernard Berrian
18.000,,0,2,19,JR Reed
27.000,,0,2,25,Dee Brown
10.000,,0,1,10,Lewis Sanders
15.000,,0,2,16,James Thrash
24.000,,0,1,24,Ladell Betts
12.000,,0,1,12,Mike Sellers
20.000,,0,2,27,Antonio Chatman
23.000,,0,1,23,Mike Cloud
16.000,,0,1,16,Jim Finn
12.000,,0,1,12,Troy Edwards
10.000,,0,1,10,Jermaine Lewis
23.000,,0,3,30,Brad Pyatt
22.000,,0,4,35,Wes Welker
26.000,,0,2,30,LaMont Jordan
27.000,,0,2,27,Ricardo Colclough
32.000,,0,2,35,Antwaan Randle El
21.000,,0,2,23,Cliff Russell
25.000,,0,1,25,TJ Houshmandzadeh
20.000,,0,1,20,Kenny Watson
21.000,,0,2,27,Tim Dwight
19.000,,0,1,19,Jesse Chatman
16.000,,0,6,27,Troy Fleming
19.000,,0,4,24,Jamal Robertson
18.000,,0,1,18,Arnaz Battle
22.000,,0,2,23,Mike Furrey
0.000,,0,1,0,Marshall Faulk
24.000,,0,4,44,Jamel White
20.000,,0,1,20,Frank Murphy
22.000,,0,2,26,Reuben Droughns
20.000,,0,3,24,JJ Moses
15.000,,0,1,15,Moran Norris
28.000,,0,7,42,Doug Gabriel
30.000,,0,6,44,BJ Sams
22.000,,0,2,25,Dante Hall
18.000,,0,3,28,Allen Rossum
