completions, interceptions thrown, name, passes, passing touchdowns, passing yards
34,1,K Carta Samuels,50,5,537
26,0,C McDonald,37,3,418
16,0,M Romero,27,1,140
2,0,N Jeanty,6,0,4
13,0,T Vander Waal,22,0,137
5,0,J Tyner,9,0,44
7,0,S Stankavage,15,0,43
16,0,J Morton,28,3,244
23,0,R Neal,30,2,259
5,0,D Plitt,6,1,77
14,0,J Dolegala,24,0,117
0,0,T Kingsley,4,0,0
27,1,D Pindell,41,1,266
24,0,M Milton,32,5,346
2,0,D Mack Jr,2,0,10
16,0,Z Annexstad,33,2,220
1,0,T Morgan,1,0,7
29,1,M Romero,58,1,233
18,3,E Sindelar,30,1,196
12,0,D Blough,16,0,74
16,0,C Thorson,26,0,172
7,0,T Green,11,0,63
13,0,M Aaron,19,2,254
14,1,J Love,29,1,109
1,1,M Carrillo,4,0,2
37,1,J Maier,55,3,446
0,0,C Crawford,1,0,0
18,0,J Banks,37,2,281
1,0,D Bradwell,1,0,2
31,2,S Hartman,51,2,378
17,0,K Mond,25,2,184
5,0,N Starkel,8,1,63
1,0,C Blumrick,1,0,8
9,0,C Holgorsen,19,1,125
9,0,S Eppler,16,0,105
22,1,A Erdely,28,2,228
1,0,T Johnston III,1,0,35
1,1,D Gibbons,9,0,23
0,1,T Bell,8,0,0
24,1,T Huntley,39,4,253
2,0,J Shelley,2,0,40
5,0,K Jenks,22,0,13
35,1,C Evans,53,2,346
28,1,C Virgil,39,4,358
1,0,L Nunez,2,0,7
24,1,T Cornelius,34,5,295
1,0,K Wudtee,3,0,1
11,0,P Huslig,28,2,150
18,1,K Carta Samuels,33,1,176
1,0,C Hill,4,0,5
22,1,S Montez,25,4,338
13,0,D Jones,17,1,197
10,0,K Hopkins Jr,21,1,197
18,0,T Wiegers,21,2,238
1,0,I Holder,1,1,34
3,0,M Glass III,5,2,30
25,1,K Bahar,42,0,190
2,0,B Harris,2,0,9
0,0,M Smyth,1,0,0
23,1,B Lewerke,33,2,287
29,2,J Love,44,0,319
16,1,T Gangi,26,3,342
1,0,T Taua,1,1,73
1,0,C Solano,1,0,5
13,1,D Alexander,32,2,224
1,0,D Velasquez,1,0,17
0,0,J Eason,1,0,0
21,1,K Costello,31,4,332
10,0,C Chapman,15,0,113
17,0,A Hornibrook,29,2,257
15,0,D Eckels,26,0,167
2,0,D Shanley,3,0,14
0,1,Q Jernighan,1,0,0
19,2,J Wassink,36,3,379
7,0,E Dungey,19,2,184
4,0,T Devito,9,0,42
2,0,A Worthman,8,0,29
5,1,J Carbone,16,0,30
2,0,T Fields,3,0,15
0,0,M Nolan,1,0,0
26,1,J Hansen,36,6,423
2,1,L Bonner,3,1,74
10,0,D Santacaterina,13,1,89
8,0,A Cooper,15,0,74
12,0,T Tagovailoa,16,2,227
5,0,J Hurts,9,0,70
0,0,M Jones,1,0,0
20,2,J Pass,39,2,252
12,0,T Storey,17,3,261
9,0,C Kelley,12,1,92
0,0,D Hyatt,0,0,0
18,0,J Brantley,25,1,134
9,0,H Woodbery,15,2,96
17,0,K Tate,34,1,197
18,0,T Mangum,28,1,209
16,0,M Wilkins,24,4,237
16,1,C Grundy,33,0,187
3,0,D Gillins,10,0,31
10,0,J McClendon,13,2,173
8,1,C Brewer,15,0,138
25,1,L Anthony,38,2,224
2,0,S Davis,2,0,22
15,0,A Brown,21,4,279
4,0,E Perry,4,0,36
2,0,M McDonald,2,0,11
9,0,R Comis,13,1,145
9,2,A Ford,18,0,78
3,0,M Curtis,3,0,26
17,0,T Jackson,27,6,189
2,0,K Vantrease,2,0,11
8,0,J McDaniels,15,0,76
0,1,K Black,3,0,0
8,0,R Bowers,17,0,56
7,0,C Garbers,13,1,54
1,0,B McIlwain,2,0,9
15,4,N Elliott,35,1,137
13,0,C Reynolds,20,1,267
22,1,L Medlock,47,1,296
9,0,T Lawrence,15,3,137
10,0,K Bryant,16,1,127
3,0,C Brice,4,0,13
3,0,D Grainger,5,1,30
1,0,J Lincoln,4,0,16
11,1,J Morgan,20,1,90
6,0,C Alexander,8,0,67
20,1,P Ramsey,27,3,156
8,0,M Penix Jr,10,1,96
16,0,F Franks,24,5,219
3,0,K Trask,3,0,22
3,0,L Johnson,12,0,2
2,1,J Chambers,4,0,1
19,0,M McMaryion,26,0,207
2,0,J Reyna,3,1,40
3,2,C Richardson,10,1,106
11,3,M Petrino,23,0,99
12,0,J Fromm,16,2,157
7,0,J Fields,8,1,63
2,0,M Downing,3,0,4
6,0,J Craig,11,0,36
7,0,J Oatsvall,10,0,25
5,0,S Werts,7,0,29
1,1,D Ford Jr,6,0,17
1,0,T Nick,3,0,14
0,0,C Fields,1,0,0
9,1,T Marshall,18,1,104
10,0,N Johnson,15,0,51
5,1,F Harper,8,0,18
30,0,C McDonald,41,6,428
1,0,K Cassel,1,0,8
5,0,G Lewis,9,0,66
1,0,M Perry,3,1,19
0,0,Z Abey,1,0,0
13,0,A Bush,23,0,190
28,2,W Barrett,41,2,270
11,1,N Stanley,23,1,108
2,0,P Mansell,2,0,35
14,1,M Childers,25,1,105
1,0,D Brown,1,0,5
19,0,P Bender,35,2,187
2,0,M Kendrick,3,0,12
12,0,C Fourcade,24,0,142
5,1,A Delton,14,0,91
8,1,S Thompson,14,1,61
24,0,A Simmons,56,1,257
11,2,T Wilson,18,0,78
4,0,G Hoak,9,1,50
17,0,T Poljan,27,0,137
25,0,S Calvert,36,4,345
1,0,M Cunningham,1,0,8
14,0,S Williams,30,0,132
4,0,B LaRussa,4,0,40
19,0,A Nunez,22,2,184
4,1,L Lewis,8,2,57
8,0,G Hickbottom,18,0,112
8,0,A Clark,11,0,47
17,0,K Hill,29,1,222
3,0,T Pigrome,4,0,22
1,0,J Jones,1,1,20
21,2,S Ehlinger,39,2,263
22,0,B White,28,5,358
6,0,B McBride,10,0,70
0,0,C Adair,1,0,0
10,1,R Riddle,19,2,104
4,1,K Riley,8,0,10
25,0,G Ragland,46,3,357
24,0,I Green,37,2,272
19,0,D Lock,25,4,289
4,0,T Powell,9,0,105
15,0,D Winn,24,1,168
2,0,J Hudson,6,0,15
13,0,K Thompson,31,5,364
1,0,L Burnett,1,0,25
1,0,J Mayden,2,0,9
10,0,F Sawyer,27,0,147
3,0,J Covey,4,0,22
2,1,J Blumrick,6,0,8
29,0,R Finley,43,2,309
23,0,B Dinucci,27,1,197
1,0,C Johnson,2,0,5
13,1,T Tuioti,21,4,327
1,0,S Jones,3,1,22
1,0,C Gerhart,1,0,12
17,1,J Copeland,36,1,328
12,1,B Wimbush,22,1,170
20,1,S Patterson,30,0,227
4,0,D McCaffrey,6,0,22
40,0,M Fine,50,3,444
1,0,Q Shanbour,1,0,17
12,1,B Hicks,24,2,252
22,1,D Haskins,30,5,313
3,0,T Martell,4,0,33
12,0,C Blount,19,2,169
1,0,J Luton,1,0,25
1,0,J Colletto,4,0,2
17,0,Q Maxwell,25,2,233
2,0,N Rourke,8,0,44
26,2,C Newton,52,3,439
1,0,J Collins,1,0,45
9,0,K Murray,11,2,209
8,0,A Kendall,10,1,88
2,0,T Mordecai,2,0,37
15,0,C Robison,26,0,157
2,1,R Peavey,3,0,24
1,0,D Johnson,3,0,11
10,2,J Herbert,21,5,281
1,0,B Burmeister,5,0,11
22,2,J Doege,38,3,253
16,1,K Pickett,22,2,154
1,0,R Town,1,0,15
18,2,V Testaverde,29,1,263
0,0,W Brunson,0,0,0
21,0,T McSorley,36,1,230
25,1,Z Thomas,38,2,270
1,0,P Derrick,1,0,22
20,1,S Stankavage,31,3,204
4,0,J Tyner,8,0,88
17,0,D King,24,3,320
1,0,B Smith,1,0,0
20,3,A Sitkowski,29,1,205
6,1,W Jones III,19,0,79
3,0,T Vitt,5,0,21
7,2,C Garvin,16,1,47
4,0,E Orth,6,0,44
0,0,C Johnson,1,0,0
19,3,J Smith,29,2,209
22,0,J Bentley,29,4,250
3,0,M Scarnecchia,6,1,44
11,0,K Anderson,13,0,91
2,0,B Carpenter,5,1,21
24,0,B Barnett,34,3,305
3,0,B Kean,7,0,37
2,0,C Oladokun,5,0,25
5,2,D Cheek,11,0,45
21,0,J Abraham,27,4,242
3,2,M Rodriguez,5,0,8
1,0,T Whatley,1,0,5
12,2,D Ponder,29,0,62
7,0,J Hayes,8,1,36
17,0,S Robinson,24,3,182
3,0,M Collins,5,1,71
1,0,G Muehlstein,3,0,11
5,2,J Lampley,14,1,101
0,0,L Skelton,1,0,0
0,0,G McDaniel,3,0,0
18,2,F Nutile,32,1,185
1,0,T Centeio,1,0,20
29,1,Z Bednarczyk,40,3,254
19,0,J Guarantano,25,1,172
25,0,W Grier,34,5,429
