average kickoff return, average kickoff return yards, kickoff return touchdowns, kickoff returns, longest kickoff return, name
23.000,,0,3,25,Courtney Roby
20.000,,0,2,22,Percy Harvin
11.000,,0,1,11,CJ Spiller
12.000,,0,1,12,Patrick Cobbs
15.000,,0,1,15,Clifton Smith
0.000,,0,0,0,Brandon Marshall
23.000,,0,3,30,Danieal Manning
22.000,,0,3,32,Stefan Logan
23.000,,0,3,28,Marc Mariani
21.000,,0,5,25,Yamon Figurs
46.000,,1,4,97,Brandon Tate
18.000,,0,2,19,Adam Jones
15.000,,0,1,15,Bernard Scott
18.000,,0,1,18,Quan Cosby
16.000,,0,4,22,Darius Reynaud
0.000,,0,1,0,DJ Ware
23.000,,0,5,45,Mike Goodson
23.000,,0,1,23,Captain Munnerlyn
32.000,,0,1,32,Jordan Pugh
23.000,,0,1,23,Emmanuel Sanders
21.000,,0,3,22,Jerious Norwood
19.000,,0,1,19,Eric Weems
25.000,,0,2,30,Micheal Spurlock
15.000,,0,3,18,Josh Cribbs
11.000,,0,1,11,Marcus Benard
38.000,,0,3,53,Tiquan Underwood
22.000,,0,1,22,Montell Owens
20.000,,0,3,25,Perrish Cox
23.000,,0,2,23,Jacoby Jones
33.000,,0,1,33,Steve Slaton
22.000,,0,7,26,Devin Moore
29.000,,0,2,41,Leon Washington
18.000,,0,3,30,Ted Ginn
13.000,,0,1,13,Josh Morgan
23.000,,0,4,33,Ellis Hobbs
31.000,,0,5,51,Jordy Nelson
22.000,,0,1,22,Danny Amendola
34.000,,0,1,34,Mardy Gilyard
17.000,,0,1,17,Mike Karney
27.000,,0,3,31,LaRod Stephens Howling
38.000,,0,2,42,Devin Thomas
18.000,,0,2,21,Akwasi Owusu Ansah
13.000,,0,1,13,Kevin Ogletree
24.000,,0,2,32,Brad Smith
19.000,,0,3,23,Jalen Parmele
15.000,,0,1,15,Tom Zbikowski
19.000,,0,3,26,Javier Arenas
16.000,,0,2,19,Darren Sproles
34.000,,0,1,34,Jerious Norwood
30.000,,0,1,30,Eric Weems
18.000,,0,5,26,LaRod Stephens Howling
60.000,,0,1,60,Bernard Scott
30.000,,0,3,39,Jalen Parmele
8.000,,0,2,10,Jerome Harrison
19.000,,0,1,19,Josh Cribbs
11.000,,0,1,11,James Davis
3.000,,0,1,3,Lawrence Vickers
19.000,,0,2,20,Dexter McCluster
19.000,,0,1,19,Javier Arenas
