kickoff return yards, kickoff returns, longest kickoff return, name
13,1,13,J Gordon
24,1,24,A Baltazar
3,1,3,C Bertoli
46,3,20,K Anderson
39,2,25,K Barfield
41,1,41,A Hine
24,1,24,P Lasike
33,2,17,D Thomas
16,1,16,K Sanders
43,2,23,D Ervin
21,1,21,K Muhammad
37,2,19,A Toureen
29,2,15,D Dunn
25,1,25,G Hopper
18,1,18,T Green
48,3,25,A Smith
72,3,35,J Harris
19,1,19,D Davis
34,2,20,J Allison
52,3,29,R Severson
88,1,88,D Winfrey
26,2,18,D Williams
14,1,14,J Love
15,1,15,J Norton
0,1,0,J McClendon
75,4,22,C Nicholls
21,1,21,K Ivory
39,2,24,J Scott Wesley
111,6,27,S Carson
10,1,10,D Young
71,3,25,R Abernathy IV
20,1,20,C Moore
59,3,24,T Coleman
38,2,20,I Roundtree
35,1,35,J Cotton
33,1,33,J Burton
28,1,28,L Stewart
34,2,27,T Cox
26,1,26,T Bouma
22,1,22,D Knox
21,1,21,J Roberts
94,1,94,T Thompson
64,3,25,T Lockett
113,2,100,D Surgent
23,1,23,J Johnson
16,1,16,A Riles
9,1,9,C Tillman
1,1,1,M Jackson
108,5,24,E Calhoun
22,1,22,D Polk
40,2,23,J Gates
29,1,29,R Moore
39,1,39,D Robinson
17,1,17,J Blue
80,3,33,D Scott
17,1,17,R Williams
101,2,89,C Davis
10,1,10,G Myers
9,2,6,J Stargell
23,1,23,R Clark
146,5,38,S Absanon
30,1,30,T Thomas
21,1,21,O Beckham Jr
9,1,9,J Nelson
39,1,39,L Fitte
23,1,23,J Greenwalt
4,1,4,D Banks
147,5,43,K Johnson
43,1,43,W Likely
19,1,19,D Lane
8,1,8,L Jacobs
97,6,22,A Evans
102,3,41,T Dudley Giles
13,1,13,D Woods
19,1,19,I Jones
9,1,9,D Aultman
14,1,14,D Harris
54,2,34,J Craig
42,2,24,M Warford
46,2,27,J Barnes
56,3,22,D Johnson
41,2,23,S Patton
78,3,32,D Norfleet
76,2,50,G Atkinson III
8,1,8,M Marry
5,1,5,J Walton
42,2,24,M Murphy
80,2,59,B Reedy
45,1,45,S Butler
80,4,23,J Hubbard
95,1,95,B Holloway
80,3,34,J McKenzie
17,1,17,J Price
26,1,26,T Thorpe
113,4,41,R Whatley
52,2,32,R Smith
5,1,2,S Thornton
89,2,63,K Bell
20,1,20,J Sims
2,1,2,A Walters
77,2,59,S Wright
13,1,13,J Laughrea
95,6,23,A Shapiro
15,2,15,M Jones
42,2,24,S Buckley
71,5,22,G Morris II
22,1,22,D McFarlane
1,1,1,J Parris
25,1,25,D Wilson
105,5,31,C Lockett
20,1,20,D Pumphrey
54,2,28,D Bass
20,1,20,D Patterson
54,3,29,J Jones
28,1,28,B Chancellor
9,1,9,J Roberts
20,1,20,B Clay
45,3,26,M Alford
59,3,25,V Bolden
13,1,13,J Stevenson
54,4,23,C Gant
44,2,25,E Lewis
101,4,32,T Allen
10,1,10,A Houston
123,2,99,A Hunt
104,4,38,T High
24,1,24,G Cheeseborough
5,1,5,Q Gause
68,4,22,C Frazer
12,1,12,K Johnson
12,1,12,A Killam
125,6,40,J Taylor
63,3,28,S Johnson
36,1,36,T Montgomery
57,3,24,D Ogburn Jr
51,1,51,W James
34,1,34,B Catalon
40,3,17,J Fitzpatrick
11,1,11,C Parthemore
54,2,39,D Ayers
90,3,36,V Dallas
78,4,26,A Wales
53,2,27,A Andrews
64,3,35,D Boutte
43,2,24,D Butler
26,1,26,D Breaux
20,1,20,D Monroe
12,1,12,T Glover
42,2,24,K Lucas
23,1,23,Z Langer
15,1,15,T Watts
33,2,18,T Coffman
61,2,39,C Worthy
122,5,45,D Daniels
40,3,20,S Heyward
67,3,28,L Gonzalez
9,1,9,B Malena
17,1,17,K Hill
33,1,33,A Erickson
22,1,22,B Smith
31,1,31,J Hebert
73,1,73,C Thompson
58,2,37,J Grant
16,1,16,Z Winbush
41,2,24,D Ward
87,4,35,K Whitely
12,2,1,A Smith
42,2,26,N Phillips
12,1,12,M Lee
16,1,16,R Galvin
52,2,30,D McClellon
109,5,29,B Bolen
10,1,10,B Corpus
3,1,3,E Hall
104,4,29,A Golden
31,1,31,L Dowell
77,2,49,C Wiggins
20,1,20,D Anaya
158,8,25,K Jones
0,1,0,B Guerrero
86,4,23,J Gilbert
15,1,15,B Sheperd
1,1,1,C Moore
2,2,2,D Sims
28,1,28,T Oliver
3,0,3,L Chatman
1,1,1,M Carlton
58,3,25,K Shepherd
26,2,23,T Mizzell
20,1,20,D Terrell
19,1,19,D Jennings
31,2,20,D Thomas
25,1,25,K Lowe
27,1,27,C Williams
6,1,6,C Mangus
53,3,25,A McKoy
22,2,17,S Hill
19,1,19,K Doe
83,5,24,L Vanlier
21,1,21,C Forbes
82,3,52,J Henry
16,1,16,D Chance
47,2,27,D Bolt
44,2,31,R Tyler
29,1,29,J Claiborne
63,3,23,D Epps
5,1,5,C Homme
40,2,23,J McKissic
15,1,15,M Gordon
94,5,35,W Van Hooser
18,1,18,D Butler
21,2,13,B Catalon
39,2,20,S Williams Rhodes
11,1,11,C Bertoli
33,1,33,A LaCoste
20,1,20,E Hawkins
34,2,18,J Sims
14,1,14,S Williams
13,1,13,J Noble
73,3,27,T Montgomery
15,1,15,N Phillips
45,2,28,K Jones
11,1,11,T Mason
64,3,23,M Grice
26,1,26,A Darby
64,3,27,K Doe
34,2,18,D Campbell
13,1,13,W Tye
107,4,42,K Muhammad
46,2,25,D Wilson
23,1,23,R Moore
19,1,19,S Washington
66,4,20,E Eagan
40,2,23,C Jones
51,2,39,S Phillips
35,2,23,D Foxx
21,1,21,L McCombs
110,3,45,W Likely
35,2,23,S Diggs
48,3,18,C Nicholls
99,5,28,J Barnes
44,2,27,J Golden
44,2,25,L Ray
22,1,22,D Webster
36,2,25,D Knowles
88,4,25,D Jasper
85,2,56,C Taylor
47,2,28,M Jones
22,1,22,D Baker
54,2,28,L Joyner
99,4,32,N Westbrooks
52,3,25,E Mitchell
57,2,44,R Montgomery
69,3,26,P Logan
105,4,27,V Bentley
30,1,30,M Barr
71,4,25,J Ross
32,1,32,K Smith
72,3,30,D Graham
30,2,30,R Moore
53,2,35,A Gary
41,2,31,A Wimberly
28,1,28,J Cotton
