longest rush, name, rushes, rushing touchdowns, rushing yards
0,T Smith,2,1,73
0,A Cobourne,12,1,107
0,D Diedrick,6,0,34
0,A Calvillo,5,0,23
11,J Armstead,1,0,11
9,B Banks,1,0,9
0,A McPherson,3,0,4
18,J Reynolds,23,0,125
16,H Burris,7,1,62
10,J Cornish,1,0,10
16,J Smith,11,0,54
5,J Jackson,4,0,11
13,C Roberts,13,1,76
8,T Edwards,1,0,8
3,K Glenn,3,0,8
16,J Robertson,9,1,36
19,M Bishop,2,0,27
7,D Dorsey,3,0,11
2,K Joseph,2,0,3
32,W Cates,14,2,86
9,N Hughes,3,0,14
1,S Jyles,1,0,1
1,M Crandell,1,0,1
16,D Anderson,12,0,45
4,R Ray,7,0,12
2,S LeFors,1,0,2
19,D Dorsey,3,0,29
8,K Joseph,6,1,21
4,J Robertson,4,0,6
57,J Lumsden,20,2,189
18,T Smith,8,0,75
9,C Printers,8,2,32
8,R Williams,2,0,9
3,J Piercy,3,0,6
17,C McCarty,2,0,31
11,D Anderson,5,0,12
7,R Ray,3,0,8
24,J Reynolds,11,1,74
2,D Summers,2,0,3
0,H Burris,1,0,0
15,A Cobourne,17,1,89
29,A Calvillo,3,0,57
11,B Banks,1,0,11
1,A McPherson,3,0,2
6,C Roberts,6,1,11
1,K Glenn,1,0,1
13,J Jackson,6,0,29
12,J Smith,13,2,27
15,W Cates,16,1,83
11,N Hughes,4,0,23
10,M Crandell,2,0,11
8,D Durant,2,0,10
1,S Jyles,1,0,1
9,A Cobourne,5,0,23
2,J Armstead,1,0,2
35,H Burris,10,0,93
20,J Reynolds,14,1,82
2,J Cornish,1,0,2
24,A Harris,14,2,89
15,R Ray,10,0,56
8,C McCarty,2,0,15
3,M Bertrand,1,1,3
16,D Dorsey,6,0,29
12,K Joseph,5,0,29
4,J Robertson,1,0,4
20,R Dinwiddie,6,1,38
6,C Roberts,8,0,23
2,K Glenn,1,0,2
66,S Logan,18,0,140
13,J Jackson,2,0,18
7,B Pierce,1,0,7
3,I Smart,2,0,4
43,J Lumsden,19,2,137
16,T Smith,4,0,34
9,C Printers,4,1,19
3,J Piercy,1,0,3
25,W Cates,15,2,88
9,D Durant,3,0,13
3,N Hughes,1,0,3
25,J Reynolds,11,3,96
48,J Cornish,4,0,55
5,D Summers,4,0,7
