longest punt return, name, punt return yards, punt returns
25,Jamal Miles,54,3
21,Rashad Ross,39,3
13,Cody Wilson,29,5
7,TY Hilton,10,2
3,Brelan Chancellor,3,1
28,Zach Laskey,31,2
0,Euclid Cummings,-2,1
18,Kama Bailey,18,1
16,Eugene Cooper,32,4
2,Randall Burden,-6,3
8,John Evans,9,2
30,Scott Radcliff,31,3
11,Johnthan Banks,25,3
17,Jameon Lewis,10,3
5,Mason Robinson,5,2
12,Michael Campanaro,12,2
37,Matt Brown,37,1
29,Eric Page,43,2
28,Charles Henderson,32,3
8,Griff McNabb,8,2
0,Matt Martinez,5,1
30,Jared Abbrederis,58,3
9,Levi Norwood,9,1
30,Skye Dawson,29,2
2,Keshawn Martin,5,2
16,Mikel Hunter,16,1
27,Marquis Maze,96,8
20,DeAndrew White,34,2
18,Christion Jones,18,1
5,Eric Adeyemi,5,1
69,Joe Adams,174,6
10,Marquel Wade,14,2
15,Richard Morrison,15,2
9,Trovon Reed,13,2
10,Kerwynn Williams,10,1
3,Bobby Swigert,3,2
7,Keenan Allen,7,1
0,Marvin Jones,0,2
11,Devon Wylie,14,3
10,JJ Worton,10,1
1,Josh Robinson,-4,3
8,DJ Woods,6,2
12,Sammy Watkins,12,1
5,DeAndre Hopkins,5,1
14,Justin Albert,22,3
19,Nick Williams,28,4
18,Lee Butler,27,3
28,Solomon Patton,28,1
22,Chris Rainey,22,0
6,Frankie Hammond Jr,5,2
0,Cody Riggs,0,1
30,Greg Reid,71,4
5,Branden Smith,5,1
0,Malcolm Mitchell,-1,1
49,Chris Potter,55,3
8,Mitch Burroughs,9,2
11,Scott Harding,19,3
12,Patrick Edwards,12,1
1,Taylor Embree,1,1
0,Ryan Lankford,-2,1
0,Dwayne Frampton,0,1
0,Dre Muhammad,-1,1
0,Micah Hyde,0,2
11,Josh Lenz,11,3
8,Tyler Lockett,13,2
0,Tysyn Hartman,-3,1
0,Ty Zimmerman,-5,1
15,Tyrann Mathieu,26,3
0,LaMichael James,-4,1
8,Kenjon Barner,-6,3
5,Jeremy Gallon,5,1
11,Jordan White,16,2
44,Jeff Scott,44,1
27,JD Falslev,29,3
18,TJ Moe,30,2
0,EJ Gaines,0,1
6,Chris Givens,8,2
16,Gary Myers,16,1
19,Todd Harrelson,20,2
82,TJ Graham,88,3
28,Ameer Abdullah,69,5
16,Courtney Stephen,16,0
0,Jimmie Ward,9,1
1,Tommy Davis,1,1
65,Travis Carrie,71,2
8,LaVon Brazill,8,1
16,Momo Thomas,23,2
12,Charles Lovett,12,1
0,Theo Riddick,-2,2
34,Terrence Mitchell,34,1
17,Corey Brown,28,2
7,Chris Fields,7,1
3,Devin Smith,3,1
8,AJ Price,8,2
12,Josh Cooper,17,2
0,Josh Stewart,-3,1
31,Darryl Surgent,31,1
1,Jordan Poyer,1,1
0,Terron Ward,-1,1
22,Ronald Jones,52,4
0,Terrell Jackson,-1,1
13,Justin Brown,16,3
13,Devon Smith,11,2
4,Derek Moye,4,1
17,Waynelle Gravesande,21,2
6,Ricardo Allen,7,1
28,Tyler Mason,28,1
9,Eric Russell,14,2
68,Ace Sanders,68,1
4,Stephon Gilmore,4,3
0,Lance Lewis,0,1
17,Larry Parker,17,2
20,Tracy Lampley,41,4
42,Drew Terrell,61,3
8,Brandon Rutley,8,1
9,Marlin Lane Jr,23,4
0,Jaxon Shipley,0,1
11,Xavier Webb,12,3
44,Derrick Strozier,49,2
1,Austin Zouzalik,1,1
11,Nickell Robey,19,2
9,Travaun Nixon,9,1
13,John Cole,14,2
4,Jonathan Krause,4,1
27,Darius Jennings,27,1
10,Dominique Terrell,17,2
55,Jayron Hosley,97,3
24,Tony Gregory,24,1
5,Leon Brooks,4,3
3,Chris McNeill,3,1
16,Demarius Reed,16,1
5,Kenric McNeal,-3,2
22,Tavon Austin,46,3
87,Andre Booker,87,1
2,Tony Logan,2,1
15,Josh Cooper,17,3
3,Richard Morrison,3,1
27,Jamal Miles,27,3
3,Eli Rogers,4,2
1,Mikel Hunter,14,1
5,Greg Burks,5,0
4,Skye Dawson,1,2
6,AJ Price,6,1
24,Matt Brown,21,2
10,Dwayne Frampton,19,2
6,Bakari Hollier,6,1
12,Marquel Wade,21,3
0,Joe Adams,-1,1
5,Deon Long,5,1
12,Josh Jackson,22,2
9,Leon McFadden,9,1
9,Trovon Reed,9,1
22,Johnthan Banks,22,1
0,Heath Jackson,-3,1
35,Terrell Jackson,35,3
1,Josh Robinson,1,1
0,Bobby Swigert,-1,1
4,Paul Richardson,4,1
26,Momo Thomas,32,3
17,Lee Butler,17,1
15,Drew Terrell,15,1
0,Lance Lewis,-3,2
0,Rahkeem Morgan,-10,0
3,Jayron Hosley,-8,3
17,Marlon Pollard,32,3
6,Rashad Greene,1,3
32,Branden Smith,32,2
5,Ace Sanders,5,1
20,Kama Bailey,37,4
8,Ryan Lankford,21,5
8,Dre Muhammad,8,1
3,Darius Jennings,3,1
2,Dominique Terrell,2,1
0,LoVante Battle,0,1
21,Josh Lenz,24,2
0,Micah Hyde,0,1
7,Tommy Davis,7,1
16,Luke Wollet,16,1
11,Eric Adeyemi,11,2
14,Darryl Surgent,45,6
11,Randall Burden,11,1
6,Cody Wilson,6,1
0,Tim Taylor,18,1
0,Tyler Cain,4,3
31,Jarvis Landry,31,1
3,Tyrann Mathieu,3,1
0,Odell Beckham Jr,0,1
0,Rueben Randle,-8,1
52,Andrew Guillot,52,1
35,Keshawn Martin,35,1
5,Nick Hill,5,2
21,Jeremy Gallon,21,1
13,John Goodman,10,3
2,Austin Franklin,2,1
67,Jeff Scott,63,2
0,Jermaine Kelson,22,1
0,Andre Booker,0,1
18,Tracy Lampley,43,3
0,Eric Russell,-2,1
0,Zach Laskey,0,1
10,Todd Harrelson,18,2
17,Ameer Abdullah,17,1
67,Devon Wylie,110,5
7,Venric Mark,7,1
6,Brelan Chancellor,-3,1
0,Steven Ford,-3,1
2,Patrick Edwards,2,1
0,Kent Brooks,0,1
69,Chris Fields,77,3
22,Morgan Williams,22,0
0,Kishon Wilcher,12,1
8,Eric Page,8,1
13,LaVon Brazill,26,4
15,Ryan Clark,15,1
58,LaMichael James,58,1
10,Ronald Jones,13,2
15,Justin Brown,24,2
44,Marquis Maze,43,2
10,Bryce Callahan,15,2
6,Xavier Webb,6,1
31,Waynelle Gravesande,44,4
2,Terrence Mitchell,-5,3
0,Cole Beasley,0,1
8,Travaun Nixon,8,1
6,Steve Rene,12,3
0,Marlin Lane Jr,0,1
20,Jaxon Shipley,20,1
24,McKay Jacobson,24,2
3,JD Falslev,3,1
24,Trey Watts,24,1
11,Marco Nelson,22,3
17,Taylor Embree,27,3
3,Brandon Rutley,3,1
17,Robert Woods,17,1
4,Nickell Robey,5,2
42,Kerwynn Williams,53,2
12,Eric Moats,16,2
10,John Cole,17,3
14,Jonathan Krause,14,1
0,Byron Jones,9,1
6,Nick Williams,6,2
5,Lovell Jackson,5,1
8,Kasen Williams,8,1
0,Scott Harding,-1,1
8,Leon Brooks,24,4
0,Gary Myers,-1,1
18,Jordan White,35,2
0,Lewis Toler,-1,1
1,Robert Arnheim,-5,2
64,Tavon Austin,86,3
7,Brodrick Jenkins,12,2
0,Chris McNeill,-7,1
0,Tyrann Mathieu,-8,2
0,Nick Williams,-3,2
13,Josh Lenz,13,2
7,Chris Potter,10,2
28,Marquis Maze,56,5
0,Christion Jones,0,1
9,Marquel Wade,9,1
6,Joe Adams,3,2
12,Justin Albert,14,2
0,Josh Jackson,0,1
17,Venric Mark,17,1
14,Drew Terrell,18,2
11,Jamill Smith,20,3
17,Terrell Jackson,21,2
8,Brandon Murie,8,1
11,Kendall Wright,11,1
7,Levi Norwood,6,2
0,Spenser Rositano,1,1
4,Lee Butler,2,2
7,Eugene Cooper,7,4
0,Trey Norman,0,1
0,JD Falslev,0,1
29,Charles Henderson,41,3
15,Marvin Jones,24,3
0,Coleman Edmond,-8,1
16,Danny Milligan,28,2
24,DJ Woods,24,1
4,Trovon Reed,6,2
8,Rodney Stewart,9,2
21,Momo Thomas,62,5
18,Richard Leonard,19,2
0,Josh Robinson,0,1
13,Chris Rainey,21,3
8,Marlin Lane Jr,13,2
0,Greg Reid,0,1
9,Ryan Broyles,7,2
48,Devon Wylie,54,3
19,Branden Smith,20,4
5,Michael Bennett,5,1
12,Zach Laskey,27,4
0,Ryan Lankford,2,1
24,Dre Muhammad,24,1
8,Jarred Holley,8,1
0,Ronald Jones,-6,2
24,Tramaine Thompson,42,2
0,Randall Burden,0,1
18,Darryl Surgent,17,2
25,Andrew Guillot,25,1
0,Patrick Edwards,-2,2
8,Tony Logan,8,1
2,Bakari Hollier,2,1
24,Travis Benjamin,24,1
27,Jordan Hall,32,2
9,Jeremy Gallon,17,2
0,Drew Dileo,0,1
15,Marlon Pollard,16,2
4,Duane Bennett,30,1
44,EJ Gaines,44,1
3,TJ Moe,3,3
0,Dominique Terrell,0,2
9,TJ Graham,9,1
19,Rex Burkhead,19,1
7,Ameer Abdullah,8,2
16,Kasen Williams,24,2
10,Devin Aguilar,10,1
1,Kemonte Bateman,1,1
12,Anthony McGhee,41,4
25,Austin Zouzalik,25,1
8,Alexander Torres,8,1
1,John Goodman,-3,2
14,LaVon Brazill,12,2
