completions, interceptions thrown, longest pass, name, passes, passing touchdowns, passing yards
26,2,0,Q Porter,40,2,229
14,0,0,K Joseph,29,3,227
17,1,34,H Burris,33,1,247
24,1,37,A Calvillo,32,1,255
29,1,0,R Ray,41,1,318
14,0,0,S LeFors,31,0,174
1,0,0,B Randall,1,0,1
18,3,45,D Durant,32,0,313
17,2,29,B Pierce,33,1,186
0,1,0,J Jackson,1,0,0
32,0,48,A Calvillo,24,2,343
33,0,34,R Ray,19,0,280
5,1,32,J Maas,3,0,43
13,1,0,S LeFors,27,2,156
25,3,0,H Burris,39,0,247
5,0,0,B Nealy,9,2,64
26,2,42,B Pierce,40,3,333
1,0,0,P McCallum,0,0,0
19,0,48,Q Porter,24,1,222
27,1,52,K Joseph,45,3,348
18,1,33,D Durant,28,3,205
17,2,23,R Ray,27,2,166
8,0,38,J Maas,11,0,136
19,0,46,J Jackson,28,4,362
4,0,18,B Pierce,3,0,37
3,0,15,T Lulay,3,0,20
32,0,0,H Burris,23,1,348
45,2,0,K Joseph,27,0,305
10,1,0,D Durant,20,0,112
4,0,0,S Jyles,8,0,43
24,0,0,A Calvillo,35,2,281
16,1,0,Q Porter,23,0,188
11,2,0,K Glenn,19,2,146
7,0,0,S LeFors,19,0,99
2,1,0,B Randall,5,0,25
30,1,48,A Calvillo,39,2,404
12,0,28,Q Porter,19,0,198
12,1,38,K Glenn,21,0,155
7,1,0,S LeFors,11,0,30
3,0,0,R Williams,10,0,30
1,1,0,B Randall,5,0,6
14,2,0,K Joseph,28,0,144
8,1,0,B Pierce,16,0,97
2,1,0,J Jackson,8,0,6
16,0,0,H Burris,29,3,163
1,0,0,B Nealy,1,0,8
20,0,0,D Durant,36,1,238
23,1,0,R Ray,32,0,247
23,0,48,R Ray,27,3,363
28,0,20,A Calvillo,34,0,236
17,1,0,Q Porter,31,1,171
23,2,0,B Pierce,36,1,282
20,4,0,K Joseph,32,1,219
16,1,0,M Bishop,30,1,213
29,0,0,H Burris,17,1,224
27,1,0,D Durant,16,3,257
7,0,0,S Jyles,5,0,35
35,0,45,A Calvillo,43,0,395
1,0,1,A McPherson,1,1,1
7,0,35,C Pickett,11,0,83
7,1,15,K Joseph,14,0,61
26,1,0,B Pierce,34,1,215
0,1,0,J Jackson,2,0,0
10,2,0,D Durant,19,2,189
7,1,0,S Jyles,13,0,96
25,0,0,Q Porter,37,1,211
23,2,0,R Ray,37,1,335
22,1,0,H Burris,38,2,356
16,1,0,M Bishop,30,0,209
28,0,0,R Ray,37,3,342
30,0,0,H Burris,45,3,474
25,0,38,C Pickett,40,1,326
21,1,57,J Jackson,31,3,254
2,1,21,B Pierce,3,0,27
0,0,0,T Lulay,1,0,0
13,2,0,M Bishop,35,0,155
24,2,0,A Calvillo,38,4,269
15,0,0,D Durant,30,0,193
2,0,0,S Jyles,2,1,21
12,0,0,K Glenn,27,1,183
1,0,0,Q Porter,5,0,3
19,0,0,A Calvillo,28,2,170
1,0,0,C Leak,1,1,2
19,3,0,D Durant,31,2,326
15,3,38,J Jackson,24,1,185
5,0,41,T Lulay,7,0,89
11,0,0,M Bishop,20,1,131
32,0,0,C Pickett,45,2,311
19,1,0,H Burris,29,2,260
25,1,48,R Ray,33,1,347
21,1,45,K Glenn,34,3,308
0,0,0,D Stala,1,0,0
17,0,0,J Jackson,30,2,217
18,0,0,A Calvillo,29,0,294
23,1,0,D Durant,37,1,246
0,0,0,W Dressler,1,0,0
20,3,0,M Bishop,33,1,329
20,0,0,K Glenn,36,2,273
25,1,0,C Pickett,40,0,217
19,1,0,H Burris,27,1,285
27,0,0,R Ray,39,1,274
1,0,0,J Maas,1,0,13
31,0,0,C Pickett,20,0,254
44,0,0,K Glenn,29,1,233
3,0,0,Q Porter,3,0,19
1,0,0,N Setta,0,0,0
29,1,0,R Ray,18,2,185
36,3,0,H Burris,20,3,393
29,1,56,A Calvillo,41,1,334
16,1,43,J Jackson,32,2,228
21,2,0,M Bishop,9,0,98
9,2,0,B Randall,2,0,26
36,1,0,D Durant,18,1,225
3,0,0,S Jyles,3,0,39
1,0,0,J Armstead,1,1,34
19,1,0,Q Porter,32,1,246
1,0,0,A Tafralis,1,1,36
10,0,0,H Burris,25,0,114
20,0,0,B Pierce,28,0,171
11,2,0,C Pickett,23,0,166
28,0,38,A Calvillo,40,1,338
9,1,55,M Bishop,19,1,145
1,2,13,C Bramlet,8,0,13
23,0,38,D Durant,35,1,234
0,1,0,S Jyles,1,0,0
25,0,68,R Ray,34,2,315
7,0,0,K Glenn,11,1,66
4,1,0,Q Porter,6,0,28
2,0,0,A Tafralis,5,0,11
25,0,0,A Calvillo,36,2,286
0,0,0,A McPherson,1,0,0
14,0,0,H Burris,27,1,197
17,1,0,B Pierce,27,1,230
15,0,0,R Ray,29,0,244
23,3,0,D Durant,33,0,269
23,0,0,M Bishop,32,2,312
11,2,0,K Joseph,21,0,123
13,0,0,C Pickett,22,0,98
20,1,0,M Bishop,34,1,184
24,1,0,R Ray,39,1,188
6,1,0,J Maas,11,0,43
29,0,0,B Pierce,43,0,343
1,0,0,T Lulay,1,1,38
18,2,0,D Durant,29,1,240
7,0,21,C Pickett,17,0,64
8,0,10,K Joseph,15,0,46
22,1,20,A Calvillo,31,1,216
30,2,0,H Burris,14,0,132
33,1,0,Q Porter,22,0,262
22,0,40,R Ray,35,2,323
23,1,0,B Pierce,38,3,301
