average kickoff return, average kickoff return yards, kickoff return touchdowns, kickoff returns, longest kickoff return, name
19.000,,0,1,19,TJ Graham
17.000,,0,2,22,LeGarrette Blount
31.000,,0,1,31,Devin Hester
25.000,,0,4,33,Bobby Rainey
24.000,,0,1,24,Marcus Thigpen
23.000,,0,1,23,Darren Sproles
19.000,,0,1,19,Jeremy Kerley
5.000,,0,1,5,Brian Leonard
25.000,,0,1,25,Kevin Ogletree
27.000,,0,1,27,Eric Page
0.000,,0,0,-3,Doug Martin
18.000,,0,2,25,Markus Wheaton
16.000,,0,1,16,Antonio Brown
25.000,,0,1,25,LaRod Stephens Howling
-1.000,,0,1,-1,Darius Reynaud
27.000,,0,2,30,Cordarrelle Patterson
23.000,,0,2,27,Jacoby Ford
25.000,,0,1,25,Stephen Burton
23.000,,0,1,23,Ace Sanders
23.000,,0,2,25,Benny Cunningham
0.000,,0,1,0,Tim Barnes
16.000,,0,2,18,Javier Arenas
30.000,,0,1,30,Perrish Cox
30.000,,0,1,30,Anthony Dixon
13.000,,0,3,17,Jeremy Ross
26.000,,0,1,26,Michael Cox
18.000,,0,3,23,Chris Thompson
10.000,,0,1,10,DeSean Jackson
27.000,,0,1,27,Damaris Johnson
42.000,,0,1,42,Fozzy Whittaker
29.000,,0,4,46,Keshawn Martin
25.000,,0,1,25,LeGarrette Blount
17.000,,0,1,17,Jacquizz Rodgers
25.000,,0,1,25,Benny Cunningham
26.000,,0,3,36,Ted Ginn
0.000,,0,1,0,Chase Blackburn
49.000,,0,5,80,Devin Hester
14.000,,0,1,14,Joe Anderson
49.000,,1,3,105,Cordarrelle Patterson
1.000,,0,1,1,John Carlson
10.000,,0,1,10,Randall Cobb
14.000,,0,1,14,Jeremy Ross
19.000,,0,3,28,Chris Thompson
28.000,,0,1,28,Kerwynn Williams
36.000,,0,2,38,Marcus Thigpen
0.000,,0,1,0,Knile Davis
25.000,,0,1,25,Quintin Demps
35.000,,0,1,35,Dwayne Harris
22.000,,0,2,26,Bobby Rainey
26.000,,0,4,34,Keshawn Martin
26.000,,0,7,33,Damaris Johnson
0.000,,0,1,0,Zach Ertz
23.000,,0,4,28,Fozzy Whittaker
23.000,,0,1,23,Micheal Spurlock
33.000,,0,1,33,Eric Page
23.000,,0,1,23,Darren Sproles
26.000,,0,1,26,Jacoby Ford
24.000,,0,3,32,Stephen Burton
5.000,,0,1,5,Will Taufoou
24.000,,0,5,30,David Wilson
17.000,,0,2,22,Trindon Holliday
24.000,,0,1,24,Golden Tate
26.000,,0,2,29,Perrish Cox
17.000,,0,1,17,Brandon Tate
27.000,,0,2,34,Felix Jones
26.000,,0,3,27,Damaris Johnson
46.000,,0,2,57,Quintin Demps
3.000,,0,1,3,Dexter McCluster
27.000,,0,4,32,Brandon Tate
10.000,,0,2,21,Jeremy Ross
23.000,,0,2,25,Benny Cunningham
28.000,,0,4,32,Darius Reynaud
21.000,,0,1,21,Fozzy Whittaker
29.000,,0,2,30,Cordarrelle Patterson
19.000,,0,1,19,Toby Gerhart
26.000,,0,1,26,Greg Little
24.000,,0,1,24,LeGarrette Blount
33.000,,0,2,46,Javier Arenas
21.000,,0,1,21,Andre Ellington
21.000,,0,2,24,Josh Morgan
22.000,,0,2,26,Chris Thompson
15.000,,0,1,15,Micheal Spurlock
24.000,,0,1,24,David Wilson
26.000,,0,2,31,Shaun Draughn
