longest rush, name, rushes, rushing touchdowns, rushing yards
12,C Simpson,9,0,35
3,B Pierce,1,0,3
21,N Devine,12,0,58
16,C Jennings,8,1,29
3,S Lumbala,1,0,3
57,C Kackert,10,1,112
6,R Ray,1,0,6
2,Z Collaros,1,0,2
1,A Durie,1,0,1
10,H Burris,7,0,36
16,L Lamar,4,0,34
12,C Gable,4,0,23
10,S Giguere,1,0,10
23,J Cornish,24,2,172
16,M Walter,3,0,22
6,D Tate,1,0,6
23,T Lulay,4,0,55
9,A Harris,5,0,20
2,T Brown,1,0,2
1,M Norman,1,0,1
13,M Reilly,4,0,37
10,J White IV,5,0,26
11,H Charles,5,0,22
3,J Crompton,1,0,3
26,K Sheets,17,1,131
4,J Sanders,7,0,13
11,B Whitaker,10,0,33
4,N Devine,2,0,7
17,C Simpson,14,0,55
11,W Ford,8,0,22
4,J Goltz,4,2,7
5,C Denmark,1,0,5
4,B Pierce,1,0,4
23,A Harris,15,1,103
30,E Arceneaux,3,0,40
4,T DeMarco,3,0,10
3,T Lulay,2,0,5
2,H ONeill,1,0,2
0,S Gore,1,0,0
5,C Kackert,8,0,20
7,R Ray,4,1,14
18,K Sheets,26,1,133
9,D Durant,2,0,17
1,D Willy,1,0,1
10,J Cornish,8,0,42
6,D Tate,2,0,7
7,M McDaniel,1,1,7
1,B Mitchell,2,0,2
11,H Burris,4,0,30
8,L Lamar,5,0,22
6,C Gable,6,1,14
70,H Charles,11,1,119
18,M Reilly,6,1,54
3,J White IV,3,0,4
9,C Kackert,9,0,35
22,A Durie,1,0,22
15,Z Collaros,4,1,19
37,K Sheets,26,2,178
17,D Durant,2,0,24
10,J Sanders,3,0,18
4,W Dressler,1,0,4
21,B Whitaker,8,0,42
5,A Calvillo,3,0,7
4,A Bruce,1,0,4
20,J Cornish,18,0,90
7,K Glenn,2,0,10
4,B Mitchell,2,0,4
4,J West,1,0,4
15,H Burris,6,0,47
6,C Walker,5,0,13
4,L Lamar,4,0,5
75,C Simpson,11,2,116
9,J Goltz,3,1,17
7,W Ford,3,0,11
13,M Reilly,5,0,37
9,H Charles,10,0,36
3,K Joseph,2,0,5
11,J White IV,3,0,3
21,T Lulay,9,0,82
12,A Harris,17,0,70
29,R Lumbala,1,0,29
12,M Iannuzzi,2,0,20
17,C Simpson,10,1,50
5,J Goltz,4,0,7
5,B Pierce,2,0,7
1,W Ford,2,0,0
18,R Ray,2,1,24
11,C Kackert,9,0,22
4,C Owens,1,0,4
3,J Johnson,2,0,4
1,Z Collaros,3,1,3
2,A Durie,5,0,3
23,J Cornish,10,1,105
26,B Mitchell,4,0,33
5,M Walter,5,0,18
10,A Parker,1,0,10
7,M McDaniel,1,0,7
2,L Taylor,1,0,2
13,B Whitaker,11,1,42
18,J Messam,5,1,27
9,A Calvillo,1,0,9
7,N Devine,1,0,7
22,A Harris,17,3,103
10,T Lulay,4,0,31
2,T DeMarco,2,0,3
1,R Lumbala,2,0,0
18,H Charles,11,0,50
11,M Reilly,4,0,23
9,J White IV,2,0,13
5,K Joseph,2,1,8
5,C McCarty,2,0,8
18,K Sheets,24,0,130
11,D Durant,2,0,18
5,J Sanders,1,0,5
7,H Burris,4,0,10
3,S Giguere,1,0,3
2,C Walker,3,0,3
25,B Whitaker,24,1,162
4,A Calvillo,1,0,4
4,N Devine,1,0,4
15,H Charles,5,0,27
21,M Reilly,2,0,25
7,J White IV,6,0,18
15,C Simpson,13,1,73
10,J Goltz,3,0,17
14,J Cornish,16,0,88
3,B Mitchell,6,0,12
10,A Parker,2,0,9
3,B Sinopoli,1,0,3
2,M Walter,4,0,2
13,C Gable,4,0,31
18,L Lamar,4,0,27
9,H Burris,4,0,16
20,K Sheets,26,0,142
2,D Willy,2,0,3
14,C Steele,12,2,74
8,Z Collaros,8,0,28
21,A Harris,16,0,107
17,S Gore,1,0,17
11,M Iannuzzi,1,0,11
6,T DeMarco,2,0,8
4,T Lulay,2,0,7
