field goals, field goals attempted, kicking extra points, kicking extra points attempted, longest field goal, name
1,1,2,2,22,Lawrence Tynes
1,1,3,3,33,Dan Bailey
2,2,5,5,35,Robbie Gould
0,1,3,3,0,Adam Vinatieri
3,3,1,1,43,Phil Dawson
1,2,2,2,42,Alex Henery
2,2,1,1,28,Rob Bironas
2,2,4,4,31,Stephen Gostkowski
1,2,3,3,39,Ryan Succop
4,4,4,4,41,Matt Bryant
4,4,2,2,55,Blair Walsh
3,3,0,1,47,Josh Scobee
1,1,3,3,21,Garrett Hartley
4,4,4,4,45,Billy Cundiff
2,2,6,6,39,Nick Folk
0,0,4,4,0,Rian Lindell
2,2,3,3,45,Jason Hanson
3,3,2,2,48,Greg Zuerlein
3,4,3,3,40,Shayne Graham
1,1,1,1,39,Dan Carpenter
0,0,2,2,0,Mason Crosby
3,3,3,3,63,David Akers
2,2,2,2,31,Jay Feely
3,4,1,1,47,Steven Hauschka
3,3,1,1,40,Connor Barth
1,1,1,1,21,Justin Medlock
1,1,2,2,26,Matt Prater
2,2,1,1,35,Shaun Suisham
3,3,5,5,46,Justin Tucker
2,2,1,1,34,Mike Nugent
2,2,0,0,51,Sebastian Janikowski
5,5,1,1,45,Nate Kaeding
3,3,2,2,54,Mason Crosby
1,1,1,1,45,Robbie Gould
0,0,5,5,0,Rian Lindell
1,1,2,2,33,Ryan Succop
2,2,4,4,39,Mike Nugent
2,2,3,3,50,Phil Dawson
3,3,2,2,53,Adam Vinatieri
2,2,2,2,51,Blair Walsh
0,0,5,5,0,Justin Medlock
2,2,3,3,53,Garrett Hartley
0,0,1,1,0,Josh Scobee
2,2,3,3,37,Shayne Graham
0,0,5,5,0,Dan Carpenter
2,2,1,1,27,Sebastian Janikowski
4,5,0,0,53,Stephen Gostkowski
2,2,2,2,47,Jay Feely
4,4,3,3,37,Lawrence Tynes
2,2,4,4,52,Connor Barth
1,1,3,3,23,Alex Henery
3,3,2,2,56,Justin Tucker
3,3,2,2,42,Greg Zuerlein
0,1,4,4,0,Billy Cundiff
2,2,3,3,25,Steven Hauschka
0,0,1,1,0,Dan Bailey
2,2,3,3,45,Shaun Suisham
1,1,1,1,38,Nick Folk
1,1,5,5,26,Nate Kaeding
1,1,1,1,23,Rob Bironas
2,2,3,3,48,David Akers
