longest punt, name, punt yards, punts
59,K Schmidt,140,3
46,C Laros,212,6
44,B Schmiedebusch,275,7
43,C Way,200,5
41,D Parks,67,2
43,C Houston,160,4
65,Z Paul,327,7
54,C Wagner,237,6
41,D Evangelista,150,4
32,J Ryder,45,2
46,G Swanson,231,6
30,D Carr,30,1
55,N Marsh,246,6
46,R Guzman,188,5
42,S Harding,156,4
64,K Albarado,260,6
39,E Toth,113,3
54,J Stangler,388,10
49,A Melchiori,169,4
43,G Bowden,236,6
43,P Mortell,115,3
63,L Yunker,173,4
55,J Davis,199,4
45,C Sechrest,295,8
44,S Garber,192,5
51,B Miller,304,7
42,T Hull,166,5
46,T Hibbard,242,6
55,H Waid,249,6
55,J Weldon,234,5
53,P Picerelli,210,5
44,D Williamson,184,5
56,T Hackett,218,5
43,J Bentrude,202,5
52,T Hudson,200,5
53,T Campbell,179,4
43,A Kinal,182,5
47,S Doar,256,7
40,A Tardieu,116,3
63,L Forbes,176,4
55,D Riggleman,132,4
51,A Wilder,260,6
55,R Leone,188,4
53,P Randle Soden,249,7
49,M Krause,219,5
48,B LeCompte,169,4
48,M Sadler,423,11
62,J Schroeder,496,11
54,P ODonnell,179,4
61,S Kelly,415,10
58,M Loftus,313,7
56,R Erxleben,258,6
54,M Hubbard,312,8
47,G Peranich,282,7
48,D Baska,73,2
47,N Armiento,221,6
39,P Jones,39,1
58,T Strickland,416,10
45,S Irwin Hill,82,2
53,D Cadona,218,5
53,S Clark,208,5
46,M Bowlin,196,5
40,S Roth,40,1
62,K Redfern,346,8
43,N Freese,271,7
66,M Hamilton,232,5
70,C Leininger,261,6
47,B Williams,169,4
41,J Lloyd,41,1
21,B Kay,21,1
73,C Webster,169,3
55,B Pinion,287,7
57,C Barber,232,5
26,A Erickson,26,1
47,W Monday,112,3
48,M Cornelius,356,10
52,T Tignor,100,2
44,J Walsh,86,2
12,T Heinicke,12,1
55,A Barnes,196,5
57,J Fleck,186,4
53,K Christy,153,4
50,V Penza,321,7
47,S Poole,47,1
48,D Petroni,264,6
59,J DuVernois,169,4
64,A Pucylowski,279,6
44,C Kornbrath,257,7
55,T Wedel,341,8
57,K Van Der Kamp,179,4
39,L Bieghler,143,4
41,N Renfro,113,3
56,C Ayers,367,9
51,K Allen,51,1
67,R Hogan,277,6
51,C Brinser,145,3
48,S Mix,309,8
65,T Williams,191,4
59,Z Murphy,452,9
53,W Baumann,160,4
42,L McPherson,290,8
56,S Foltz,228,5
61,E Wood,209,4
60,B Skaer,329,7
46,K Stern,231,6
9,J Ward,9,1
47,K Brindza,206,5
53,P Layton,240,5
30,Z Paul,30,1
62,A Rehkow,284,6
42,C Johnston,124,3
54,T Grassman,282,7
54,J Barnett,305,7
61,J Manton,462,10
54,K Smith,271,6
52,B Swedenburg,270,6
50,C Fryoux,214,5
36,K Henderson,69,2
50,T McMullen,124,3
35,J Miller,35,1
54,J Alesi,232,5
47,S Weatherford,268,7
35,M Ciabatti,98,3
46,J Breaux,121,3
54,M Moseley,230,6
60,Z Robinson,404,9
55,J Fisher,259,6
36,R Dixon,36,1
45,A Butterworth,231,6
42,C Hackenberg,42,1
49,E Perry,167,4
48,J Keehn,119,3
53,M Palardy,88,2
51,B Campbell,270,6
32,A Spivey,32,1
68,A Fera,137,3
47,C Chapman Brown,354,9
50,W Scott,139,3
42,H Mullins,134,4
76,D Kaser,188,3
51,J Farrimond,170,4
56,C Tenpenny,264,6
50,A Vozenilek,537,13
48,S Arellano,368,9
35,T Hill,35,1
55,A Hughes,586,13
61,C Mandell,418,9
38,T Coons,75,2
56,T Harman,142,3
30,S Wale,56,2
28,D Meyer,28,1
42,C Johnson,188,6
49,H Brakefield,216,5
46,L Foster,237,6
60,N OToole,253,5
49,J Carpenter,279,7
69,H Hunt,348,7
48,D ONeill,340,8
48,R Johnson,95,2
52,G Venham,205,6
56,M Yoklic,163,3
38,C Beatty,74,2
45,D Vizzare,86,2
67,J Weldon,389,9
51,T Tignor,252,6
49,S Kelly,210,5
46,N Freese,239,6
54,A Kinal,309,7
45,C Ayers,344,10
51,C Houston,175,4
49,D Baska,246,6
47,J Bentrude,86,2
65,Z Paul,229,5
45,C Arnone,126,3
44,M Birdsong,44,1
47,S Irwin Hill,92,2
39,W Hines,39,1
48,G Peranich,316,8
54,S Clark,166,4
60,L Ferguson,98,2
43,P Jones,81,2
53,K Schmidt,114,3
33,K Wenning,33,1
48,A Tardieu,178,5
48,S Roth,119,3
57,T Grassman,343,8
9,P Clarke,9,1
67,T Harman,175,4
54,S Wale,87,2
57,J Satterfield,321,7
58,S Arellano,207,5
61,A Fera,350,8
50,C Leininger,158,4
54,K Loomis,330,7
52,B Pinion,195,4
43,A Lakip,43,1
42,A Teasdall,42,1
62,N Belcher,397,10
55,R Hogan,238,5
54,B Prasky,253,5
54,D ONeill,140,3
68,J Harrison,254,6
50,G Swanson,305,7
51,P Hundley,380,9
46,C Barber,46,1
48,T Hull,92,2
53,J DuVernois,194,5
44,J Lloyd,196,5
24,B Kay,24,1
56,E Toth,56,1
46,C Kornbrath,186,5
53,C Sullens,327,8
46,T Pardula,170,4
57,M Bergner,267,7
50,M Krause,95,2
46,D Cadona,196,5
62,A Melchiori,282,6
50,B Schmiedebusch,108,3
58,L Foster,226,5
66,Z Murphy,524,11
52,J Manton,92,2
52,J Wallace,408,10
53,R Johnson,139,3
50,J Berry,244,7
58,J Keehn,171,4
46,T Long,196,5
53,H Mullins,135,3
53,L McPherson,302,7
57,K Kahler,304,8
53,N Renfro,123,3
58,J Walsh,170,4
57,C Johnson,357,9
56,J Ondish,247,6
54,M Sadler,319,7
50,M Ciabatti,361,9
79,T Hornsey,319,7
66,W Monday,248,5
60,P ODonnell,392,8
45,K Christy,170,4
42,M Wile,94,3
43,K Brindza,80,2
56,T Campbell,104,2
44,J Vucic,147,4
46,A Knight,110,3
