assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, rebounds, steals, three pointers attempted, three pointers made, turnovers
1,0,3,10,4,0,0,0,30.250,Shameka Christon,0,-13,10,3,1,7,2,1
1,0,1,7,3,3,2,0,26.700,DeLisha Milton Jones,1,-9,6,2,0,2,0,2
0,1,5,4,2,3,2,0,20.817,Jayne Appel,0,-9,4,5,0,0,0,1
1,0,0,12,3,2,0,0,28.483,Jia Perkins,0,-13,7,0,2,3,1,1
9,1,2,4,1,4,2,2,34.917,Danielle Robinson,1,-7,4,3,3,0,0,4
0,0,1,6,2,4,4,4,17.783,Danielle Adams,3,-3,9,4,0,2,1,1
2,0,0,10,5,1,4,3,21.967,Shenise Johnson,5,-10,14,5,2,3,1,2
0,1,3,3,2,1,0,0,10.533,Kayla Alexander,2,-2,4,5,0,0,0,1
1,0,1,5,2,0,2,2,8.550,Davellyn Whyte,1,-4,6,2,0,2,0,2
2,4,4,20,9,3,1,1,30.817,Tamika Catchings,1,10,19,5,1,4,0,4
3,0,7,8,3,4,2,2,29.017,Erlana Larkins,5,16,8,12,2,0,0,1
4,1,1,13,7,1,2,2,35.717,Katie Douglas,0,18,18,1,4,5,2,5
1,1,5,14,8,4,2,1,33.533,Shavonte Zellous,0,12,19,5,1,5,2,1
5,0,3,5,3,3,0,0,34.267,Briann January,0,12,7,3,1,2,1,2
0,0,0,1,0,0,2,2,15.917,Karima Christmas,3,5,2,3,0,0,0,1
2,0,0,3,2,1,0,0,11.033,Jessica Breland,2,3,4,2,0,0,0,1
0,0,1,1,0,1,2,2,7.550,Sasha Goodlett,0,-1,2,1,1,0,0,0
0,0,0,0,0,0,0,0,2.150,Jasmine Hassell,0,-5,0,0,0,0,0,0
4,0,5,6,3,3,1,1,29.817,Kalana Greene,4,13,8,9,1,2,1,2
0,2,3,10,5,2,0,0,24.967,Kelsey Griffin,2,17,10,5,0,2,0,1
3,0,10,21,7,1,6,5,37.017,Tina Charles,3,9,19,13,1,0,0,3
1,1,0,7,4,1,0,0,29.633,Allison Hightower,0,19,10,0,3,2,2,2
5,0,6,15,9,0,0,0,31.600,Kara Lawson,1,12,23,7,1,9,5,2
2,0,0,7,2,0,0,0,10.967,Renee Montgomery,1,-3,6,1,0,6,2,0
2,0,0,8,0,0,0,0,10.367,Tan White,0,-7,0,0,0,4,0,0
0,0,2,3,1,2,4,3,10.017,Mistie Bass,3,-2,5,5,1,0,0,0
0,1,1,0,0,1,0,0,7.617,Kelly Faris,0,2,0,1,0,0,0,0
0,0,1,1,0,0,0,0,8.000,Ashley Walker,0,0,0,1,1,1,0,0
1,0,2,5,1,2,0,0,12.300,Toni Young,1,-18,2,3,1,0,0,3
3,0,7,10,4,0,6,6,31.983,Essence Carson,1,-16,14,8,0,0,0,0
1,0,6,10,4,2,0,0,26.433,Kara Braxton,3,-4,8,9,1,0,0,4
1,0,0,4,1,2,0,0,17.450,Leilani Mitchell,0,-6,3,0,0,3,1,0
4,0,4,21,8,1,4,4,33.667,Cappie Pondexter,0,-4,23,4,0,5,3,4
2,0,2,2,1,2,0,0,16.150,Katie Smith,0,10,3,2,2,1,1,2
0,1,5,12,5,5,0,0,23.933,Kelsey Bone,3,-7,10,8,0,0,0,2
4,0,1,5,3,1,0,0,23.183,Kamiko Williams,0,-6,6,1,0,1,0,1
0,0,2,2,0,2,0,0,14.900,Alex Montgomery,0,-9,0,2,2,0,0,0
4,0,2,16,6,3,3,3,27.667,Angel McCoughtry,2,1,16,4,2,3,1,6
3,0,10,13,8,4,3,2,31.633,Sancho Lyttle,0,18,18,10,3,0,0,2
1,3,6,6,4,4,2,2,18.900,Erika de Souza,0,5,10,6,1,0,0,2
3,1,1,7,5,0,6,3,31.500,Armintie Price Herrington,3,21,13,4,6,0,0,0
6,0,3,5,2,1,0,0,21.850,Jasmine Thomas,1,3,4,4,1,0,0,4
3,0,0,7,2,2,2,1,18.150,Alex Bentley,1,14,5,1,1,1,0,0
0,0,3,13,7,2,6,6,18.767,Tiffany Hayes,0,13,21,3,0,4,1,0
0,0,2,2,2,3,0,0,17.317,Aneika Henry,2,16,4,4,0,0,0,0
0,0,2,3,2,4,2,2,11.300,Lecoe Willingham,2,-3,7,4,0,1,1,1
0,0,0,0,0,0,0,0,2.067,Courtney Clements,0,-1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.850,Anne Marie Armstrong,1,-2,0,1,0,0,0,0
0,0,1,7,4,2,3,3,26.867,Roneeka Hodges,1,-23,14,2,1,5,3,1
1,0,4,10,4,5,2,2,34.600,Glory Johnson,3,-14,10,7,1,0,0,5
1,0,4,2,1,2,2,1,19.750,Kayla Pedersen,2,-5,3,6,1,0,0,2
4,0,2,4,0,0,2,2,16.917,Candice Wiggins,0,1,2,2,1,2,0,2
3,0,2,13,4,4,8,7,33.917,Skylar Diggins,1,-21,15,3,2,2,0,5
1,1,2,18,6,3,8,8,31.200,Riquna Williams,0,-10,22,2,4,6,2,1
3,0,6,6,4,5,5,5,17.767,Liz Cambage,2,-4,13,8,0,0,0,2
1,1,1,3,0,1,0,0,7.883,Jennifer Lacy,0,-11,0,1,0,1,0,1
0,0,0,1,1,1,0,0,11.100,Angel Goodrich,0,2,2,0,0,0,0,3
0,0,0,6,5,1,3,3,20.100,Alana Beard,0,14,13,0,2,0,0,1
1,1,2,4,4,1,7,7,21.850,Nnemkadi Ogwumike,0,33,15,2,5,0,0,0
3,2,4,8,4,0,2,2,20.100,Candace Parker,1,14,10,5,0,0,0,3
1,0,1,9,6,0,4,3,24.300,Kristi Toliver,0,34,17,1,1,2,2,1
8,0,2,6,5,1,4,2,20.100,Lindsey Harding,0,14,12,2,0,0,0,1
3,3,1,3,2,3,0,0,19.900,Ebony Hoffman,0,19,4,1,0,0,0,0
2,0,5,5,4,2,4,2,12.900,Marissa Coleman,0,16,12,5,0,2,2,1
4,0,2,6,3,3,4,2,17.950,Farhiya Abdi,0,13,8,2,0,0,0,0
1,0,1,3,2,1,2,1,13.200,Jenna OHea,1,4,7,2,0,3,2,0
1,1,3,5,1,1,0,0,18.150,Jantel Lavender,3,0,2,6,0,0,0,0
2,0,0,3,0,2,4,2,11.450,Adia Mathies,0,4,2,0,0,1,0,1
4,1,3,7,3,3,0,0,30.167,Noelle Quinn,0,-25,7,3,0,2,1,1
1,0,0,11,6,1,0,0,18.900,Camille Little,1,-18,13,1,1,2,1,0
0,1,2,10,4,3,2,1,16.333,Tina Thompson,1,-19,9,3,0,4,0,1
5,0,1,10,3,2,8,5,25.400,Tanisha Wright,2,-17,11,3,0,0,0,1
5,0,3,9,4,0,3,3,25.667,Temeka Johnson,0,-28,11,3,0,2,0,2
0,0,3,5,3,4,0,0,23.317,Tianna Hawkins,0,-17,6,3,0,1,0,1
1,0,0,4,1,3,0,0,13.917,Nakia Sanford,2,-16,2,2,0,0,0,0
0,0,2,10,3,3,2,1,26.267,Shekinna Stricklen,1,-19,7,3,1,4,0,3
0,1,1,1,1,5,0,0,9.750,Cierra Bravard,0,2,3,1,0,1,1,2
0,0,0,2,0,4,0,0,10.283,Alysha Clark,0,-8,0,0,0,1,0,1
3,1,4,11,8,3,0,0,35.233,Roneeka Hodges,0,0,22,4,1,9,6,1
2,0,9,13,5,4,12,10,39.733,Glory Johnson,5,-3,20,14,2,0,0,3
1,2,7,15,7,5,9,7,31.900,Liz Cambage,3,-1,21,10,1,0,0,1
11,1,2,15,4,4,1,1,42.433,Skylar Diggins,1,3,9,3,1,1,0,4
4,0,2,6,3,4,0,0,33.933,Angel Goodrich,0,-2,7,2,1,2,1,2
2,0,3,3,2,2,0,0,13.100,Kayla Pedersen,0,-4,4,3,0,0,0,1
0,0,0,3,1,2,0,0,10.233,Jennifer Lacy,0,-4,2,0,0,1,0,0
2,0,0,8,2,2,0,0,18.433,Riquna Williams,0,-14,5,0,0,3,1,3
2,0,7,12,7,1,7,2,37.233,Crystal Langhorne,2,0,16,9,3,1,0,3
3,0,8,6,2,3,3,3,32.100,Monique Currie,0,1,7,8,2,1,0,1
2,1,3,12,5,3,0,0,31.867,Kia Vaughn,2,2,10,5,3,0,0,3
1,0,1,4,1,1,0,0,20.217,Tayler Hill,0,-4,3,1,2,3,1,0
3,0,3,16,6,2,11,11,41.767,Ivory Latta,1,5,27,4,1,8,4,3
3,0,1,0,0,0,0,0,9.933,Emma Meesseman,1,5,0,2,0,0,0,1
3,0,0,10,6,2,12,5,28.017,Matee Ajavon,1,9,19,1,1,2,2,3
0,0,2,4,2,1,2,2,13.083,Tierra Ruffin Pratt,0,6,6,2,0,1,0,0
0,1,2,3,2,6,3,3,10.783,Michelle Snow,0,1,7,2,0,0,0,0
1,0,6,12,4,1,5,4,30.650,DeWanna Bonner,1,-11,13,7,0,4,1,0
0,1,3,17,6,0,4,3,36.150,Candice Dupree,1,-23,15,4,1,0,0,2
1,4,6,11,7,4,3,3,27.417,Brittney Griner,2,-4,17,8,1,0,0,2
4,1,1,11,5,3,6,6,34.450,Diana Taurasi,0,-23,18,1,1,5,2,4
5,0,1,9,3,5,0,0,27.383,Sam Prahalis,0,-9,6,1,1,2,0,3
1,0,3,1,0,1,0,0,11.083,Alexis Hornbuckle,1,-13,0,4,1,0,0,2
