name, rushes, rushing touchdowns, rushing yards
I Matthews,15,0,63
M McElroy,4,0,28
K Carta Samuels,6,0,25
C McDonald,13,2,96
F Holly,16,0,68
D Furuta,7,0,35
J Huntley,9,0,22
M Romero,7,0,-31
N Evans,24,2,190
X Valladay,17,0,61
J Bigelow,13,1,55
A Cox,1,0,7
T Vander Waal,1,0,0
E Esukpa,32,1,173
A Walter,11,2,83
A Walter,1,0,26
S Stankavage,5,0,26
W Phillips,1,0,2
D Tucker,10,0,73
J Morton,12,0,53
B Goodwater,1,1,27
C Broach,4,0,18
J Gilbert,14,1,100
C Huntley,8,0,73
M Dunner,5,1,51
M Hurt Jr,10,0,43
R Neal,6,1,37
J Hall,3,0,19
J Thomas,1,0,-5
A Dawson,10,1,61
E Walker,4,0,28
D Exilhomme,10,0,27
D Jean Guillaume,5,0,26
T Kingsley,3,0,21
T James,1,0,14
J Dolegala,5,0,-3
D Pindell,22,1,157
K Mensah,20,0,59
K Gillespie,1,0,6
Z Scott,3,0,-2
D Mack Jr,1,1,70
M Milton,7,0,50
G McCrae,5,0,43
A Killins Jr,9,1,38
B Thompson,6,0,36
T McGowan,3,0,34
O Anderson,4,1,23
M Williams,1,0,2
R Smith,24,0,153
M Ibrahim,9,0,101
B Williams,9,1,31
S Green,2,2,12
Z Annexstad,2,0,0
M Romero,14,0,24
R Caldwell,2,0,8
J Huntley,4,0,6
R Moore,2,1,79
D Knox,7,1,77
M Jones,7,0,27
D Blough,5,0,19
T Fuller,2,0,2
E Sindelar,2,0,-2
J Larkin,26,2,143
K McGowan,1,0,17
J Moten IV,5,1,8
C Thorson,3,0,8
T Green,4,1,0
C Green,1,0,-4
T Nevens,18,2,79
D Packer,10,0,41
B Gaither,2,0,26
M Aaron,3,0,6
J Love,2,0,3
M Roberson,1,0,2
M Carrillo,1,0,-6
U Gilliam,23,2,132
C Crawford,3,1,13
N Modise,2,0,9
J Maier,3,0,-5
J Banks,15,0,38
T Encalade,1,0,38
C Dauphine,5,0,29
S Huderson,10,0,26
D Bradwell,10,0,22
S Hartman,13,0,64
C Carney,16,1,54
M Colburn II,13,0,48
G Dortch,1,0,4
T Williams,20,3,240
K Etwi,8,1,83
J Corbin,8,0,49
V Jackson,7,0,49
J Kibodi,3,0,26
D Prince,2,0,21
C Blumrick,3,0,20
C Strong Jr,4,0,12
K Mond,6,1,3
C Holgorsen,2,0,7
J West,4,0,7
S Anderson,4,0,4
D Smith,3,0,3
S Brown,18,1,102
T Johnston III,6,0,71
J Noble III,7,1,46
J Street,7,0,20
A Erdely,4,0,16
K Davis,6,1,14
T Whitmore,3,0,10
L Stanley,2,1,8
R Saxton,7,0,46
J McCloud,12,0,43
D Gibbons,8,0,40
D Durham,6,0,37
C Cole Jr,1,0,0
T Bell,3,0,-2
E Shah,1,0,-9
Z Moss,16,1,150
B Covey,2,0,85
J Shelley,2,0,49
T Green,2,0,16
M Wishnowsky,1,0,11
A Shyne,2,0,3
T Huntley,7,0,1
D Brumfield,4,0,0
C Moss,7,0,26
K Jenks,8,1,19
K Jackson,6,0,6
T Garrett,6,0,5
R Shaheed,1,0,0
B May,2,0,-6
D Gore,21,1,104
C Evans,13,1,62
K White,5,0,28
