batters faced, earned runs, era, fly balls, ground balls, hit batters, hits allowed, home runs allowed, innings pitched, name, order, pitches, result, runs allowed, strike outs thrown, strikes, walks allowed
25,3,4.500,7,7,[],6,1,6.000,Victor Zambrano,1,117,W,3,4,56,1
8,0,0.000,4,1,[],1,0,2.000,Lance Carter,2,39,H,0,1,14,1
4,0,0.000,1,1,[],0,0,1.000,Danys Baez,3,30,,0,1,16,1
26,5,9.000,6,6,[],10,1,5.000,Mike Mussina,1,107,L,5,2,54,2
4,1,9.000,0,3,[],1,0,1.000,Paul Quantrill,2,8,,1,0,4,0
11,2,9.000,2,3,[],4,1,2.000,Felix Heredia,3,38,,2,1,16,1
21,5,9.640,3,9,[],4,2,4.667,Geremi Gonzalez,1,98,L,5,1,38,4
6,3,40.500,1,0,[],2,1,0.667,Damian Moss,2,28,,3,1,11,1
7,4,36.000,2,1,[],2,1,1.000,Jorge Sosa,3,28,,4,0,9,2
4,0,0.000,0,0,[],3,0,0.333,Trever Miller,4,18,,0,1,10,0
1,0,0.000,1,0,[],0,0,0.333,Chad Gaudin,5,3,,0,0,1,0
6,0,0.000,2,3,[],0,0,2.000,John Halama,6,30,,0,1,13,1
26,1,1.290,7,8,[],6,0,7.000,Kevin Brown,1,103,W,1,5,51,0
3,0,0.000,2,1,[],0,0,1.000,Tom Gordon,2,12,,0,0,9,0
3,0,0.000,0,1,[],0,0,1.000,Mariano Rivera,3,18,,0,2,10,0
27,1,1.590,5,8,[],7,0,5.667,Sidney Ponson,1,138,W,1,3,69,3
5,0,0.000,1,3,[],1,0,1.333,Rodrigo Lopez,2,28,H,0,0,11,1
4,1,27.000,1,0,[],1,0,0.333,Mike DeJean,3,25,,1,0,9,2
7,0,0.000,0,3,[],2,0,1.667,BJ Ryan,4,37,S,0,2,23,0
26,2,3.000,6,6,[],7,1,6.000,Pedro Martinez,1,119,L,3,5,58,1
6,3,40.500,0,0,[],3,0,0.667,Mike Timlin,2,28,,3,1,10,2
1,0,0.000,1,0,[],0,0,0.333,Alan Embree,3,7,,0,0,3,0
5,0,0.000,0,2,[],1,0,1.000,Scott Williamson,4,22,,1,1,11,0
31,4,4.910,7,11,[],9,1,7.333,Roy Oswalt,1,98,,4,4,65,1
4,0,0.000,0,0,[],1,0,0.667,Brad Lidge,2,19,,0,2,13,1
4,1,9.000,1,1,[],0,0,1.000,Octavio Dotel,3,12,L,1,1,8,0
26,2,3.000,9,9,[],5,1,6.000,Kirk Rueter,1,93,,2,0,49,3
6,2,27.000,2,0,[],4,0,0.667,Leo Estrella,2,15,,2,0,13,0
1,0,0.000,1,0,[],0,0,0.333,Kevin Walker,3,6,,0,0,4,0
3,0,0.000,2,0,[],0,0,1.000,Felix Rodriguez,4,13,W,0,1,8,0
3,0,0.000,0,2,[],0,0,1.000,Matt Herges,5,10,S,0,1,8,0
25,2,3.600,6,6,[],6,0,5.000,Tim Hudson,1,106,,2,3,63,3
10,2,9.000,4,2,[],4,1,2.000,Chris Hammond,2,34,BS,2,0,23,0
4,0,0.000,0,3,[],0,0,1.000,Chad Bradford,3,12,W,0,0,7,1
4,0,0.000,1,1,[],1,0,1.000,Arthur Rhodes,4,16,S,0,1,9,0
30,3,3.860,5,12,[],6,0,7.000,Kenny Rogers,1,111,,3,4,65,3
4,2,27.000,0,2,[],2,0,0.667,Jeff Nelson,2,17,L,2,0,11,0
3,0,0.000,0,1,[],1,0,0.333,Ron Mahay,3,9,BS,0,0,4,1
32,6,8.100,2,9,[],10,3,6.667,Roy Halladay,1,111,L,7,9,76,2
1,0,0.000,1,0,[],0,0,0.333,Justin Speier,2,3,,0,0,2,0
3,0,0.000,0,2,[],0,0,1.000,Valerio De Los Santos,3,11,,0,1,8,0
6,0,0.000,0,1,[],1,0,1.000,Sean Douglass,4,29,,0,2,16,2
24,0,0.000,8,7,[],4,0,6.000,Jason Johnson,1,90,W,0,3,56,2
2,0,0.000,1,1,[],0,0,0.667,Jamie Walker,2,10,,0,0,7,0
5,0,0.000,1,1,[],2,0,1.000,Esteban Yan,3,21,,0,1,15,0
6,0,0.000,2,0,[],2,0,1.333,Al Levine,4,29,,0,2,21,0
29,5,7.500,8,8,[],5,2,6.000,Matt Morris,1,97,L,7,3,53,5
3,1,13.500,0,2,[],0,0,0.667,Ray King,2,13,,1,0,5,2
6,0,0.000,1,0,[],1,0,1.333,Mike Lincoln,3,30,,0,3,19,1
3,0,0.000,0,1,[],0,0,1.000,Julian Tavarez,4,13,,0,2,9,0
18,3,8.100,5,2,[],5,0,3.333,Ben Sheets,1,80,,4,3,43,3
7,0,0.000,4,0,[],0,0,1.667,Dave Burba,2,29,W,0,1,13,2
9,2,9.000,4,1,[],2,0,2.000,Ben Ford,3,35,H,2,1,19,0
4,0,0.000,1,0,[],1,0,1.000,Luis Vizcaino,4,16,H,0,2,12,0
3,0,0.000,1,2,[],0,0,1.000,Danny Kolb,5,14,S,0,0,8,0
25,7,12.600,10,4,[],7,2,5.000,Hideo Nomo,1,76,L,7,1,43,2
3,0,0.000,1,1,[],0,0,1.000,Duaner Sanchez,2,12,,0,1,7,0
10,1,4.500,2,4,[],4,0,2.000,Wilson Alvarez,3,24,,1,0,17,1
4,0,0.000,0,3,[],1,0,1.000,Darren Dreifort,4,12,,0,0,7,0
24,1,1.800,3,9,[],8,1,5.000,Brian Lawrence,1,92,W,1,3,56,2
5,1,13.500,1,1,[],3,0,0.667,Ismael Valdez,2,15,,1,0,12,0
2,0,0.000,1,0,[],0,0,0.333,Eddie Oropesa,3,12,,0,0,6,1
4,0,0.000,0,3,[],2,0,1.000,Scott Linebrink,4,17,,0,0,12,0
5,0,0.000,1,1,[],1,0,1.000,Antonio Osuna,5,23,,0,1,15,1
4,0,0.000,0,2,[],1,0,1.000,Jay Witasick,6,21,,0,1,11,1
26,0,0.000,3,8,[],5,0,6.000,Kip Wells,1,105,W,0,7,64,3
9,1,4.500,2,3,[],1,0,2.000,Salomon Torres,2,29,H,1,1,18,1
3,0,0.000,3,0,[],0,0,1.000,Jose Mesa,3,18,S,0,0,9,0
25,2,3.000,8,6,[],7,1,6.000,Kevin Millwood,1,83,L,2,4,56,0
7,0,0.000,1,4,[],0,0,2.000,Roberto Hernandez,2,27,,0,1,18,1
23,5,9.000,4,7,[],6,1,5.000,Cory Lidle,1,79,L,5,4,48,1
3,0,0.000,0,2,[],0,0,1.000,John Riedling,2,14,,0,1,9,0
3,0,0.000,0,2,[],1,0,0.667,Phil Norton,3,9,,0,0,6,0
1,0,0.000,0,1,[],0,0,0.333,Brian Reith,4,4,,0,0,3,0
6,0,0.000,1,0,[],1,0,1.000,Ryan Wagner,5,23,,2,2,14,1
4,0,0.000,1,0,[],2,0,1.000,Todd Jones,6,15,,0,0,7,1
23,4,7.200,3,7,[],5,0,5.000,Kerry Wood,1,95,W,4,6,63,3
3,0,0.000,0,1,[],0,0,1.000,Michael Wuertz,2,13,H,0,2,9,0
3,0,0.000,2,1,[],0,0,1.000,Kent Mercker,3,11,H,0,0,7,0
4,0,0.000,1,1,[],1,0,1.000,Kyle Farnsworth,4,15,H,0,1,12,0
5,0,0.000,1,0,[],0,0,1.000,Joe Borowski,5,28,S,0,2,15,2
21,5,9.000,2,8,[],7,2,5.000,Brian Anderson,1,94,,5,5,55,0
10,2,9.000,3,2,[],4,0,2.000,Shawn Camp,2,34,,2,0,23,1
4,0,0.000,1,0,[],1,0,1.000,Nate Field,3,17,,0,2,12,0
3,0,0.000,0,3,[],0,0,1.000,DJ Carrasco,4,11,W,0,0,6,0
26,2,2.700,8,11,[],8,1,6.667,Mark Buehrle,1,93,,3,1,57,1
7,2,13.500,1,1,[],1,0,1.333,Cliff Politte,2,30,,2,2,16,2
2,1,27.000,0,0,[],1,0,0.333,Billy Koch,3,10,H,1,1,7,0
3,3,9999.000,0,0,[],3,2,0.000,Damaso Marte,4,17,L,3,0,9,0
29,2,3.000,4,12,[],11,3,6.000,Brad Radke,1,85,,4,3,58,0
5,0,0.000,1,1,[],2,0,1.000,Aaron Fultz,2,22,,0,1,14,0
4,0,0.000,2,1,[],1,0,1.000,Joe Roa,3,11,,0,0,6,0
5,0,0.000,1,1,[],1,0,1.000,JC Romero,4,26,,0,1,17,0
4,0,0.000,2,0,[],2,0,1.000,Joe Nathan,5,16,,0,0,12,0
4,0,0.000,0,2,[],0,0,1.000,Juan Rincon,6,18,W,0,1,11,1
25,0,0.000,3,9,[],2,0,7.000,CC Sabathia,1,104,,0,9,58,4
3,2,54.000,0,1,[],1,0,0.333,Jose Jimenez,2,16,,2,0,8,1
3,2,9999.000,0,0,[],3,0,0.000,Scott Stewart,3,9,H,2,0,7,0
10,0,0.000,3,2,[],2,0,2.667,Rafael Betancourt,4,34,BS,0,3,24,0
5,3,40.500,0,0,[],2,1,0.667,Chad Durbin,5,19,L,3,2,12,1
27,6,10.120,4,9,[],11,0,5.333,Andy Pettitte,1,78,L,6,3,52,2
6,0,0.000,1,3,[],1,0,1.667,Dan Miceli,2,20,,0,1,14,0
7,1,9.000,1,0,[],3,0,1.000,Brandon Duckworth,3,28,,1,2,17,1
3,0,0.000,0,2,[],0,0,1.000,Brad Lidge,4,10,,0,1,8,0
21,3,6.750,3,5,[],7,0,4.000,Brett Tomko,1,102,,3,4,69,2
6,0,0.000,2,0,[],2,0,1.000,Jim Brower,2,23,,0,1,13,1
9,0,0.000,2,4,[],3,0,2.000,David Aardsma,3,32,W,0,0,20,1
4,2,10.800,1,0,[],0,0,0.667,Felix Rodriguez,4,21,,2,1,12,0
1,0,0.000,0,0,[],0,0,0.000,Jason Christiansen,5,6,H,0,0,2,1
7,0,0.000,2,1,[],3,0,1.333,Matt Herges,6,25,S,0,1,15,0
25,1,1.290,6,9,[],5,0,7.000,Mark Mulder,1,95,W,1,4,63,1
3,0,0.000,1,0,[],0,0,1.000,Jim Mecir,2,13,H,0,2,10,0
3,0,0.000,1,1,[],0,0,1.000,Arthur Rhodes,3,14,S,0,1,10,0
30,3,3.520,5,10,[],7,1,7.667,Chan Ho Park,1,95,L,3,8,68,1
1,0,0.000,1,0,[],0,0,0.333,Carlos Almanzar,2,4,,0,0,3,0
23,5,9.000,2,7,[],7,0,5.000,Miguel Batista,1,89,L,5,4,49,2
3,1,9999.000,0,0,[],2,0,0.000,Jason Kershner,2,8,,1,0,3,1
6,0,0.000,4,1,[],0,0,2.000,Justin Speier,3,21,,0,1,15,0
4,1,9.000,2,1,[],1,1,1.000,Terry Adams,4,7,,1,0,4,0
4,0,0.000,0,1,[],2,0,1.000,Aquilino Lopez,5,13,,0,1,8,0
21,3,5.400,5,8,[],5,1,5.000,Mike Maroth,1,70,W,3,1,42,1
