name, rushes, rushing touchdowns, rushing yards
D Saint Juste,14,1,118
S Lakalaka,11,1,61
P Harris,7,1,36
I Woolsey,6,0,33
K Muhammad,10,1,96
V Enwere,10,0,73
T Watson,11,0,33
D Webb,4,1,-13
T Green,16,0,97
M Boone,12,1,35
H Moore,5,0,13
K Lewis,1,0,-5
J Bowe,18,0,102
L Fair,15,0,42
M Grayson,3,0,22
G Holcombe,11,0,8
J Moore,1,0,6
D Spalding,15,1,135
J Ward,7,1,79
J Hayes,9,3,43
M Krause,2,0,5
M Chapman,1,0,4
J Johnson,1,0,-3
C Rush,3,0,-8
D Bridges,21,0,39
B Cheek,10,0,4
S Harvey,1,0,2
D Davis,1,0,-1
B Shirreffs,20,0,95
R Johnson,15,2,65
A Newsome,15,1,40
J Mack,9,0,27
N Beckford,9,0,7
J Osumah,1,0,6
T Gaiter IV,1,0,27
A Gardner,10,1,23
A McGough,7,0,5
J Smith,1,0,5
A Jones,2,0,3
D Redding,22,0,135
M Majette,10,0,47
D Williams,8,0,31
C Gest,6,0,17
M Paige,1,0,11
A Rodriguez,1,0,5
R Lagow,4,1,0
A Duckworth,14,2,108
M Linehan,7,0,41
D Brantley,6,0,39
I Saunders,5,0,34
C Hightower,1,0,3
C Newell,25,1,105
C Murray,5,0,13
N LaSane,4,0,9
J Gates,1,0,0
T Bruggman,2,0,-7
D Tandberg,1,0,-10
L Jackson,11,2,119
M Williams,7,0,48
M Jones,7,0,30
B Radcliff,3,0,22
L Scott,1,0,18
J Smith,1,0,17
T Smith,4,0,17
E Horton,1,0,1
R Washington,5,0,33
K Phillips,11,0,24
B LeMay,5,0,14
M Johnson,3,0,8
A Hart,1,0,1
H Klugh,2,0,-12
K Olsen,4,0,-20
R Smith,25,2,125
M Leidner,13,2,76
K McCrary,2,0,4
D Wolitarsky,1,0,3
R Nall,13,0,71
S Collins,6,0,13
A Pierce,4,0,7
T Cook,3,0,2
V Bolden Jr,1,0,0
P Lucas,1,0,-1
D Garretson,6,0,-3
M Dayes,23,2,138
D Nichols,4,0,27
J Frasier,7,1,26
R Gallaspy II,4,0,25
J Samuels,5,2,24
N Hines,3,0,8
R Finley,5,0,6
J McClendon,6,0,5
A Funderburke Jr,9,0,31
J Dunn,5,0,14
K Anderson,5,0,8
S Cluley,4,1,6
T McKee,2,0,3
J Christian,1,0,2
B Britt,1,0,0
T Gipson,8,2,181
D Woodhouse,4,0,68
R McQuarley,13,2,55
T Owens,10,0,48
A Apodaca,7,0,41
D Chestnut,6,0,36
J Jones,1,0,-1
C Streveler,16,2,131
T Bouma,14,0,39
T Ducker,2,0,5
K Kilgore,3,0,4
M Fredrick,2,0,4
S Jackson,1,0,2
R Saeger,1,0,2
A Simmons,3,0,-3
J Hurd,28,1,110
A Kamara,6,0,21
J Dobbs,9,0,-4
M Cox,24,0,115
T Lamb,8,1,27
J Moore,7,0,17
D Hopkins,3,0,13
J Barbour,1,0,12
C Williams,12,1,96
L Thomas,11,2,68
X Campbell,10,0,52
J Stanton,4,0,35
D Greene,6,1,30
J Bates,8,0,32
T Sullivan,4,0,24
J Johnson,8,0,23
L Ivy,5,0,11
R Johnson,3,0,8
B Lyles,3,0,6
