completions, interceptions thrown, name, passes, passing conversions, passing touchdowns, passing yards
24,0,Tom Brady,38,0,2,306
18,0,Kerry Collins,39,0,3,265
19,2,Anthony Wright,31,0,1,214
15,1,Kyle Boller,23,0,0,141
21,0,Peyton Manning,36,0,2,254
17,0,JP Losman,28,0,1,170
9,3,David Carr,21,0,0,70
19,2,Jake Delhomme,31,0,1,212
18,0,Aaron Brooks,24,0,0,192
26,2,Trent Dilfer,43,0,1,278
26,1,Carson Palmer,34,0,2,280
15,0,Joey Harrington,28,0,2,167
27,2,Brett Favre,44,0,0,201
17,0,Byron Leftwich,31,0,2,252
1,0,Matt Jones,1,0,0,6
21,2,Matt Hasselbeck,36,0,2,246
15,1,Trent Green,26,0,0,200
21,1,Chad Pennington,34,0,0,264
6,0,Jay Fiedler,10,0,1,88
24,1,Gus Frerotte,36,0,2,275
22,2,Jake Plummer,48,0,1,251
22,3,Daunte Culpepper,33,0,0,233
18,2,Brian Griese,29,0,2,213
10,2,Eli Manning,23,0,2,172
27,1,Kurt Warner,46,0,1,264
5,1,Josh McCown,10,0,0,52
9,0,Ben Roethlisberger,11,0,2,218
18,1,Steve McNair,26,0,1,219
0,1,Billy Volek,1,0,0,0
18,2,Drew Brees,35,0,2,209
18,0,Drew Bledsoe,24,0,3,226
11,0,Tim Rattay,16,0,2,165
2,0,Arnaz Battle,2,0,0,27
34,1,Marc Bulger,56,0,2,362
6,1,Patrick Ramsey,11,0,0,105
8,0,Mark Brunell,14,0,0,70
15,1,Kyle Orton,28,0,0,141
12,1,Michael Vick,23,0,0,156
24,1,Donovan McNabb,45,0,1,257
29,1,Kurt Warner,42,0,0,327
18,1,Marc Bulger,29,0,1,216
11,1,Jake Delhomme,26,0,0,154
23,1,Tom Brady,44,0,1,270
14,0,Kyle Orton,21,0,1,150
1,0,Jeff Blake,1,0,0,11
19,5,Joey Harrington,37,0,1,196
2,0,Dan Orlovsky,6,0,0,20
27,1,Carson Palmer,40,0,3,337
21,5,Daunte Culpepper,37,1,0,236
23,1,Jake Plummer,37,0,0,248
15,1,Drew Brees,23,0,0,175
32,2,Brett Favre,44,0,3,342
21,0,Trent Dilfer,32,0,3,336
13,1,Peyton Manning,28,0,0,122
16,0,Byron Leftwich,29,0,0,198
19,0,Chad Pennington,30,0,2,190
20,1,Gus Frerotte,43,0,1,177
23,0,Donovan McNabb,29,0,5,342
9,0,Koy Detmer,9,0,0,94
1,0,Mike McMahon,1,0,0,22
13,3,Tim Rattay,26,0,0,107
0,0,Alex Smith,1,0,0,0
21,0,Kerry Collins,35,0,1,263
18,0,Trent Green,28,0,0,237
20,0,Matt Hasselbeck,31,0,2,281
11,0,Michael Vick,19,0,1,123
0,0,Matt Schaub,1,1,0,0
16,0,Brian Griese,22,0,0,136
11,0,JP Losman,28,0,0,113
2,0,Kelly Holcomb,3,0,0,-1
19,0,Steve McNair,36,0,1,195
0,0,Drew Bennett,1,0,0,0
25,1,Anthony Wright,40,0,1,212
0,0,Randy Hymes,1,0,0,0
16,0,David Carr,26,0,1,167
14,0,Ben Roethlisberger,21,0,2,254
21,0,Drew Bledsoe,36,0,1,261
20,1,Mark Brunell,34,0,2,291
13,0,Eli Manning,24,0,1,165
27,3,Aaron Brooks,45,0,1,375
10,1,JP Losman,23,0,0,75
15,1,Michael Vick,27,0,2,167
17,5,Kyle Orton,39,0,0,149
16,0,Carson Palmer,23,0,3,169
14,3,Brett Favre,24,0,2,195
17,1,Brian Griese,26,0,2,139
19,1,Peyton Manning,23,0,0,228
22,0,Trent Dilfer,29,0,0,208
14,1,Gus Frerotte,33,0,2,171
19,1,Jake Delhomme,35,0,3,285
21,0,Daunte Culpepper,29,0,3,300
12,2,Aaron Brooks,32,0,1,199
9,2,Chad Pennington,19,0,0,76
2,0,Jay Fiedler,3,0,0,19
16,1,Byron Leftwich,23,0,2,177
0,0,Matt Jones,1,0,0,0
30,1,Donovan McNabb,52,0,2,365
24,0,Kerry Collins,42,0,2,345
12,0,Ben Roethlisberger,28,0,2,216
31,1,Tom Brady,41,0,0,372
19,0,Drew Brees,22,0,2,191
1,0,LaDainian Tomlinson,1,0,1,26
24,0,Eli Manning,41,0,2,352
20,0,Matt Hasselbeck,31,0,0,242
1,0,Seneca Wallace,1,0,0,42
8,0,Kurt Warner,13,0,0,105
10,1,Josh McCown,23,0,0,97
21,2,Tim Rattay,34,0,3,269
24,2,Drew Bledsoe,38,1,2,363
21,1,Marc Bulger,28,0,3,292
24,2,Steve McNair,39,0,2,261
13,0,Jake Plummer,18,0,1,152
23,0,Trent Green,44,0,1,221
32,0,Josh McCown,46,0,2,385
11,1,Tim Rattay,21,0,0,126
6,0,Alex Smith,10,0,0,34
6,0,Michael Vick,8,0,1,49
5,0,Matt Schaub,14,0,0,39
23,2,Daunte Culpepper,34,0,1,250
15,1,Anthony Wright,21,0,0,144
14,0,Brooks Bollinger,28,0,0,149
25,0,Carson Palmer,34,0,1,276
17,0,David Carr,26,0,1,174
20,2,Byron Leftwich,34,0,1,240
19,0,Jake Plummer,26,0,2,136
19,2,Trent Green,30,0,2,221
33,1,Donovan McNabb,48,1,3,369
0,0,Koy Detmer,0,0,0,0
19,1,Tom Brady,32,0,1,224
2,1,Matt Cassel,4,0,0,15
19,0,Drew Brees,24,0,2,248
15,0,Aaron Brooks,26,0,0,172
7,1,JP Losman,15,0,0,75
3,0,Kelly Holcomb,6,0,0,28
19,0,Eli Manning,35,0,4,296
40,3,Marc Bulger,62,0,2,442
13,0,Kerry Collins,23,0,0,218
11,1,Drew Bledsoe,26,0,1,212
0,0,Keyshawn Johnson,1,0,0,0
22,3,Brian Griese,39,0,2,302
15,0,Joey Harrington,27,0,0,137
28,1,Steve McNair,37,0,1,220
20,0,Peyton Manning,27,0,4,264
20,1,Mark Brunell,36,0,2,226
26,0,Matt Hasselbeck,38,0,1,242
