average punt yards, longest punt, name, punts, punts inside the twenty
14.500,52,Tim Masthay,4,0
36.500,53,Thomas Morstead,2,0
46.300,57,Adam Podlesh,6,1
35.600,45,Matt Bosher,5,2
31.600,48,Richmond McGee,8,0
38.000,60,Kevin Huber,8,2
36.600,58,Dustin Colquitt,8,0
36.400,63,Brian Moorman,5,1
32.300,61,Donnie Jones,4,1
36.300,39,Chas Henry,3,0
45.400,58,Michael Koenen,5,1
44.600,60,Ryan Donahue,5,3
34.200,65,Matt Turk,5,1
34.300,48,Brett Kern,7,2
41.800,62,Sam Koch,5,0
47.800,64,Daniel Sepulveda,4,2
34.500,54,Brett Hartmann,2,0
25.000,57,Pat McAfee,6,1
38.500,56,Sav Rocca,6,4
36.300,59,Steve Weatherford,6,0
54.200,64,Andy Lee,5,1
32.900,77,Jon Ryan,7,1
36.700,47,Mike Scifres,3,1
41.800,56,Chris Kluwe,6,3
38.200,52,Dave Zastudil,5,2
24.400,56,Jason Baker,7,2
35.000,48,TJ Conley,6,2
33.800,59,Mat McBriar,5,2
41.300,59,Brandon Fields,6,2
30.300,39,Zoltan Mesko,4,1
31.300,65,Britton Colquitt,4,1
33.500,77,Shane Lechler,6,1
41.000,51,Ryan Donahue,5,2
38.200,44,Dustin Colquitt,5,2
40.000,58,Brian Moorman,2,0
46.300,58,Shane Lechler,3,1
34.500,52,Chris Kluwe,4,1
45.000,52,Michael Koenen,4,1
46.600,59,Thomas Morstead,5,1
43.600,51,Adam Podlesh,8,2
38.300,55,Brett Kern,3,2
41.600,54,Sam Koch,5,1
39.000,58,Pat McAfee,4,0
40.200,48,Brad Maynard,5,3
37.400,44,TJ Conley,5,1
32.600,46,Matt Turk,5,1
45.000,66,Daniel Sepulveda,3,0
40.400,59,Jon Ryan,8,3
29.300,43,Sav Rocca,3,2
33.500,53,Dave Zastudil,6,1
37.500,40,Jason Baker,2,1
35.000,47,Tim Masthay,3,1
45.700,64,Andy Lee,6,1
37.300,54,Mat McBriar,4,0
43.500,54,Zoltan Mesko,2,1
35.000,35,Mike Scifres,1,1
48.300,70,Brandon Fields,3,2
41.200,69,Brett Hartmann,6,2
51.000,59,Britton Colquitt,6,1
37.000,48,Kevin Huber,5,2
34.700,49,Matt Bosher,7,1
35.000,52,Chas Henry,4,2
39.000,61,Steve Weatherford,7,2
42.300,58,Donnie Jones,7,1
47.700,54,Thomas Morstead,3,1
34.500,40,Brett Hartmann,2,0
45.000,49,Chas Henry,2,1
37.800,52,Steve Weatherford,4,1
31.100,51,Jason Baker,8,2
31.000,47,Matt Turk,6,1
44.400,63,Brian Moorman,5,2
40.000,57,Zoltan Mesko,3,2
36.600,53,Brad Maynard,5,0
48.300,55,Brandon Fields,3,2
39.700,59,Kevin Huber,7,3
41.300,60,Andy Lee,7,2
32.300,62,Brett Kern,4,0
45.000,62,Britton Colquitt,5,4
38.300,54,Chris Kluwe,6,1
33.600,52,Ryan Donahue,7,1
37.100,59,Donnie Jones,8,0
34.500,49,Sam Koch,2,1
39.800,67,Shane Lechler,6,1
39.000,60,TJ Conley,5,2
29.000,54,Mike Scifres,2,1
43.300,53,Dustin Colquitt,4,1
42.400,66,Jon Ryan,8,3
35.800,49,Dave Zastudil,5,0
37.700,50,Michael Koenen,3,1
21.700,38,Matt Bosher,3,1
37.000,49,Adam Podlesh,7,0
33.200,47,Tim Masthay,6,1
35.100,55,Pat McAfee,7,3
30.000,45,Daniel Sepulveda,3,1
45.300,65,Mat McBriar,3,2
44.400,58,Sav Rocca,5,3
43.000,68,Mat McBriar,3,0
37.300,56,Ryan Donahue,6,1
32.500,51,Adam Podlesh,4,2
5.000,44,Jason Baker,2,0
38.400,41,Kevin Huber,5,2
40.500,65,Brian Moorman,8,2
34.500,45,Brad Maynard,4,2
36.500,64,Brett Kern,6,2
44.700,61,Dustin Colquitt,3,2
30.500,58,Chris Kluwe,4,0
42.100,65,Donnie Jones,8,2
45.700,63,Sav Rocca,7,3
36.000,53,Matt Turk,4,2
54.000,58,Thomas Morstead,1,0
38.400,51,Brett Hartmann,5,3
46.300,58,Daniel Sepulveda,4,1
46.500,45,Chas Henry,2,0
45.300,68,Andy Lee,4,0
37.500,56,Dave Zastudil,4,0
35.000,52,Steve Weatherford,5,1
41.700,57,Jon Ryan,3,1
27.500,48,Matt Bosher,4,2
43.000,53,Mike Scifres,3,1
37.700,50,Brandon Fields,3,1
44.500,63,Shane Lechler,2,1
43.000,51,Zoltan Mesko,3,2
49.000,49,Tim Masthay,1,0
45.500,53,Britton Colquitt,2,0
36.900,58,Sam Koch,7,3
38.800,56,TJ Conley,8,2
44.000,57,Michael Koenen,5,3
41.500,59,Pat McAfee,6,1
19.000,48,Daniel Sepulveda,1,1
42.300,44,Brett Kern,4,1
39.100,60,Steve Weatherford,7,0
40.000,62,Jon Ryan,7,4
31.600,56,Matt Turk,7,2
44.400,71,Kevin Huber,7,1
45.000,53,Jason Baker,3,2
30.500,56,Thomas Morstead,2,0
33.000,52,Brett Hartmann,8,2
44.700,61,Shane Lechler,7,2
36.800,64,Brian Moorman,5,1
26.000,37,Chas Henry,2,0
47.600,64,Pat McAfee,5,1
41.200,60,Dustin Colquitt,6,2
47.500,51,Chris Kluwe,4,2
33.400,55,Ben Graham,5,2
38.000,38,Andy Lee,1,1
34.700,58,Michael Koenen,6,3
41.300,56,Zoltan Mesko,4,1
37.900,59,TJ Conley,7,2
42.800,60,Britton Colquitt,6,1
36.700,57,Mike Scifres,3,1
37.000,47,Matt Bosher,5,1
41.000,43,Tim Masthay,2,1
32.200,46,Ryan Donahue,5,3
39.000,55,Adam Podlesh,5,1
32.300,57,Ryan Donahue,8,0
41.000,60,Andy Lee,9,4
29.200,67,Tim Masthay,5,1
32.400,42,Donnie Jones,5,3
43.000,46,Matt Bosher,3,2
36.500,41,Jason Baker,2,0
43.200,53,Kevin Huber,5,1
43.300,62,Pat McAfee,4,1
43.300,56,Steve Weatherford,3,0
33.000,64,Brian Moorman,3,1
38.200,55,Daniel Sepulveda,6,1
40.400,47,Nick Harris,7,1
42.500,53,Sav Rocca,4,2
35.700,50,Chas Henry,3,0
43.000,48,Sam Koch,2,1
35.500,59,Brett Hartmann,6,2
36.000,59,Shane Lechler,4,2
46.200,54,Brad Maynard,6,4
46.500,53,Zoltan Mesko,2,1
40.000,64,Mat McBriar,4,0
49.800,58,Michael Koenen,4,3
49.000,61,Thomas Morstead,4,0
38.300,51,Adam Podlesh,3,2
31.800,55,Chris Kluwe,5,0
39.400,63,TJ Conley,8,3
39.300,65,Brandon Fields,7,3
36.700,42,TJ Conley,3,1
46.800,58,Mike Scifres,4,1
43.500,65,Michael Koenen,8,3
36.700,45,Adam Podlesh,6,2
40.000,48,Jason Baker,3,2
37.000,37,Sav Rocca,1,0
33.500,51,Ryan Donahue,6,2
35.400,45,Matt Bosher,5,2
30.800,51,Brad Maynard,5,0
42.400,67,Jon Ryan,7,1
39.000,64,Brandon Fields,8,3
41.400,66,Britton Colquitt,9,2
42.700,54,Brett Kern,7,2
31.500,57,Brett Hartmann,2,0
41.000,59,Shane Lechler,6,2
47.000,65,Dustin Colquitt,7,3
36.000,58,Dave Zastudil,4,2
39.300,49,Daniel Sepulveda,3,2
29.800,49,Chris Kluwe,4,1
55.300,65,Tim Masthay,3,3
45.300,60,Mat McBriar,3,2
42.000,59,Donnie Jones,5,3
40.000,53,Thomas Morstead,1,0
42.000,56,Pat McAfee,6,2
40.000,47,Nick Harris,7,2
45.900,58,Sam Koch,9,3
21.400,48,Sam Koch,5,2
36.300,52,Dave Zastudil,6,3
43.000,52,Jason Baker,4,3
40.000,53,Chris Kluwe,4,1
40.000,61,Brett Hartmann,6,2
37.300,55,Nick Harris,8,0
44.500,55,Steve Weatherford,4,3
43.800,59,Brandon Fields,5,2
39.900,59,Donnie Jones,7,3
40.300,62,Thomas Morstead,6,3
34.100,55,Brett Kern,8,2
32.900,58,Pat McAfee,6,2
46.100,57,Britton Colquitt,7,1
33.700,52,Ryan Donahue,7,1
27.700,52,Brian Moorman,3,0
43.700,57,Sav Rocca,6,3
24.000,65,Jon Ryan,6,0
37.600,59,Kevin Huber,5,1
42.800,65,Andy Lee,5,2
41.000,55,Brad Maynard,6,4
30.000,31,Daniel Sepulveda,1,0
39.000,53,Zoltan Mesko,4,1
28.500,52,Chas Henry,2,0
37.300,39,Mat McBriar,3,2
37.000,41,Dan Bailey,2,0
46.600,68,Dustin Colquitt,5,1
50.700,63,Mike Scifres,3,1
35.600,57,Dustin Colquitt,5,0
34.200,55,Brandon Fields,5,2
45.800,60,Pat McAfee,9,2
43.100,59,Matt Bosher,7,3
48.500,57,Thomas Morstead,2,0
28.000,49,Michael Koenen,3,1
43.500,66,Brian Moorman,4,2
35.500,36,TJ Conley,2,1
43.000,52,Chris Jones,4,2
58.300,70,Jon Ryan,3,1
36.000,49,Brett Hartmann,2,0
29.800,52,Brad Maynard,4,1
39.400,54,Sav Rocca,5,1
36.600,61,Andy Lee,5,2
41.600,54,Brett Kern,7,1
37.100,57,Kevin Huber,7,2
32.500,61,Shane Lechler,6,2
39.000,57,Britton Colquitt,5,0
45.000,50,Zoltan Mesko,5,0
41.000,51,Steve Weatherford,8,5
42.000,63,Dave Zastudil,6,3
32.100,59,Donnie Jones,7,4
43.500,60,Mike Scifres,2,1
42.500,55,Tim Masthay,2,0
32.300,41,Jeremy Kapinos,3,1
34.500,46,Sam Koch,2,0
26.000,44,Chas Henry,2,1
